rank,player_id,player_name,years,net_value_k,off_value_k,def_value_k,net_rapm,off,def,possessions,off_poss,def_poss,old_rank,old_years,source_file
1,201939,Stephen Curry,2014-18,3.24414959,3.2570937,-0.01294411,10.249,10.29,-0.041,63224,31653,31571,2,2014-18,weighted_factors_decomp_14_18_all_rb_se_a2000_4000.csv
2,2544,LeBron James,2006-10,3.51011982,2.7409300799999996,0.7691897400000001,10.091,7.869,2.222,69449,34832,34617,1,2012-16,weighted_factors_decomp_06_10_all_rb_se_a2000_4000.csv
3,977,Kobe Bryant,2006-10,2.6427248,2.74050336,-0.09777856000000001,7.327,7.599,-0.272,72012,36064,35948,17,2006-10,weighted_factors_decomp_06_10_all_rb_se_a2000_4000.csv
4,959,Steve Nash,2005-09,2.3738156800000003,2.69558928,-0.3217736,7.797,8.856,-1.06,60794,30438,30356,6,2007-11,weighted_factors_decomp_05_09_all_rb_se_a2000_4000.csv
5,201935,James Harden,2014-18,2.44092154,2.6844711400000003,-0.2435496,7.351,8.086,-0.735,66335,33199,33136,19,2014-18,weighted_factors_decomp_14_18_all_rb_se_a2000_4000.csv
6,203999,Nikola Jokić,2022-26,3.06759805,2.64819205,0.419406,10.312,8.897,1.415,59405,29765,29640,3,2022-26,weighted_factors_decomp_22_26_all_rb_se_a2000_4000.csv
7,203081,Damian Lillard,2017-21,1.6219177399999998,2.10561354,-0.4836958,5.498,7.143,-1.645,58882,29478,29404,32,2017-21,weighted_factors_decomp_17_21_all_rb_se_a2000_4000.csv
8,2548,Dwyane Wade,2006-10,2.3015245200000005,2.05330262,0.24822190000000002,8.505,7.586,0.919,54077,27067,27010,9,2006-10,weighted_factors_decomp_06_10_all_rb_se_a2000_4000.csv
9,1628983,Shai Gilgeous-Alexander,2022-26,2.36826339,2.03323264,0.33503075000000004,8.395,7.208,1.187,56433,28208,28225,10,2022-26,weighted_factors_decomp_22_26_all_rb_se_a2000_4000.csv
10,1717,Dirk Nowitzki,2002-06,2.2586642,1.9817564000000003,0.2769078,6.611,5.798,0.813,68240,34180,34060,11,2008-12,weighted_factors_decomp_02_06_all_rb_se_a2000_4000.csv
11,201566,Russell Westbrook,2015-19,1.74944626,1.91854082,-0.16909456000000003,5.787,6.349,-0.562,60306,30218,30088,18,2013-17,weighted_factors_decomp_15_19_all_rb_se_a2000_4000.csv
12,201142,Kevin Durant,2010-14,2.03445285,1.87154457,0.16290828000000002,5.717,5.257,0.459,71093,35601,35492,26,2010-14,weighted_factors_decomp_10_14_all_rb_se_a2000_4000.csv
13,708,Kevin Garnett,2000-04,3.13524051,1.86121516,1.27402535,9.407,5.572,3.835,66624,33403,33221,5,2000-04,weighted_factors_decomp_00_04_all_rb_se_a2000_4000.csv
14,1503,Tracy McGrady,2001-05,1.65652676,1.81857172,-0.16204496000000002,5.474,6.013,-0.539,60308,30244,30064,47,2001-05,weighted_factors_decomp_01_05_all_rb_se_a2000_4000.csv
15,406,Shaquille O'Neal,2000-04,2.31980496,1.81162344,0.50818152,6.99,5.448,1.542,66209,33253,32956,15,1998-02,weighted_factors_decomp_00_04_all_rb_se_a2000_4000.csv
16,1626164,Devin Booker,2020-24,1.39136097,1.76756848,-0.37620751,5.14,6.533,-1.393,54063,27056,27007,49,2020-24,weighted_factors_decomp_20_24_all_rb_se_a2000_4000.csv
17,252,Karl Malone,1997-01,1.53249084,1.76134644,-0.22885560000000002,5.041,5.796,-0.755,60701,30389,30312,55,1997-01,weighted_factors_decomp_97_01_all_rb_se_a2000_4000.csv
18,1628369,Jayson Tatum,2020-24,2.35504138,1.7437188999999997,0.61132248,7.281,5.39,1.891,64679,32351,32328,20,2020-24,weighted_factors_decomp_20_24_all_rb_se_a2000_4000.csv
19,101108,Chris Paul,2014-18,2.46001373,1.7306271500000001,0.72938658,9.525,6.691,2.834,51602,25865,25737,4,2014-18,weighted_factors_decomp_14_18_all_rb_se_a2000_4000.csv
20,1497,Chauncey Billups,2006-10,1.71093514,1.6962606399999998,0.0146745,5.794,5.744,0.05,58880,29531,29349,41,2006-10,weighted_factors_decomp_06_10_all_rb_se_a2000_4000.csv
21,951,Ray Allen,2001-05,1.55357832,1.61036376,-0.05678544,5.558,5.762,-0.204,55784,27948,27836,44,2001-05,weighted_factors_decomp_01_05_all_rb_se_a2000_4000.csv
22,397,Reggie Miller,1998-02,1.3019660000000002,1.5738297200000002,-0.27186372,4.343,5.251,-0.909,59880,29972,29908,82,1998-02,weighted_factors_decomp_98_02_all_rb_se_a2000_4000.csv
23,203078,Bradley Beal,2017-21,0.8908363599999999,1.5730888,-0.6822524400000001,3.098,5.48,-2.382,57348,28706,28642,205,2017-21,weighted_factors_decomp_17_21_all_rb_se_a2000_4000.csv
24,1718,Paul Pierce,2002-06,1.9762507999999999,1.56272104,0.41352976,6.002,4.744,1.258,65813,32941,32872,29,2003-07,weighted_factors_decomp_02_06_all_rb_se_a2000_4000.csv
25,56,Gary Payton,1997-01,1.5637911000000002,1.501262,0.0625291,5.105,4.9,0.205,61140,30638,30502,53,1997-01,weighted_factors_decomp_97_01_all_rb_se_a2000_4000.csv
26,202689,Kemba Walker,2016-20,1.47834012,1.4547832199999997,0.0235569,5.331,5.247,0.085,55440,27726,27714,46,2016-20,weighted_factors_decomp_16_20_all_rb_se_a2000_4000.csv
27,1629027,Trae Young,2019-23,0.33721202000000017,1.43893005,-1.1017180299999998,1.258,5.297,-4.039,54442,27165,27277,254,2018-22,weighted_factors_decomp_19_23_all_rb_se_a2000_4000.csv
28,467,Jason Kidd,2002-06,1.89909562,1.37962562,0.51947,5.962,4.322,1.64,63596,31921,31675,35,2002-06,weighted_factors_decomp_02_06_all_rb_se_a2000_4000.csv
29,1628973,Jalen Brunson,2022-26,0.8856696199999999,1.3633464999999998,-0.47767688,2.886,4.45,-1.564,61179,30637,30542,127,2020-24,weighted_factors_decomp_22_26_all_rb_se_a2000_4000.csv
30,947,Allen Iverson,1997-01,0.5050986300000001,1.356144,-0.8510453699999999,1.683,4.56,-2.877,59321,29740,29581,151,1999-03,weighted_factors_decomp_97_01_all_rb_se_a2000_4000.csv
31,1884,Baron Davis,2004-08,1.61282361,1.35101505,0.26180856,6.644,5.565,1.079,48541,24277,24264,27,2004-08,weighted_factors_decomp_04_08_all_rb_se_a2000_4000.csv
32,1626157,Karl-Anthony Towns,2018-22,1.0755484000000002,1.34438696,-0.26883855999999995,4.667,5.834,-1.168,46061,23044,23017,62,2018-22,weighted_factors_decomp_18_22_all_rb_se_a2000_4000.csv
33,1713,Vince Carter,2000-04,1.5766556200000001,1.3225690600000002,0.25408656,6.254,5.246,1.008,50418,25211,25207,28,1997-01,weighted_factors_decomp_00_04_all_rb_se_a2000_4000.csv
34,1495,Tim Duncan,1999-03,2.68804272,1.309618,1.37842472,8.418,4.09,4.328,63869,32020,31849,8,2001-05,weighted_factors_decomp_99_03_all_rb_se_a2000_4000.csv
35,1740,Rashard Lewis,2005-09,1.4133325800000003,1.25004048,0.1632921,4.793,4.238,0.555,58918,29496,29422,64,2005-09,weighted_factors_decomp_05_09_all_rb_se_a2000_4000.csv
36,1629029,Luka Doncic,2020-24,1.1594709600000002,1.24782546,-0.0883545,4.253,4.578,-0.325,54443,27257,27186,90,2020-24,weighted_factors_decomp_20_24_all_rb_se_a2000_4000.csv
37,1712,Antawn Jamison,2005-09,1.03531748,1.24327236,-0.20795487999999998,3.405,4.092,-0.688,60609,30383,30226,139,2005-09,weighted_factors_decomp_05_09_all_rb_se_a2000_4000.csv
38,202681,Kyrie Irving,2021-25,1.1913093199999998,1.24233866,-0.051029340000000006,5.602,5.843,-0.241,42436,21262,21174,37,2022-26,weighted_factors_decomp_21_25_all_rb_se_a2000_4000.csv
39,2240,Gilbert Arenas,2003-07,0.7314137800000001,1.22270674,-0.49129295999999995,2.433,4.078,-1.644,59867,29983,29884,249,2005-09,weighted_factors_decomp_03_07_all_rb_se_a2000_4000.csv
40,1938,Manu Ginobili,2004-08,1.8409827399999998,1.2070336,0.6339491399999999,7.389,4.832,2.558,49763,24980,24783,16,2004-08,weighted_factors_decomp_04_08_all_rb_se_a2000_4000.csv
41,202695,Kawhi Leonard,2017-21,1.44196721,1.1875599300000002,0.25440728,6.782,5.583,1.198,42507,21271,21236,12,2020-24,weighted_factors_decomp_17_21_all_rb_se_a2000_4000.csv
42,101114,Deron Williams,2007-11,0.83000957,1.16612157,-0.336112,2.753,3.873,-1.12,60119,30109,30010,187,2006-10,weighted_factors_decomp_07_11_all_rb_se_a2000_4000.csv
43,2207,Joe Johnson,2009-13,1.19588714,1.1625005000000002,0.03338664,4.245,4.126,0.119,56231,28175,28056,86,2009-13,weighted_factors_decomp_09_13_all_rb_se_a2000_4000.csv
44,2072,Michael Redd,2003-07,0.3849577899999999,1.16014647,-0.77518868,1.449,4.403,-2.954,52591,26349,26242,256,2005-09,weighted_factors_decomp_03_07_all_rb_se_a2000_4000.csv
