player_id,player_name,off_rim_freq_rapm,def_rim_freq_suppression_rapm,net_rim_freq_rapm,off_midrange_freq_rapm,def_midrange_freq_suppression_rapm,net_midrange_freq_rapm,off_three_freq_rapm,def_three_freq_suppression_rapm,net_three_freq_rapm,off_rim_fg_pct_rapm,def_rim_fg_pct_suppression_rapm,net_rim_fg_pct_rapm,off_midrange_fg_pct_rapm,def_midrange_fg_pct_suppression_rapm,net_midrange_fg_pct_rapm,off_three_fg_pct_rapm,def_three_fg_pct_suppression_rapm,net_three_fg_pct_rapm,possessions,off_poss,def_poss,rim_fg_pct_possessions,rim_fg_pct_off_poss,rim_fg_pct_def_poss,midrange_fg_pct_possessions,midrange_fg_pct_off_poss,midrange_fg_pct_def_poss,three_fg_pct_possessions,three_fg_pct_off_poss,three_fg_pct_def_poss
1631260,A.J. Green,-1.97,-1.4,-0.56,-1.67,0.13,-1.8,3.63,1.27,2.36,-0.87,0.08,-0.95,0.26,-1.05,1.31,1.37,0.06,1.31,18662,9230,9432,5504.0,2683.0,2821.0,4805.0,2256.0,2549.0,8352.0,4291.0,4061.0
1631100,AJ Griffin,-1.46,0.76,-2.22,2.68,-0.4,3.08,-1.22,-0.36,-0.86,-0.01,-0.18,0.17,0.21,0.09,0.12,0.24,-0.16,0.4,5894,2977,2917,1906.0,873.0,1033.0,1776.0,1033.0,743.0,2210.0,1069.0,1141.0
1642358,AJ Johnson,1.26,-0.26,1.52,-1.47,0.1,-1.57,0.2,0.16,0.04,-1.27,0.49,-1.76,-0.12,-0.24,0.12,-0.91,0.05,-0.97,3986,1977,2009,1377.0,702.0,675.0,935.0,442.0,493.0,1674.0,833.0,841.0
1630639,AJ Lawson,1.41,0.01,1.4,-0.97,-0.14,-0.83,-0.44,0.13,-0.57,-0.6,0.57,-1.17,-0.81,0.1,-0.91,-0.37,0.06,-0.43,4332,2192,2140,1524.0,800.0,724.0,1065.0,525.0,540.0,1743.0,867.0,876.0
203932,Aaron Gordon,1.52,0.44,1.08,-0.42,0.28,-0.69,-1.1,-0.71,-0.38,0.4,0.02,0.37,0.38,-0.81,1.19,0.02,-1.06,1.08,31037,15517,15520,10705.0,5558.0,5147.0,8896.0,4376.0,4520.0,11430.0,5579.0,5851.0
1628988,Aaron Holiday,-0.84,-0.02,-0.82,0.47,0.84,-0.37,0.38,-0.82,1.2,-0.61,-0.14,-0.47,-0.14,-0.69,0.55,-0.25,-0.83,0.58,13720,7003,6717,4533.0,2316.0,2217.0,3831.0,1977.0,1854.0,5350.0,2704.0,2646.0
1630174,Aaron Nesmith,0.76,0.2,0.56,-0.74,-0.18,-0.56,-0.02,-0.02,-0.0,-0.51,-0.84,0.33,0.42,1.0,-0.59,1.15,-0.04,1.19,27670,13835,13835,9559.0,4658.0,4901.0,7344.0,3558.0,3786.0,10766.0,5618.0,5148.0
1630598,Aaron Wiggins,1.57,-0.04,1.61,-1.21,-0.46,-0.75,-0.36,0.5,-0.86,0.38,-0.28,0.66,-0.35,-0.85,0.5,0.32,0.08,0.23,22696,11389,11307,7495.0,3944.0,3551.0,5801.0,2893.0,2908.0,9453.0,4571.0,4882.0
1642846,Ace Bailey,-0.44,-0.08,-0.36,1.7,-0.95,2.65,-1.26,1.03,-2.29,0.06,0.67,-0.61,-0.42,0.14,-0.57,-0.65,0.32,-0.97,7403,3723,3680,2454.0,1240.0,1214.0,1826.0,1004.0,822.0,3123.0,1479.0,1644.0
1641745,Adam Flagler,-0.99,0.03,-1.02,-0.7,-0.36,-0.34,1.68,0.34,1.34,-0.28,0.03,-0.31,-0.14,0.03,-0.18,-0.46,-0.29,-0.16,806,412,394,218.0,100.0,118.0,152.0,66.0,86.0,436.0,246.0,190.0
1642380,Adama Bal,-0.59,1.18,-1.77,-0.14,-0.49,0.35,0.73,-0.69,1.42,-0.22,0.41,-0.64,-0.34,0.3,-0.64,-0.07,0.34,-0.41,919,442,477,332.0,122.0,210.0,198.0,99.0,99.0,389.0,221.0,168.0
1641766,Adama Sanogo,0.01,0.09,-0.08,0.27,-0.3,0.57,-0.29,0.21,-0.5,-0.25,0.09,-0.33,0.0,-0.01,0.01,-0.12,0.21,-0.33,314,172,142,110.0,60.0,50.0,74.0,50.0,24.0,130.0,62.0,68.0
1641737,Adem Bona,0.86,-0.46,1.32,-0.08,-0.53,0.45,-0.78,0.99,-1.77,-0.14,-0.68,0.54,0.13,-0.22,0.35,-0.74,0.44,-1.19,7884,3943,3941,2757.0,1407.0,1350.0,1859.0,963.0,896.0,3266.0,1573.0,1693.0
1629678,Admiral Schofield,-1.08,-0.37,-0.71,-0.46,-0.93,0.47,1.53,1.3,0.23,-0.17,0.57,-0.74,-0.48,-0.06,-0.42,-0.26,0.25,-0.51,1878,954,924,556.0,277.0,279.0,448.0,234.0,214.0,874.0,443.0,431.0
1642876,Adou Thiero,-0.01,0.47,-0.48,-0.25,-0.24,-0.01,0.26,-0.22,0.48,-0.2,0.19,-0.39,-0.01,0.02,-0.04,-0.01,0.49,-0.5,466,222,244,160.0,68.0,92.0,111.0,54.0,57.0,195.0,100.0,95.0
1642349,Ajay Mitchell,0.73,-1.8,2.53,-0.52,0.87,-1.39,-0.21,0.93,-1.14,0.02,-0.82,0.84,0.19,-0.13,0.32,-0.34,0.32,-0.66,7711,3944,3767,2361.0,1332.0,1029.0,2034.0,1005.0,1029.0,3316.0,1607.0,1709.0
201143,Al Horford,-0.45,0.29,-0.74,-2.5,-0.26,-2.24,2.96,-0.03,2.99,-0.29,0.57,-0.86,-0.48,0.34,-0.82,1.09,-0.94,2.03,28782,14337,14445,9030.0,4405.0,4625.0,6901.0,2808.0,4093.0,12850.0,7123.0,5727.0
202692,Alec Burks,-2.04,1.64,-3.68,0.82,-0.38,1.2,1.23,-1.25,2.48,-0.93,-0.11,-0.81,-0.13,0.68,-0.81,0.71,-0.39,1.1,12133,6001,6132,3933.0,1781.0,2152.0,3453.0,1814.0,1639.0,4747.0,2406.0,2341.0
1630197,Aleksej Pokusevski,1.2,0.04,1.16,-0.67,-0.25,-0.42,-0.53,0.21,-0.75,-0.49,0.11,-0.6,-0.81,0.2,-1.01,-0.7,0.49,-1.19,4144,2057,2087,1447.0,745.0,702.0,1014.0,508.0,506.0,1683.0,804.0,879.0
1627936,Alex Caruso,0.85,-1.76,2.61,-1.57,-0.35,-1.22,0.72,2.1,-1.39,-0.18,-1.2,1.02,-0.25,-1.0,0.75,-0.16,-0.23,0.07,22237,11286,10951,6937.0,3693.0,3244.0,6021.0,3266.0,2755.0,9276.0,4326.0,4950.0
1642505,Alex Ducas,-0.64,-0.08,-0.56,-0.28,-0.14,-0.14,0.92,0.23,0.69,-0.13,0.27,-0.39,-0.15,0.07,-0.22,-0.35,-0.1,-0.25,474,244,230,123.0,58.0,65.0,95.0,42.0,53.0,256.0,144.0,112.0
1641788,Alex Fudge,-0.09,0.13,-0.22,0.01,-0.15,0.16,0.07,0.03,0.04,-0.21,0.24,-0.44,-0.13,0.11,-0.24,-0.24,0.13,-0.37,144,70,74,48.0,23.0,25.0,34.0,17.0,17.0,62.0,30.0,32.0
203458,Alex Len,-2.35,-1.15,-1.21,0.79,0.02,0.77,1.56,1.13,0.43,-0.52,-0.19,-0.33,-0.17,-0.19,0.03,0.21,-0.02,0.24,3851,1966,1885,1059.0,493.0,566.0,1051.0,567.0,484.0,1740.0,906.0,834.0
1642024,Alex Reese,-0.49,-0.25,-0.24,-0.1,0.06,-0.16,0.59,0.2,0.39,0.18,-0.06,0.23,-0.04,0.15,-0.2,0.05,0.22,-0.16,830,406,424,259.0,125.0,134.0,195.0,93.0,102.0,376.0,188.0,188.0
1642259,Alexandre Sarr,-1.51,0.1,-1.6,-0.21,-0.97,0.76,1.72,0.88,0.84,-0.22,-0.75,0.53,-0.96,0.36,-1.33,-0.31,-0.24,-0.07,11855,5833,6022,3837.0,1695.0,2142.0,2962.0,1551.0,1411.0,5056.0,2587.0,2469.0
1642918,Alijah Martin,0.17,0.06,0.11,0.19,0.05,0.14,-0.36,-0.1,-0.26,-0.29,0.1,-0.39,-0.02,0.13,-0.15,-0.54,-0.01,-0.53,506,264,242,182.0,100.0,82.0,134.0,72.0,62.0,190.0,92.0,98.0
1628993,Alize Johnson,-0.1,0.14,-0.23,-0.02,-0.12,0.1,0.11,-0.02,0.12,-0.1,-0.06,-0.04,-0.03,0.06,-0.08,-0.19,0.12,-0.32,116,58,58,42.0,19.0,23.0,29.0,15.0,14.0,45.0,24.0,21.0
1631214,Alondes Williams,-0.26,-0.18,-0.08,0.03,-0.05,0.08,0.22,0.24,-0.02,0.23,0.22,0.01,0.02,-0.04,0.06,-0.13,0.04,-0.18,441,221,220,133.0,68.0,65.0,105.0,59.0,46.0,203.0,94.0,109.0
1630578,Alperen Sengun,1.32,-0.97,2.29,1.27,-0.17,1.43,-2.58,1.14,-3.72,0.65,-0.02,0.67,0.06,-0.46,0.52,0.05,1.06,-1.01,34099,17307,16792,11729.0,6233.0,5496.0,9353.0,4933.0,4420.0,13057.0,6164.0,6893.0
