player_id,player_name,off,def,net_rapm,possessions,off_poss,def_poss
203507,Giannis Antetokounmpo,3.246,-0.355,3.602,22632,11026,11606
203999,Nikola Jokic,2.116,-0.869,2.986,32657,16241,16416
203497,Rudy Gobert,1.184,-1.411,2.595,30928,15341,15587
1641705,Victor Wembanyama,1.757,-0.741,2.499,22402,11016,11386
201939,Stephen Curry,2.669,0.366,2.303,23622,11901,11721
1630241,Sam Merrill,1.138,-0.825,1.963,16341,8236,8105
1630163,LaMelo Ball,1.582,-0.287,1.869,16137,8244,7893
1642851,Kon Knueppel,1.08,-0.773,1.853,9442,4754,4688
1630596,Evan Mobley,0.638,-1.128,1.766,26357,13141,13216
1630573,Sam Hauser,1.218,-0.5,1.718,21416,10806,10610
1641750,Ryan Kalkbrenner,1.039,-0.596,1.636,5464,2699,2765
1631260,A.J. Green,1.053,-0.531,1.584,17327,8566,8761
1629674,Neemias Queta,0.549,-0.99,1.539,12043,6096,5947
2544,LeBron James,1.111,-0.382,1.493,27973,13562,14411
1628436,Luke Kornet,0.048,-1.444,1.492,16142,8111,8031
1627826,Ivica Zubac,0.933,-0.531,1.465,22633,11231,11402
1628401,Derrick White,0.965,-0.466,1.432,32958,16474,16484
1627734,Domantas Sabonis,1.255,-0.112,1.366,21791,11092,10699
1626167,Myles Turner,1.018,-0.32,1.338,27326,13498,13828
1631096,Chet Holmgren,0.266,-1.069,1.335,24739,12402,12337
203110,Draymond Green,0.377,-0.933,1.311,21102,10532,10570
1630559,Austin Reaves,1.158,-0.085,1.243,27281,13236,14045
1628374,Lauri Markkanen,0.86,-0.376,1.236,17640,8793,8847
203994,Jusuf Nurkic,0.137,-1.074,1.211,16263,8018,8245
1629029,Luka Doncic,1.307,0.1,1.207,28213,13944,14269
1630169,Tyrese Haliburton,2.207,1.025,1.182,22132,11083,11049
1630591,Jalen Suggs,0.902,-0.253,1.156,17897,9062,8835
1628960,Grayson Allen,1.052,0.045,1.006,20475,10089,10386
1629637,Jaxson Hayes,0.969,-0.024,0.993,12117,5851,6266
201935,James Harden,0.875,-0.104,0.978,31664,15639,16025
203501,Tim Hardaway Jr.,0.853,-0.111,0.964,25573,12657,12916
1627936,Alex Caruso,-0.096,-1.033,0.937,17593,8949,8644
1629130,Duncan Robinson,0.557,-0.376,0.933,22528,11384,11144
1628384,OG Anunoby,0.627,-0.295,0.923,29186,14764,14422
1642883,Sion James,0.208,-0.702,0.91,6563,3238,3325
1630198,Isaiah Joe,0.6,-0.288,0.888,18493,9460,9033
201142,Kevin Durant,1.237,0.356,0.881,29585,14518,15067
203486,Mason Plumlee,0.553,-0.324,0.876,8162,3993,4169
1630167,Obi Toppin,1.497,0.627,0.87,16669,8401,8268
1641726,Dereck Lively II,0.708,-0.146,0.854,10029,4995,5034
203081,Damian Lillard,1.029,0.2,0.829,18412,8955,9457
1630595,Cade Cunningham,0.206,-0.614,0.82,27398,13876,13522
201950,Jrue Holiday,0.449,-0.365,0.814,25653,12764,12889
1631128,Christian Braun,0.676,-0.13,0.806,24517,12085,12432
1628378,Donovan Mitchell,-0.225,-0.998,0.772,29221,14719,14502
1642349,Ajay Mitchell,0.003,-0.767,0.77,8802,4517,4285
202691,Klay Thompson,1.083,0.315,0.768,22086,10942,11144
1626157,Karl-Anthony Towns,0.776,0.01,0.766,30401,15382,15019
1630598,Aaron Wiggins,0.26,-0.497,0.757,18095,9066,9029
202695,Kawhi Leonard,0.704,-0.004,0.709,21278,10582,10696
1642346,Ryan Dunn,0.123,-0.566,0.69,10203,5120,5083
1629655,Daniel Gafford,0.701,0.023,0.678,18013,8788,9225
1629636,Darius Garland,1.293,0.621,0.672,22957,11453,11504
201572,Brook Lopez,0.299,-0.371,0.671,25351,12327,13024
1641706,Brandon Miller,0.959,0.293,0.666,19265,9693,9572
1627832,Fred VanVleet,0.172,-0.489,0.66,18640,9531,9109
1629013,Landry Shamet,-0.357,-1.009,0.652,10613,5394,5219
1630643,Jay Huff,0.349,-0.293,0.642,9488,4633,4855
1631119,Jaylin Williams,-0.224,-0.856,0.632,12299,6164,6135
1631248,Baylor Scheierman,0.231,-0.377,0.607,7040,3590,3450
1630228,Jonathan Kuminga,0.199,-0.396,0.595,15790,7916,7874
1631124,Julian Strawther,0.276,-0.316,0.592,10793,5306,5487
1642880,Kam Jones,-0.059,-0.644,0.586,2189,1059,1130
1628392,Isaiah Hartenstein,-0.221,-0.801,0.58,21338,10923,10415
1642868,Carter Bryant,-0.085,-0.658,0.573,3568,1750,1818
203992,Bogdan Bogdanovic,0.36,-0.205,0.564,15928,8063,7865
1628368,De'Aaron Fox,-0.45,-1.014,0.564,28350,14298,14052
1630532,Franz Wagner,0.115,-0.445,0.561,20849,10620,10229
1628386,Jarrett Allen,0.807,0.254,0.553,26800,13324,13476
1629731,Dean Wade,0.376,-0.172,0.548,15693,7845,7848
1628978,Donte DiVincenzo,0.922,0.382,0.541,27000,13566,13434
1630202,Payton Pritchard,-0.062,-0.595,0.533,27610,13999,13611
202331,Paul George,0.279,-0.247,0.526,20212,10091,10121
1629638,Nickeil Alexander-Walker,-0.203,-0.725,0.522,27138,13588,13550
1629661,Cameron Johnson,0.82,0.3,0.521,19255,9651,9604
201144,Mike Conley,0.795,0.276,0.518,20988,10443,10545
1630529,Herbert Jones,0.547,0.033,0.514,17062,8566,8496
1628969,Mikal Bridges,-0.384,-0.889,0.504,35518,17904,17614
1631199,Ron Harper Jr.,0.243,-0.252,0.495,1311,690,621
1641775,Jordan Walsh,0.225,-0.265,0.49,6553,3323,3230
1641717,Cason Wallace,0.063,-0.426,0.489,24211,12290,11921
1630540,Miles McBride,0.107,-0.382,0.489,17977,9201,8776
1629622,Max Strus,0.547,0.063,0.484,18623,9282,9341
1628369,Jayson Tatum,0.322,-0.161,0.483,26346,13102,13244
1629312,Haywood Highsmith,0.375,-0.081,0.456,12417,6156,6261
1641783,Tristan da Silva,-0.25,-0.701,0.452,12903,6522,6381
1642270,Donovan Clingan,-0.766,-1.208,0.442,13396,6778,6618
1630679,Ethan Thompson,-0.224,-0.666,0.442,2266,1143,1123
1630183,Jaden McDaniels,0.386,-0.05,0.436,30349,15069,15280
1626220,Royce O'Neale,0.179,-0.245,0.424,22906,11390,11516
1629660,Ty Jerome,0.416,0.003,0.413,7220,3627,3593
1643007,Taelon Peter,0.386,-0.026,0.412,1780,874,906
1641708,Amen Thompson,-0.257,-0.666,0.409,25942,13226,12716
201567,Kevin Love,0.668,0.268,0.4,6734,3353,3381
1630166,Deni Avdija,0.242,-0.152,0.394,25700,12824,12876
1642461,Spencer Jones,0.014,-0.379,0.393,6159,3008,3151
201143,Al Horford,0.491,0.103,0.388,19453,9715,9738
1629027,Trae Young,1.456,1.069,0.387,19422,9785,9637
1629639,Tyler Herro,0.716,0.331,0.385,20197,10003,10194
1630583,Santi Aldama,0.528,0.144,0.384,17328,8698,8630
1628366,Lonzo Ball,0.272,-0.111,0.383,5776,2919,2857
1642504,Cormac Ryan,0.423,0.04,0.383,925,460,465
1631165,Keon Ellis,0.409,0.03,0.38,16205,8171,8034
1628988,Aaron Holiday,-0.516,-0.89,0.375,10831,5517,5314
1642276,Kel'el Ware,-0.135,-0.505,0.37,12240,6000,6240
203935,Marcus Smart,-0.36,-0.728,0.368,12138,6014,6124
1627739,Kris Dunn,0.077,-0.287,0.365,19501,9733,9768
1630552,Jalen Johnson,0.374,0.016,0.358,22487,11274,11213
202681,Kyrie Irving,0.601,0.244,0.357,17669,8824,8845
203954,Joel Embiid,-0.279,-0.636,0.357,12906,6326,6580
1630577,Julian Champagnie,0.366,0.013,0.353,23283,11528,11755
1629614,Andrew Nembhard,-0.147,-0.499,0.352,24498,12199,12299
1629618,Jalen Pickett,-0.023,-0.368,0.345,5921,2913,3008
1631117,Walker Kessler,0.471,0.127,0.344,12501,6048,6453
1631172,Ousmane Dieng,0.383,0.062,0.32,6955,3458,3497
1628418,Thomas Bryant,0.36,0.041,0.318,8485,4222,4263
1629057,Robert Williams III,-0.044,-0.351,0.307,5798,2885,2913
1628370,Malik Monk,0.051,-0.25,0.301,19559,9905,9654
203932,Aaron Gordon,0.417,0.117,0.3,21088,10534,10554
1629021,Moritz Wagner,0.204,-0.087,0.291,8881,4482,4399
202699,Tobias Harris,-0.083,-0.364,0.281,26868,13643,13225
1631342,Daeqwon Plowden,0.116,-0.161,0.277,3375,1720,1655
1631255,Karlo Matkovic,-0.047,-0.317,0.271,6347,3158,3189
1629026,Kenrich Williams,-0.13,-0.395,0.265,11659,5893,5766
1628371,Jonathan Isaac,-0.356,-0.619,0.264,9565,4905,4660
1630578,Alperen Sengun,0.34,0.08,0.26,26819,13682,13137
1627741,Buddy Hield,0.462,0.203,0.259,19482,9969,9513
1641747,DaRon Holmes II,0.359,0.101,0.258,753,357,396
1627777,Georges Niang,0.464,0.211,0.253,13426,6696,6730
1627827,Dorian Finney-Smith,0.206,-0.037,0.243,16455,8150,8305
1628372,Dennis Smith Jr.,0.102,-0.138,0.24,3779,1921,1858
1642920,Kobe Sanders,-0.146,-0.386,0.24,4860,2347,2513
1641709,Ausar Thompson,-0.218,-0.456,0.237,19534,9867,9667
202685,Jonas Valanciunas,0.094,-0.143,0.237,16264,8092,8172
1631105,Jalen Duren,0.906,0.674,0.232,23391,11796,11595
1642864,Hugo González,-0.146,-0.376,0.23,4020,2063,1957
1630322,Lindy Waters III,0.049,-0.179,0.229,5033,2578,2455
1629650,Moses Brown,0.085,-0.139,0.224,1199,599,600
1630549,Day'Ron Sharpe,-0.444,-0.667,0.223,10635,5444,5191
