player_id,player_name,off,def,net_rapm,possessions,off_poss,def_poss
201942,DeMar DeRozan,6.37,-1.04,7.41,55069,27700,27369
1629028,Deandre Ayton,6.81,1.14,5.67,42683,21343,21340
201142,Kevin Durant,4.79,-0.5,5.29,47327,23059,24268
1627742,Brandon Ingram,3.32,-0.42,3.73,37224,18705,18519
202687,Bismack Biyombo,2.61,-0.66,3.28,15720,7902,7818
1626171,Bobby Portis,3.58,0.35,3.23,40512,20226,20286
1642875,Maxime Raynaud,2.64,-0.49,3.13,3681,1840,1841
1629626,Bol Bol,1.41,-1.68,3.1,9750,4802,4948
1630208,Nick Richards,1.7,-1.36,3.06,18073,8917,9156
203937,Kyle Anderson,2.69,-0.21,2.9,33575,16935,16640
1628973,Jalen Brunson,2.91,0.04,2.87,55957,28341,27616
1641733,Nick Smith Jr.,1.49,-1.3,2.78,8749,4342,4407
201152,Thaddeus Young,1.62,-1.11,2.73,13834,7099,6735
1629011,Mitchell Robinson,1.96,-0.62,2.58,24461,12391,12070
203114,Khris Middleton,2.73,0.16,2.56,37039,18379,18660
1627749,Dejounte Murray,2.38,-0.14,2.53,42430,21562,20868
202695,Kawhi Leonard,2.74,0.23,2.51,32482,16180,16302
1629234,Drew Eubanks,1.63,-0.86,2.5,21817,10721,11096
204456,T.J. McConnell,2.34,-0.11,2.46,29559,14877,14682
203468,CJ McCollum,1.71,-0.74,2.44,45628,23011,22617
1630560,Cam Thomas,1.97,-0.34,2.32,20601,10257,10344
1628386,Jarrett Allen,2.15,-0.03,2.19,44517,22116,22401
1627783,Pascal Siakam,2.34,0.17,2.17,57197,29162,28035
1642948,Ryan Nembhard,1.91,-0.25,2.16,2848,1398,1450
1628991,Jaren Jackson Jr.,1.52,-0.63,2.15,40562,20449,20113
203920,Khem Birch,1.63,-0.5,2.13,10005,5168,4837
203457,Nerlens Noel,1.19,-0.92,2.11,8473,4180,4293
1627751,Jakob Poeltl,2.43,0.32,2.11,34744,17637,17107
1631114,Jalen Williams,1.92,-0.16,2.08,32084,16309,15775
202330,Gordon Hayward,1.73,-0.34,2.07,22154,11136,11018
1629599,Amir Coffey,1.0,-1.06,2.06,22489,11053,11436
101108,Chris Paul,1.65,-0.41,2.06,42740,21395,21345
201959,Taj Gibson,1.85,-0.17,2.02,11120,5617,5503
1626164,Devin Booker,2.03,0.01,2.02,54807,27329,27478
1627826,Ivica Zubac,4.94,2.94,2.0,44212,21897,22315
202685,Jonas Valanciunas,3.43,1.43,2.0,38239,19219,19020
1628470,Torrey Craig,1.28,-0.69,1.97,22841,11586,11255
202696,Nikola Vucevic,2.11,0.13,1.97,51635,25701,25934
203552,Seth Curry,2.09,0.15,1.94,26090,12969,13121
203901,Elfrid Payton,1.5,-0.43,1.93,9415,4716,4699
1629634,Brandon Clarke,1.19,-0.71,1.9,20466,10394,10072
202684,Tristan Thompson,1.44,-0.45,1.89,12221,6156,6065
1630164,James Wiseman,2.44,0.56,1.88,10494,5176,5318
1629018,Gary Trent Jr.,1.02,-0.85,1.87,43322,21998,21324
1642274,Yves Missi,0.03,-1.83,1.86,10846,5500,5346
203076,Anthony Davis,2.9,1.06,1.84,38859,19002,19857
1629646,Charles Bassey,0.93,-0.88,1.8,4874,2453,2421
1641706,Brandon Miller,1.05,-0.75,1.8,15871,7956,7915
