player_id,player_name,Latest_Year,DECOMP_PRICING,off,def,net_rapm,possessions,off_poss,def_poss,oDECOMP_RIM_FREQ,dDECOMP_RIM_FREQ,nDECOMP_RIM_FREQ,oDECOMP_RIM_FG,dDECOMP_RIM_FG,nDECOMP_RIM_FG,oDECOMP_MID_FG,dDECOMP_MID_FG,nDECOMP_MID_FG,oDECOMP_THREE_FREQ,dDECOMP_THREE_FREQ,nDECOMP_THREE_FREQ,oDECOMP_THREE_FG,dDECOMP_THREE_FG,nDECOMP_THREE_FG,oDECOMP_EFG_PARENT,dDECOMP_EFG_PARENT,nDECOMP_EFG_PARENT,oDECOMP_FT,dDECOMP_FT,nDECOMP_FT,oDECOMP_TOV_VALUE,dDECOMP_TOV_VALUE,nDECOMP_TOV_VALUE,oDECOMP_SC,dDECOMP_SC,nDECOMP_SC,oDECOMP_BADPASS_TOV_VALUE,dDECOMP_BADPASS_TOV_VALUE,nDECOMP_BADPASS_TOV_VALUE,oDECOMP_SCORING_TOV_VALUE,dDECOMP_SCORING_TOV_VALUE,nDECOMP_SCORING_TOV_VALUE,oDECOMP_EFG_CHILDREN,oDECOMP_EFG_PARENT_GAP,oDECOMP_RIM,oDECOMP_THREE,oDECOMP_TOV_VALUE_split,oDECOMP_TOV_SPLIT_GAP,oFC,oDISPLAY_SUM,oRESID,dDECOMP_EFG_CHILDREN,dDECOMP_EFG_PARENT_GAP,dDECOMP_RIM,dDECOMP_THREE,dDECOMP_TOV_VALUE_split,dDECOMP_TOV_SPLIT_GAP,dFC,dDISPLAY_SUM,dRESID,nDECOMP_EFG_CHILDREN,nDECOMP_EFG_PARENT_GAP,nDECOMP_RIM,nDECOMP_THREE,nDECOMP_TOV_VALUE_split,nDECOMP_TOV_SPLIT_GAP,nFC,nDISPLAY_SUM,RESID
201939,Curry,2021,net_continuation_kappa,8.762,0.202,8.964,46134,23117,23017,1.141,-0.066,1.075,0.877,-0.513,0.364,1.21,0.074,1.284,0.971,0.112,1.083,2.732,-0.152,2.58,6.921,-0.537,6.384,0.914,-0.287,0.627,0.3,0.903,1.203,0.64,0.115,0.755,-0.198,0.264,0.066,0.5,0.637,1.137,6.931,-0.01,2.018,3.703,0.302,-0.002,8.145,8.785,-0.023,-0.545,0.008,-0.579,-0.04,0.901,0.002,0.071,0.186,0.016,6.386,-0.002,1.439,3.663,1.203,0.0,8.216,8.971,-0.007
2544,James,2021,net_continuation_kappa,6.401,2.532,8.933,57844,28967,28877,1.246,0.026,1.272,2.445,0.494,2.939,0.094,-0.017,0.077,0.504,-0.165,0.339,0.827,0.299,1.126,5.114,0.656,5.77,0.083,0.349,0.432,0.56,0.761,1.321,0.648,0.768,1.416,-0.112,0.338,0.226,0.678,0.422,1.1,5.116,-0.002,3.691,1.331,0.566,-0.006,5.759,6.407,-0.006,0.637,0.019,0.52,0.134,0.76,0.001,1.747,2.515,0.017,5.753,0.017,4.211,1.465,1.326,-0.005,7.506,8.922,0.011
101108,Paul,2021,net_continuation_kappa,4.587,2.797,7.384,48796,24420,24376,-1.061,0.315,-0.746,0.806,0.187,0.993,1.795,0.25,2.045,0.268,0.065,0.333,0.974,0.3,1.274,2.796,1.128,3.924,-0.022,0.226,0.204,1.957,1.16,3.117,-0.165,0.286,0.121,0.929,0.437,1.366,1.027,0.719,1.746,2.782,0.014,-0.255,1.242,1.956,0.001,4.717,4.552,0.035,1.117,0.011,0.502,0.365,1.156,0.004,2.503,2.789,0.008,3.899,0.025,0.247,1.607,3.112,0.005,7.22,7.341,0.043
202695,Leonard,2021,net_continuation_kappa,5.629,1.305,6.934,42549,21294,21255,-0.97,0.091,-0.879,1.06,0.084,1.144,1.201,0.236,1.437,-0.091,0.067,-0.024,1.422,-0.433,0.989,2.635,0.045,2.68,1.08,0.224,1.304,1.163,0.462,1.625,0.756,0.576,1.332,0.718,0.124,0.842,0.444,0.339,0.783,2.622,0.013,0.09,1.331,1.162,0.001,4.865,5.621,0.008,0.045,0.0,0.175,-0.366,0.463,-0.001,0.731,1.307,-0.002,2.667,0.013,0.265,0.965,1.625,0.0,5.596,6.928,0.006
202331,George,2021,net_continuation_kappa,3.784,2.89,6.673,55207,27624,27583,-0.161,0.124,-0.037,0.54,0.311,0.851,0.67,0.365,1.035,0.344,-0.25,0.094,1.094,0.026,1.12,2.494,0.565,3.059,0.477,0.025,0.502,0.419,1.226,1.645,0.388,1.066,1.454,-0.232,0.77,0.538,0.648,0.457,1.105,2.487,0.007,0.379,1.438,0.416,0.003,3.383,3.771,0.013,0.576,-0.011,0.435,-0.224,1.227,-0.001,1.827,2.893,-0.003,3.063,-0.004,0.814,1.214,1.643,0.002,5.21,6.664,0.009
203954,Embiid,2021,net_continuation_kappa,2.431,4.045,6.476,37359,18747,18612,-0.429,0.674,0.245,0.752,1.019,1.771,0.434,0.692,1.126,-0.653,-0.115,-0.768,0.415,1.269,1.684,0.507,3.531,4.038,1.6,0.389,1.989,-0.872,-0.976,-1.848,1.182,1.104,2.286,-0.045,-0.438,-0.483,-0.824,-0.537,-1.361,0.519,-0.012,0.323,-0.238,-0.869,-0.003,1.247,2.429,0.002,3.539,-0.008,1.693,1.154,-0.975,-0.001,2.952,4.056,-0.011,4.058,-0.02,2.016,0.916,-1.844,-0.004,4.199,6.485,-0.009
202710,Butler III,2021,net_continuation_kappa,3.47,2.907,6.378,50699,25358,25341,-0.008,-0.196,-0.204,0.427,0.119,0.546,0.315,0.26,0.575,-0.472,-0.022,-0.494,-0.554,0.733,0.179,-0.316,0.894,0.578,1.591,0.309,1.9,1.202,0.917,2.119,0.98,0.79,1.77,0.384,0.839,1.223,0.814,0.078,0.892,-0.292,-0.024,0.419,-1.026,1.198,0.004,2.501,3.481,-0.011,0.894,0.0,-0.077,0.711,0.917,0.0,2.12,2.91,-0.003,0.602,-0.024,0.342,-0.315,2.115,0.004,4.621,6.391,-0.013
203507,Antetokounmpo,2021,net_continuation_kappa,2.164,4.214,6.377,57491,28823,28668,0.921,0.24,1.161,1.828,1.178,3.006,-1.054,0.434,-0.62,0.137,-0.214,-0.077,-0.575,0.536,-0.039,1.25,2.184,3.434,0.113,0.322,0.435,0.355,0.598,0.953,0.45,1.11,1.56,0.682,0.576,1.258,-0.318,0.022,-0.296,1.257,-0.007,2.749,-0.438,0.364,-0.009,1.725,2.175,-0.011,2.174,0.01,1.418,0.322,0.598,0.0,3.094,4.204,0.01,3.431,0.003,4.167,-0.116,0.962,-0.009,4.819,6.379,-0.002
201142,Durant,2021,net_continuation_kappa,6.007,0.006,6.012,43783,21916,21867,-0.564,0.265,-0.299,1.522,0.276,1.798,1.805,-0.29,1.515,-0.332,-0.119,-0.451,1.72,0.779,2.499,4.164,0.914,5.078,1.524,-0.014,1.51,0.098,-0.861,-0.763,0.222,-0.035,0.187,-0.461,-0.446,-0.907,0.556,-0.415,0.141,4.151,0.013,0.958,1.388,0.095,0.003,5.773,5.995,0.012,0.911,0.003,0.541,0.66,-0.861,0.0,0.036,0.001,0.005,5.062,0.016,1.499,2.048,-0.766,0.003,5.809,5.996,0.016
203497,Gobert,2021,net_continuation_kappa,0.932,5.04,5.972,52488,26256,26232,0.697,0.764,1.461,0.434,0.769,1.203,-0.563,1.099,0.536,0.017,0.116,0.133,0.725,0.368,1.093,1.307,3.121,4.428,-0.211,0.851,0.64,-1.402,-0.729,-2.131,1.252,1.799,3.051,-0.989,-0.311,-1.3,-0.416,-0.417,-0.833,1.31,-0.003,1.131,0.742,-1.405,0.003,-0.303,0.949,-0.017,3.116,0.005,1.533,0.484,-0.728,-0.001,3.238,5.037,0.003,4.426,0.002,2.664,1.226,-2.133,0.002,2.935,5.986,-0.014
201935,Harden,2021,net_continuation_kappa,6.423,-0.897,5.526,59857,29947,29910,0.662,-0.208,0.454,1.232,-0.351,0.881,0.837,-0.237,0.6,0.832,-0.187,0.645,0.381,0.119,0.5,3.949,-0.862,3.087,2.197,0.072,2.269,0.088,0.454,0.542,0.176,-0.558,-0.382,-0.388,0.403,0.015,0.47,0.05,0.52,3.944,0.005,1.894,1.213,0.082,0.006,6.229,6.405,0.018,-0.864,0.002,-0.559,-0.068,0.453,0.001,-0.338,-0.896,-0.001,3.08,0.007,1.335,1.145,0.535,0.007,5.891,5.509,0.017
1628369,Tatum,2021,net_continuation_kappa,3.13,2.382,5.512,45636,22853,22783,0.181,-0.054,0.127,-0.137,0.313,0.176,-0.047,0.46,0.413,-0.219,0.02,-0.199,1.111,0.535,1.646,0.892,1.257,2.149,0.406,0.156,0.562,0.972,0.43,1.402,0.857,0.545,1.402,0.39,0.217,0.607,0.581,0.214,0.795,0.889,0.003,0.044,0.892,0.971,0.001,2.267,3.124,0.006,1.274,-0.017,0.259,0.555,0.431,-0.001,1.86,2.405,-0.023,2.163,-0.014,0.303,1.447,1.402,0.0,4.127,5.529,-0.017
203081,Lillard,2021,net_continuation_kappa,7.157,-1.655,5.502,58915,29493,29422,0.532,-0.049,0.483,0.047,-0.073,-0.026,1.013,-0.342,0.671,0.622,0.212,0.834,1.039,-0.455,0.584,3.266,-0.691,2.575,1.995,-0.546,1.449,1.504,-0.299,1.205,0.379,-0.113,0.266,0.083,-0.637,-0.554,1.422,0.334,1.756,3.253,0.013,0.579,1.661,1.505,-0.001,6.752,7.131,0.026,-0.707,0.016,-0.122,-0.243,-0.303,0.004,-1.552,-1.665,0.01,2.546,0.029,0.457,1.418,1.202,0.003,5.2,5.466,0.036
202689,Walker,2021,net_continuation_kappa,5.29,-0.012,5.278,49102,24551,24551,0.236,0.213,0.449,-0.043,0.116,0.073,1.185,0.105,1.29,0.405,-0.212,0.193,1.55,-0.421,1.129,3.333,-0.207,3.126,0.546,0.261,0.807,1.72,-0.192,1.528,-0.312,0.127,-0.185,0.637,-0.107,0.53,1.08,-0.084,0.996,3.333,0.0,0.193,1.955,1.717,0.003,5.599,5.287,0.003,-0.199,-0.008,0.329,-0.633,-0.191,-0.001,-0.13,-0.003,-0.009,3.134,-0.008,0.522,1.322,1.526,0.002,5.469,5.284,-0.006
203999,Jokić,2021,net_continuation_kappa,4.826,0.322,5.148,53652,26886,26766,0.294,0.347,0.641,1.11,-0.247,0.863,2.234,-0.254,1.98,-0.104,-0.213,-0.317,-0.011,-0.791,-0.802,3.531,-1.168,2.363,0.157,0.563,0.72,-0.302,-0.595,-0.897,1.438,1.521,2.959,-0.542,-0.083,-0.625,0.24,-0.511,-0.271,3.523,0.008,1.404,-0.115,-0.302,0.0,3.378,4.816,0.01,-1.158,-0.01,0.1,-1.004,-0.594,-0.001,-1.19,0.331,-0.009,2.365,-0.002,1.504,-1.119,-0.896,-0.001,2.188,5.147,0.001
