player_id,player_name,off,def,net_rapm,possessions,off_poss,def_poss
1641705,Victor Wembanyama,0.87,-0.51,1.38,20887,10286,10601
203110,Draymond Green,1.06,-0.18,1.24,19794,9887,9907
1630567,Scottie Barnes,1.0,-0.21,1.21,25595,12941,12654
203507,Giannis Antetokounmpo,0.8,-0.2,1.0,21987,10717,11270
1630596,Evan Mobley,0.49,-0.45,0.95,21895,10913,10982
1642347,Jamal Shead,0.6,-0.35,0.95,12021,6154,5867
2544,LeBron James,0.84,-0.04,0.88,25288,12282,13006
1628989,Kevin Huerter,0.65,-0.18,0.83,17917,8996,8921
203999,Nikola Jokic,0.9,0.08,0.82,28199,14020,14179
1630700,Dyson Daniels,0.43,-0.33,0.76,24152,12227,11925
1630532,Franz Wagner,0.4,-0.36,0.76,18879,9593,9286
1630166,Deni Avdija,0.61,-0.14,0.76,25067,12507,12560
1630200,Tre Jones,0.61,-0.14,0.75,18204,8991,9213
1631128,Christian Braun,0.47,-0.26,0.73,21262,10495,10767
1628392,Isaiah Hartenstein,0.63,-0.1,0.73,17051,8718,8333
1631096,Chet Holmgren,0.46,-0.17,0.64,19649,9823,9826
1630595,Cade Cunningham,0.34,-0.28,0.62,24564,12455,12109
1627741,Buddy Hield,0.33,-0.28,0.61,18104,9255,8849
1630611,Gui Santos,0.43,-0.17,0.6,8507,4350,4157
1627832,Fred VanVleet,-0.04,-0.64,0.6,17652,9044,8608
1641708,Amen Thompson,0.19,-0.4,0.59,24249,12364,11885
201566,Russell Westbrook,0.88,0.3,0.58,20458,10091,10367
1628969,Mikal Bridges,0.2,-0.37,0.57,31501,15877,15624
201950,Jrue Holiday,0.22,-0.34,0.56,21490,10681,10809
201939,Stephen Curry,0.83,0.27,0.56,22628,11391,11237
1629130,Duncan Robinson,0.32,-0.23,0.55,20821,10538,10283
1630552,Jalen Johnson,0.19,-0.37,0.55,21735,10903,10832
1627780,Gary Payton II,0.85,0.3,0.55,10239,5139,5100
1629057,Robert Williams III,0.45,-0.09,0.54,5405,2688,2717
1631218,Trayce Jackson-Davis,0.36,-0.17,0.53,9683,4868,4815
1630163,LaMelo Ball,0.2,-0.33,0.53,16169,8266,7903
1630572,Sandro Mamukelashvili,0.49,-0.01,0.51,10601,5356,5245
1641709,Ausar Thompson,0.46,-0.03,0.5,17599,8898,8701
1628436,Luke Kornet,0.3,-0.21,0.5,14235,7195,7040
1630598,Aaron Wiggins,0.24,-0.26,0.5,16201,8113,8088
1642867,Collin Murray-Boyles,0.32,-0.17,0.49,4480,2286,2194
1630171,Isaac Okoro,0.14,-0.34,0.49,17239,8506,8733
1630591,Jalen Suggs,0.08,-0.41,0.49,16241,8229,8012
203935,Marcus Smart,0.1,-0.38,0.48,11072,5512,5560
1627732,Ben Simmons,0.25,-0.22,0.47,5268,2644,2624
1629628,RJ Barrett,0.36,-0.12,0.47,20240,10122,10118
1627936,Alex Caruso,0.29,-0.18,0.47,14703,7443,7260
1628401,Derrick White,0.2,-0.26,0.46,28236,14133,14103
1629731,Dean Wade,0.21,-0.25,0.46,13619,6821,6798
1630583,Santi Aldama,0.22,-0.22,0.45,16866,8481,8385
1641783,Tristan da Silva,-0.17,-0.63,0.45,12523,6329,6194
1630169,Tyrese Haliburton,0.14,-0.3,0.45,17462,8742,8720
1628378,Donovan Mitchell,0.11,-0.33,0.44,24658,12442,12216
203114,Khris Middleton,0.21,-0.23,0.44,14401,7075,7326
1628371,Jonathan Isaac,0.02,-0.41,0.43,8855,4536,4319
1630191,Isaiah Stewart,-0.18,-0.6,0.43,15272,7587,7685
1630182,Josh Green,0.13,-0.3,0.43,16050,8034,8016
203076,Anthony Davis,-0.09,-0.52,0.42,18768,9085,9683
1630581,Josh Giddey,0.54,0.12,0.42,22335,10989,11346
204060,Joe Ingles,0.34,-0.07,0.41,5077,2535,2542
1641726,Dereck Lively II,0.1,-0.3,0.4,8408,4163,4245
1631245,Quenton Jackson,0.18,-0.21,0.38,4720,2339,2381
1629634,Brandon Clarke,0.18,-0.21,0.38,5206,2643,2563
1627739,Kris Dunn,0.3,-0.08,0.38,18961,9465,9496
202710,Jimmy Butler,0.15,-0.23,0.38,17802,8882,8920
1629622,Max Strus,0.81,0.43,0.38,14522,7225,7297
203497,Rudy Gobert,-0.09,-0.47,0.38,26488,13085,13403
1628372,Dennis Smith Jr.,0.31,-0.06,0.37,3779,1921,1858
1642419,Jamison Battle,0.31,-0.06,0.37,5726,2914,2812
1630167,Obi Toppin,0.14,-0.23,0.37,13853,6983,6870
1627734,Domantas Sabonis,0.11,-0.23,0.34,21791,11092,10699
1629029,Luka Doncic,0.42,0.1,0.33,24535,12112,12423
1629021,Moritz Wagner,0.15,-0.17,0.33,8484,4273,4211
1641710,Anthony Black,0.22,-0.1,0.32,17446,8752,8694
1629023,P.J. Washington,0.0,-0.32,0.32,21729,10757,10972
1626156,D'Angelo Russell,0.52,0.21,0.31,16972,8293,8679
203482,Kelly Olynyk,0.69,0.38,0.31,11152,5511,5641
201580,JaVale McGee,0.27,-0.02,0.3,1266,645,621
1628368,De'Aaron Fox,0.03,-0.27,0.3,26803,13533,13270
1628366,Lonzo Ball,0.14,-0.15,0.29,5776,2919,2857
1630165,Killian Hayes,0.22,-0.07,0.29,5847,2925,2922
1631212,Peyton Watson,0.02,-0.27,0.29,17321,8413,8908
201142,Kevin Durant,0.4,0.12,0.28,28882,14180,14702
1627827,Dorian Finney-Smith,-0.03,-0.31,0.28,15692,7787,7905
1631207,Dalen Terry,0.08,-0.18,0.27,8329,4216,4113
1629027,Trae Young,0.59,0.32,0.27,19422,9785,9637
1630243,Trevelin Queen,0.21,-0.07,0.27,2033,1012,1021
1631132,Christian Koloko,0.22,-0.05,0.27,2584,1304,1280
1630322,Lindy Waters III,-0.16,-0.42,0.27,4921,2524,2397
203994,Jusuf Nurkic,-0.0,-0.26,0.26,15898,7844,8054
1631107,Nikola Jovic,0.45,0.19,0.26,10546,5186,5360
1630643,Jay Huff,0.11,-0.14,0.25,9427,4608,4819
1628370,Malik Monk,0.25,0.01,0.25,19733,9994,9739
1630578,Alperen Sengun,0.26,0.01,0.25,25151,12815,12336
1642278,Tyler Kolek,-0.05,-0.3,0.25,3660,1851,1809
1630188,Jalen Smith,0.08,-0.17,0.25,11938,5987,5951
1631169,Josh Minott,0.07,-0.19,0.25,4276,2157,2119
1642907,Cedric Coward,-0.09,-0.34,0.25,6085,2988,3097
1642346,Ryan Dunn,-0.15,-0.39,0.24,10095,5071,5024
1629004,Svi Mykhailiuk,0.33,0.09,0.24,8815,4449,4366
1630534,Ochai Agbaji,-0.02,-0.26,0.24,16020,7962,8058
1642852,Derik Queen,0.33,0.09,0.24,7689,3764,3925
1642450,Daniss Jenkins,0.25,0.01,0.24,5218,2690,2528
1630558,Davion Mitchell,0.18,-0.07,0.24,19020,9549,9471
1629674,Neemias Queta,0.05,-0.18,0.23,11403,5778,5625
1631243,Mouhamed Gueye,0.13,-0.1,0.23,6595,3383,3212
1631109,Mark Williams,0.34,0.11,0.23,12067,5986,6081
1642066,Myron Gardner,0.15,-0.08,0.23,1584,842,742
1628386,Jarrett Allen,0.43,0.21,0.23,23680,11778,11902
1641711,Gradey Dick,0.27,0.05,0.22,14492,7312,7180
1630205,Lamar Stevens,0.28,0.05,0.22,2622,1315,1307
1627747,Caris LeVert,0.06,-0.16,0.22,17406,8724,8682
1630557,Corey Kispert,-0.03,-0.23,0.21,17906,8839,9067
1629677,Luka Samanic,0.1,-0.1,0.2,1521,728,793
1631342,Daeqwon Plowden,0.25,0.04,0.2,3375,1720,1655
1630618,D.J. Carton,0.05,-0.15,0.2,268,123,145
1630537,Chris Duarte,0.1,-0.1,0.2,2912,1472,1440
1628389,Bam Adebayo,-0.16,-0.36,0.2,27052,13543,13509
1628384,OG Anunoby,0.11,-0.09,0.2,24478,12400,12078
1626174,Christian Wood,0.03,-0.17,0.2,3160,1502,1658
1630175,Cole Anthony,-0.01,-0.22,0.2,12567,6363,6204
1630204,Ashton Hagans,0.06,-0.12,0.19,1082,575,507
1630639,AJ Lawson,0.36,0.18,0.19,3830,1940,1890
1630529,Herbert Jones,-0.05,-0.23,0.19,16569,8324,8245
202066,Garrett Temple,0.3,0.11,0.19,2135,1075,1060
1641765,Olivier-Maxence Prosper,0.1,-0.09,0.19,7142,3519,3623
1630625,Dalano Banton,0.22,0.03,0.18,8239,4128,4111
1642868,Carter Bryant,-0.01,-0.18,0.18,3035,1497,1538
1630249,Vit Krejci,0.39,0.21,0.18,11352,5748,5604
1641774,Tristan Vukcevic,0.28,0.1,0.18,4989,2405,2584
1628976,Wendell Carter Jr.,-0.11,-0.29,0.18,19345,9731,9614
1631159,Leonard Miller,0.13,-0.05,0.18,3014,1497,1517
200768,Kyle Lowry,0.08,-0.09,0.18,8643,4345,4298
1629060,Rui Hachimura,0.01,-0.16,0.17,20544,9944,10600
1642885,Mohamed Diawara,0.12,-0.04,0.17,2444,1249,1195
203901,Elfrid Payton,0.19,0.02,0.16,1913,943,970
1641796,Pelle Larsson,0.25,0.08,0.16,9974,4970,5004
1628380,Zach Collins,0.03,-0.13,0.16,10165,5052,5113
1630241,Sam Merrill,-0.01,-0.18,0.16,14187,7139,7048
1629630,Ja Morant,0.55,0.39,0.16,9218,4639,4579
1628983,Shai Gilgeous-Alexander,-0.03,-0.19,0.16,27445,13997,13448
1642878,Tyrese Proctor,0.13,-0.04,0.16,1984,1012,972
1641890,Tyler Smith,0.09,-0.07,0.16,1069,541,528
1630193,Immanuel Quickley,0.21,0.05,0.16,18977,9533,9444
1628374,Lauri Markkanen,-0.0,-0.15,0.15,17640,8793,8847
1631113,Kennedy Chandler,0.25,0.1,0.15,1418,704,714
203200,Justin Holiday,-0.01,-0.16,0.15,3141,1586,1555
1629716,Marques Bolden,0.09,-0.06,0.15,443,203,240
1642349,Ajay Mitchell,-0.44,-0.59,0.15,7405,3805,3600
1630679,Ethan Thompson,-0.05,-0.2,0.15,2266,1143,1123
1628404,Josh Hart,0.03,-0.11,0.14,27473,13979,13494
1642880,Kam Jones,0.04,-0.1,0.14,2189,1059,1130
1628426,Sasha Vezenkov,0.23,0.08,0.14,1872,953,919
1628960,Grayson Allen,-0.07,-0.21,0.14,20191,9953,10238
1629638,Nickeil Alexander-Walker,-0.04,-0.18,0.14,24046,12029,12017
1629670,Jordan Nwora,0.12,-0.02,0.14,2656,1301,1355
1642266,Ja'Kobe Walter,0.29,0.15,0.14,9349,4772,4577
