player_id,player_name,off,def,net_rapm,possessions,off_poss,def_poss
1641705,Victor Wembanyama,1.56,-1.36,2.92,21258,10649,10609
203497,Rudy Gobert,0.89,-1.61,2.5,31475,15713,15762
203110,Draymond Green,1.19,-1.25,2.44,21942,10968,10974
203999,Nikola Jokic,2.18,-0.2,2.38,33158,16625,16533
1631096,Chet Holmgren,0.78,-1.59,2.37,24723,12343,12380
203507,Giannis Antetokounmpo,1.63,-0.66,2.29,24854,12426,12428
2544,LeBron James,2.17,0.07,2.1,27722,13832,13890
1630567,Scottie Barnes,1.39,-0.57,1.97,26351,13187,13164
203076,Anthony Davis,1.19,-0.68,1.87,21564,10772,10792
1630596,Evan Mobley,0.83,-0.91,1.74,24604,12303,12301
1630595,Cade Cunningham,1.24,-0.48,1.73,27953,13982,13971
1641709,Ausar Thompson,1.37,-0.31,1.68,18403,9159,9244
1629655,Daniel Gafford,1.31,-0.36,1.67,18809,9401,9408
1628392,Isaiah Hartenstein,0.7,-0.94,1.64,21515,10764,10751
1626157,Karl-Anthony Towns,1.47,-0.16,1.63,30289,15205,15084
203994,Jusuf Nurkic,0.55,-1.04,1.59,17800,8908,8892
1642270,Donovan Clingan,0.22,-1.32,1.54,12633,6322,6311
203482,Kelly Olynyk,1.46,-0.08,1.54,12263,6153,6110
1628370,Malik Monk,0.7,-0.83,1.53,20914,10478,10436
1631128,Christian Braun,1.21,-0.25,1.45,24342,12154,12188
201939,Stephen Curry,1.61,0.22,1.4,25487,12800,12687
1628372,Dennis Smith Jr.,0.91,-0.44,1.35,4143,2056,2087
203954,Joel Embiid,0.41,-0.89,1.3,12682,6361,6321
1641726,Dereck Lively II,0.7,-0.58,1.27,10970,5471,5499
1630532,Franz Wagner,0.78,-0.49,1.27,22618,11317,11301
204060,Joe Ingles,1.5,0.25,1.25,5676,2863,2813
1631105,Jalen Duren,1.41,0.18,1.23,22716,11346,11370
203114,Khris Middleton,0.3,-0.92,1.21,15478,7768,7710
1630167,Obi Toppin,1.45,0.24,1.21,17255,8624,8631
1627936,Alex Caruso,0.08,-1.11,1.2,18075,9042,9033
1627747,Caris LeVert,0.74,-0.45,1.19,19082,9550,9532
1628401,Derrick White,0.03,-1.13,1.17,32606,16309,16297
