player_id,player_name,off,def,net_rapm,possessions,off_poss,def_poss
1641705,Victor Wembanyama,1.56,-1.38,2.94,21258,10649,10609
203110,Draymond Green,1.3,-1.29,2.59,20458,10231,10227
203497,Rudy Gobert,0.86,-1.69,2.55,27952,13952,14000
1631096,Chet Holmgren,0.82,-1.57,2.39,20604,10278,10326
203507,Giannis Antetokounmpo,1.65,-0.66,2.31,24112,12058,12054
203999,Nikola Jokic,2.21,-0.1,2.31,29106,14591,14515
2544,LeBron James,2.25,0.01,2.24,26173,13057,13116
1630567,Scottie Barnes,1.37,-0.61,1.99,26351,13187,13164
203076,Anthony Davis,1.13,-0.66,1.78,20741,10362,10379
1630595,Cade Cunningham,1.29,-0.49,1.78,26953,13474,13479
1630596,Evan Mobley,0.82,-0.9,1.72,21970,10992,10978
1628392,Isaiah Hartenstein,0.87,-0.8,1.66,17993,9004,8989
1641709,Ausar Thompson,1.28,-0.36,1.64,17868,8892,8976
1626157,Karl-Anthony Towns,1.62,0.02,1.6,25822,12964,12858
203994,Jusuf Nurkic,0.48,-1.09,1.57,17401,8712,8689
1628370,Malik Monk,0.7,-0.86,1.55,20914,10478,10436
1642270,Donovan Clingan,0.21,-1.34,1.55,12633,6322,6311
1629655,Daniel Gafford,1.22,-0.33,1.55,17146,8573,8573
203482,Kelly Olynyk,1.46,-0.08,1.54,12263,6153,6110
1631128,Christian Braun,1.31,-0.18,1.49,21447,10710,10737
1628372,Dennis Smith Jr.,0.9,-0.46,1.36,4143,2056,2087
1630532,Franz Wagner,0.81,-0.51,1.32,20868,10440,10428
1627936,Alex Caruso,0.26,-0.99,1.25,15810,7905,7905
1629674,Neemias Queta,0.45,-0.79,1.24,10703,5341,5362
1631105,Jalen Duren,1.45,0.21,1.24,21923,10947,10976
1628384,OG Anunoby,1.02,-0.2,1.22,24526,12275,12251
1628436,Luke Kornet,-0.08,-1.3,1.21,14258,7117,7141
1630167,Obi Toppin,1.55,0.34,1.21,14119,7057,7062
203954,Joel Embiid,0.46,-0.76,1.21,11766,5902,5864
204060,Joe Ingles,1.53,0.32,1.2,5424,2735,2689
201939,Stephen Curry,1.58,0.38,1.2,24423,12264,12159
203114,Khris Middleton,0.3,-0.89,1.19,14611,7329,7282
1642347,Jamal Shead,0.44,-0.73,1.18,11942,5979,5963
1630166,Deni Avdija,1.1,-0.04,1.14,25551,12756,12795
1628374,Lauri Markkanen,0.65,-0.49,1.14,19414,9729,9685
1628371,Jonathan Isaac,0.13,-1.01,1.13,9888,4933,4955
203935,Marcus Smart,0.2,-0.9,1.1,12075,6034,6041
1627747,Caris LeVert,0.69,-0.41,1.09,18036,9031,9005
1641726,Dereck Lively II,0.6,-0.5,1.09,9185,4583,4602
1628380,Zach Collins,0.26,-0.83,1.09,11112,5564,5548
1628401,Derrick White,-0.08,-1.14,1.06,28445,14233,14212
1627783,Pascal Siakam,0.56,-0.49,1.05,28779,14404,14375
1631109,Mark Williams,0.86,-0.19,1.04,12333,6157,6176
1630174,Aaron Nesmith,0.46,-0.55,1.01,17520,8761,8759
1629637,Jaxson Hayes,0.5,-0.5,1.0,11870,5915,5955
203901,Elfrid Payton,0.75,-0.23,0.99,2074,1032,1042
1629021,Moritz Wagner,1.2,0.21,0.99,9210,4608,4602
1626174,Christian Wood,0.31,-0.67,0.98,3549,1763,1786
1630552,Jalen Johnson,0.91,-0.05,0.96,22427,11208,11219
1630529,Herbert Jones,0.55,-0.38,0.93,17638,8822,8816
1629627,Zion Williamson,1.17,0.29,0.88,19137,9615,9522
1629628,RJ Barrett,0.91,0.03,0.87,20592,10281,10311
1630591,Jalen Suggs,0.45,-0.42,0.87,16943,8468,8475
1630598,Aaron Wiggins,0.67,-0.2,0.86,17010,8473,8537
1630534,Ochai Agbaji,0.31,-0.55,0.85,17140,8546,8594
1630228,Jonathan Kuminga,0.46,-0.38,0.84,15087,7506,7581
1642349,Ajay Mitchell,-0.21,-1.04,0.83,7437,3733,3704
1627732,Ben Simmons,0.59,-0.23,0.82,5897,2939,2958
1641708,Amen Thompson,0.45,-0.36,0.81,24011,11982,12029
1641739,Toumani Camara,0.31,-0.49,0.81,26830,13405,13425
1641750,Ryan Kalkbrenner,-0.16,-0.97,0.81,4954,2486,2468
1627832,Fred VanVleet,-0.18,-0.99,0.81,19232,9628,9604
1642450,Daniss Jenkins,0.13,-0.68,0.81,4205,2114,2091
1642278,Tyler Kolek,-0.02,-0.82,0.8,3796,1898,1898
1629645,Kevin Porter Jr.,-0.22,-1.01,0.79,11058,5529,5529
1631207,Dalen Terry,0.34,-0.45,0.79,8856,4419,4437
1628969,Mikal Bridges,0.54,-0.24,0.78,32265,16119,16146
1642404,Chaz Lanier,0.43,-0.35,0.78,858,435,423
1642877,Micah Peavy,0.14,-0.64,0.78,3101,1548,1553
1630611,Gui Santos,0.45,-0.32,0.76,7806,3901,3905
1631159,Leonard Miller,0.87,0.12,0.76,1633,820,813
1630578,Alperen Sengun,0.61,-0.14,0.76,25543,12822,12721
204001,Kristaps Porzingis,0.29,-0.45,0.75,13984,7017,6967
1631212,Peyton Watson,0.33,-0.42,0.75,18661,9261,9400
1629057,Robert Williams III,0.67,-0.07,0.74,5141,2566,2575
1631117,Walker Kessler,0.01,-0.72,0.74,13522,6753,6769
1630215,Jared Butler,0.46,-0.27,0.73,6627,3314,3313
1626158,Richaun Holmes,0.51,-0.21,0.72,4358,2187,2171
1630188,Jalen Smith,0.66,-0.06,0.72,12645,6304,6341
1629130,Duncan Robinson,0.47,-0.25,0.71,21884,10993,10891
