player_id,player_name,off,def,net_rapm,possessions,off_poss,def_poss
203507,Giannis Antetokounmpo,2.5,-0.98,3.48,15808,8527,7281
1631096,Chet Holmgren,0.91,-2.37,3.27,6987,3711,3276
1641705,Victor Wembanyama,1.57,-1.19,2.76,5916,3042,2874
1629655,Daniel Gafford,0.76,-1.96,2.72,10589,5200,5389
203497,Rudy Gobert,0.82,-1.9,2.72,16490,8661,7829
1628401,Derrick White,0.88,-1.83,2.7,16831,8128,8703
1629029,Luka Doncic,2.88,0.45,2.43,15663,7248,8415
1626167,Myles Turner,0.93,-1.4,2.32,14319,6998,7321
201572,Brook Lopez,0.69,-1.33,2.02,13331,6902,6429
2544,LeBron James,2.22,0.28,1.94,16206,8523,7683
203110,Draymond Green,0.85,-1.08,1.92,14001,7551,6450
201142,Kevin Durant,1.34,-0.51,1.85,14536,6535,8001
1630596,Evan Mobley,0.81,-1.03,1.85,12625,6462,6163
204001,Kristaps Porzingis,0.6,-1.2,1.81,10197,4901,5296
202681,Kyrie Irving,0.79,-1.0,1.79,11892,5628,6264
1628392,Isaiah Hartenstein,0.46,-1.31,1.78,10202,5268,4934
1628378,Donovan Mitchell,1.11,-0.65,1.76,15602,7916,7686
1630532,Franz Wagner,0.72,-0.95,1.67,13121,7095,6026
1630183,Jaden McDaniels,0.25,-1.34,1.59,16199,8307,7892
203999,Nikola Jokic,2.16,0.68,1.48,20063,10595,9468
203076,Anthony Davis,1.02,-0.46,1.48,13086,6825,6261
1628983,Shai Gilgeous-Alexander,0.47,-0.97,1.43,16697,8671,8026
1628991,Jaren Jackson Jr.,-0.55,-1.98,1.43,12790,6427,6363
1628386,Jarrett Allen,1.02,-0.4,1.42,14635,7257,7378
1626164,Devin Booker,0.97,-0.37,1.34,15894,7104,8790
1631117,Walker Kessler,0.31,-1.02,1.33,6171,3122,3049
1627759,Jaylen Brown,0.46,-0.85,1.31,17999,9037,8962
1630559,Austin Reaves,1.37,0.08,1.29,12850,6564,6286
101108,Chris Paul,0.99,-0.27,1.26,12229,5499,6730
201950,Jrue Holiday,0.8,-0.43,1.23,15437,8000,7437
1630567,Scottie Barnes,0.62,-0.56,1.18,14077,7205,6872
202695,Kawhi Leonard,0.92,-0.25,1.18,9688,4558,5130
1628369,Jayson Tatum,0.5,-0.67,1.17,18448,9192,9256
203954,Joel Embiid,0.79,-0.38,1.16,11231,5424,5807
1630191,Isaiah Stewart,-0.64,-1.8,1.16,10674,5489,5185
1641717,Cason Wallace,0.04,-1.09,1.13,6793,3470,3323
1628436,Luke Kornet,0.13,-0.99,1.12,5567,2850,2717
1628969,Mikal Bridges,1.16,0.05,1.11,19779,9318,10461
1631114,Jalen Williams,-0.01,-1.12,1.11,10790,5688,5102
1641709,Ausar Thompson,0.16,-0.92,1.08,5619,3104,2515
203114,Khris Middleton,0.35,-0.72,1.07,11057,5696,5361
