player_id,player_name,off,def,net_rapm,possessions,off_poss,def_poss
1629627,Zion Williamson,7.84,0.05,7.78,29145,14581,14564
203507,Giannis Antetokounmpo,5.09,-1.72,6.81,51170,25147,26023
203497,Rudy Gobert,1.02,-4.98,6.0,55859,27443,28416
203999,Nikola Jokic,2.61,-3.14,5.74,63022,31503,31519
1642270,Donovan Clingan,1.18,-3.73,4.9,12916,6526,6390
203110,Draymond Green,1.1,-3.76,4.86,45936,22914,23022
1629021,Moritz Wagner,3.18,-1.48,4.66,19103,9522,9581
1641705,Victor Wembanyama,1.28,-2.98,4.26,20909,10297,10612
203083,Andre Drummond,2.74,-1.51,4.25,25382,12907,12475
2544,LeBron James,3.17,-0.64,3.82,50104,24522,25582
1629628,RJ Barrett,3.51,-0.24,3.75,48915,24466,24449
1629650,Moses Brown,1.66,-1.98,3.63,7063,3492,3571
1642852,Derik Queen,3.73,0.19,3.54,7519,3671,3848
1630529,Herbert Jones,2.36,-1.1,3.45,33108,16682,16426
1630532,Franz Wagner,3.18,-0.14,3.32,38595,19454,19141
203500,Steven Adams,0.78,-2.53,3.31,24675,12552,12123
1641709,Ausar Thompson,3.32,0.03,3.3,18016,9101,8915
201599,DeAndre Jordan,0.8,-2.49,3.29,14174,6901,7273
1642847,Jeremiah Fears,2.82,-0.45,3.27,7909,3961,3948
203994,Jusuf Nurkic,0.66,-2.62,3.27,30604,15216,15388
1626157,Karl-Anthony Towns,2.0,-1.18,3.18,49235,24791,24444
1631096,Chet Holmgren,0.87,-2.23,3.1,23435,11732,11703
1631109,Mark Williams,1.0,-2.11,3.1,15196,7522,7674
201566,Russell Westbrook,3.68,0.59,3.08,50337,24857,25480
1626149,Montrezl Harrell,2.37,-0.69,3.06,14159,7009,7150
1631105,Jalen Duren,3.0,-0.03,3.03,28000,14070,13930
1630595,Cade Cunningham,2.78,-0.16,2.94,34447,17428,17019
203076,Anthony Davis,1.11,-1.7,2.81,38741,18948,19793
1629637,Jaxson Hayes,1.42,-1.37,2.79,22548,11135,11413
201580,JaVale McGee,2.04,-0.74,2.78,9942,5013,4929
202685,Jonas Valanciunas,-0.73,-3.47,2.74,39143,19672,19471
1629659,Talen Horton-Tucker,2.46,-0.25,2.72,21898,10810,11088
1626195,Willy Hernangomez,2.51,-0.2,2.72,7868,3971,3897
1628372,Dennis Smith Jr.,2.0,-0.66,2.67,12665,6350,6315
203482,Kelly Olynyk,2.69,0.02,2.67,28389,14064,14325
1630228,Jonathan Kuminga,2.26,-0.41,2.67,25260,12556,12704
1628963,Marvin Bagley III,1.29,-1.36,2.65,21871,10939,10932
203991,Clint Capela,0.79,-1.82,2.61,39489,19914,19575
1642349,Ajay Mitchell,0.76,-1.85,2.61,7711,3944,3767
1630596,Evan Mobley,0.64,-1.95,2.6,42204,21018,21186
1629674,Neemias Queta,-0.14,-2.71,2.57,12040,6103,5937
1628436,Luke Kornet,-0.54,-3.05,2.51,20181,10136,10045
1630256,Jae'Sean Tate,1.74,-0.76,2.49,24887,12482,12405
1628962,Udoka Azubuike,0.3,-2.17,2.48,2702,1296,1406
1627936,Alex Caruso,0.9,-1.56,2.45,31354,15906,15448
1627734,Domantas Sabonis,1.52,-0.92,2.44,48440,24431,24009
1626246,Boban Marjanovic,0.52,-1.91,2.43,2645,1335,1310
201572,Brook Lopez,-0.45,-2.88,2.43,47293,23176,24117
1627826,Ivica Zubac,-2.08,-4.51,2.43,44653,22114,22539
1628981,Bruno Fernando,1.08,-1.34,2.42,5831,2918,2913
202326,DeMarcus Cousins,1.4,-1.01,2.41,5498,2778,2720
1629630,Ja Morant,3.24,0.83,2.4,34562,17516,17046
1642274,Yves Missi,1.46,-0.95,2.4,12241,6187,6054
201949,James Johnson,1.87,-0.47,2.35,9125,4557,4568
1641739,Toumani Camara,1.71,-0.64,2.35,25833,13067,12766
203935,Marcus Smart,0.7,-1.62,2.32,38061,19054,19007
1630227,Daishen Nix,2.17,-0.13,2.3,4501,2286,2215
1630549,Day'Ron Sharpe,1.89,-0.41,2.3,14213,7256,6957
1628392,Isaiah Hartenstein,0.11,-2.17,2.28,33541,17008,16533
1629655,Daniel Gafford,1.41,-0.84,2.25,32481,15918,16563
1629057,Robert Williams III,0.82,-1.42,2.24,21501,10714,10787
1630570,Trendon Watford,1.72,-0.51,2.22,16790,8334,8456
1630578,Alperen Sengun,1.5,-0.7,2.2,39489,19965,19524
1629647,Darius Bazley,2.89,0.71,2.18,16335,8005,8330
203901,Elfrid Payton,1.81,-0.36,2.18,9415,4716,4699
1642844,Dylan Harper,1.29,-0.82,2.11,5730,2884,2846
1630166,Deni Avdija,2.29,0.19,2.1,44057,21819,22238
1630197,Aleksej Pokusevski,1.49,-0.59,2.08,12753,6302,6451
1630678,Terry Taylor,1.27,-0.78,2.05,4324,2218,2106
1630233,Nathan Knight,1.56,-0.48,2.04,3069,1529,1540
1631128,Christian Braun,2.61,0.6,2.01,28967,14274,14693
1631159,Leonard Miller,1.46,-0.55,2.01,2934,1461,1473
1629117,Wenyen Gabriel,0.85,-1.16,2.01,6483,3201,3282
1630598,Aaron Wiggins,1.8,-0.2,2.0,26953,13471,13482
1627761,DeAndre' Bembry,1.74,-0.26,2.0,7309,3604,3705
1628970,Miles Bridges,1.4,-0.6,2.0,43571,21761,21810
202683,Enes Kanter,-0.07,-2.04,1.96,8342,4212,4130
1630534,Ochai Agbaji,1.39,-0.57,1.96,20677,10250,10427
1631106,Tari Eason,2.32,0.37,1.95,19638,10001,9637
1630543,Isaiah Jackson,2.19,0.24,1.94,12959,6490,6469
1631117,Walker Kessler,-0.14,-2.06,1.92,18915,9170,9745
1627759,Jaylen Brown,1.65,-0.24,1.89,59956,29798,30158
1642877,Micah Peavy,1.23,-0.65,1.88,3255,1649,1606
1627863,Danuel House Jr.,0.87,-1.0,1.87,11266,5570,5696
203954,Joel Embiid,-0.49,-2.36,1.87,37365,18193,19172
1628021,David Nwaba,2.46,0.67,1.79,4740,2344,2396
1630184,Kira Lewis Jr.,1.85,0.07,1.79,6431,3241,3190
1642264,Stephon Castle,0.97,-0.8,1.77,15973,7864,8109
1631170,Jaime Jaquez Jr.,0.95,-0.8,1.74,21269,10512,10757
1641824,Matas Buzelis,1.74,-0.0,1.74,14382,7019,7363
1642450,Daniss Jenkins,2.05,0.34,1.7,5146,2657,2489
1628976,Wendell Carter Jr.,0.16,-1.54,1.7,38160,19044,19116
201939,Stephen Curry,2.34,0.65,1.69,51701,26024,25677
1626167,Myles Turner,0.21,-1.44,1.65,43829,21718,22111
1630215,Jared Butler,1.68,0.07,1.61,7647,3814,3833
1630700,Dyson Daniels,1.09,-0.52,1.61,27957,14089,13868
1630561,David Duke Jr.,1.59,-0.01,1.6,2422,1234,1188
1641737,Adem Bona,1.1,-0.48,1.58,7826,3914,3912
1630552,Jalen Johnson,1.94,0.37,1.57,26343,13210,13133
1631200,Kris Murray,2.41,0.84,1.57,13535,6884,6651
1641744,Zach Edey,-1.08,-2.63,1.55,7002,3525,3477
1641726,Dereck Lively II,-0.31,-1.82,1.51,10039,5003,5036
1630639,AJ Lawson,1.49,-0.02,1.51,4297,2175,2122
1642358,AJ Johnson,1.24,-0.27,1.51,3879,1928,1951
1630171,Isaac Okoro,1.25,-0.25,1.5,39233,19384,19849
1631121,Bryce McGowens,2.25,0.76,1.48,9520,4673,4847
1629675,Naz Reid,1.51,0.04,1.47,39389,19908,19481
1630647,Eugene Omoruyi,1.16,-0.3,1.47,3800,1921,1879
1642269,Devin Carter,1.4,-0.04,1.45,3870,1988,1882
1630535,Greg Brown III,0.88,-0.57,1.45,2723,1344,1379
1642276,Kel'el Ware,-0.1,-1.53,1.44,12133,5943,6190
1630625,Dalano Banton,1.81,0.37,1.44,11691,5943,5748
1641842,Ronald Holland II,1.57,0.13,1.44,10072,5099,4973
1627751,Jakob Poeltl,1.28,-0.15,1.43,36779,18669,18110
1628977,Hamidou Diallo,1.92,0.5,1.42,12634,6303,6331
1626174,Christian Wood,1.2,-0.21,1.41,21562,10449,11113
1629622,Max Strus,-0.11,-1.49,1.38,35836,18011,17825
1630191,Isaiah Stewart,-0.21,-1.58,1.37,32338,16132,16206
1630194,Paul Reed,1.8,0.43,1.37,16218,8399,7819
1630231,Kenyon Martin Jr.,2.78,1.47,1.32,24443,12183,12260
1628365,Markelle Fultz,1.29,-0.02,1.31,12957,6518,6439
1630314,Brandon Williams,2.58,1.27,1.31,10123,5030,5093
1626161,Willie Cauley-Stein,-0.12,-1.43,1.31,4131,2079,2052
1629652,Luguentz Dort,0.63,-0.65,1.27,47149,23743,23406
1628449,Chris Boucher,0.65,-0.62,1.27,23385,12089,11296
1630545,Terrence Shannon Jr.,1.42,0.16,1.26,3291,1646,1645
203382,Aron Baynes,0.01,-1.24,1.25,3571,1829,1742
202355,Hassan Whiteside,0.16,-1.08,1.25,6563,3264,3299
1641796,Pelle Larsson,0.9,-0.34,1.24,10152,5055,5097
1629667,Jalen McDaniels,1.1,-0.13,1.23,16064,8030,8034
1631131,Oscar Tshiebwe,0.03,-1.2,1.23,2719,1399,1320
1628367,Josh Jackson,1.99,0.76,1.23,8528,4220,4308
1630200,Tre Jones,1.91,0.69,1.22,30875,15360,15515
203469,Cody Zeller,0.58,-0.59,1.16,7567,3835,3732
1629677,Luka Samanic,0.77,-0.38,1.16,3257,1584,1673
1631207,Dalen Terry,1.19,0.03,1.15,9055,4585,4470
203486,Mason Plumlee,-0.39,-1.51,1.12,28084,14026,14058
1642864,Hugo González,0.36,-0.75,1.12,3955,2031,1924
1641750,Ryan Kalkbrenner,-0.54,-1.65,1.11,5472,2709,2763
1630217,Desmond Bane,0.36,-0.74,1.1,48383,24559,23824
1629645,Kevin Porter Jr.,0.08,-1.02,1.1,28147,13860,14287
1627789,Timothe Luwawu-Cabarrot,0.06,-1.03,1.08,6549,3285,3264
1628997,Caleb Martin,0.25,-0.81,1.06,32406,16133,16273
1642273,Kyshawn George,-0.34,-1.4,1.06,12008,5936,6072
1630167,Obi Toppin,2.1,1.05,1.05,28102,14138,13964
1628404,Josh Hart,1.45,0.4,1.05,52697,26575,26122
203496,Robert Covington,0.15,-0.89,1.04,20607,10374,10233
1641757,Jordan Miller,1.45,0.41,1.04,6182,2971,3211
1628998,Cody Martin,0.76,-0.28,1.04,17765,8895,8870
1641989,Elijah Harkless,0.61,-0.4,1.01,2507,1277,1230
1642268,Isaiah Collier,0.57,-0.43,1.0,12363,6083,6280
202699,Tobias Harris,0.46,-0.55,1.0,54347,27206,27141
1630173,Precious Achiuwa,1.26,0.25,1.0,30817,15605,15212
1628378,Donovan Mitchell,0.08,-0.92,0.99,52707,26422,26285
1630547,James Bouknight,1.19,0.2,0.99,3308,1632,1676
203078,Bradley Beal,1.0,0.0,0.99,33488,16466,17022
1630559,Austin Reaves,0.77,-0.2,0.97,40812,19809,21003
1628385,Harry Giles III,-0.2,-1.17,0.97,1705,855,850
1641783,Tristan da Silva,0.22,-0.75,0.97,12465,6303,6162
1642265,Rob Dillingham,1.72,0.75,0.97,5521,2740,2781
1642277,Johnny Furphy,0.97,0.01,0.96,3715,1870,1845
201569,Eric Gordon,1.72,0.77,0.95,27157,13290,13867
1630526,Jeremiah Robinson-Earl,0.91,-0.04,0.95,14422,7212,7210
1628964,Mo Bamba,-1.14,-2.08,0.94,16536,8220,8316
1628371,Jonathan Isaac,0.5,-0.43,0.94,10035,5159,4876
1628389,Bam Adebayo,-1.31,-2.24,0.93,56500,28370,28130
203932,Aaron Gordon,1.44,0.52,0.92,46278,23098,23180
203487,Michael Carter-Williams,0.21,-0.71,0.92,3104,1578,1526
1628991,Jaren Jackson Jr.,-0.6,-1.51,0.91,40727,20542,20185
1628971,Bruce Brown,1.14,0.22,0.91,40954,20200,20754
1642905,Yang Hansen,0.25,-0.66,0.9,1099,534,565
1629658,Jaylen Hoard,1.54,0.63,0.9,2079,1022,1057
1641710,Anthony Black,2.1,1.2,0.9,17725,8898,8827
1626181,Norman Powell,1.9,1.0,0.9,42565,21250,21315
1629162,Jordan McLaughlin,0.54,-0.36,0.9,14051,7113,6938
1628381,John Collins,0.4,-0.5,0.9,42469,21048,21421
1629730,Rayjon Tucker,0.62,-0.25,0.88,551,281,270
1630581,Josh Giddey,2.27,1.4,0.87,38204,19003,19201
1628380,Zach Collins,-1.11,-1.98,0.87,17559,8731,8828
1629610,DaQuan Jeffries,-0.14,-1.0,0.85,6271,3107,3164
1642949,Yanic Konan Niederhäuser,0.62,-0.22,0.84,1477,711,766
1642258,Zaccharie Risacher,1.33,0.48,0.84,12697,6434,6263
1630528,Josh Christopher,2.45,1.61,0.84,7969,3964,4005
1629640,Keldon Johnson,1.94,1.1,0.83,46063,23116,22947
1642874,Danny Wolf,1.55,0.74,0.82,4122,2057,2065
1629308,Juan Toscano-Anderson,0.28,-0.54,0.82,10498,5186,5312
1628384,OG Anunoby,0.83,0.0,0.82,48554,24863,23691
1627780,Gary Payton II,1.42,0.61,0.81,18182,9098,9084
1642883,Sion James,-0.18,-0.99,0.81,6490,3206,3284
1629683,Quinndary Weatherspoon,0.88,0.07,0.81,673,332,341
1641708,Amen Thompson,1.08,0.26,0.81,25127,12802,12325
1629130,Duncan Robinson,-0.35,-1.15,0.8,40885,20633,20252
201588,George Hill,-0.25,-1.05,0.8,11162,5530,5632
1630696,Dru Smith,0.91,0.12,0.79,6420,3184,3236
