player_id,player_name,off,def,net_rapm,possessions,off_poss,def_poss
203999,Nikola Jokic,5.23,-2.85,8.08,34938,17517,17421
1641705,Victor Wembanyama,1.89,-4.87,6.76,22877,11453,11424
1628983,Shai Gilgeous-Alexander,5.05,-1.27,6.32,35600,17828,17772
203507,Giannis Antetokounmpo,4.86,-1.32,6.18,25078,12548,12530
1630532,Franz Wagner,2.46,-3.59,6.05,23290,11657,11633
1628378,Donovan Mitchell,3.34,-1.8,5.14,29819,14936,14883
203497,Rudy Gobert,0.02,-4.99,5.0,32902,16428,16474
1628371,Jonathan Isaac,1.31,-3.43,4.74,10773,5370,5403
1628401,Derrick White,2.19,-2.28,4.47,34265,17138,17127
1631217,Moussa Diabate,3.31,-1.15,4.46,12557,6253,6304
1628436,Luke Kornet,1.22,-3.12,4.34,16129,8055,8074
1629674,Neemias Queta,1.72,-2.31,4.03,12154,6067,6087
1642270,Donovan Clingan,0.88,-2.95,3.83,14144,7069,7075
1628389,Bam Adebayo,0.26,-3.53,3.79,31297,15659,15638
1628374,Lauri Markkanen,2.38,-1.4,3.78,19429,9721,9708
1641726,Dereck Lively II,0.69,-2.88,3.57,10971,5481,5490
1641709,Ausar Thompson,0.64,-2.81,3.45,20177,10023,10154
1627936,Alex Caruso,0.02,-3.36,3.38,18807,9400,9407
201567,Kevin Love,3.02,-0.3,3.32,7429,3717,3712
1631096,Chet Holmgren,-0.34,-3.44,3.09,25889,12952,12937
202695,Kawhi Leonard,2.22,-0.85,3.06,23479,11736,11743
1628392,Isaiah Hartenstein,0.42,-2.63,3.05,22272,11146,11126
1642349,Ajay Mitchell,-0.41,-3.41,3.0,8760,4399,4361
1629029,Luka Doncic,2.97,-0.01,2.98,31539,15791,15748
1627832,Fred VanVleet,0.77,-2.2,2.96,20329,10184,10145
1630529,Herbert Jones,0.36,-2.42,2.78,19084,9543,9541
1630540,Miles McBride,1.76,-0.93,2.7,18356,9149,9207
1641708,Amen Thompson,1.64,-1.05,2.68,27140,13549,13591
203110,Draymond Green,-1.24,-3.89,2.65,23502,11746,11756
203076,Anthony Davis,0.46,-2.19,2.65,21515,10768,10747
1630163,LaMelo Ball,3.29,0.75,2.55,17481,8778,8703
1630567,Scottie Barnes,0.88,-1.67,2.55,28192,14102,14090
1626172,Kevon Looney,1.57,-0.98,2.55,11130,5538,5592
202699,Tobias Harris,1.21,-1.32,2.53,27856,13952,13904
1628368,De'Aaron Fox,1.96,-0.55,2.5,29286,14680,14606
203500,Steven Adams,0.32,-2.13,2.44,6705,3374,3331
1630578,Alperen Sengun,1.76,-0.67,2.43,28254,14184,14070
1630188,Jalen Smith,1.6,-0.82,2.42,13152,6562,6590
203994,Jusuf Nurkic,-1.1,-3.49,2.39,18016,9007,9009
1631243,Mouhamed Gueye,-0.1,-2.46,2.36,7333,3645,3688
202710,Jimmy Butler,1.91,-0.44,2.35,21376,10690,10686
203991,Clint Capela,-0.92,-3.2,2.28,16379,8183,8196
1641739,Toumani Camara,-0.22,-2.48,2.26,28684,14329,14355
1629731,Dean Wade,0.86,-1.39,2.25,15768,7843,7925
2544,LeBron James,1.91,-0.32,2.23,29516,14754,14762
1630595,Cade Cunningham,0.51,-1.71,2.22,28470,14236,14234
1629001,De'Anthony Melton,0.9,-1.29,2.19,9442,4726,4716
1628384,OG Anunoby,-0.01,-2.19,2.19,30890,15444,15446
1630241,Sam Merrill,2.07,-0.07,2.14,16672,8368,8304
1627734,Domantas Sabonis,0.56,-1.53,2.1,24164,12099,12065
1630549,Day'Ron Sharpe,0.57,-1.53,2.1,11779,5889,5890
1628973,Jalen Brunson,2.74,0.66,2.09,34600,17351,17249
1626158,Richaun Holmes,1.24,-0.84,2.08,4374,2191,2183
1641717,Cason Wallace,-0.14,-2.2,2.06,25872,12886,12986
1630572,Sandro Mamukelashvili,1.42,-0.63,2.05,11789,5907,5882
1630169,Tyrese Haliburton,3.6,1.56,2.05,24338,12210,12128
1642883,Sion James,0.57,-1.47,2.04,7230,3579,3651
1642864,Hugo González,1.36,-0.69,2.04,4194,2086,2108
203954,Joel Embiid,0.63,-1.42,2.04,13403,6710,6693
1627826,Ivica Zubac,-1.68,-3.69,2.01,25121,12577,12544
1630573,Sam Hauser,2.93,0.92,2.01,21874,10965,10909
1641783,Tristan da Silva,1.05,-0.93,1.99,14065,7035,7030
1629655,Daniel Gafford,0.53,-1.43,1.97,19530,9754,9776
1630692,Jordan Goodwin,1.03,-0.93,1.96,12718,6345,6373
1626164,Devin Booker,2.09,0.17,1.92,30795,15426,15369
203939,Dwight Powell,-0.11,-2.0,1.88,9627,4817,4810
1631165,Keon Ellis,1.05,-0.81,1.87,17631,8804,8827
1629661,Cameron Johnson,1.31,-0.55,1.86,20459,10258,10201
203935,Marcus Smart,0.03,-1.8,1.83,12422,6209,6213
1629048,Goga Bitadze,1.48,-0.32,1.81,13756,6871,6885
1628995,Kevin Knox II,1.85,0.07,1.78,2828,1410,1418
1641750,Ryan Kalkbrenner,0.26,-1.51,1.78,6098,3067,3031
1642066,Myron Gardner,1.07,-0.7,1.77,1760,879,881
1630228,Jonathan Kuminga,0.35,-1.42,1.77,16858,8394,8464
1641740,Jaylen Clark,0.89,-0.87,1.76,5589,2769,2820
1642851,Kon Knueppel,1.01,-0.72,1.73,10223,5121,5102
201939,Stephen Curry,3.73,2.02,1.71,25981,13046,12935
201572,Brook Lopez,-0.63,-2.34,1.71,27957,13996,13961
1627739,Kris Dunn,-0.27,-1.96,1.69,21792,10875,10917
201935,James Harden,2.94,1.29,1.65,32693,16365,16328
1629111,Jock Landale,1.16,-0.48,1.64,11428,5712,5716
1630611,Gui Santos,0.91,-0.71,1.63,9667,4837,4830
1628386,Jarrett Allen,0.02,-1.61,1.63,27550,13763,13787
1630568,Luka Garza,1.66,0.06,1.6,5968,2990,2978
1626157,Karl-Anthony Towns,2.06,0.47,1.59,32070,16088,15982
1642844,Dylan Harper,0.77,-0.8,1.57,6320,3161,3159
1630559,Austin Reaves,1.78,0.21,1.56,29588,14781,14807
1628369,Jayson Tatum,1.92,0.35,1.56,27220,13630,13590
1630696,Dru Smith,-1.08,-2.62,1.54,6489,3227,3262
202331,Paul George,-0.84,-2.36,1.52,20842,10432,10410
1631342,Daeqwon Plowden,0.0,-1.45,1.45,3738,1870,1868
1642857,Kasparas Jakučionis,0.97,-0.47,1.44,4089,2043,2046
1628449,Chris Boucher,2.83,1.42,1.41,6619,3300,3319
1642867,Collin Murray-Boyles,-0.32,-1.72,1.4,4987,2483,2504
1630193,Immanuel Quickley,1.22,-0.14,1.36,20826,10414,10412
1641764,Brandin Podziemski,0.43,-0.92,1.35,25711,12863,12848
203932,Aaron Gordon,1.38,0.06,1.32,22752,11375,11377
202681,Kyrie Irving,2.31,0.99,1.32,19143,9605,9538
1630217,Desmond Bane,1.56,0.25,1.31,27134,13595,13539
204001,Kristaps Porzingis,-0.0,-1.3,1.3,16517,8288,8229
1641989,Elijah Harkless,0.92,-0.37,1.29,2853,1433,1420
1631095,Jabari Smith Jr.,0.82,-0.45,1.28,27830,13900,13930
201950,Jrue Holiday,0.26,-1.0,1.26,26942,13474,13468
1627783,Pascal Siakam,1.21,-0.04,1.25,34953,17494,17459
1642377,Jaylen Wells,1.13,-0.12,1.25,16201,8097,8104
1627751,Jakob Poeltl,-1.5,-2.76,1.25,17022,8497,8525
1630700,Dyson Daniels,-0.24,-1.48,1.24,26981,13455,13526
1642347,Jamal Shead,0.25,-0.98,1.23,13452,6732,6720
1642877,Micah Peavy,0.37,-0.86,1.23,3592,1795,1797
1631128,Christian Braun,0.45,-0.77,1.22,25997,12975,13022
1630166,Deni Avdija,1.49,0.29,1.2,27675,13824,13851
1630202,Payton Pritchard,1.92,0.71,1.2,28246,14150,14096
1628991,Jaren Jackson Jr.,-0.93,-2.11,1.19,24647,12333,12314
202685,Jonas Valanciunas,0.49,-0.69,1.17,17739,8871,8868
1626167,Myles Turner,-0.54,-1.71,1.17,30334,15196,15138
1631245,Quenton Jackson,-0.26,-1.42,1.16,5329,2667,2662
1642856,Egor Dëmin,0.6,-0.56,1.16,5270,2645,2625
203992,Bogdan Bogdanovic,0.61,-0.54,1.15,17481,8766,8715
1629622,Max Strus,0.91,-0.21,1.12,18615,9312,9303
1630168,Onyeka Okongwu,0.13,-0.96,1.09,24282,12158,12124
1642450,Daniss Jenkins,-0.44,-1.52,1.07,5945,2980,2965
1641706,Brandon Miller,0.58,-0.47,1.05,21169,10594,10575
1629026,Kenrich Williams,-0.04,-1.06,1.02,12839,6389,6450
1642928,Dylan Cardwell,-0.84,-1.86,1.02,3558,1781,1777
1642352,Keshad Johnson,0.3,-0.71,1.01,1664,832,832
1629638,Nickeil Alexander-Walker,0.03,-0.97,1.0,29497,14726,14771
1626181,Norman Powell,1.11,0.12,0.99,24998,12520,12478
1630530,Trey Murphy III,0.21,-0.76,0.97,24863,12472,12391
1630215,Jared Butler,-0.39,-1.36,0.97,6866,3443,3423
1628960,Grayson Allen,2.45,1.49,0.96,22423,11253,11170
1627780,Gary Payton II,0.49,-0.47,0.96,12028,5923,6105
1630577,Julian Champagnie,-0.07,-1.03,0.95,23713,11871,11842
1628470,Torrey Craig,1.03,0.09,0.94,5442,2691,2751
1630200,Tre Jones,1.23,0.29,0.94,19974,9997,9977
1641744,Zach Edey,-0.26,-1.2,0.94,7556,3773,3783
1628464,Daniel Theis,0.94,0.04,0.91,6635,3325,3310
1642269,Devin Carter,0.85,-0.05,0.9,4433,2219,2214
1631116,Patrick Baldwin Jr.,-0.56,-1.45,0.89,2945,1476,1469
1642346,Ryan Dunn,0.46,-0.43,0.89,10896,5378,5518
1630167,Obi Toppin,2.77,1.89,0.88,18444,9215,9229
203081,Damian Lillard,2.02,1.14,0.88,20219,10123,10096
1641772,Nae'Qwan Tomlin,0.0,-0.87,0.87,4426,2204,2222
1631246,Vince Williams Jr.,0.25,-0.62,0.87,11389,5692,5697
1630162,Anthony Edwards,1.63,0.77,0.86,35907,17954,17953
203957,Dante Exum,0.28,-0.56,0.84,6506,3245,3261
1627863,Danuel House Jr.,0.56,-0.28,0.83,2068,1036,1032
1627827,Dorian Finney-Smith,0.01,-0.81,0.82,17750,8860,8890
201988,Patty Mills,0.52,-0.29,0.81,3185,1595,1590
1642484,RayJ Dennis,1.29,0.49,0.81,1157,581,576
1630679,Ethan Thompson,0.25,-0.55,0.8,2567,1289,1278
1630205,Lamar Stevens,-0.05,-0.85,0.8,2889,1439,1450
1630591,Jalen Suggs,-1.86,-2.66,0.8,19714,9857,9857
1630596,Evan Mobley,-1.01,-1.81,0.79,26762,13379,13383
1629006,Josh Okogie,0.72,-0.07,0.78,11594,5752,5842
203469,Cody Zeller,0.31,-0.45,0.76,1329,666,663
1629660,Ty Jerome,2.12,1.37,0.75,7932,3972,3960
1628963,Marvin Bagley III,0.69,-0.05,0.74,10805,5418,5387
1629634,Brandon Clarke,0.4,-0.34,0.73,5764,2874,2890
1626156,D'Angelo Russell,0.99,0.27,0.72,19313,9688,9625
1630227,Daishen Nix,0.68,-0.04,0.72,274,138,136
1629023,P.J. Washington,-0.09,-0.81,0.72,26894,13424,13470
1628998,Cody Martin,-0.0,-0.71,0.71,7987,3970,4017
1631106,Tari Eason,0.73,0.05,0.68,14292,7105,7187
1631117,Walker Kessler,-0.51,-1.17,0.66,13567,6768,6799
1630204,Ashton Hagans,0.5,-0.15,0.65,1215,612,603
1641737,Adem Bona,-0.78,-1.42,0.64,8729,4367,4362
1631173,Terquavion Smith,0.48,-0.15,0.64,380,191,189
203903,Jordan Clarkson,0.92,0.28,0.64,15703,7836,7867
1642853,Rasheer Fleming,0.55,-0.07,0.63,2616,1301,1315
1641809,Drew Peterson,0.38,-0.25,0.63,1067,533,534
1642845,VJ Edgecombe,0.72,0.08,0.63,10706,5355,5351
202722,Davis Bertans,0.5,-0.12,0.62,2656,1330,1326
1629627,Zion Williamson,2.44,1.83,0.62,20264,10184,10080
1628404,Josh Hart,0.64,0.01,0.62,34547,17266,17281
1642949,Yanic Konan Niederhäuser,0.44,-0.17,0.61,1672,834,838
1631262,Jules Bernard,0.27,-0.35,0.61,626,317,309
1642950,Lachlan Olbrich,0.41,-0.19,0.6,1391,694,697
1631222,Jake LaRavia,1.44,0.85,0.59,16975,8467,8508
1629632,Coby White,2.02,1.44,0.58,26868,13440,13428
203083,Andre Drummond,-0.11,-0.67,0.57,13293,6612,6681
1642357,David Jones Garcia,0.18,-0.38,0.56,293,149,144
1631207,Dalen Terry,-0.59,-1.15,0.56,9215,4601,4614
1642364,Jamir Watkins,-0.48,-1.03,0.55,4299,2142,2157
1642024,Alex Reese,0.13,-0.41,0.54,900,450,450
203486,Mason Plumlee,-0.33,-0.86,0.53,8897,4456,4441
1628370,Malik Monk,0.89,0.36,0.53,21912,10985,10927
1642345,Oso Ighodaro,-0.52,-1.04,0.52,11303,5633,5670
1642854,Asa Newell,0.62,0.11,0.51,2109,1056,1053
1631099,Keegan Murray,-0.32,-0.81,0.49,24319,12159,12160
1629162,Jordan McLaughlin,-1.8,-2.29,0.49,5000,2502,2498
1628418,Thomas Bryant,-0.05,-0.53,0.48,9203,4598,4605
1631303,Justin Minaya,0.14,-0.34,0.48,1885,940,945
1631105,Jalen Duren,1.5,1.03,0.47,24502,12245,12257
1630175,Cole Anthony,-0.16,-0.63,0.47,14682,7353,7329
203967,Dario Saric,0.99,0.52,0.47,5428,2710,2718
1642863,Khaman Maluach,-0.59,-1.04,0.46,1603,801,802
1641842,Ronald Holland II,-0.29,-0.74,0.45,11492,5726,5766
1629645,Kevin Porter Jr.,-1.01,-1.46,0.45,11840,5922,5918
1628372,Dennis Smith Jr.,-0.3,-0.71,0.41,4162,2064,2098
1642271,Kyle Filipowski,0.39,-0.01,0.4,13775,6888,6887
1627736,Malik Beasley,-0.85,-1.22,0.38,20357,10197,10160
1629013,Landry Shamet,0.35,-0.04,0.38,11046,5522,5524
1630604,E.J. Liddell,0.57,0.21,0.36,1747,869,878
1630240,Saben Lee,0.11,-0.25,0.36,735,369,366
