player_id,player_name,off,def,net_rapm,possessions,off_poss,def_poss
203999,Nikola Jokic,4.76,-2.41,7.17,34938,17517,17421
1641705,Victor Wembanyama,1.67,-4.19,5.86,22877,11453,11424
1628983,Shai Gilgeous-Alexander,4.42,-1.33,5.74,35600,17828,17772
203507,Giannis Antetokounmpo,4.35,-1.16,5.51,25078,12548,12530
1630532,Franz Wagner,2.17,-3.31,5.48,23290,11657,11633
1628378,Donovan Mitchell,2.99,-1.74,4.74,29819,14936,14883
203497,Rudy Gobert,0.0,-4.44,4.44,32902,16428,16474
1628401,Derrick White,2.08,-2.07,4.16,34265,17138,17127
1628371,Jonathan Isaac,1.08,-2.99,4.06,10773,5370,5403
1628436,Luke Kornet,1.19,-2.68,3.87,16129,8055,8074
1631217,Moussa Diabate,2.9,-0.91,3.8,12557,6253,6304
1629674,Neemias Queta,1.56,-1.89,3.45,12154,6067,6087
1642270,Donovan Clingan,0.8,-2.54,3.35,14144,7069,7075
1628389,Bam Adebayo,0.2,-3.06,3.26,31297,15659,15638
1628374,Lauri Markkanen,2.14,-1.1,3.24,19429,9721,9708
1627936,Alex Caruso,0.1,-3.09,3.19,18807,9400,9407
1641709,Ausar Thompson,0.6,-2.51,3.11,20177,10023,10154
1628392,Isaiah Hartenstein,0.51,-2.42,2.93,22272,11146,11126
1641726,Dereck Lively II,0.59,-2.3,2.89,10971,5481,5490
202695,Kawhi Leonard,2.02,-0.84,2.86,23479,11736,11743
1631096,Chet Holmgren,-0.26,-3.11,2.85,25889,12952,12937
1629029,Luka Doncic,2.72,-0.1,2.81,31539,15791,15748
1642349,Ajay Mitchell,-0.39,-3.03,2.64,8760,4399,4361
1627832,Fred VanVleet,0.67,-1.94,2.61,20329,10184,10145
201567,Kevin Love,2.55,-0.07,2.61,7429,3717,3712
1641708,Amen Thompson,1.5,-0.93,2.43,27140,13549,13591
202699,Tobias Harris,1.18,-1.22,2.4,27856,13952,13904
1630540,Miles McBride,1.54,-0.85,2.39,18356,9149,9207
1630529,Herbert Jones,0.31,-2.01,2.33,19084,9543,9541
1628368,De'Aaron Fox,1.77,-0.56,2.33,29286,14680,14606
203110,Draymond Green,-1.03,-3.35,2.32,23502,11746,11756
1630163,LaMelo Ball,2.93,0.64,2.3,17481,8778,8703
203076,Anthony Davis,0.41,-1.82,2.22,21515,10768,10747
202710,Jimmy Butler,1.68,-0.51,2.19,21376,10690,10686
1630567,Scottie Barnes,0.74,-1.45,2.18,28192,14102,14090
1626172,Kevon Looney,1.48,-0.63,2.1,11130,5538,5592
1630578,Alperen Sengun,1.55,-0.52,2.07,28254,14184,14070
1641717,Cason Wallace,-0.07,-2.14,2.07,25872,12886,12986
2544,LeBron James,1.75,-0.32,2.07,29516,14754,14762
1629731,Dean Wade,0.81,-1.25,2.06,15768,7843,7925
1628384,OG Anunoby,0.07,-1.99,2.05,30890,15444,15446
1630573,Sam Hauser,2.79,0.75,2.04,21874,10965,10909
1641739,Toumani Camara,-0.21,-2.22,2.01,28684,14329,14355
