team,alpha,off,def,net_rapm,o_shot_value,o_rim_value,o_rim_freq,o_rim_fg,o_mid_value,o_mid_freq,o_mid_fg,o_three_value,o_three_freq,o_three_fg,o_ft,o_ft_freq,o_ft_severity,o_tov_value,o_sc_clean,oFC,oDISPLAY_SUM,oRESID,o_badpass_tov_value,o_scoring_tov_value,o_tov_loss_split,o_assist_points,o_rim_assist,d_shot_value,d_rim_value,d_rim_freq,d_rim_fg,d_mid_value,d_mid_freq,d_mid_fg,d_three_value,d_three_freq,d_three_fg,d_ft,d_ft_freq,d_ft_severity,d_tov_value,d_sc_clean,dFC,dDISPLAY_SUM,dRESID,d_badpass_tov_value,d_scoring_tov_value,d_tov_loss_split,d_assist_points,d_rim_assist,n_shot_value,n_rim_value,n_rim_freq,n_rim_fg,n_mid_value,n_mid_freq,n_mid_fg,n_three_value,n_three_freq,n_three_fg,n_ft,n_ft_freq,n_ft_severity,n_tov_value,n_sc_clean,nDISPLAY_SUM,RESID,n_badpass_tov_value,n_scoring_tov_value,n_tov_loss_split,n_assist_points,n_rim_assist,possessions,off_poss,def_poss
OKC,25.0,3.356,6.348,9.703,2.15,0.113,0.002,0.111,1.171,-0.091,1.262,0.866,0.013,0.853,0.554,-0.078,0.632,1.829,-0.834,4.534,3.699,-0.344,1.319,0.51,1.829,-0.734,-0.921,3.708,2.399,0.398,2.001,0.7,-0.083,0.783,0.609,-0.014,0.623,0.189,-0.191,0.38,2.427,-0.417,6.324,5.907,0.441,0.505,1.922,2.427,2.779,2.173,5.858,2.512,0.4,2.112,1.872,-0.174,2.045,1.475,-0.001,1.476,0.743,-0.269,1.012,4.257,-1.252,9.606,0.097,1.825,2.432,4.257,2.046,1.252,58152,29072,29080
BOS,25.0,5.681,2.923,8.605,3.002,0.689,-0.532,1.221,0.798,0.616,0.182,1.515,-0.009,1.524,-0.506,-0.92,0.414,1.866,1.31,4.362,5.671,0.01,1.546,0.319,1.866,2.275,-1.389,3.033,2.295,0.219,2.076,0.076,0.136,-0.06,0.662,0.008,0.654,1.064,1.097,-0.033,-1.565,0.38,2.532,2.912,0.012,-0.809,-0.755,-1.565,3.034,1.558,6.034,2.984,-0.313,3.297,0.874,0.752,0.122,2.176,-0.001,2.178,0.558,0.177,0.382,0.301,1.689,8.583,0.022,0.737,-0.436,0.301,5.309,0.169,53777,26901,26876
NYK,25.0,3.505,1.219,4.724,0.909,-0.119,-0.219,0.1,0.18,-0.372,0.553,0.847,0.006,0.841,0.077,-0.193,0.27,0.791,2.185,1.777,3.962,-0.457,0.562,0.229,0.791,0.873,-0.188,-0.392,-0.089,0.166,-0.255,0.425,0.039,0.385,-0.728,-0.003,-0.725,0.07,0.121,-0.051,0.492,0.818,0.17,0.987,0.232,0.123,0.369,0.492,1.884,0.493,0.517,-0.208,-0.052,-0.156,0.605,-0.333,0.938,0.119,0.003,0.116,0.148,-0.072,0.219,1.283,3.002,4.949,-0.225,0.685,0.598,1.283,2.757,0.305,55727,27875,27852
MIN,25.0,0.774,3.762,4.536,1.494,0.489,0.062,0.427,-0.292,0.281,-0.574,1.297,-0.005,1.302,0.162,0.374,-0.212,-0.615,-0.061,1.041,0.98,-0.206,-0.106,-0.508,-0.615,-1.043,0.011,2.519,1.22,-0.005,1.225,0.97,0.287,0.683,0.33,-0.005,0.334,-0.292,-0.177,-0.115,0.595,0.61,2.822,3.432,0.33,0.152,0.443,0.595,4.163,0.903,4.013,1.708,0.057,1.651,0.678,0.569,0.109,1.627,-0.01,1.637,-0.13,0.197,-0.326,-0.02,0.549,4.412,0.124,0.045,-0.065,-0.02,3.119,0.915,55917,27962,27955
CLE,25.0,2.822,1.422,4.244,2.784,0.565,-0.154,0.719,1.31,0.289,1.022,0.909,-0.008,0.917,-0.248,-0.019,-0.229,0.542,-0.052,3.078,3.026,-0.205,0.128,0.414,0.542,2.675,0.416,0.312,0.592,0.226,0.366,0.581,0.288,0.293,-0.861,0.01,-0.871,0.139,0.107,0.032,0.269,0.397,0.72,1.117,0.306,0.351,-0.082,0.269,1.186,0.956,3.096,1.157,0.072,1.085,1.891,0.577,1.314,0.048,0.001,0.046,-0.109,0.088,-0.197,0.811,0.346,4.143,0.101,0.478,0.332,0.811,3.861,1.372,55794,27912,27882
DEN,25.0,4.492,-0.444,4.048,3.77,1.0,0.22,0.78,1.343,-0.184,1.527,1.427,-0.001,1.428,0.146,0.043,0.103,0.549,0.058,4.464,4.522,-0.03,-0.371,0.92,0.549,5.251,2.003,0.866,-0.436,0.06,-0.496,0.775,0.206,0.569,0.527,0.011,0.516,0.229,0.302,-0.074,-1.907,0.433,-0.813,-0.379,-0.065,-0.172,-1.735,-1.907,-2.119,-0.402,4.636,0.564,0.28,0.284,2.118,0.022,2.096,1.954,0.009,1.945,0.374,0.345,0.029,-1.358,0.491,4.143,-0.094,-0.543,-0.815,-1.358,3.132,1.601,53957,26984,26973
HOU,25.0,0.746,2.182,2.929,-1.902,-0.817,0.04,-0.857,-0.827,-0.37,-0.458,-0.258,0.025,-0.283,-0.367,0.402,-0.768,0.467,2.575,-1.802,0.773,-0.027,0.607,-0.14,0.467,-5.628,-1.089,2.866,0.71,-0.043,0.753,0.906,0.137,0.769,1.251,-0.019,1.269,-0.11,-0.236,0.126,-0.321,-0.208,2.435,2.227,-0.045,-0.511,0.189,-0.321,5.531,0.881,0.964,-0.107,-0.003,-0.104,0.078,-0.233,0.311,0.993,0.006,0.986,-0.476,0.166,-0.642,0.146,2.367,3.001,-0.072,0.097,0.049,0.146,-0.096,-0.208,50313,25161,25152
LAC,25.0,1.818,1.061,2.879,2.08,0.228,-0.272,0.5,0.595,-0.489,1.084,1.257,0.006,1.251,1.214,0.233,0.981,-0.561,-1.144,2.733,1.589,0.229,-0.101,-0.46,-0.561,-4.168,-0.663,0.323,-0.2,0.102,-0.302,0.48,0.069,0.412,0.042,-0.002,0.044,0.256,0.288,-0.032,0.329,0.282,0.908,1.19,-0.129,0.497,-0.168,0.329,0.054,0.086,2.403,0.028,-0.171,0.198,1.075,-0.42,1.495,1.3,0.004,1.295,1.47,0.522,0.949,-0.232,-0.862,2.778,0.101,0.396,-0.629,-0.232,-4.114,-0.577,49897,24948,24949
GSW,25.0,0.828,1.191,2.019,0.338,0.281,0.141,0.14,-0.09,0.899,-0.99,0.147,0.001,0.146,-0.336,-0.411,0.075,-0.48,1.229,-0.477,0.752,0.077,-1.198,0.718,-0.48,6.848,1.633,-0.202,0.095,0.11,-0.015,-0.129,0.084,-0.213,-0.168,-0.019,-0.149,0.14,0.234,-0.094,0.715,0.437,0.653,1.09,0.1,0.326,0.389,0.715,-0.424,0.353,0.137,0.376,0.251,0.125,-0.219,0.984,-1.202,-0.021,-0.018,-0.003,-0.196,-0.177,-0.019,0.235,1.666,1.842,0.177,-0.871,1.107,0.235,6.423,1.987,50677,25318,25359
LAL,25.0,1.546,-0.203,1.344,3.712,2.83,0.089,2.741,0.112,-0.082,0.194,0.77,0.002,0.768,0.723,0.894,-0.171,-0.457,-2.326,3.978,1.652,-0.105,-0.968,0.512,-0.457,-0.993,1.858,-0.135,-0.86,0.032,-0.892,0.164,0.098,0.067,0.561,-0.006,0.567,0.614,0.841,-0.227,-0.356,-0.659,0.124,-0.535,0.333,0.38,-0.735,-0.356,-2.458,-0.444,3.577,1.97,0.121,1.849,0.276,0.016,0.261,1.331,-0.004,1.335,1.337,1.735,-0.398,-0.812,-2.985,1.116,0.227,-0.589,-0.224,-0.812,-3.451,1.414,51732,25862,25870
MIA,25.0,-0.723,1.233,0.51,-0.548,-0.436,-0.26,-0.176,-0.545,-0.258,-0.287,0.434,-0.006,0.44,0.203,-0.186,0.389,0.662,-1.178,0.318,-0.861,0.137,0.071,0.592,0.662,2.094,-0.66,0.348,-0.657,0.265,-0.922,0.606,0.159,0.446,0.399,0.0,0.399,0.523,0.706,-0.183,0.113,0.413,0.984,1.397,-0.164,0.234,-0.12,0.113,-0.951,0.055,-0.2,-1.093,0.005,-1.098,0.06,-0.099,0.159,0.833,-0.006,0.839,0.726,0.52,0.206,0.776,-0.765,0.537,-0.027,0.304,0.472,0.776,1.143,-0.605,49986,24989,24997
SAS,25.0,-0.374,0.873,0.499,0.723,0.978,0.171,0.807,-0.006,0.22,-0.226,-0.248,-0.006,-0.242,-0.22,-0.14,-0.08,-0.045,-0.689,0.458,-0.232,-0.142,-0.178,0.133,-0.045,4.287,0.982,1.067,0.629,0.033,0.596,0.216,0.297,-0.081,0.221,0.008,0.213,0.829,0.839,-0.01,-1.058,-0.307,0.837,0.531,0.342,0.05,-1.108,-1.058,-1.13,0.124,1.79,1.607,0.204,1.403,0.21,0.517,-0.307,-0.027,0.002,-0.029,0.609,0.699,-0.09,-1.104,-0.996,0.299,0.2,-0.129,-0.975,-1.104,3.157,1.107,52925,26474,26451
PHX,25.0,1.071,-0.875,0.196,1.441,-0.408,-0.679,0.271,0.98,-0.617,1.597,0.87,-0.022,0.892,0.247,-0.055,0.301,-0.471,-0.343,1.217,0.874,0.197,-0.239,-0.232,-0.471,0.918,-1.503,0.209,0.065,-0.023,0.089,0.265,-0.016,0.282,-0.121,0.003,-0.124,-0.136,0.021,-0.157,-0.387,-0.29,-0.314,-0.604,-0.271,-0.344,-0.043,-0.387,-0.404,-0.017,1.651,-0.343,-0.702,0.36,1.245,-0.634,1.879,0.749,-0.019,0.768,0.11,-0.034,0.144,-0.858,-0.633,0.27,-0.074,-0.583,-0.275,-0.858,0.514,-1.52,49418,24719,24699
ORL,25.0,-3.063,3.122,0.059,-3.241,-0.043,0.294,-0.337,-1.026,0.134,-1.16,-2.171,-0.003,-2.168,0.504,0.682,-0.178,-0.411,0.191,-3.148,-2.957,-0.106,0.124,-0.536,-0.411,-4.85,0.446,0.761,0.248,-0.099,0.347,0.114,0.249,-0.134,0.399,-0.002,0.401,-0.983,-0.639,-0.343,1.738,1.666,1.517,3.183,-0.061,0.182,1.556,1.738,6.681,0.4,-2.479,0.204,0.195,0.01,-0.911,0.383,-1.294,-1.772,-0.005,-1.768,-0.478,0.043,-0.521,1.327,1.857,0.226,-0.167,0.306,1.02,1.327,1.831,0.846,51129,25567,25562
