player_id,player_name,off,def,net_rapm,possessions,off_poss,def_poss
1630567,Scottie Barnes,1.843,-0.974,2.817,26592,13437,13155
1630700,Dyson Daniels,1.214,-1.2,2.414,24807,12548,12259
1628368,De'Aaron Fox,1.789,-0.522,2.311,28153,14206,13947
1630200,Tre Jones,1.635,-0.324,1.958,18220,9000,9220
1630245,Ayo Dosunmu,0.741,-1.175,1.916,21403,10599,10804
1630558,Davion Mitchell,1.182,-0.685,1.867,19529,9803,9726
1641796,Pelle Larsson,1.744,-0.063,1.807,10152,5055,5097
1631114,Jalen Williams,1.859,0.124,1.734,24767,12560,12207
1627832,Fred VanVleet,0.372,-1.333,1.705,18691,9559,9132
1641705,Victor Wembanyama,1.064,-0.612,1.677,22182,10903,11279
1630193,Immanuel Quickley,1.368,-0.286,1.654,18996,9539,9457
1631245,Quenton Jackson,1.23,-0.361,1.591,4722,2340,2382
1630595,Cade Cunningham,1.174,-0.413,1.587,27419,13883,13536
203507,Giannis Antetokounmpo,0.711,-0.795,1.506,22648,11031,11617
1630596,Evan Mobley,0.396,-1.065,1.461,25639,12796,12843
1631128,Christian Braun,0.796,-0.656,1.453,24559,12108,12451
201950,Jrue Holiday,0.759,-0.692,1.451,25668,12773,12895
1629628,RJ Barrett,1.493,0.045,1.448,21223,10620,10603
1642383,Walter Clayton Jr.,0.33,-1.041,1.371,5210,2591,2619
1642847,Jeremiah Fears,1.371,0.037,1.334,8080,4056,4024
1628378,Donovan Mitchell,0.617,-0.679,1.296,28494,14371,14123
1642265,Rob Dillingham,1.291,0.008,1.283,5656,2808,2848
1626181,Norman Powell,1.591,0.31,1.281,22474,11216,11258
1628989,Kevin Huerter,0.952,-0.314,1.267,18085,9076,9009
203999,Nikola Jokic,1.08,-0.184,1.264,32713,16279,16434
1630591,Jalen Suggs,0.777,-0.46,1.237,17916,9075,8841
1627783,Pascal Siakam,0.565,-0.664,1.229,31784,15878,15906
1630529,Herbert Jones,0.914,-0.302,1.216,17085,8577,8508
1628404,Josh Hart,0.548,-0.659,1.207,32790,16653,16137
2544,LeBron James,0.981,-0.209,1.19,28001,13573,14428
1630598,Aaron Wiggins,0.87,-0.32,1.19,18045,9033,9012
1630572,Sandro Mamukelashvili,0.801,-0.364,1.165,10973,5551,5422
1627739,Kris Dunn,1.102,-0.059,1.161,19526,9748,9778
1628983,Shai Gilgeous-Alexander,0.161,-0.995,1.156,33321,17002,16319
1630169,Tyrese Haliburton,0.013,-1.133,1.146,22159,11093,11066
1628415,Dillon Brooks,1.091,-0.044,1.134,24874,12589,12285
1641717,Cason Wallace,0.604,-0.517,1.121,24068,12212,11856
