player_id,player_name,off,def,net_rapm,possessions,off_poss,def_poss
1630567,Scottie Barnes,1.168,-0.742,1.909,26592,13437,13155
2544,LeBron James,1.378,-0.369,1.747,28051,13602,14449
203507,Giannis Antetokounmpo,1.07,-0.624,1.694,22668,11051,11617
1630700,Dyson Daniels,0.872,-0.615,1.487,24807,12548,12259
1642847,Jeremiah Fears,1.558,0.098,1.46,8080,4056,4024
1631128,Christian Braun,1.176,-0.28,1.456,24694,12183,12511
1630595,Cade Cunningham,1.25,-0.17,1.42,27142,13742,13400
1629628,RJ Barrett,1.448,0.04,1.407,21223,10620,10603
1641796,Pelle Larsson,1.142,-0.234,1.376,10152,5055,5097
1631114,Jalen Williams,1.108,-0.256,1.364,24608,12476,12132
1641709,Ausar Thompson,1.129,-0.162,1.291,19370,9778,9592
1642852,Derik Queen,1.43,0.146,1.283,7689,3764,3925
1630200,Tre Jones,1.147,-0.115,1.262,18220,9000,9220
1631245,Quenton Jackson,0.839,-0.37,1.209,4722,2340,2382
1627936,Alex Caruso,0.427,-0.772,1.199,17282,8789,8493
1630529,Herbert Jones,0.669,-0.507,1.176,17085,8577,8508
1630572,Sandro Mamukelashvili,1.068,-0.099,1.167,10973,5551,5422
1641705,Victor Wembanyama,0.551,-0.608,1.16,21858,10754,11104
1630245,Ayo Dosunmu,0.672,-0.476,1.148,21322,10563,10759
1627832,Fred VanVleet,0.15,-0.957,1.107,18691,9559,9132
1642265,Rob Dillingham,1.205,0.11,1.095,5656,2808,2848
1628368,De'Aaron Fox,0.458,-0.637,1.094,28072,14168,13904
1631121,Bryce McGowens,0.713,-0.34,1.052,6649,3284,3365
203110,Draymond Green,0.214,-0.825,1.038,21167,10570,10597
201566,Russell Westbrook,1.698,0.666,1.032,22041,10892,11149
1628378,Donovan Mitchell,0.283,-0.715,0.997,28177,14219,13958
1642383,Walter Clayton Jr.,0.305,-0.597,0.902,5210,2591,2619
1628384,OG Anunoby,0.474,-0.424,0.898,28928,14635,14293
1631230,Dominick Barlow,0.681,-0.169,0.85,9559,4806,4753
1631096,Chet Holmgren,0.565,-0.28,0.845,24343,12192,12151
