player_id,player_name,possessions,off_poss,def_poss,oTS,dTS,net_ts,oSQ,oFT,oCONTEST,dSQ,dFT,dCONTEST,oRESID,dRESID
203999,Nikola Jokic,35373,17767,17606,7.05,-0.25,7.31,1.93,1.04,4.03,-0.84,-0.34,1.05,0.05,-0.12
1641705,Victor Wembanyama,22909,11388,11521,2.22,-4.82,7.04,1.53,0.23,0.16,-0.34,-0.64,-3.68,0.3,-0.16
1628983,Shai Gilgeous-Alexander,35832,18195,17637,4.01,-2.53,6.54,-0.43,1.5,2.79,-0.44,0.54,-2.61,0.15,-0.02
203507,Giannis Antetokounmpo,25231,12460,12771,4.64,-1.79,6.43,3.25,-0.21,1.49,-0.24,-0.11,-1.16,0.11,-0.28
1631096,Chet Holmgren,25959,13017,12942,1.93,-4.22,6.14,0.33,0.11,1.51,-0.93,-0.88,-2.5,-0.02,0.09
202695,Kawhi Leonard,23438,11695,11743,3.5,-1.72,5.22,0.57,0.19,2.52,0.01,-0.47,-1.31,0.22,0.05
203954,Joel Embiid,13524,6738,6786,2.47,-2.25,4.72,-0.17,1.36,1.34,-0.66,-0.29,-1.24,-0.06,-0.06
201142,Kevin Durant,32699,16130,16569,4.85,0.25,4.6,1.23,0.88,2.74,0.36,-0.09,-0.02,0.0,0.0
201939,Stephen Curry,26044,13087,12957,5.64,1.44,4.2,2.64,0.33,2.56,0.46,0.19,0.87,0.11,-0.08
1630169,Tyrese Haliburton,24552,12235,12317,3.33,-0.77,4.09,1.84,-0.03,1.65,0.6,-0.12,-1.23,-0.13,-0.02
1628401,Derrick White,34989,17560,17429,0.8,-2.99,3.8,0.92,-0.01,-0.13,-0.41,-0.29,-2.29,0.02,0.0
1629029,Luka Doncic,31592,15768,15824,3.56,-0.2,3.76,1.13,0.3,2.17,-0.06,-0.22,0.02,-0.04,0.06
203497,Rudy Gobert,32861,16412,16449,-1.38,-5.11,3.73,1.36,-1.04,-1.79,-1.3,-0.81,-2.92,0.09,-0.08
1642907,Cedric Coward,6754,3337,3417,2.29,-1.22,3.51,-0.04,0.75,1.62,-0.29,-0.1,-1.06,-0.04,0.23
203081,Damian Lillard,20401,10042,10359,1.15,-2.33,3.48,0.79,1.03,-0.73,-0.14,-0.14,-2.07,0.06,0.02
1631119,Jaylin Williams,13065,6523,6542,1.04,-2.43,3.47,-0.23,0.34,0.83,-0.73,-0.03,-1.48,0.1,-0.19
1628386,Jarrett Allen,27190,13604,13586,2.34,-0.97,3.31,1.2,-0.14,1.35,0.49,-1.0,-0.35,-0.07,-0.11
1629060,Rui Hachimura,23876,11723,12153,1.75,-1.41,3.16,0.34,0.28,1.37,0.31,-0.51,-1.23,-0.24,0.02
202681,Kyrie Irving,19325,9649,9676,1.67,-1.4,3.07,0.25,0.03,1.46,-0.18,-0.15,-0.97,-0.07,-0.1
1626156,D'Angelo Russell,19133,9450,9683,0.83,-2.12,2.95,0.04,-0.13,0.92,0.13,-0.28,-2.01,-0.0,0.04
1628374,Lauri Markkanen,19658,9813,9845,1.62,-1.28,2.89,0.82,0.44,0.34,-0.3,-0.03,-0.84,0.02,-0.11
