player_id,player_name,Latest_Year,oVPM_TS,oVPM_TOV,oVPM_SC,dVPM_TS,dVPM_TOV,dVPM_SC,off,def,net_rapm,possessions,off_poss,def_poss,oALT_EFG_VALUE,oALT_EFG_BASELINE,oALT_EFG_ATOMS_VALUE,oALT_EFG_RIM,oALT_EFG_RIM_FREQ,oALT_EFG_RIM_FG,oALT_EFG_MID,oALT_EFG_MID_FREQ,oALT_EFG_MID_FG,oALT_EFG_THREE,oALT_EFG_THREE_FREQ,oALT_EFG_THREE_FG,oALT_FT,oALT_FT_FREQ,oALT_FT_SEVERITY,oALT_TOV_VALUE,oSC,oSC_CLEAN,oFC,oDISPLAY_SUM,oRESID,oALT_TOV_LOSS_VALUE,oALT_TOV_VALUE_bp,oALT_TOV_VALUE_sc,oALT_TOV_VALUE_split,oALT_BADPASS_TOV_VALUE,oALT_SCORING_TOV_VALUE,oASSIST_POINTS,oRIM_ASSIST,dALT_EFG_VALUE,dALT_EFG_BASELINE,dALT_EFG_ATOMS_VALUE,dALT_EFG_RIM,dALT_EFG_RIM_FREQ,dALT_EFG_RIM_FG,dALT_EFG_MID,dALT_EFG_MID_FREQ,dALT_EFG_MID_FG,dALT_EFG_THREE,dALT_EFG_THREE_FREQ,dALT_EFG_THREE_FG,dALT_FT,dALT_FT_FREQ,dALT_FT_SEVERITY,dALT_TOV_VALUE,dSC,dSC_CLEAN,dFC,dDISPLAY_SUM,dRESID,dALT_TOV_LOSS_VALUE,dALT_TOV_VALUE_bp,dALT_TOV_VALUE_sc,dALT_TOV_VALUE_split,dALT_BADPASS_TOV_VALUE,dALT_SCORING_TOV_VALUE,dASSIST_POINTS,dRIM_ASSIST,nALT_EFG_VALUE,nALT_EFG_BASELINE,nALT_EFG_ATOMS_VALUE,nALT_EFG_RIM,nALT_EFG_RIM_FREQ,nALT_EFG_RIM_FG,nALT_EFG_MID,nALT_EFG_MID_FREQ,nALT_EFG_MID_FG,nALT_EFG_THREE,nALT_EFG_THREE_FREQ,nALT_EFG_THREE_FG,nALT_FT,nALT_FT_FREQ,nALT_FT_SEVERITY,nALT_TOV_VALUE,nSC,nSC_CLEAN,nDISPLAY_SUM,RESID,nALT_TOV_LOSS_VALUE,nALT_TOV_VALUE_bp,nALT_TOV_VALUE_sc,nALT_TOV_VALUE_split,nALT_BADPASS_TOV_VALUE,nALT_SCORING_TOV_VALUE,nASSIST_POINTS,nRIM_ASSIST
1628983,Shai Gilgeous-Alexander,2026,4.534,2.049,-0.575,1.5939999999999999,0.756,-0.545,6.008,1.8049999999999997,7.813,71427,35749,35678,2.992,-0.148,3.14,0.752,-0.143,0.895,1.586,-0.118,1.704,0.802,0.001,0.801,1.542,0.872,0.67,2.049,-0.575,-0.575,6.583,6.008,0.0,2.049,1.174,0.875,2.049,1.174,0.875,-2.847,-0.89,1.936,0.202,1.734,0.72,0.009,0.711,0.837,-0.076,0.913,0.177,-0.007,0.184,-0.342,-0.405,0.064,0.756,-0.545,-0.545,2.35,1.805,0.0,0.756,0.051,0.705,0.756,0.051,0.705,1.483,0.503,4.927,0.054,4.873,1.472,-0.134,1.606,2.423,-0.194,2.617,0.978,-0.007,0.985,1.2,0.467,0.734,2.805,-1.119,-1.119,7.813,0.0,2.805,1.225,1.58,2.805,1.225,1.58,-1.364,-0.387
203999,Nikola Jokic,2026,6.599,-0.313,0.519,-0.41400000000000003,-0.22,1.494,6.805000000000001,0.86,7.665000000000001,82494,41391,41103,5.605,-0.364,5.969,2.167,0.205,1.962,2.323,0.219,2.104,1.479,-0.0,1.479,0.994,0.653,0.343,-0.313,0.519,0.519,6.286,6.805,-0.0,-0.313,-0.938,0.625,-0.313,-0.938,0.625,8.24,2.263,-0.659,0.264,-0.923,-0.466,0.138,-0.604,-0.243,0.107,-0.35,-0.214,-0.002,-0.212,0.245,0.438,-0.196,-0.22,1.494,1.494,-0.634,0.86,0.0,-0.22,0.144,-0.364,-0.22,0.144,-0.364,-1.767,0.144,4.946,-0.1,5.046,1.702,0.344,1.358,2.079,0.326,1.753,1.265,-0.002,1.267,1.239,1.091,0.147,-0.532,2.014,2.014,7.665,-0.0,-0.532,-0.794,0.262,-0.532,-0.794,0.262,6.474,2.407
202695,Kawhi Leonard,2026,3.598,1.35,0.365,0.858,0.416,0.127,5.313000000000001,1.401,6.714,49317,24655,24662,3.239,0.098,3.141,0.395,-0.279,0.674,1.154,-0.403,1.557,1.592,-0.006,1.598,0.359,-0.146,0.503,1.35,0.365,0.365,4.948,5.313,-0.0,1.35,0.5,0.85,1.35,0.5,0.85,1.885,-0.448,0.603,-0.115,0.718,0.005,-0.032,0.037,0.461,0.045,0.416,0.252,-0.002,0.254,0.255,0.357,-0.101,0.416,0.127,0.127,1.274,1.401,0.0,0.416,0.349,0.067,0.416,0.349,0.067,0.623,-0.028,3.843,-0.017,3.86,0.4,-0.311,0.711,1.616,-0.358,1.974,1.844,-0.008,1.852,0.614,0.211,0.402,1.766,0.492,0.492,6.714,0.0,1.766,0.849,0.917,1.766,0.849,0.917,2.508,-0.476
203507,Giannis Antetokounmpo,2026,3.9899999999999998,0.474,0.062,1.591,-0.752,0.981,4.526,1.8199999999999998,6.346,66339,33238,33101,4.225,0.155,4.07,2.784,0.62,2.164,0.227,0.625,-0.398,1.059,0.035,1.024,-0.235,1.072,-1.307,0.474,0.062,0.062,4.464,4.526,0.0,0.474,0.573,-0.099,0.474,0.573,-0.099,2.689,1.412,1.39,0.042,1.348,0.858,0.137,0.721,0.203,0.169,0.034,0.287,-0.027,0.314,0.201,0.174,0.026,-0.752,0.981,0.981,0.839,1.82,0.0,-0.752,-0.494,-0.258,-0.752,-0.494,-0.258,1.274,0.718,5.617,0.197,5.42,3.642,0.757,2.885,0.431,0.795,-0.364,1.347,0.008,1.339,-0.034,1.247,-1.281,-0.278,1.044,1.044,6.346,0.0,-0.278,0.078,-0.356,-0.278,0.078,-0.356,3.963,2.13
1641705,Victor Wembanyama,2026,2.009,-0.617,0.403,4.009,-0.256,0.672,1.795,4.425,6.22,24357,12212,12145,1.782,0.062,1.72,2.145,0.247,1.898,-0.12,0.518,-0.638,-0.305,-0.004,-0.301,0.227,-0.039,0.264,-0.617,0.403,0.403,1.392,1.795,0.0,-0.617,-0.515,-0.102,-0.617,-0.515,-0.102,4.128,1.805,3.404,-0.069,3.473,1.511,0.337,1.174,1.095,0.125,0.97,0.867,0.017,0.85,0.605,0.74,-0.135,-0.256,0.672,0.672,3.753,4.425,0.0,-0.256,-0.009,-0.247,-0.256,-0.009,-0.247,0.639,1.19,5.185,-0.007,5.192,3.656,0.584,3.072,0.975,0.643,0.332,0.561,0.012,0.549,0.832,0.701,0.129,-0.873,1.074,1.074,6.22,0.0,-0.873,-0.525,-0.348,-0.873,-0.525,-0.348,4.767,2.995
1631096,Chet Holmgren,2026,1.61,-0.277,0.658,3.335,-0.248,-0.005,1.991,3.082,5.073,27215,13611,13604,1.756,-0.302,2.058,0.597,0.216,0.381,0.587,-0.146,0.733,0.874,-0.004,0.878,-0.146,-0.193,0.047,-0.277,0.658,0.658,1.333,1.991,0.0,-0.277,0.182,-0.459,-0.277,0.182,-0.459,0.173,0.729,2.755,0.08,2.675,1.693,0.162,1.531,0.372,0.147,0.225,0.61,0.002,0.608,0.58,0.613,-0.033,-0.248,-0.005,-0.005,3.087,3.082,0.0,-0.248,-0.147,-0.101,-0.248,-0.147,-0.101,0.576,1.205,4.512,-0.222,4.734,2.292,0.379,1.913,0.959,0.001,0.958,1.483,-0.002,1.485,0.434,0.42,0.014,-0.525,0.653,0.653,5.073,0.001,-0.525,0.035,-0.56,-0.525,0.035,-0.56,0.749,1.933
201939,Stephen Curry,2026,5.493,-0.254,0.317,-0.968,0.007,0.334,5.556000000000001,-0.627,4.929000000000001,58766,29482,29284,5.247,0.076,5.171,1.549,0.293,1.256,1.156,0.66,0.496,2.466,0.011,2.455,0.246,-0.221,0.467,-0.254,0.317,0.317,5.239,5.556,-0.0,-0.254,-0.606,0.352,-0.254,-0.606,0.352,5.154,1.705,-0.838,-0.134,-0.704,-0.401,0.084,-0.485,0.028,0.056,-0.028,-0.331,-0.008,-0.323,-0.13,-0.113,-0.018,0.007,0.334,0.334,-0.961,-0.627,0.0,0.007,-0.005,0.012,0.007,-0.005,0.012,-0.25,0.101,4.41,-0.058,4.468,1.149,0.378,0.771,1.184,0.716,0.468,2.135,0.003,2.132,0.116,-0.334,0.449,-0.247,0.65,0.65,4.929,-0.0,-0.247,-0.61,0.363,-0.247,-0.61,0.363,4.904,1.806
1627936,Alex Caruso,2026,0.192,0.235,-0.019,1.573,2.022,0.34,0.408,3.9349999999999996,4.343,43393,21691,21702,-0.424,-0.033,-0.391,-0.38,0.027,-0.407,-0.171,0.258,-0.429,0.16,0.041,0.119,0.616,0.585,0.033,0.235,-0.019,-0.019,0.427,0.408,0.0,0.235,-0.179,0.414,0.235,-0.179,0.414,-0.153,0.105,1.925,0.109,1.816,0.627,0.213,0.414,0.669,-0.057,0.726,0.52,-0.034,0.554,-0.352,-0.388,0.036,2.022,0.34,0.34,3.595,3.935,0.0,2.022,0.866,1.156,2.022,0.866,1.156,3.44,0.946,1.5,0.076,1.424,0.246,0.239,0.007,0.498,0.201,0.297,0.68,0.007,0.673,0.264,0.197,0.068,2.257,0.321,0.321,4.343,0.0,2.257,0.687,1.57,2.257,0.687,1.57,3.287,1.052
1628378,Donovan Mitchell,2026,1.6820000000000002,1.371,0.563,0.138,0.367,0.101,3.6159999999999997,0.606,4.2219999999999995,71346,35726,35620,1.243,-0.088,1.331,0.66,-0.041,0.701,0.637,0.214,0.423,0.034,-0.007,0.041,0.439,-0.066,0.501,1.371,0.563,0.563,3.053,3.616,0.0,1.371,0.649,0.722,1.371,0.649,0.722,-1.984,-0.529,0.335,0.144,0.191,0.259,0.219,0.04,0.112,0.185,-0.073,-0.18,0.009,-0.189,-0.197,-0.129,-0.07,0.367,0.101,0.101,0.505,0.606,0.0,0.367,0.318,0.049,0.367,0.318,0.049,1.445,0.777,1.578,0.056,1.522,0.919,0.178,0.741,0.749,0.399,0.35,-0.146,0.002,-0.148,0.242,-0.195,0.431,1.738,0.663,0.663,4.222,0.0,1.738,0.967,0.771,1.738,0.967,0.771,-0.539,0.247
202681,Kyrie Irving,2026,2.197,0.861,0.733,0.8500000000000001,0.07,-0.585,3.791,0.3350000000000002,4.126,45142,22638,22504,2.121,0.153,1.968,0.051,-0.122,0.173,0.665,-0.125,0.79,1.252,0.03,1.222,0.076,-0.278,0.355,0.861,0.733,0.733,3.058,3.791,0.0,0.861,0.563,0.298,0.861,0.563,0.298,0.885,0.008,0.796,-0.098,0.894,0.456,0.071,0.385,0.171,0.092,0.079,0.267,-0.025,0.292,0.054,0.002,0.051,0.07,-0.585,-0.585,0.92,0.335,-0.0,0.07,-0.136,0.206,0.07,-0.136,0.206,0.066,0.106,2.916,0.055,2.861,0.507,-0.051,0.558,0.836,-0.033,0.869,1.518,0.004,1.514,0.13,-0.276,0.407,0.931,0.148,0.148,4.126,0.0,0.931,0.427,0.504,0.931,0.427,0.504,0.951,0.114
