player_id,player_name,Latest_Year,oVPM_TS,oVPM_TOV,oVPM_SC,dVPM_TS,dVPM_TOV,dVPM_SC,off,def,net_rapm,possessions,off_poss,def_poss,oALT_EFG_VALUE,oALT_EFG_BASELINE,oALT_EFG_ATOMS_VALUE,oALT_EFG_RIM,oALT_EFG_RIM_FREQ,oALT_EFG_RIM_FG,oALT_EFG_MID,oALT_EFG_MID_FREQ,oALT_EFG_MID_FG,oALT_EFG_THREE,oALT_EFG_THREE_FREQ,oALT_EFG_THREE_FG,oALT_FT,oALT_FT_FREQ,oALT_FT_SEVERITY,oALT_TOV_VALUE,oSC,oSC_CLEAN,oFC,oDISPLAY_SUM,oRESID,oALT_TOV_LOSS_VALUE,oALT_TOV_VALUE_bp,oALT_TOV_VALUE_sc,oALT_TOV_VALUE_split,oALT_BADPASS_TOV_VALUE,oALT_SCORING_TOV_VALUE,oASSIST_POINTS,oRIM_ASSIST,dALT_EFG_VALUE,dALT_EFG_BASELINE,dALT_EFG_ATOMS_VALUE,dALT_EFG_RIM,dALT_EFG_RIM_FREQ,dALT_EFG_RIM_FG,dALT_EFG_MID,dALT_EFG_MID_FREQ,dALT_EFG_MID_FG,dALT_EFG_THREE,dALT_EFG_THREE_FREQ,dALT_EFG_THREE_FG,dALT_FT,dALT_FT_FREQ,dALT_FT_SEVERITY,dALT_TOV_VALUE,dSC,dSC_CLEAN,dFC,dDISPLAY_SUM,dRESID,dALT_TOV_LOSS_VALUE,dALT_TOV_VALUE_bp,dALT_TOV_VALUE_sc,dALT_TOV_VALUE_split,dALT_BADPASS_TOV_VALUE,dALT_SCORING_TOV_VALUE,dASSIST_POINTS,dRIM_ASSIST,nALT_EFG_VALUE,nALT_EFG_BASELINE,nALT_EFG_ATOMS_VALUE,nALT_EFG_RIM,nALT_EFG_RIM_FREQ,nALT_EFG_RIM_FG,nALT_EFG_MID,nALT_EFG_MID_FREQ,nALT_EFG_MID_FG,nALT_EFG_THREE,nALT_EFG_THREE_FREQ,nALT_EFG_THREE_FG,nALT_FT,nALT_FT_FREQ,nALT_FT_SEVERITY,nALT_TOV_VALUE,nSC,nSC_CLEAN,nDISPLAY_SUM,RESID,nALT_TOV_LOSS_VALUE,nALT_TOV_VALUE_bp,nALT_TOV_VALUE_sc,nALT_TOV_VALUE_split,nALT_BADPASS_TOV_VALUE,nALT_SCORING_TOV_VALUE,nASSIST_POINTS,nRIM_ASSIST
203999,Nikola Jokic,2026,9.372,-0.661,0.988,0.17400000000000004,-0.374,2.76,9.699,2.5599999999999996,12.259,50523,25334,25189,8.212,-0.124,8.336,3.175,0.227,2.948,3.085,0.194,2.891,2.076,0.003,2.073,1.16,0.742,0.378,-0.661,0.988,0.988,8.711,9.699,0.0,-0.661,-1.275,0.614,-0.661,-1.275,0.614,11.238,3.32,-0.479,0.157,-0.636,-0.253,0.313,-0.566,-0.075,0.199,-0.274,-0.308,-0.0,-0.308,0.653,0.956,-0.262,-0.374,2.76,2.76,-0.2,2.56,0.0,-0.374,0.288,-0.662,-0.374,0.288,-0.662,-2.765,0.47,7.731,0.033,7.698,2.922,0.54,2.382,3.01,0.393,2.617,1.766,0.002,1.764,1.813,1.698,0.116,-1.035,3.748,3.748,12.259,0.0,-1.035,-0.988,-0.047,-1.035,-0.988,-0.047,8.473,3.789
1628983,Shai Gilgeous-Alexander,2026,6.57,2.44,-0.672,1.734,0.437,-0.425,8.338,1.7459999999999998,10.084,49057,24543,24514,4.434,0.027,4.407,1.358,-0.093,1.451,1.991,-0.221,2.212,1.058,0.007,1.051,2.136,1.173,0.985,2.44,-0.672,-0.672,9.01,8.338,0.0,2.44,1.375,1.065,2.44,1.375,1.065,-3.422,-0.917,2.116,0.133,1.983,0.896,-0.002,0.898,1.063,-0.061,1.124,0.024,-0.005,0.029,-0.382,-0.429,0.101,0.437,-0.425,-0.425,2.171,1.746,0.0,0.437,-0.086,0.523,0.437,-0.086,0.523,1.681,0.449,6.55,0.16,6.39,2.254,-0.095,2.349,3.055,-0.281,3.336,1.081,0.001,1.08,1.754,0.744,1.086,2.877,-1.097,-1.097,10.084,-0.001,2.877,1.289,1.588,2.877,1.289,1.588,-1.742,-0.468
1641705,Victor Wembanyama,2026,2.607,-1.117,0.452,6.352,-0.22,1.509,1.9420000000000002,7.641,9.583,22845,11453,11392,2.359,0.333,2.026,2.545,0.258,2.287,-0.291,0.448,-0.739,-0.228,-0.007,-0.221,0.248,-0.107,0.297,-1.117,0.452,0.452,1.49,1.942,-0.0,-1.117,-0.901,-0.216,-1.117,-0.901,-0.216,4.857,2.259,5.391,-0.285,5.676,3.009,0.54,2.469,1.584,0.133,1.451,1.083,0.023,1.06,0.961,1.113,-0.188,-0.22,1.509,1.509,6.132,7.641,0.0,-0.22,0.097,-0.317,-0.22,0.097,-0.317,1.588,2.214,7.75,0.048,7.702,5.553,0.798,4.755,1.293,0.581,0.712,0.856,0.016,0.84,1.209,1.006,0.11,-1.338,1.96,1.96,9.583,0.0,-1.338,-0.804,-0.534,-1.338,-0.804,-0.534,6.444,4.473
203507,Giannis Antetokounmpo,2026,5.266,0.38,0.351,2.325,-1.06,1.11,5.997,2.375,8.372,42190,21114,21076,5.274,0.321,4.953,3.645,0.853,2.792,0.182,0.685,-0.503,1.126,0.014,1.112,-0.008,1.632,-1.631,0.38,0.351,0.351,5.646,5.997,0.0,0.38,0.474,-0.094,0.38,0.474,-0.094,2.71,2.084,2.111,-0.029,2.14,1.37,0.203,1.167,0.397,0.151,0.246,0.373,-0.006,0.379,0.214,0.26,-0.003,-1.06,1.11,1.11,1.265,2.375,0.0,-1.06,-0.612,-0.448,-1.06,-0.612,-0.448,1.974,1.07,7.383,0.292,7.091,5.014,1.056,3.958,0.579,0.836,-0.257,1.498,0.007,1.491,0.205,1.892,-1.634,-0.68,1.461,1.461,8.372,0.0,-0.68,-0.138,-0.542,-0.68,-0.138,-0.542,4.684,3.153
202695,Kawhi Leonard,2026,4.381,1.675,0.138,0.712,0.812,0.24,6.194,1.764,7.958,29564,14774,14790,3.809,0.108,3.701,0.454,-0.352,0.806,1.401,-0.49,1.891,1.846,-0.016,1.862,0.572,-0.126,0.682,1.675,0.138,0.138,6.056,6.194,0.0,1.675,0.724,0.951,1.675,0.724,0.951,1.143,-0.727,0.59,-0.094,0.684,-0.271,-0.078,-0.193,0.498,-0.049,0.547,0.457,0.007,0.45,0.122,0.286,-0.155,0.812,0.24,0.24,1.524,1.764,0.0,0.812,0.584,0.228,0.812,0.584,0.228,1.272,-0.112,4.397,0.014,4.383,0.182,-0.43,0.612,1.899,-0.539,2.438,2.302,-0.01,2.312,0.693,0.161,0.526,2.487,0.378,0.378,7.958,0.0,2.487,1.307,1.18,2.487,1.307,1.18,2.415,-0.839
1631096,Chet Holmgren,2026,1.545,-0.637,0.514,4.791,-0.889,0.56,1.422,4.462,5.8839999999999995,21811,10906,10905,1.69,0.094,1.596,0.469,0.251,0.218,0.42,-0.148,0.568,0.707,-0.0,0.707,-0.145,-0.156,-0.006,-0.637,0.514,0.514,0.908,1.422,0.0,-0.637,0.03,-0.667,-0.637,0.03,-0.667,0.493,0.97,3.858,-0.418,4.276,2.997,0.358,2.639,0.851,0.308,0.543,0.428,0.012,0.416,0.933,0.946,-0.029,-0.889,0.56,0.56,3.902,4.462,0.0,-0.889,-0.299,-0.59,-0.889,-0.299,-0.59,0.32,2.082,5.548,-0.324,5.872,3.466,0.609,2.857,1.271,0.16,1.111,1.135,0.012,1.123,0.788,0.79,-0.035,-1.526,1.073,1.073,5.884,0.0,-1.526,-0.269,-1.257,-1.526,-0.269,-1.257,0.813,3.052
203954,Joel Embiid,2026,4.6899999999999995,-0.626,-1.159,3.019,-0.848,0.757,2.9049999999999994,2.9280000000000004,5.833,30664,15363,15301,2.779,0.254,2.525,1.434,-0.219,1.653,0.586,-0.419,1.005,0.505,0.001,0.504,1.911,1.56,0.483,-0.626,-1.159,-1.159,4.064,2.905,0.0,-0.626,-0.138,-0.488,-0.626,-0.138,-0.488,2.424,0.633,2.408,-0.035,2.443,1.092,0.378,0.714,0.823,0.342,0.481,0.528,-0.002,0.53,0.611,0.672,-0.088,-0.848,0.757,0.757,2.171,2.928,-0.0,-0.848,-0.026,-0.822,-0.848,-0.026,-0.822,1.439,1.248,5.186,0.219,4.967,2.525,0.158,2.367,1.409,-0.077,1.486,1.033,-0.001,1.034,2.522,2.232,0.395,-1.474,-0.402,-0.402,5.833,0.0,-1.474,-0.165,-1.309,-1.474,-0.165,-1.309,3.863,1.881
201939,Stephen Curry,2026,7.0969999999999995,-0.15,0.306,-1.686,-0.052,0.094,7.252999999999999,-1.644,5.608999999999999,42711,21428,21283,6.403,0.238,6.165,1.769,0.295,1.474,1.621,0.862,0.759,2.775,0.001,2.774,0.694,-0.137,0.754,-0.15,0.306,0.306,6.947,7.253,0.0,-0.15,-0.655,0.505,-0.15,-0.655,0.505,4.843,1.634,-1.433,-0.228,-1.205,-0.929,-0.036,-0.893,-0.049,0.024,-0.073,-0.227,-0.0,-0.227,-0.253,-0.115,-0.135,-0.052,0.094,0.094,-1.738,-1.644,0.0,-0.052,-0.072,0.02,-0.052,-0.072,0.02,-0.702,-0.301,4.97,0.01,4.96,0.841,0.259,0.582,1.571,0.886,0.685,2.548,0.001,2.547,0.44,-0.251,0.618,-0.202,0.4,0.4,5.609,0.0,-0.202,-0.727,0.525,-0.202,-0.727,0.525,4.141,1.333
1628378,Donovan Mitchell,2026,3.327,1.59,0.41,-0.46699999999999997,0.807,-0.17,5.327,0.17000000000000007,5.497,45741,22914,22827,2.641,0.041,2.6,0.932,-0.062,0.994,0.976,0.27,0.706,0.692,0.001,0.691,0.686,-0.092,0.792,1.59,0.41,0.41,4.917,5.327,0.0,1.59,0.826,0.764,1.59,0.826,0.764,-2.109,-0.642,-0.056,0.126,-0.182,-0.066,0.159,-0.225,-0.001,0.12,-0.121,-0.115,0.003,-0.118,-0.411,-0.315,-0.082,0.807,-0.17,-0.17,0.34,0.17,-0.0,0.807,0.569,0.238,0.807,0.569,0.238,1.897,0.504,2.584,0.167,2.417,0.866,0.097,0.769,0.976,0.391,0.585,0.575,0.003,0.572,0.275,-0.407,0.71,2.397,0.239,0.239,5.497,-0.001,2.397,1.395,1.002,2.397,1.395,1.002,-0.212,-0.138
1629029,Luka Doncic,2026,5.614999999999999,1.356,-1.035,-0.684,-0.278,0.346,5.935999999999999,-0.6160000000000001,5.3199999999999985,45648,22862,22786,5.185,0.171,5.014,2.095,-0.346,2.441,1.48,0.319,1.161,1.439,0.001,1.438,0.43,0.828,-0.443,1.356,-1.035,-1.035,6.971,5.936,0.0,1.356,0.245,1.111,1.356,0.245,1.111,-1.474,0.485,-0.803,-0.208,-0.595,-0.527,-0.023,-0.504,0.072,-0.069,0.141,-0.14,0.005,-0.145,0.119,0.222,-0.087,-0.278,0.346,0.346,-0.962,-0.616,0.0,-0.278,0.078,-0.356,-0.278,0.078,-0.356,-2.078,-0.297,4.383,-0.037,4.42,1.568,-0.369,1.937,1.553,0.251,1.302,1.299,0.006,1.293,0.549,1.05,-0.53,1.078,-0.689,-0.689,5.32,0.0,1.078,0.323,0.755,1.078,0.323,0.755,-3.552,0.187
