kind,source,output,rows,max_abs_source_off_gap,max_abs_source_def_gap,max_abs_source_net_gap,top_net
single_season_all_rb_se,/Users/russellthomas/Docs/rapms/master_results/weighted_factors_alt3_efg_value_22_all_rb_se_a2000_4000.csv,/Users/russellthomas/Docs/rapms/master_results/vpm_alt3/vpm_alt3_3factor_22_all_rb_se_a2000_4000.csv,598,0.0,0.0,0.001,Jayson Tatum 7.02; Stephen Curry 5.96; Darius Garland 5.03; Jrue Holiday 4.99; Kevin Durant 4.98
single_season_all_rb_se,/Users/russellthomas/Docs/rapms/master_results/weighted_factors_alt3_efg_value_23_all_rb_se_a2000_4000.csv,/Users/russellthomas/Docs/rapms/master_results/vpm_alt3/vpm_alt3_3factor_23_all_rb_se_a2000_4000.csv,540,0.0,0.0,0.001,Nikola Jokic 6.17; Jrue Holiday 5.14; Aaron Gordon 4.81; Kawhi Leonard 4.53; Joel Embiid 4.51
single_season_all_rb_se,/Users/russellthomas/Docs/rapms/master_results/weighted_factors_alt3_efg_value_24_all_rb_se_a2000_4000.csv,/Users/russellthomas/Docs/rapms/master_results/vpm_alt3/vpm_alt3_3factor_24_all_rb_se_a2000_4000.csv,568,0.0,0.0,0.001,Nikola Jokic 5.70; Shai Gilgeous-Alexander 5.45; Paul George 5.42; Jalen Brunson 5.37; Kyrie Irving 4.78
single_season_all_rb_se,/Users/russellthomas/Docs/rapms/master_results/weighted_factors_alt3_efg_value_25_all_rb_se_a2000_4000.csv,/Users/russellthomas/Docs/rapms/master_results/vpm_alt3/vpm_alt3_3factor_25_all_rb_se_a2000_4000.csv,568,0.0,0.0,0.001,Shai Gilgeous-Alexander 8.17; Nikola Jokic 6.62; Giannis Antetokounmpo 5.99; Dorian Finney-Smith 5.27; Ivica Zubac 4.29
single_season_all_rb_se,/Users/russellthomas/Docs/rapms/master_results/weighted_factors_alt3_efg_value_26_all_rb_se_a2000_4000.csv,/Users/russellthomas/Docs/rapms/master_results/vpm_alt3/vpm_alt3_3factor_26_all_rb_se_a2000_4000.csv,582,0.0,0.0,0.001,Shai Gilgeous-Alexander 7.06; Kawhi Leonard 6.67; Victor Wembanyama 6.05; Nikola Jokic 5.23; Dyson Daniels 5.00
time_decay_or_trueprior,/Users/russellthomas/Docs/rapms/master_results/weighted_factors_alt3_efg_value_20_26_all_a2000_4000_td500.csv,/Users/russellthomas/Docs/rapms/master_results/vpm_alt3/vpm_alt3_3factor_20_26_all_a2000_4000_td500.csv,1164,0.0,0.0,0.001,Shai Gilgeous-Alexander 7.81; Nikola Jokic 7.67; Kawhi Leonard 6.71; Giannis Antetokounmpo 6.35; Victor Wembanyama 6.22
time_decay_or_trueprior,/Users/russellthomas/Docs/rapms/master_results/weighted_factors_alt3_efg_value_20_26_all_rb_a2000_4000_td500.csv,/Users/russellthomas/Docs/rapms/master_results/vpm_alt3/vpm_alt3_3factor_20_26_all_rb_a2000_4000_td500.csv,1164,0.0,0.0,0.001,Nikola Jokic 7.78; Shai Gilgeous-Alexander 7.68; Kawhi Leonard 6.98; Victor Wembanyama 6.50; Giannis Antetokounmpo 6.43
time_decay_or_trueprior,/Users/russellthomas/Docs/pbp_rapm/nba_pipeline/master_results/weighted_factors_alt3_efg_value_22_26_rs_se_a2000_2000_offdefprior_td700_OPTIMAL.csv,/Users/russellthomas/Docs/rapms/master_results/vpm_alt3/vpm_alt3_3factor_22_26_rs_se_a2000_2000_offdefprior_td700_OPTIMAL.csv,1019,0.0,0.0,0.001,Nikola Jokic 12.40; Shai Gilgeous-Alexander 10.11; Victor Wembanyama 10.05; Giannis Antetokounmpo 8.62; Kawhi Leonard 7.97
time_decay_or_trueprior,/Users/russellthomas/Docs/pbp_rapm/nba_pipeline/master_results/weighted_factors_alt3_efg_value_22_26_rs_se_a2000_2000_offdefprior_td700.csv,/Users/russellthomas/Docs/rapms/master_results/vpm_alt3/vpm_alt3_3factor_22_26_rs_se_a2000_2000_offdefprior_td700.csv,1019,0.0,0.0,0.001,Nikola Jokic 12.40; Shai Gilgeous-Alexander 10.11; Victor Wembanyama 10.05; Giannis Antetokounmpo 8.62; Kawhi Leonard 7.97
clean_target_reference,/Users/russellthomas/Docs/rapms/master_results/weighted_factors_alt3_efg_value_22_26_rs_se_a2000_2000.csv,/Users/russellthomas/Docs/rapms/master_results/vpm_alt3/vpm_alt3_3factor_22_26_rs_se_a2000_2000.csv,1019,0.0,0.0,0.001,Nikola Jokic 11.19; Shai Gilgeous-Alexander 8.71; Giannis Antetokounmpo 7.68; Victor Wembanyama 7.63; Kawhi Leonard 6.98
