player_id,player_name,Latest_Year,oTS,oFT,oRIM_FREQ,oRIM_FG_PCT,oTHREE_FREQ,oTHREE_FG_PCT,oMIDRANGE_FREQ,oMIDRANGE_FG_PCT,oASSIST_POINTS,oTOV,oTOV_bp,oTOV_sc,oREB,dTS,dFT,dRIM_FREQ,dRIM_FG_PCT,dTHREE_FREQ,dTHREE_FG_PCT,dMIDRANGE_FREQ,dMIDRANGE_FG_PCT,dASSIST_POINTS,dTOV,dTOV_bp,dTOV_sc,dREB,off,def,net_rapm,RESID,o_sc,o_fc,d_sc,d_fc,o_pval,d_pval,possessions,off_poss,def_poss
406,Shaquille O'Neal,2000,2.69,-1.15,1.7,1.56,-1.47,0.2,-0.23,0.3,2.3,0.5,-0.16,0.66,0.25,2.1,0.83,2.0,0.48,0.42,0.11,-2.42,0.49,0.9,-0.64,-0.43,-0.21,0.25,3.27,2.18,5.45,0.3,1.37,1.9,-0.49,2.67,0.75,-0.39,15709,7883,7826
1713,Vince Carter,2000,3.06,0.75,-0.18,0.03,-0.17,0.94,0.35,0.6,3.88,1.81,0.76,1.05,0.36,-0.26,-0.26,0.2,0.2,0.0,0.19,-0.2,-0.22,1.53,-0.04,0.01,-0.04,-0.01,5.18,0.16,5.34,0.42,0.96,4.22,-0.12,0.28,2.17,-0.05,12410,6207,6203
960,Tony Delk,2000,1.59,0.26,-0.21,0.42,-0.78,0.12,0.98,0.29,0.33,0.94,0.49,0.45,0.88,0.25,-0.36,0.02,-0.39,-0.17,0.52,0.16,-0.05,1.18,0.8,0.16,0.64,-0.08,3.76,1.13,4.89,0.51,0.57,3.19,0.27,0.86,1.82,0.72,3037,1519,1518
448,Bo Outlaw,2000,1.08,-0.19,0.63,0.14,-1.07,-0.1,0.43,0.6,-0.14,-0.75,-0.44,-0.31,1.35,1.9,0.75,0.46,0.83,-0.72,0.31,0.25,0.09,0.36,1.03,0.67,0.37,-0.31,1.65,2.94,4.6,0.3,1.17,0.48,-0.15,3.09,0.6,0.72,9085,4562,4523
304,John Stockton,2000,2.05,0.7,1.22,0.61,-1.04,0.14,-0.18,0.43,1.98,0.43,0.08,0.35,0.07,0.23,-0.12,0.66,0.44,-0.48,0.08,-0.18,-0.36,0.94,0.9,0.11,0.79,0.76,2.6,1.79,4.39,-0.05,0.23,2.37,0.51,1.27,0.5,1.66,10279,5135,5144
935,Bryon Russell,2000,1.81,0.95,0.84,0.12,-0.71,0.41,-0.14,0.81,2.38,0.64,-0.11,0.75,0.07,0.22,-0.02,0.62,0.47,0.23,0.12,-0.85,-0.53,1.36,0.35,-0.15,0.5,0.34,3.31,0.99,4.3,0.87,0.41,2.9,0.41,0.59,0.71,0.69,11922,5959,5963
915,Rodney Rogers,2000,1.67,0.1,1.97,-0.26,3.02,0.56,-5.01,-0.46,1.84,-0.97,-0.53,-0.44,0.92,2.03,-0.42,0.22,0.65,-0.61,0.27,0.39,1.19,2.63,0.59,0.36,0.23,-0.35,2.09,2.1,4.18,0.29,0.61,1.48,0.09,2.01,-0.05,0.24,9753,4879,4874
56,Gary Payton,2000,1.04,-0.56,-0.06,1.81,3.78,-0.43,-3.74,-0.54,2.34,1.49,0.68,0.81,-0.08,0.59,0.58,0.7,-0.51,-0.51,0.4,-0.18,-0.18,-0.45,0.37,0.27,0.1,0.1,3.25,0.88,4.13,0.62,1.24,2.01,0.17,0.71,1.41,0.47,13900,6963,6937
224,Eddie Jones,2000,1.52,0.76,0.46,0.5,0.69,-0.21,-1.14,-0.02,2.41,0.79,0.02,0.77,-0.46,1.51,0.22,-0.72,0.87,0.68,0.02,0.04,0.05,1.24,0.36,0.51,-0.15,0.72,1.73,2.31,4.04,-0.4,0.14,1.59,0.78,1.53,0.33,1.08,11338,5685,5653
345,Terry Porter,2000,2.15,0.71,0.54,0.59,1.7,0.49,-2.24,-0.11,-0.29,-0.0,-0.45,0.44,-0.67,1.75,0.15,0.74,0.61,-0.48,0.21,-0.26,0.53,2.55,0.49,0.16,0.33,0.45,1.51,2.49,4.0,-0.17,-1.05,2.56,0.24,2.25,-0.67,0.94,6357,3189,3168
907,Malik Sealy,2000,1.41,0.1,-0.47,-0.27,-2.66,0.4,3.14,1.89,3.43,0.59,0.17,0.42,0.8,0.38,-0.09,-0.13,0.3,-0.08,0.24,0.2,0.06,0.71,-0.08,-0.24,0.16,0.39,3.0,0.6,3.6,0.11,1.02,1.98,0.31,0.28,1.39,0.31,9370,4691,4679
469,Jamal Mashburn,2000,1.7,-0.28,-0.94,0.83,0.55,0.86,0.39,0.68,1.89,1.0,0.12,0.88,-0.22,0.8,0.33,-0.08,0.56,0.33,0.17,-0.25,-0.07,0.27,-0.4,0.17,-0.56,0.44,2.76,0.82,3.58,0.26,0.01,2.76,0.08,0.74,0.78,0.04,11852,5940,5912
1630,Mikki Moore,2000,3.2,0.32,-0.01,0.28,-0.14,0.48,0.15,1.26,1.31,-0.38,-0.06,-0.32,0.53,0.62,-0.38,0.16,0.28,-0.66,0.16,0.5,0.24,0.47,0.0,-0.15,0.15,-0.61,3.26,-0.02,3.23,-0.13,0.56,2.69,-0.37,0.34,0.15,-0.61,1965,985,980
109,Robert Horry,2000,1.28,0.6,-0.19,0.48,-0.07,-0.43,0.27,0.06,0.56,-0.48,-0.38,-0.1,0.12,1.26,-0.33,0.14,0.23,-0.26,0.58,0.13,0.73,1.87,0.44,-0.02,0.46,0.42,1.25,1.87,3.12,0.08,-0.27,1.52,0.29,1.58,-0.36,0.86,8836,4427,4409
89,Nick Van Exel,2000,0.7,-0.21,0.3,0.07,1.47,-0.06,-1.78,0.34,2.78,1.49,0.66,0.83,0.65,-0.15,0.12,-0.41,-0.11,-0.18,-0.18,0.6,0.22,-2.16,-0.89,-0.47,-0.41,0.47,3.4,-0.36,3.04,0.77,1.36,2.04,0.12,-0.48,2.14,-0.42,11424,5705,5719
397,Reggie Miller,2000,2.53,0.79,-1.56,0.86,2.33,0.74,-0.77,0.44,1.73,1.38,0.95,0.43,-0.87,0.34,0.24,0.05,-0.32,0.66,0.16,-0.7,-0.08,0.96,-0.26,-0.21,-0.05,-0.12,3.42,-0.39,3.03,0.03,-0.88,4.3,-0.03,-0.36,0.51,-0.38,14693,7353,7340
255,Grant Hill,2000,2.88,0.59,2.13,0.47,-1.04,0.91,-1.08,-0.23,-0.23,0.96,0.37,0.59,-0.23,-0.76,-0.16,0.14,-0.34,-0.62,-0.37,0.48,-0.07,0.05,0.49,-0.04,0.53,-0.39,3.38,-0.43,2.95,0.0,-0.3,3.68,-0.38,-0.05,0.73,0.1,11167,5606,5561
905,Dale Davis,2000,0.78,-0.24,-0.98,0.74,-0.0,0.89,0.99,0.32,1.94,0.06,-0.35,0.41,0.38,1.61,0.53,0.97,-0.03,0.41,0.3,-1.38,-0.04,0.32,-0.5,-0.26,-0.24,-0.63,2.11,0.82,2.93,1.23,0.54,1.57,-0.95,1.77,0.44,-1.13,10672,5338,5334
764,David Robinson,2000,0.79,0.3,0.6,0.74,-0.92,0.26,0.32,0.23,2.06,1.28,0.11,1.16,-0.85,1.26,0.73,1.17,0.48,0.71,-0.14,-1.88,-0.16,0.52,-0.02,0.04,-0.06,0.21,1.18,1.71,2.89,0.22,-0.18,1.36,-0.13,1.84,0.43,0.19,9986,5004,4982
120,Steven Smith,2000,1.52,0.7,-0.28,0.04,0.68,0.12,-0.41,0.83,0.81,1.02,0.64,0.39,-0.37,1.02,0.02,-0.48,0.68,0.35,0.26,0.14,0.39,1.18,-0.38,-0.53,0.15,0.27,2.38,0.5,2.87,-0.21,0.06,2.32,-0.42,0.91,0.65,-0.11,12070,6060,6010
136,P.J. Brown,2000,2.02,-0.14,-1.24,1.52,0.16,0.85,1.08,0.58,3.04,0.39,0.19,0.2,0.45,0.98,0.52,0.3,0.52,0.33,-0.23,-0.64,0.42,0.87,-0.4,-0.27,-0.13,-0.01,1.9,0.95,2.85,-0.58,0.51,1.39,0.11,0.84,0.84,-0.41,9550,4788,4762
1802,Brad Miller,2000,0.22,0.75,2.28,-0.88,-0.92,-0.23,-1.37,0.16,0.01,-0.63,-0.53,-0.1,1.5,1.02,0.25,-0.44,0.3,-0.16,-0.08,0.61,0.52,-0.56,0.28,0.28,0.0,0.23,1.53,1.32,2.84,0.22,1.56,-0.03,0.41,0.91,0.87,0.51,3996,1995,2001
