player_id,player_name,Latest_Year,oTS,oFT,oTOV,oTOV_bp,oTOV_sc,oREB,dTS,dFT,dTOV,dTOV_bp,dTOV_sc,dREB,off,def,net_rapm,RESID,o_sc,o_fc,d_sc,d_fc,o_pval,d_pval,possessions,off_poss,def_poss
406,Shaquille O'Neal,2004,7.81,-1.03,-0.83,-0.7,-0.14,0.33,2.2,0.94,-1.98,-0.98,-0.99,0.6,7.03,1.56,8.59,0.46,-0.29,7.32,0.31,1.25,-0.5,-1.38,49767,25014,24753
708,Kevin Garnett,2004,3.8,0.4,0.76,0.39,0.36,0.21,3.25,0.68,0.06,0.19,-0.13,0.55,4.42,4.12,8.54,-0.09,0.08,4.34,0.3,3.82,0.97,0.61,52939,26607,26332
1495,Tim Duncan,2004,3.03,-0.07,0.03,-0.33,0.36,-0.22,4.9,0.74,-0.77,-0.37,-0.41,1.24,3.0,5.45,8.45,0.24,0.65,2.35,0.99,4.46,-0.19,0.47,53148,26671,26477
1717,Dirk Nowitzki,2004,4.06,1.3,1.13,-0.0,1.12,-0.27,1.04,0.58,0.12,0.25,-0.11,0.01,4.44,1.83,6.27,0.18,-0.0,4.44,0.61,1.22,0.86,0.13,52530,26347,26183
739,Rasheed Wallace,2004,2.93,-0.25,-0.76,-1.06,0.29,0.02,2.3,0.42,0.56,0.02,0.54,0.73,1.91,3.75,5.66,-0.12,-0.45,2.36,0.46,3.29,-0.74,1.29,44222,22131,22091
1905,Andrei Kirilenko,2004,2.28,1.35,-0.52,-0.5,-0.03,1.71,0.65,-1.21,1.57,0.47,1.11,0.08,3.28,2.31,5.59,-0.18,0.98,2.3,0.31,2.0,1.19,1.65,27394,13664,13730
1112,Ben Wallace,2004,-0.58,-1.06,0.19,0.0,0.19,1.52,3.85,0.94,0.88,0.35,0.54,-0.03,0.45,4.92,5.37,-0.46,1.03,-0.58,1.33,3.59,1.71,0.85,50493,25220,25273
1884,Baron Davis,2004,0.94,0.14,0.84,0.24,0.61,0.86,1.0,-0.25,1.16,0.52,0.64,-0.22,3.34,2.01,5.35,0.77,0.57,2.77,-0.5,2.51,1.7,0.94,44147,21993,22154
304,John Stockton,2004,2.5,0.6,0.36,0.0,0.35,0.55,-0.46,-0.26,1.74,0.64,1.11,0.2,3.02,2.31,5.33,0.44,0.18,2.84,1.0,1.31,0.91,1.94,28500,14226,14274
1713,Vince Carter,2004,1.3,-0.42,1.48,0.73,0.75,0.75,1.48,0.18,-0.3,0.07,-0.37,-0.41,3.4,1.04,4.44,0.14,1.42,1.98,-0.24,1.28,2.23,-0.71,37298,18673,18625
1503,Tracy McGrady,2004,3.21,0.82,2.21,0.64,1.58,-0.46,-0.48,-0.22,0.21,0.31,-0.1,-0.57,5.17,-0.81,4.35,0.23,0.09,5.08,-0.79,-0.02,1.75,-0.36,46699,23419,23280
951,Ray Allen,2004,3.36,0.55,0.66,0.3,0.35,0.41,0.18,-0.34,-0.36,0.31,-0.67,-0.25,4.35,-0.09,4.27,0.27,0.27,4.08,0.04,-0.13,1.07,-0.61,41696,20903,20793
1883,Steve Francis,2004,1.9,0.81,0.26,0.37,-0.11,-0.05,1.5,0.08,0.13,0.29,-0.16,0.23,2.51,1.48,3.99,0.02,0.95,1.56,-0.26,1.74,0.21,0.36,44811,22373,22438
1718,Paul Pierce,2004,3.4,1.32,0.75,0.55,0.19,-0.95,-0.55,-0.12,0.96,0.64,0.31,-0.14,2.46,1.51,3.97,0.5,-1.32,3.78,0.51,1.0,-0.2,0.82,52673,26406,26267
717,Arvydas Sabonis,2004,0.83,-0.07,-0.19,-0.37,0.18,-0.85,2.54,0.47,0.81,0.86,-0.04,0.41,-0.41,4.18,3.77,0.22,-0.57,0.16,0.23,3.95,-1.04,1.22,9877,4964,4913
467,Jason Kidd,2004,-0.13,0.97,0.49,-0.17,0.65,0.87,1.8,-0.22,1.13,0.67,0.45,0.14,1.13,2.48,3.61,-0.69,0.74,0.39,0.35,2.13,1.36,1.27,52526,26390,26136
979,Jermaine O'Neal,2004,0.77,-0.04,-0.1,-0.06,-0.05,0.51,4.0,0.95,-1.35,-0.77,-0.58,-0.46,0.82,2.77,3.59,0.22,0.76,0.06,-0.86,3.63,0.41,-1.81,43603,21812,21791
224,Eddie Jones,2004,1.29,0.69,0.67,0.41,0.26,-0.7,0.93,-0.72,0.87,0.6,0.27,0.04,1.19,2.33,3.52,0.42,-0.03,1.22,0.67,1.66,-0.03,0.91,38735,19349,19386
448,Bo Outlaw,2004,0.45,-0.79,-1.55,-0.82,-0.73,1.22,3.34,0.47,1.39,0.6,0.79,-1.08,0.27,3.22,3.5,-0.27,0.72,-0.45,-1.12,4.34,-0.33,0.31,30054,15022,15032
1938,Manu Ginobili,2004,1.19,0.58,-0.5,0.15,-0.65,0.83,0.03,-0.5,1.58,0.71,0.87,0.56,1.86,1.61,3.47,-0.22,0.66,1.2,0.42,1.19,0.33,2.14,17138,8581,8557
764,David Robinson,2004,0.37,0.02,-0.67,-0.37,-0.28,-0.56,3.16,1.12,0.66,0.48,0.18,-0.25,-0.95,4.21,3.26,0.55,-0.91,-0.04,0.8,3.41,-1.23,0.41,26743,13413,13330
124,Vlade Divac,2004,1.34,-0.82,-0.44,-0.24,-0.2,-0.25,1.57,1.55,-0.2,-0.19,-0.0,0.7,0.01,3.22,3.22,0.5,-0.61,0.62,1.32,1.9,-0.69,0.5,42248,21225,21023
2200,Pau Gasol,2004,3.71,0.34,0.02,-0.18,0.2,-0.01,-0.09,0.31,-0.68,-0.36,-0.32,-0.26,3.8,-0.63,3.17,0.48,0.9,2.9,-0.56,-0.07,0.01,-0.94,32268,16148,16120
1763,Ryan Bowen,2004,-2.29,-0.47,-0.6,-0.61,0.02,1.93,1.63,-0.23,1.74,1.0,0.74,0.54,-0.46,3.63,3.17,0.22,1.09,-1.55,0.7,2.93,1.33,2.28,13829,6882,6947
345,Terry Porter,2004,0.7,0.07,0.41,-0.09,0.5,0.15,1.58,0.09,-0.26,-0.18,-0.09,0.66,1.27,1.88,3.15,-0.09,-0.43,1.7,0.12,1.76,0.56,0.4,12513,6267,6246
2403,Nene,2004,2.01,-0.33,-1.39,-0.21,-1.18,-0.01,0.36,0.22,1.82,0.65,1.17,0.44,-0.06,3.2,3.15,-0.08,-0.59,0.53,1.01,2.19,-1.4,2.26,18403,9207,9196
977,Kobe Bryant,2004,1.63,0.98,0.92,0.77,0.15,0.36,-0.06,-0.13,0.27,0.41,-0.14,-0.31,3.07,0.01,3.09,0.28,0.76,2.31,-0.41,0.42,1.28,-0.04,54816,27494,27322
677,Eric Williams,2004,0.02,0.8,0.17,0.55,-0.39,-0.57,1.68,-0.3,0.96,0.09,0.86,0.5,-0.08,2.97,2.89,0.13,-0.1,0.02,1.01,1.96,-0.4,1.46,32959,16466,16493
2215,Jason Collins,2004,-0.88,0.32,-0.1,0.12,-0.23,0.65,0.96,0.92,1.43,-0.03,1.46,0.79,-1.07,3.94,2.87,0.02,0.38,-1.45,1.12,2.82,0.55,2.22,24136,12107,12029
1890,Shawn Marion,2004,0.44,0.06,0.09,-0.23,0.32,-0.15,0.95,0.01,0.9,0.89,0.01,0.35,0.87,1.95,2.82,0.24,0.47,0.4,-0.09,2.04,-0.06,1.25,48883,24455,24428
57,Doug Christie,2004,1.71,0.47,0.77,0.2,0.57,-0.73,-0.49,0.13,1.54,0.98,0.56,0.38,1.71,1.05,2.75,-0.43,-0.15,1.86,-0.19,1.24,0.04,1.92,50787,25461,25326
389,Toni Kukoc,2004,3.02,0.57,0.12,-0.28,0.41,-0.4,0.03,-0.06,0.6,0.61,-0.01,-0.49,3.01,-0.26,2.75,-0.13,-0.27,3.28,-0.9,0.64,-0.28,0.11,24471,12288,12183
