player_id,player_name,Latest_Year,oTS,oFT,oTOV,oTOV_bp,oTOV_sc,oREB,dTS,dFT,dTOV,dTOV_bp,dTOV_sc,dREB,off,def,net_rapm,RESID,o_sc,o_fc,d_sc,d_fc,o_pval,d_pval,possessions,off_poss,def_poss
101108,Chris Paul,2016,4.35,0.63,1.78,1.05,0.73,-0.07,1.31,-0.44,0.86,0.28,0.59,0.16,6.14,2.75,8.9,0.51,-0.43,6.57,0.72,2.03,1.71,1.02,33492,16803,16689
201939,Stephen Curry,2016,6.25,0.85,0.34,-0.59,0.93,0.63,0.64,-0.23,0.26,0.08,0.18,0.03,7.83,1.02,8.85,0.7,0.74,7.09,0.17,0.85,0.97,0.29,40408,20238,20170
2544,LeBron James,2016,6.78,0.65,0.02,-0.32,0.35,-0.33,0.94,0.22,0.84,0.65,0.19,0.21,6.43,2.16,8.6,0.14,-0.69,7.12,0.71,1.45,-0.31,1.05,39629,19845,19784
201935,James Harden,2016,5.4,2.66,0.79,0.52,0.27,0.89,0.04,-0.17,0.08,-0.0,0.1,-0.35,6.84,-0.12,6.72,-0.13,0.22,6.62,-0.43,0.31,1.68,-0.27,39639,19865,19774
201937,Ricky Rubio,2016,2.93,1.49,0.81,0.07,0.76,0.69,0.22,0.04,1.61,0.56,1.04,0.1,4.04,2.01,6.06,-0.3,0.21,3.83,0.32,1.69,1.5,1.71,22490,11243,11247
203110,Draymond Green,2016,2.39,0.31,0.18,-0.13,0.3,-0.61,2.47,-0.0,1.5,0.72,0.78,-0.09,2.23,3.81,6.05,0.21,-0.15,2.38,0.26,3.55,-0.43,1.41,35622,17787,17835
201142,Kevin Durant,2016,5.16,2.17,-0.09,-0.09,-0.0,0.23,1.32,-0.04,-0.52,-0.17,-0.36,0.46,5.06,0.99,6.05,-0.51,-0.45,5.51,-0.35,1.34,0.14,-0.06,32286,16184,16102
201566,Russell Westbrook,2016,4.12,1.65,0.94,-0.11,1.05,1.72,-0.52,-0.02,0.04,0.24,-0.2,-0.23,6.15,-0.33,5.82,-0.25,0.23,5.92,-0.0,-0.33,2.66,-0.19,31704,15854,15850
1938,Manu Ginobili,2016,4.31,1.0,-0.37,-0.98,0.63,-0.83,0.79,-0.12,1.61,0.29,1.32,0.0,3.92,1.86,5.78,0.27,-0.38,4.3,0.17,1.69,-1.2,1.61,20203,10151,10052
200768,Kyle Lowry,2016,2.34,0.98,0.53,0.57,-0.02,1.49,-0.02,-0.41,1.58,0.06,1.54,-0.07,3.55,2.14,5.69,-0.16,0.95,2.6,0.48,1.66,2.02,1.51,35542,17779,17763
202695,Kawhi Leonard,2016,1.56,0.32,1.12,0.81,0.31,-0.47,2.29,0.14,0.7,0.43,0.26,0.76,1.73,3.76,5.49,-0.47,-0.61,2.34,0.96,2.8,0.65,1.46,29605,14822,14783
2594,Kyle Korver,2016,3.88,-0.71,0.13,-0.46,0.58,-1.05,1.47,0.2,0.48,0.08,0.4,0.16,3.56,1.89,5.45,0.38,-0.08,3.64,0.32,1.57,-0.92,0.64,32636,16511,16125
201980,Danny Green,2016,0.8,-0.06,0.54,-0.14,0.67,-0.06,2.57,0.71,0.46,0.02,0.43,0.29,1.64,3.22,4.86,0.26,-0.09,1.73,0.12,3.1,0.48,0.75,27021,13521,13500
202335,Patrick Patterson,2016,2.25,0.25,1.65,0.85,0.79,0.59,-0.1,-0.26,0.37,0.24,0.13,-0.41,4.88,-0.18,4.7,0.35,0.77,4.11,-0.22,0.04,2.24,-0.04,24654,12325,12329
202331,Paul George,2016,1.66,1.21,-0.44,-0.3,-0.13,0.47,1.36,0.22,1.21,0.53,0.67,-0.1,2.0,2.54,4.54,0.38,-0.07,2.07,0.49,2.05,0.03,1.11,26168,13105,13063
202691,Klay Thompson,2016,3.77,-0.02,0.68,-0.04,0.73,-0.78,1.16,0.32,-0.4,-0.22,-0.18,-0.05,3.82,0.69,4.5,0.12,-1.11,4.93,-0.36,1.05,-0.1,-0.45,39253,19626,19627
203114,Khris Middleton,2016,1.61,0.01,0.8,0.39,0.41,0.57,1.12,-0.05,1.14,0.6,0.54,-0.49,2.41,1.45,3.87,-0.88,0.17,2.24,0.05,1.4,1.37,0.65,30309,15177,15132
201609,Goran Dragic,2016,1.73,0.42,0.79,0.27,0.52,0.12,1.19,-0.42,0.13,0.04,0.1,-0.39,2.89,0.93,3.81,0.24,0.52,2.37,-0.82,1.75,0.91,-0.26,31757,15906,15851
2546,Carmelo Anthony,2016,2.13,0.87,1.51,0.89,0.63,0.78,0.0,-0.28,-0.43,-0.41,-0.01,-0.67,4.6,-0.88,3.72,0.4,1.16,3.44,0.21,-1.09,2.29,-1.1,25982,12992,12990
2738,Andre Iguodala,2016,1.65,0.0,0.52,0.43,0.09,0.24,0.79,-0.21,1.13,0.31,0.82,-0.11,2.41,1.26,3.67,-0.55,-0.46,2.87,-0.73,1.99,0.76,1.02,29918,14941,14977
200746,LaMarcus Aldridge,2016,0.28,0.63,0.9,0.65,0.25,0.6,1.18,0.08,-0.25,-0.28,0.02,0.27,2.21,1.43,3.64,0.66,1.54,0.67,0.34,1.09,1.5,0.02,31758,15881,15877
203109,Jae Crowder,2016,0.94,0.41,0.83,0.22,0.6,0.19,0.67,-0.5,1.27,0.97,0.31,-0.26,1.9,1.73,3.63,-0.01,0.99,0.91,-0.72,2.45,1.02,1.01,22071,10995,11076
203468,CJ McCollum,2016,-0.0,-0.27,1.22,0.69,0.53,-0.06,1.36,-0.03,-0.46,-0.78,0.31,0.83,1.73,1.78,3.51,0.62,1.02,0.71,0.65,1.13,1.16,0.37,19220,9615,9605
1717,Dirk Nowitzki,2016,2.87,0.46,1.53,0.47,1.06,-0.93,-0.36,0.41,-0.41,-0.64,0.23,0.81,3.95,-0.44,3.5,-0.01,0.41,3.54,0.28,-0.72,0.6,0.4,30343,15317,15026
203081,Damian Lillard,2016,2.84,1.28,1.38,0.3,1.07,0.3,0.01,-0.19,-0.89,-0.46,-0.42,0.24,4.47,-0.99,3.48,-0.4,-0.16,4.63,-0.18,-0.81,1.68,-0.65,37759,18911,18848
202322,John Wall,2016,1.45,0.57,1.07,0.37,0.72,-0.15,0.7,0.2,1.02,-0.11,1.13,-0.51,2.03,1.39,3.41,-0.17,-0.36,2.39,-0.41,1.8,0.92,0.51,36541,18301,18240
201588,George Hill,2016,1.96,0.49,1.13,0.51,0.61,-0.5,1.18,-0.04,-0.52,-0.3,-0.22,0.26,2.64,0.63,3.28,-0.23,-0.62,3.26,0.14,0.49,0.63,-0.26,27449,13750,13699
2754,Tony Allen,2016,-0.28,0.2,-0.64,-0.33,-0.31,1.59,0.79,-0.23,2.1,1.42,0.67,-0.12,0.66,2.58,3.23,-0.21,0.66,0.0,0.9,1.68,0.95,1.98,19375,9602,9773
201988,Patty Mills,2016,0.91,-0.47,0.02,-0.13,0.14,0.06,1.12,0.05,0.97,0.49,0.48,0.06,1.39,1.81,3.2,0.06,0.25,1.14,0.28,1.53,0.08,1.03,17935,8988,8947
203076,Anthony Davis,2016,1.42,0.58,0.91,0.15,0.76,-1.05,0.46,-0.04,0.05,0.13,-0.08,0.36,1.54,1.66,3.2,1.05,0.54,1.0,0.77,0.89,-0.14,0.41,27430,13705,13725
201144,Mike Conley,2016,0.83,0.27,1.9,1.06,0.83,-0.47,0.11,0.37,0.58,0.38,0.19,0.14,2.61,0.54,3.15,0.06,-0.08,2.69,0.46,0.08,1.43,0.72,25879,12952,12927
202697,Iman Shumpert,2016,0.85,-0.15,0.15,0.44,-0.28,0.06,1.41,-0.36,1.24,0.4,0.84,-0.38,1.05,2.03,3.08,-0.25,-0.17,1.22,-0.6,2.63,0.21,0.86,22060,10960,11100
