player_id,player_name,Latest_Year,oTS,oFT,oRIM_FREQ,oRIM_FG_PCT,oTHREE_FREQ,oTHREE_FG_PCT,oMIDRANGE_FREQ,oMIDRANGE_FG_PCT,oASSIST_POINTS,oTOV,oTOV_bp,oTOV_sc,oREB,dTS,dFT,dRIM_FREQ,dRIM_FG_PCT,dTHREE_FREQ,dTHREE_FG_PCT,dMIDRANGE_FREQ,dMIDRANGE_FG_PCT,dASSIST_POINTS,dTOV,dTOV_bp,dTOV_sc,dREB,off,def,net_rapm,RESID,o_sc,o_fc,d_sc,d_fc,o_pval,d_pval,possessions,off_poss,def_poss
203999,Nikola Jokic,2026,6.33,0.88,1.9,2.78,-1.69,0.99,-0.2,4.14,9.71,-0.24,-0.99,0.74,1.43,0.67,0.95,3.33,-0.45,-2.12,-0.38,-1.22,-0.32,-3.44,-0.85,-0.06,-0.79,2.31,6.74,2.5,9.24,-0.41,1.07,5.66,2.4,0.1,1.19,1.46,118517,59481,59036
201939,Stephen Curry,2026,7.03,0.74,2.91,1.75,4.73,2.52,-7.71,0.85,4.85,0.34,-0.45,0.79,0.59,-0.28,-0.37,-0.33,-0.96,0.93,0.42,-0.63,0.82,1.51,0.54,0.22,0.32,-0.66,8.18,-0.02,8.16,0.6,0.15,8.03,0.0,-0.02,0.93,-0.12,133729,67067,66662
202695,Kawhi Leonard,2026,4.16,0.82,-2.54,2.12,-0.49,1.83,3.03,2.08,1.41,1.73,1.03,0.71,-0.18,1.16,0.22,0.54,0.44,0.05,0.01,-0.58,0.82,0.36,0.59,0.35,0.24,0.57,5.72,2.08,7.8,-0.23,0.12,5.6,0.68,1.41,1.55,1.16,102271,51163,51108
1641705,Victor Wembanyama,2026,2.25,0.19,1.71,2.52,2.69,-0.51,-4.41,-0.51,4.93,-0.94,-0.9,-0.04,0.1,5.06,1.11,3.3,1.85,-3.06,0.38,-0.25,1.27,0.05,-0.42,-0.15,-0.27,1.47,1.51,6.05,7.56,0.04,0.16,1.35,1.12,4.93,-0.84,1.05,24797,12436,12361
203954,Joel Embiid,2026,3.96,2.13,-0.05,2.3,-2.2,0.56,2.25,0.72,0.43,-0.55,0.22,-0.77,-0.42,4.8,0.88,3.0,2.05,-0.67,0.93,-2.3,1.07,2.2,-1.49,-0.41,-1.08,0.92,2.78,4.21,6.99,-0.23,-0.65,3.42,0.62,3.59,-0.97,-0.57,72198,36190,36008
101108,Chris Paul,2026,3.45,0.02,-3.7,2.65,2.35,0.71,1.36,3.4,3.16,2.14,1.19,0.95,-1.47,1.5,0.15,0.3,0.76,0.25,0.54,-0.54,0.5,1.89,1.14,0.41,0.73,-0.17,4.43,2.41,6.84,0.25,-1.25,5.69,0.24,2.17,0.67,0.97,116479,58358,58121
2544,LeBron James,2026,5.33,0.1,3.6,4.79,2.22,0.89,-5.83,-0.27,3.37,0.19,-0.5,0.69,-0.47,0.95,0.4,0.4,0.76,-0.8,-0.05,0.42,0.18,-0.21,0.28,0.21,0.07,0.42,5.12,1.72,6.84,0.14,-0.56,5.67,0.33,1.39,-0.28,0.7,146914,73484,73430
1631096,Chet Holmgren,2026,2.98,-0.0,0.68,1.6,-1.8,0.6,1.1,1.39,1.26,-0.24,0.11,-0.35,0.36,4.11,0.89,2.38,3.13,-1.21,-0.17,-1.25,0.64,-0.2,-1.18,-0.58,-0.6,0.54,2.83,3.5,6.33,-0.24,0.52,2.31,-0.09,3.59,0.12,-0.64,27562,13785,13777
203507,Giannis Antetokounmpo,2026,3.05,0.19,4.45,3.49,-0.85,0.1,-3.62,-0.84,1.5,0.0,0.57,-0.56,-0.05,2.32,0.22,1.09,2.61,-1.4,0.5,0.31,0.04,0.67,0.11,0.23,-0.12,0.78,3.16,3.15,6.31,0.1,-0.32,3.48,0.98,2.18,-0.05,0.89,129165,64677,64488
1627936,Alex Caruso,2026,0.14,0.56,0.75,-0.1,1.93,-0.56,-2.72,-0.28,0.37,0.24,-0.05,0.28,0.05,2.23,-0.29,1.22,1.51,-2.66,0.97,1.44,0.82,3.93,3.56,1.58,1.97,0.07,0.61,5.4,6.01,-0.28,0.13,0.48,0.64,4.76,0.29,3.63,48096,24038,24058
1628369,Jayson Tatum,2026,2.66,0.59,0.6,0.29,2.32,0.74,-2.95,0.79,-0.12,1.08,0.61,0.47,0.04,1.88,0.46,-0.92,1.12,-0.09,0.73,1.0,0.46,2.14,-0.01,0.18,-0.2,0.26,4.02,1.95,5.97,0.06,0.42,3.6,0.61,1.35,1.12,0.25,101730,50944,50786
201142,Kevin Durant,2026,6.31,1.73,-2.07,3.59,-1.69,1.45,3.79,3.76,2.56,-0.04,-0.44,0.4,-0.7,1.48,0.06,-0.17,1.15,-0.64,0.52,0.84,0.93,1.84,-0.77,-0.44,-0.33,0.1,5.24,0.69,5.93,-0.45,-1.04,6.28,-0.31,1.0,-0.74,-0.67,124939,62596,62343
1630532,Franz Wagner,2026,2.25,0.66,3.36,1.35,-0.99,-0.84,-2.38,0.63,0.58,0.9,0.55,0.34,-0.08,0.96,-0.01,0.14,1.2,-0.46,0.2,0.33,-0.18,2.39,0.55,-0.17,0.72,1.38,2.97,2.59,5.56,-0.4,0.36,2.61,0.76,1.82,0.82,1.93,44264,22159,22105
202710,Jimmy Butler,2026,1.24,1.83,0.32,-0.19,-2.15,-0.18,1.86,0.12,-0.77,1.14,0.43,0.71,1.02,0.71,0.15,-0.93,0.45,0.61,0.75,0.33,-0.45,1.89,0.96,0.81,0.12,0.1,3.3,1.84,5.14,-0.03,0.87,2.43,0.35,1.49,2.16,1.06,123975,61989,61986
1642844,Dylan Harper,2026,0.69,0.31,1.8,-0.07,-1.41,-0.13,-0.4,0.07,0.09,0.56,1.02,-0.46,1.52,1.94,-0.51,0.89,0.77,0.69,0.58,-1.56,0.08,2.48,-0.09,0.07,-0.16,0.13,2.54,2.55,5.09,0.34,1.54,1.0,1.18,1.37,2.08,0.04,8022,4007,4015
203110,Draymond Green,2026,1.69,0.08,0.3,1.98,2.94,0.37,-3.25,-1.03,6.0,-0.57,-1.2,0.63,-1.46,3.46,0.5,3.42,2.47,-2.43,0.28,-0.97,0.67,0.95,1.21,0.43,0.79,0.89,-0.27,5.22,4.96,-0.26,-0.98,0.71,0.86,4.36,-2.03,2.1,128689,64318,64371
203497,Rudy Gobert,2026,-0.22,-0.51,1.62,1.1,-1.29,0.38,-0.31,-1.49,-1.94,-2.44,-1.73,-0.71,2.15,5.5,1.07,4.65,2.68,0.22,0.43,-4.83,1.49,2.35,-0.93,-0.4,-0.53,1.19,-0.94,5.88,4.95,-0.3,1.58,-2.52,1.06,4.82,-0.29,0.26,121593,60768,60825
202331,Paul George,2026,2.28,0.48,-1.09,0.22,2.36,1.16,-1.3,0.94,0.45,0.32,-0.24,0.56,-0.64,1.13,0.18,0.46,1.37,-1.65,0.01,1.19,0.53,1.65,1.49,0.58,0.92,0.21,2.01,2.89,4.9,0.11,-0.72,2.73,0.84,2.05,-0.32,1.7,115757,57926,57831
203081,Damian Lillard,2026,4.6,2.08,1.39,0.62,4.14,0.87,-5.48,0.52,-0.68,1.6,0.08,1.52,0.01,-0.12,-0.27,-1.02,-0.54,1.77,0.41,-0.74,0.2,1.91,-0.72,-0.87,0.15,-0.16,6.38,-1.49,4.89,-0.32,-0.23,6.6,-0.36,-1.13,1.61,-0.88,129454,64854,64600
201950,Jrue Holiday,2026,1.7,-0.24,1.18,0.92,1.91,0.33,-3.11,0.63,0.33,0.87,0.1,0.77,0.32,1.21,0.62,0.76,0.35,-1.47,0.25,0.73,0.39,1.38,0.55,0.05,0.49,0.36,2.71,2.1,4.81,-0.2,0.09,2.62,0.21,1.89,1.19,0.91,116734,58435,58299
1630529,Herbert Jones,2026,1.74,0.52,1.95,0.17,-0.55,0.14,-1.38,0.56,1.48,0.87,0.7,0.17,-0.53,0.95,-0.11,1.4,-0.25,-2.0,0.64,0.57,-0.39,1.23,1.63,1.16,0.46,0.11,1.69,2.98,4.67,-0.1,-0.84,2.53,0.49,2.49,0.34,1.74,37168,18587,18581
1628983,Shai Gilgeous-Alexander,2026,3.9,1.63,0.53,0.4,-0.22,0.7,-0.23,1.81,-2.73,1.68,1.09,0.59,-1.06,0.2,-0.38,-1.79,0.72,0.27,0.41,1.59,0.34,1.11,0.35,-0.19,0.55,-0.46,4.6,0.01,4.61,0.0,-0.88,5.49,-0.4,0.4,0.62,-0.11,81677,40867,40810
201935,James Harden,2026,5.29,2.21,0.95,1.67,5.53,0.22,-6.46,1.28,-0.34,0.24,0.11,0.13,0.07,-0.47,0.13,-0.7,-0.65,-1.0,0.19,1.71,0.19,-0.42,0.12,0.19,-0.07,-0.8,5.37,-0.82,4.56,0.11,-0.65,6.03,-0.42,-0.39,0.31,-0.68,155508,77804,77704
1938,Manu Ginobili,2026,2.81,0.93,2.49,1.04,1.78,0.42,-4.27,-0.39,3.17,-0.74,-1.28,0.54,-0.1,0.51,-0.61,0.35,0.14,1.08,0.55,-1.43,0.26,3.37,2.09,0.36,1.73,-0.23,2.82,1.61,4.43,0.09,0.05,2.76,-0.16,1.78,-0.84,1.86,31837,15982,15855
1641726,Dereck Lively II,2026,0.77,-0.48,-0.74,0.69,-1.15,0.72,1.9,-0.16,2.27,-0.26,-0.65,0.39,1.06,1.73,0.56,1.96,1.09,-1.43,-0.32,-0.51,-0.19,-1.37,0.03,0.25,-0.21,0.59,1.89,2.5,4.4,0.48,1.64,0.26,0.63,1.87,0.8,0.62,10975,5483,5492
1628392,Isaiah Hartenstein,2026,0.65,-0.23,-0.01,0.97,-2.0,-0.21,1.99,1.15,2.55,-0.95,-0.78,-0.17,2.33,1.68,0.52,1.82,2.07,-1.41,-0.18,-0.4,-0.44,-0.58,-0.1,0.3,-0.41,0.54,1.87,2.48,4.36,0.21,2.24,-0.36,0.24,2.24,1.38,0.44,40023,20019,20004
