player_id,player_name,Latest_Year,oTS,oFT,oTOV,oTOV_bp,oTOV_sc,oREB,dTS,dFT,dTOV,dTOV_bp,dTOV_sc,dREB,off,def,net_rapm,RESID,o_sc,o_fc,d_sc,d_fc,o_pval,d_pval,possessions,off_poss,def_poss
101108,Chris Paul,2014,1.93,0.05,0.14,0.31,-0.15,0.44,0.89,-0.34,1.0,0.56,0.44,0.29,2.59,2.63,5.23,0.54,0.04,2.55,0.74,1.89,0.58,1.29,10505,5263,5242
1938,Manu Ginobili,2014,4.2,0.64,0.21,-0.56,0.76,-0.86,0.39,0.05,0.93,0.07,0.85,0.06,4.16,0.94,5.1,0.17,-0.21,4.37,0.51,0.43,-0.65,0.99,8366,4215,4151
2738,Andre Iguodala,2014,2.44,-0.36,-0.04,0.07,-0.11,-0.22,1.52,0.17,0.94,0.44,0.49,0.18,2.05,2.3,4.35,-0.47,-0.21,2.26,-0.35,2.65,-0.26,1.12,8990,4491,4499
201142,Kevin Durant,2014,3.85,1.81,-0.33,0.08,-0.41,0.36,-0.06,-0.32,-0.43,-0.26,-0.16,0.65,3.72,0.14,3.85,-0.19,0.08,3.64,0.11,0.03,0.03,0.22,15505,7763,7742
201939,Stephen Curry,2014,2.79,0.2,0.53,0.08,0.43,-0.09,-0.06,-0.16,0.09,0.02,0.06,0.11,3.42,0.42,3.84,0.47,-0.16,3.58,-0.04,0.46,0.44,0.2,12467,6239,6228
101114,Deron Williams,2014,3.56,0.25,0.65,0.13,0.52,-1.11,-0.41,-0.13,1.42,0.54,0.88,-0.57,3.01,0.82,3.83,0.29,-1.19,4.2,-0.52,1.34,-0.46,0.85,9345,4674,4671
200746,LaMarcus Aldridge,2014,1.23,0.37,0.45,0.14,0.29,0.38,1.49,0.2,-0.5,-0.23,-0.27,0.58,2.0,1.73,3.73,0.1,0.83,1.17,0.27,1.46,0.83,0.08,11383,5683,5700
203109,Jae Crowder,2014,1.4,-0.15,0.16,0.09,0.07,-0.12,1.17,-0.04,0.92,0.45,0.46,0.49,1.21,2.4,3.61,-0.41,-0.21,1.42,0.51,1.89,0.04,1.41,5057,2500,2557
202697,Iman Shumpert,2014,0.19,-0.34,0.81,0.57,0.23,0.38,0.64,0.09,2.01,0.61,1.42,-0.21,1.47,2.14,3.61,-0.21,1.04,0.43,-0.04,2.18,1.19,1.8,7392,3669,3723
201609,Goran Dragic,2014,2.04,0.57,0.34,-0.01,0.35,0.22,0.65,-0.38,0.02,0.15,-0.12,-0.03,2.86,0.72,3.58,0.34,0.61,2.25,0.07,0.65,0.56,-0.01,10483,5251,5232
201935,James Harden,2014,2.27,1.27,0.36,0.28,0.08,0.72,0.86,0.18,-0.55,-0.53,-0.04,-0.23,3.17,0.33,3.5,0.07,0.94,2.23,-0.54,0.87,1.08,-0.78,11995,6020,5975
201980,Danny Green,2014,-0.39,-0.19,0.08,-0.8,0.88,-0.16,2.64,0.83,0.68,-0.1,0.78,-0.0,-0.32,3.56,3.24,0.39,-0.02,-0.3,-0.22,3.78,-0.08,0.68,8464,4240,4224
201937,Ricky Rubio,2014,1.55,0.8,0.04,-0.35,0.39,0.76,-0.64,0.33,1.14,0.56,0.56,0.41,2.16,1.04,3.19,-0.07,0.25,1.91,0.34,0.7,0.8,1.55,10721,5358,5363
2561,David West,2014,1.24,0.49,0.4,0.01,0.39,0.18,1.53,-0.45,-0.29,-0.2,-0.1,0.1,1.62,1.46,3.09,-0.07,-0.23,1.85,0.1,1.36,0.58,-0.19,11836,5946,5890
202695,Kawhi Leonard,2014,1.44,-0.1,0.09,0.25,-0.16,-0.84,1.54,0.03,0.44,0.1,0.34,0.86,0.4,2.61,3.01,-0.52,-0.73,1.13,0.57,2.04,-0.75,1.3,10339,5193,5146
201988,Patty Mills,2014,1.38,-0.12,0.16,-0.12,0.28,-0.33,1.04,0.04,0.33,0.05,0.27,0.34,1.49,1.49,2.98,0.06,0.1,1.39,0.29,1.2,-0.17,0.67,7264,3651,3613
201586,Serge Ibaka,2014,1.79,0.39,-0.27,0.16,-0.45,0.29,1.73,0.21,-0.07,0.28,-0.35,-0.54,1.22,1.68,2.9,-0.03,-0.27,1.49,-0.24,1.92,0.02,-0.61,12763,6395,6368
203521,Matthew Dellavedova,2014,-0.32,-0.05,0.72,0.45,0.27,0.86,0.63,-0.19,0.26,0.06,0.2,0.51,1.59,1.3,2.89,0.23,0.89,0.7,0.59,0.71,1.58,0.77,4805,2388,2417
200768,Kyle Lowry,2014,1.09,0.97,0.38,0.2,0.18,0.78,-0.3,-0.87,1.16,-0.01,1.18,-0.33,1.79,1.08,2.88,0.1,0.48,1.31,0.64,0.44,1.16,0.83,11957,5978,5979
2547,Chris Bosh,2014,2.63,0.29,-0.2,-0.36,0.16,-1.06,1.24,0.57,0.38,0.81,-0.44,-0.31,1.01,1.86,2.87,0.19,-0.94,1.95,0.35,1.51,-1.26,0.07,11952,5990,5962
202349,Greivis Vasquez,2014,0.4,0.24,-0.09,0.32,-0.41,-0.0,1.69,0.15,-0.17,0.26,-0.41,0.45,0.32,2.5,2.82,0.54,0.6,-0.28,0.22,2.28,-0.09,0.28,7296,3647,3649
101112,Channing Frye,2014,2.08,-0.37,0.59,0.68,-0.08,-0.26,-0.21,0.48,0.12,0.38,-0.24,0.28,2.73,0.08,2.81,0.21,-0.12,2.85,0.5,-0.42,0.33,0.4,9047,4541,4506
101162,Marcin Gortat,2014,0.33,-0.73,-0.07,-0.38,0.31,0.04,1.7,0.75,0.05,0.09,-0.04,0.24,0.25,2.52,2.77,0.48,-0.18,0.43,0.17,2.35,-0.03,0.29,11660,5841,5819
2544,LeBron James,2014,4.46,0.81,0.14,-0.21,0.35,-1.43,-0.64,-0.18,0.88,0.49,0.38,-0.61,3.3,-0.61,2.69,-0.11,-1.61,4.91,0.22,-0.83,-1.29,0.27,13639,6842,6797
201933,Blake Griffin,2014,1.79,0.53,0.34,0.13,0.21,-0.06,-0.06,0.04,0.68,0.61,0.07,-0.16,1.75,0.89,2.64,0.11,0.22,1.53,0.9,-0.01,0.28,0.52,13130,6581,6549
201593,Nikola Pekovic,2014,-0.33,-0.39,0.02,-0.05,0.07,0.83,0.25,0.53,0.02,0.38,-0.35,1.21,0.79,1.86,2.64,0.64,1.04,-0.25,0.74,1.12,0.85,1.23,6714,3359,3355
2555,Nick Collison,2014,-0.02,0.02,0.74,0.27,0.47,0.18,0.77,-0.13,0.48,-0.22,0.7,0.34,1.12,1.51,2.63,0.14,0.88,0.24,0.56,0.95,0.92,0.82,5924,2965,2959
202689,Kemba Walker,2014,-1.01,-0.04,1.07,0.87,0.2,-0.02,2.05,0.13,0.11,-0.26,0.37,0.54,0.23,2.33,2.56,-0.18,0.62,-0.39,0.35,1.98,1.05,0.65,10657,5334,5323
1717,Dirk Nowitzki,2014,1.5,0.42,0.81,0.34,0.48,-0.31,-0.65,0.0,0.42,0.13,0.28,0.55,2.47,0.06,2.53,0.21,0.75,1.72,0.64,-0.58,0.5,0.97,11044,5556,5488
101135,David Lee,2014,0.54,-0.34,-0.33,-0.16,-0.16,0.14,1.13,0.25,0.34,0.24,0.1,0.29,0.43,2.09,2.52,0.41,0.14,0.29,1.32,0.77,-0.19,0.63,9929,4969,4960
202691,Klay Thompson,2014,1.01,-0.18,0.38,-0.13,0.5,-0.39,1.45,0.34,-0.48,-0.06,-0.41,0.19,1.21,1.31,2.52,0.36,-0.33,1.54,-0.48,1.79,-0.01,-0.29,12340,6169,6171
201566,Russell Westbrook,2014,2.08,1.06,-0.09,-0.16,0.08,0.48,0.57,0.13,-0.2,0.07,-0.27,-0.28,2.23,0.27,2.51,-0.05,0.33,1.9,-0.02,0.29,0.39,-0.48,8742,4370,4372
201976,Patrick Beverley,2014,1.02,-0.34,-0.39,0.18,-0.56,1.09,0.54,-0.1,0.63,0.57,0.06,-0.19,1.72,0.78,2.49,-0.21,0.89,0.83,0.03,0.75,0.7,0.44,7553,3779,3774
202335,Patrick Patterson,2014,0.85,-0.07,1.07,0.29,0.77,-0.11,0.26,-0.21,0.62,0.15,0.49,-0.25,1.81,0.65,2.46,0.02,-0.16,1.97,-0.07,0.72,0.96,0.37,6503,3248,3255
202331,Paul George,2014,-0.04,0.59,-0.0,-0.19,0.19,0.04,1.09,0.23,0.81,0.16,0.66,0.51,0.21,2.22,2.44,0.03,-0.48,0.69,0.84,1.38,0.04,1.32,13764,6895,6869
2734,Devin Harris,2014,1.37,0.55,0.65,0.2,0.45,0.16,-0.15,-0.09,0.48,0.27,0.21,-0.14,2.73,-0.31,2.42,0.05,0.33,2.4,-0.44,0.13,0.81,0.34,3767,1877,1890
201149,Joakim Noah,2014,-0.59,-0.12,0.02,-0.2,0.22,0.88,1.53,0.44,0.2,-0.12,0.32,-0.27,0.33,1.9,2.23,0.46,0.99,-0.66,-0.08,1.98,0.9,-0.07,10908,5452,5456
201567,Kevin Love,2014,1.0,1.0,0.55,-0.18,0.73,0.45,0.02,0.17,-0.01,-0.39,0.38,0.22,2.21,-0.13,2.08,-0.15,0.59,1.62,0.21,-0.34,1.0,0.21,11351,5679,5672
2760,Anderson Varejao,2014,-0.4,-0.05,0.34,0.15,0.19,0.95,0.34,0.14,0.37,0.1,0.28,0.49,0.72,1.36,2.07,-0.02,0.55,0.17,-0.17,1.53,1.29,0.86,6756,3380,3376
101126,Nate Robinson,2014,0.21,-0.05,0.0,0.27,-0.27,0.29,1.47,-0.1,-0.11,-0.05,-0.06,-0.03,0.74,1.32,2.06,0.23,0.06,0.68,-0.62,1.94,0.29,-0.14,3336,1658,1678
202738,Isaiah Thomas,2014,1.55,1.25,-0.61,-0.09,-0.52,1.08,0.37,-0.56,0.43,0.16,0.27,0.13,1.79,0.26,2.05,-0.9,0.38,1.41,0.0,0.26,0.47,0.56,9767,4897,4870
2594,Kyle Korver,2014,1.59,-0.18,0.29,-0.02,0.32,-0.93,0.02,0.01,0.46,-0.05,0.51,0.39,1.19,0.8,1.99,0.17,0.23,0.96,0.21,0.59,-0.64,0.85,10364,5212,5152
201168,Tiago Splitter,2014,-1.53,-0.37,0.25,0.07,0.18,-0.2,2.38,0.61,0.77,0.0,0.76,-0.05,-1.3,3.24,1.94,0.32,0.45,-1.75,-0.23,3.47,0.05,0.72,6963,3486,3477
