player_id,player_name,Latest_Year,oTS,oFT,oRIM_FREQ,oRIM_FG_PCT,oTHREE_FREQ,oTHREE_FG_PCT,oMIDRANGE_FREQ,oMIDRANGE_FG_PCT,oASSIST_POINTS,oTOV,oTOV_bp,oTOV_sc,oREB,dTS,dFT,dRIM_FREQ,dRIM_FG_PCT,dTHREE_FREQ,dTHREE_FG_PCT,dMIDRANGE_FREQ,dMIDRANGE_FG_PCT,dASSIST_POINTS,dTOV,dTOV_bp,dTOV_sc,dREB,off,def,net_rapm,RESID,o_sc,o_fc,d_sc,d_fc,o_pval,d_pval,possessions,off_poss,def_poss
1628983,Shai Gilgeous-Alexander,2026,3.72,1.65,-1.92,0.99,0.66,0.23,1.27,1.75,-2.25,2.63,1.69,0.95,-0.7,1.83,-0.61,-0.3,1.46,-0.02,0.31,0.3,1.39,2.05,1.17,0.1,1.07,-0.49,6.53,2.01,8.54,0.38,-0.06,6.59,-0.83,2.84,1.93,0.68,25659,12840,12819
1641705,Victor Wembanyama,2026,2.38,0.5,1.19,1.92,1.58,-0.07,-2.78,-0.22,3.16,-0.27,-0.35,0.08,-0.2,4.88,0.62,3.56,1.69,-2.25,0.41,-1.29,1.63,2.36,-0.26,-0.15,-0.11,1.32,2.01,5.89,7.91,0.06,0.29,1.72,0.99,4.9,-0.47,1.06,16305,8197,8108
203999,Nikola Jokic,2026,5.06,1.18,1.97,1.6,-0.53,0.77,-1.43,1.79,6.47,0.63,-0.51,1.13,0.41,-0.13,0.16,1.76,-0.41,-1.15,0.04,-0.63,-0.41,-1.79,-0.48,-0.04,-0.44,1.45,6.7,0.52,7.23,0.29,0.61,6.09,1.48,-0.95,1.04,0.97,22988,11528,11460
203507,Giannis Antetokounmpo,2026,3.97,-0.14,4.29,1.55,-1.79,1.13,-2.51,-0.08,2.82,0.8,0.55,0.25,-0.27,1.96,0.2,0.81,0.5,0.1,0.36,-0.9,0.36,1.41,-0.74,-0.71,-0.03,0.66,5.1,1.7,6.8,0.42,-0.44,5.54,0.97,0.73,0.53,-0.08,14484,7237,7247
202695,Kawhi Leonard,2026,2.86,-0.02,-1.75,0.81,-1.18,1.09,2.92,1.39,1.79,1.92,0.63,1.29,-0.33,0.84,0.45,-0.16,-0.06,0.42,0.02,-0.24,0.32,0.1,0.39,0.3,0.08,-0.06,4.22,1.18,5.4,-0.22,0.2,4.03,-0.19,1.36,1.59,0.33,14038,7010,7028
1631096,Chet Holmgren,2026,1.69,0.08,1.78,0.39,-2.88,0.36,1.09,0.85,-1.23,-0.42,0.18,-0.6,0.52,3.59,0.86,1.78,2.51,-0.52,0.12,-1.26,0.3,0.9,-0.77,-0.34,-0.43,0.73,1.28,3.76,5.04,-0.3,0.41,0.87,0.46,3.3,0.1,-0.04,16452,8220,8232
1627936,Alex Caruso,2026,0.41,0.76,0.23,-0.72,1.05,0.47,-1.29,-0.29,0.87,0.42,-0.28,0.7,-0.55,1.51,-0.6,0.92,1.13,-1.35,0.26,0.44,1.09,4.11,2.91,1.05,1.86,-0.43,0.86,3.68,4.54,0.27,0.24,0.62,-0.17,3.85,-0.13,2.48,12126,6059,6067
1630169,Tyrese Haliburton,2026,2.39,-0.13,-0.33,0.18,1.57,0.96,-1.24,0.8,4.1,1.45,0.3,1.15,-0.53,0.26,0.25,-1.62,0.06,0.86,0.03,0.74,0.38,0.35,0.46,0.27,0.19,-0.33,3.78,0.66,4.44,0.74,-0.58,4.36,0.05,0.61,0.92,0.13,12940,6497,6443
203935,Marcus Smart,2026,0.99,0.41,0.1,0.41,-0.51,-0.02,0.4,0.64,0.23,0.64,0.22,0.43,-0.39,1.02,-0.4,1.02,-0.12,-0.42,0.9,-0.6,-0.42,2.97,1.39,0.34,1.06,0.3,1.22,2.95,4.17,0.22,-0.57,1.79,0.36,2.59,0.25,1.69,11282,5636,5646
1642844,Dylan Harper,2026,0.49,0.19,1.68,-0.17,-1.43,0.07,-0.27,-0.08,0.54,0.58,1.04,-0.45,1.03,1.75,-0.35,0.45,0.86,1.43,0.6,-1.88,0.14,2.62,-0.11,0.14,-0.24,0.45,1.59,2.56,4.15,-0.04,0.9,0.69,1.39,1.17,1.61,0.34,8218,4106,4112
