player_id,player_name,Latest_Year,oTS,oFT,oRIM_FREQ,oRIM_FG_PCT,oTHREE_FREQ,oTHREE_FG_PCT,oMIDRANGE_FREQ,oMIDRANGE_FG_PCT,oASSIST_POINTS,oTOV,oTOV_bp,oTOV_sc,oREB,dTS,dFT,dRIM_FREQ,dRIM_FG_PCT,dTHREE_FREQ,dTHREE_FG_PCT,dMIDRANGE_FREQ,dMIDRANGE_FG_PCT,dASSIST_POINTS,dTOV,dTOV_bp,dTOV_sc,dREB,off,def,net_rapm,RESID,o_sc,o_fc,d_sc,d_fc,o_pval,d_pval,possessions,off_poss,def_poss
1641705,Victor Wembanyama,2026,1.51,0.43,1.42,1.44,-0.19,0.01,-1.23,-0.37,1.15,0.01,-0.05,0.05,0.03,3.58,0.33,3.08,1.26,-2.56,0.28,-0.52,1.19,0.57,-0.09,0.31,-0.4,1.15,1.65,4.55,6.2,0.01,0.52,1.13,1.0,3.55,0.04,1.06,8807,4419,4388
1628983,Shai Gilgeous-Alexander,2026,3.3,1.16,-1.24,1.14,0.5,0.13,0.74,1.36,-2.21,2.07,1.16,0.91,-1.2,1.53,-0.26,0.17,1.29,0.24,-0.16,-0.41,1.0,1.08,0.63,0.13,0.5,-0.48,4.36,1.45,5.8,-0.05,-1.14,5.5,-0.72,2.16,0.87,0.15,10171,5086,5085
202695,Kawhi Leonard,2026,2.63,0.4,-1.85,0.56,0.26,0.68,1.59,1.07,0.46,1.05,0.48,0.56,0.03,1.24,0.4,0.07,-0.16,0.42,0.3,-0.5,0.24,0.45,0.44,0.4,0.04,-0.1,3.93,1.79,5.71,0.42,0.4,3.52,0.23,1.56,1.08,0.34,8314,4156,4158
1631096,Chet Holmgren,2026,1.4,-0.01,1.48,0.26,-2.42,0.35,0.94,0.79,-0.71,0.06,0.32,-0.26,0.29,2.43,0.39,1.34,1.55,-0.73,0.28,-0.61,0.09,0.72,-0.05,-0.04,-0.02,0.88,1.45,3.54,4.99,-0.02,0.68,0.77,0.48,3.06,0.35,0.83,8923,4453,4470
203999,Nikola Jokic,2026,3.86,0.97,1.44,0.61,0.61,0.6,-2.05,1.62,4.21,0.06,-0.77,0.83,-0.06,-0.38,0.1,0.32,-0.47,-0.24,0.06,-0.08,-0.37,-0.61,-0.29,0.0,-0.29,1.08,4.29,0.34,4.63,0.36,0.23,4.06,1.26,-0.92,0.0,0.79,10249,5142,5107
1630700,Dyson Daniels,2026,1.51,-0.22,0.41,0.2,-1.18,0.65,0.77,0.44,3.72,0.58,0.39,0.19,-0.06,0.86,0.0,-0.08,-0.15,0.29,0.44,-0.21,0.04,1.45,1.53,0.47,1.06,-0.12,2.23,2.13,4.36,0.06,-0.03,2.26,-0.02,2.15,0.52,1.41,11230,5598,5632
1627936,Alex Caruso,2026,0.99,0.6,0.02,0.34,0.7,0.1,-0.72,0.14,0.32,0.56,-0.05,0.6,-0.53,0.95,-0.38,1.07,0.29,-1.32,0.24,0.25,0.7,2.82,1.66,0.57,1.09,0.38,1.44,2.86,4.29,0.28,-0.01,1.45,0.09,2.77,0.03,2.04,4692,2339,2353
1630595,Cade Cunningham,2026,1.03,0.6,1.59,-0.2,-1.31,0.11,-0.28,0.07,-0.53,0.18,0.05,0.13,1.18,1.02,-0.06,0.84,1.11,-0.8,0.2,-0.03,-0.1,1.3,0.43,-0.09,0.53,0.47,2.24,2.05,4.29,-0.02,0.71,1.53,0.39,1.66,1.36,0.9,10405,5211,5194
1628389,Bam Adebayo,2026,1.34,0.51,-0.7,0.52,0.41,0.44,0.29,-0.4,1.73,0.58,0.6,-0.02,-0.03,0.37,0.26,1.05,-0.54,-0.04,-0.02,-1.0,0.38,1.49,0.27,0.06,0.21,1.57,2.05,2.1,4.14,0.04,0.23,1.82,1.51,0.58,0.55,1.84,9967,4993,4974
203935,Marcus Smart,2026,1.43,0.19,0.4,0.8,-0.45,0.26,0.05,0.38,1.43,0.58,0.05,0.53,-0.46,0.62,-0.04,0.88,-0.24,-0.92,0.52,0.04,-0.44,1.91,1.05,0.06,0.99,0.61,1.78,2.35,4.13,0.3,-0.55,2.33,0.62,1.73,0.12,1.66,8278,4138,4140
