player_id,player_name,Latest_Year,oTS,oFT,oTOV,oTOV_bp,oTOV_sc,oREB,dTS,dFT,dTOV,dTOV_bp,dTOV_sc,dREB,off,def,net_rapm,RESID,o_sc,o_fc,d_sc,d_fc,o_pval,d_pval,possessions,off_poss,def_poss
1628983,Shai Gilgeous-Alexander,2026,5.47,1.07,2.97,1.26,1.27,-1.57,1.84,-0.29,0.54,0.09,0.55,-0.27,6.87,1.85,8.72,-0.26,-0.86,7.73,-0.18,2.03,1.4,0.27,7830,3906,3924
203999,Nikola Jokic,2026,6.47,0.85,0.11,-0.82,0.96,0.24,-0.3,0.0,0.09,0.05,-0.19,1.5,7.11,1.4,8.51,0.4,0.34,6.77,1.18,0.22,0.35,1.59,7572,3799,3773
1641705,Victor Wembanyama,2026,2.88,0.32,-0.28,0.07,0.03,-0.12,4.2,0.12,0.16,0.32,-0.28,0.56,2.52,4.84,7.36,-0.04,0.03,2.49,0.53,4.31,-0.4,0.72,6219,3128,3091
202695,Kawhi Leonard,2026,3.48,0.43,1.76,0.58,0.74,-0.23,0.44,0.41,0.68,0.27,-0.03,0.29,5.19,1.46,6.64,0.22,0.23,4.96,0.68,0.78,1.53,0.97,6749,3375,3374
203507,Giannis Antetokounmpo,2026,3.69,-0.11,0.13,0.03,-0.19,0.25,1.15,-0.01,-0.6,-0.69,0.13,0.61,4.62,1.2,5.82,0.59,0.1,4.52,0.23,0.97,0.38,0.01,4267,2131,2136
202710,Jimmy Butler,2026,2.33,0.87,1.41,0.26,0.5,0.35,0.66,0.14,0.35,0.16,-0.17,0.38,4.49,1.13,5.61,0.13,0.33,4.16,0.34,0.79,1.76,0.73,4987,2494,2493
1630595,Cade Cunningham,2026,2.66,0.39,0.62,0.03,0.48,0.74,1.04,-0.07,0.14,-0.15,0.55,0.56,3.64,1.67,5.31,-0.45,0.52,3.12,0.67,1.0,1.36,0.7,8368,4197,4171
1628378,Donovan Mitchell,2026,3.38,0.26,1.31,0.19,0.82,-0.24,-0.11,-0.26,0.35,0.36,-0.1,0.31,4.7,0.53,5.23,0.23,0.35,4.35,0.14,0.39,1.07,0.66,8192,4108,4084
1627936,Alex Caruso,2026,0.9,0.44,0.49,-0.05,0.82,-0.67,1.44,-0.19,2.56,0.42,1.06,0.17,1.17,4.0,5.17,0.28,0.14,1.03,0.32,3.68,-0.18,2.73,3457,1721,1736
1628401,Derrick White,2026,0.43,-0.19,1.04,0.48,0.43,-0.26,3.15,0.26,0.28,0.04,0.33,0.28,1.43,3.65,5.08,0.16,0.2,1.23,0.55,3.1,0.78,0.56,8439,4215,4224
1642349,Ajay Mitchell,2026,1.48,0.51,1.02,0.51,0.55,-0.97,1.67,-0.17,1.27,0.46,0.62,0.26,1.83,3.14,4.97,0.24,-0.64,2.47,0.59,2.55,0.05,1.53,5029,2525,2504
203954,Joel Embiid,2026,4.34,0.63,0.41,0.63,0.03,-0.82,1.04,-0.06,-0.64,0.3,-0.77,0.05,4.03,0.59,4.62,0.24,0.12,3.91,-0.18,0.77,-0.41,-0.59,4214,2120,2094
1629029,Luka Doncic,2026,4.15,0.14,0.99,-0.41,1.03,-0.94,-0.11,0.35,-0.39,-0.01,-0.99,0.78,4.14,0.37,4.5,0.02,-0.64,4.78,0.84,-0.47,0.05,0.39,8281,4124,4157
1642357,David Jones Garcia,2026,1.96,-0.02,-0.73,-0.15,-0.02,2.15,-0.91,-0.14,2.14,0.26,0.15,-0.34,3.51,0.92,4.44,0.17,0.18,3.33,0.26,0.66,1.42,1.8,293,149,144
201142,Kevin Durant,2026,3.81,0.56,-0.82,-0.89,-0.31,0.52,1.44,0.04,-0.79,-0.41,0.01,0.81,2.45,1.6,4.04,-0.93,-0.03,2.48,0.32,1.28,-0.3,0.02,9112,4568,4544
1626164,Devin Booker,2026,2.82,0.8,-0.15,-0.17,-0.64,0.28,0.75,-0.32,0.28,0.15,0.42,-0.17,2.95,1.04,3.98,0.17,0.91,2.04,0.44,0.6,0.13,0.11,7053,3532,3521
1628374,Lauri Markkanen,2026,1.11,0.37,0.01,-0.31,-0.4,0.94,1.28,0.07,-0.29,0.21,-0.33,0.48,2.39,1.49,3.88,0.35,0.38,2.01,0.41,1.08,0.95,0.19,6129,3086,3043
1642864,Hugo González,2026,-0.48,-0.26,-0.32,0.72,-0.6,1.75,2.06,0.03,1.02,0.32,0.54,-0.02,1.03,2.84,3.88,-0.13,1.44,-0.41,-0.16,3.0,1.43,1.0,3683,1827,1856
201939,Stephen Curry,2026,4.98,0.31,-0.45,-1.08,0.33,0.0,-0.77,-0.01,-0.01,0.21,0.03,-0.3,4.83,-1.07,3.76,0.31,-0.26,5.09,-0.14,-0.93,-0.45,-0.31,5181,2592,2589
1630700,Dyson Daniels,2026,0.87,-0.21,0.71,0.51,0.46,-0.36,0.85,0.01,1.82,0.62,0.73,-0.29,1.32,2.35,3.68,0.08,0.02,1.3,-0.01,2.36,0.35,1.53,8853,4410,4443
1628389,Bam Adebayo,2026,0.67,0.51,0.59,0.84,-0.15,-0.06,0.47,0.31,0.22,0.09,0.33,1.63,1.26,2.22,3.49,-0.03,0.44,0.82,1.57,0.65,0.53,1.85,8081,4035,4046
1631221,Collin Gillespie,2026,1.02,-0.71,0.44,0.38,-0.12,-0.04,-0.02,0.14,0.95,0.16,0.46,0.32,1.89,1.57,3.46,0.79,-0.04,1.93,0.68,0.89,0.4,1.27,7672,3838,3834
203935,Marcus Smart,2026,1.7,0.17,0.34,0.15,0.46,-1.01,0.45,-0.08,1.34,0.09,0.67,0.66,0.89,2.54,3.43,-0.05,-0.82,1.71,0.78,1.76,-0.67,2.0,6519,3258,3261
1630163,LaMelo Ball,2026,1.84,-0.31,0.77,-0.34,1.05,1.19,-1.22,-0.15,0.17,-0.19,0.0,-0.03,4.34,-0.99,3.35,0.63,1.98,2.36,-0.4,-0.59,1.96,0.14,6350,3198,3152
