player_id,player_name,Latest_Year,oTS,oFT,oTOV,oTOV_bp,oTOV_sc,oREB,dTS,dFT,dTOV,dTOV_bp,dTOV_sc,dREB,off,def,net_rapm,RESID,o_sc,o_fc,d_sc,d_fc,o_pval,d_pval,possessions,off_poss,def_poss
1628983,Shai Gilgeous-Alexander,2026,6.4,1.12,3.2,1.29,1.36,-1.48,1.99,-0.31,0.51,0.11,0.56,-0.3,8.17,2.0,10.17,-0.15,-0.87,9.04,-0.16,2.16,1.72,0.21,9098,4549,4549
203999,Nikola Jokic,2026,7.5,0.88,-0.2,-0.85,1.01,0.14,-0.06,-0.01,-0.17,0.06,-0.18,1.63,7.71,1.36,9.07,0.23,0.37,7.34,1.22,0.14,-0.06,1.46,9255,4642,4613
1641705,Victor Wembanyama,2026,2.56,0.33,0.18,0.05,-0.0,0.18,4.96,0.11,-0.12,0.34,-0.29,0.98,3.14,5.63,8.77,0.03,0.08,3.06,0.56,5.07,0.36,0.86,7827,3930,3897
202695,Kawhi Leonard,2026,4.46,0.41,1.94,0.57,0.78,0.03,0.05,0.44,0.83,0.28,-0.05,0.06,6.67,1.08,7.75,0.38,0.22,6.45,0.7,0.38,1.97,0.89,8050,4025,4025
203507,Giannis Antetokounmpo,2026,3.82,-0.11,0.41,0.02,-0.21,0.46,1.68,-0.02,-0.43,-0.73,0.15,0.16,5.02,1.33,6.35,0.25,0.14,4.88,0.23,1.1,0.87,-0.27,4415,2209,2206
1630595,Cade Cunningham,2026,2.69,0.41,0.76,0.03,0.53,0.88,0.84,-0.07,0.27,-0.15,0.58,0.49,4.08,1.64,5.72,-0.21,0.54,3.54,0.71,0.93,1.64,0.76,8513,4261,4252
202710,Jimmy Butler,2026,2.36,0.92,1.36,0.3,0.55,0.66,0.45,0.15,0.21,0.16,-0.18,0.42,4.73,0.99,5.72,0.26,0.35,4.38,0.36,0.63,2.02,0.63,4824,2415,2409
1629660,Ty Jerome,2026,4.8,0.19,1.38,0.28,-0.26,0.21,-0.55,-0.19,0.21,0.0,-0.12,-0.56,6.43,-0.81,5.63,0.14,0.43,6.0,-0.62,-0.19,1.59,-0.35,1375,686,689
1629029,Luka Doncic,2026,4.87,0.15,1.24,-0.43,1.09,-0.88,-0.02,0.36,-0.12,-0.03,-1.09,0.58,5.13,0.49,5.63,-0.04,-0.64,5.77,0.9,-0.41,0.36,0.46,9479,4737,4742
1628378,Donovan Mitchell,2026,4.18,0.28,1.3,0.18,0.86,-0.42,-0.44,-0.27,0.19,0.37,-0.12,0.4,5.32,0.08,5.39,0.18,0.34,4.98,0.17,-0.09,0.88,0.59,9543,4778,4765
1628401,Derrick White,2026,0.03,-0.18,0.93,0.47,0.46,0.03,3.3,0.25,0.36,0.05,0.38,0.34,1.25,3.97,5.22,0.23,0.21,1.04,0.54,3.43,0.96,0.7,10030,5017,5013
1630700,Dyson Daniels,2026,1.03,-0.21,0.61,0.53,0.49,0.2,1.31,0.01,1.69,0.64,0.8,-0.03,2.03,2.81,4.84,0.03,0.05,1.98,-0.03,2.84,0.81,1.66,10308,5140,5168
1628369,Jayson Tatum,2026,2.15,0.01,1.05,0.22,0.16,-0.27,1.09,-0.08,-0.36,-0.05,-0.08,0.87,3.04,1.74,4.78,0.25,-0.23,3.27,0.37,1.37,0.78,0.51,1934,962,972
201939,Stephen Curry,2026,5.75,0.32,-0.26,-1.1,0.34,-0.33,-0.9,-0.02,0.17,0.23,0.02,-0.16,5.43,-0.77,4.66,0.39,-0.28,5.71,-0.15,-0.62,-0.59,0.01,5365,2687,2678
203935,Marcus Smart,2026,1.23,0.18,0.59,0.17,0.49,-0.84,1.06,-0.1,1.54,0.09,0.74,0.66,1.14,3.29,4.43,0.19,-0.82,1.96,0.79,2.5,-0.25,2.2,6922,3462,3460
201950,Jrue Holiday,2026,1.7,-0.18,-0.03,-0.63,0.55,0.63,1.43,0.23,0.71,0.13,1.09,0.28,2.09,2.32,4.41,-0.31,-0.0,2.09,0.06,2.26,0.6,0.99,6133,3068,3065
1641706,Brandon Miller,2026,1.52,0.33,-0.58,-0.1,-0.88,0.95,2.08,0.14,-0.33,-0.21,-0.65,0.18,2.33,2.04,4.36,0.54,0.61,1.72,0.67,1.37,0.37,-0.15,7694,3858,3836
1631096,Chet Holmgren,2026,1.4,0.03,-0.24,0.25,-0.48,-0.36,3.38,0.46,-0.77,-0.11,-0.24,0.85,0.64,3.69,4.33,0.07,0.31,0.33,0.57,3.12,-0.6,0.08,7961,3973,3988
1628374,Lauri Markkanen,2026,1.04,0.41,0.03,-0.32,-0.41,1.13,1.77,0.08,-0.33,0.21,-0.36,0.41,2.36,1.79,4.14,0.09,0.41,1.95,0.39,1.4,1.16,0.08,6095,3052,3043
1642349,Ajay Mitchell,2026,1.48,0.53,1.2,0.5,0.58,-1.07,0.92,-0.18,1.01,0.49,0.67,0.21,1.91,2.16,4.07,0.32,-0.68,2.59,0.64,1.52,0.13,1.22,5876,2952,2924
