player_id,player_name,Latest_Year,oTS,oFT,oTOV,oTOV_bp,oTOV_sc,oREB,dTS,dFT,dTOV,dTOV_bp,dTOV_sc,dREB,off,def,net_rapm,RESID,o_sc,o_fc,d_sc,d_fc,o_pval,d_pval,possessions,off_poss,def_poss
1628983,Shai Gilgeous-Alexander,2026,5.76,1.12,2.78,1.0,1.06,-1.18,1.91,-0.31,0.47,0.1,0.52,-0.22,7.37,2.04,9.4,-0.12,-0.87,8.24,-0.16,2.2,1.6,0.25,9098,4549,4549
203999,Nikola Jokic,2026,6.91,0.88,0.15,-0.66,0.78,0.07,-0.06,-0.01,-0.2,0.06,-0.17,1.48,7.29,1.23,8.52,0.17,0.37,6.92,1.22,0.01,0.22,1.28,9255,4642,4613
1641705,Victor Wembanyama,2026,2.6,0.33,0.26,0.04,-0.0,0.06,4.56,0.11,-0.11,0.31,-0.26,0.85,3.01,5.2,8.21,-0.01,0.08,2.93,0.56,4.64,0.32,0.74,7827,3930,3897
202695,Kawhi Leonard,2026,3.99,0.41,1.61,0.44,0.6,-0.15,-0.24,0.44,0.83,0.25,-0.04,0.06,5.62,0.77,6.39,0.29,0.22,5.4,0.7,0.07,1.46,0.89,8050,4025,4025
1629029,Luka Doncic,2026,4.89,0.15,0.94,-0.34,0.85,-0.72,-0.09,0.36,0.01,-0.02,-1.0,0.54,5.05,0.5,5.55,-0.02,-0.64,5.69,0.9,-0.4,0.22,0.55,9479,4737,4742
1630595,Cade Cunningham,2026,2.66,0.41,0.63,0.03,0.41,0.71,0.92,-0.07,0.25,-0.14,0.53,0.43,3.79,1.63,5.42,-0.18,0.54,3.25,0.71,0.92,1.34,0.68,8513,4261,4252
203507,Giannis Antetokounmpo,2026,2.86,-0.11,0.34,0.01,-0.16,0.37,1.52,-0.02,-0.37,-0.66,0.14,0.2,3.78,1.3,5.08,0.16,0.14,3.64,0.23,1.07,0.71,-0.17,4415,2209,2206
1629660,Ty Jerome,2026,4.18,0.19,1.28,0.22,-0.21,0.22,-0.5,-0.19,0.29,0.0,-0.11,-0.49,5.7,-0.64,5.06,0.08,0.43,5.27,-0.62,-0.02,1.5,-0.2,1375,686,689
1628378,Donovan Mitchell,2026,3.63,0.28,1.08,0.14,0.67,-0.21,-0.3,-0.27,0.16,0.33,-0.11,0.32,4.64,0.14,4.78,0.1,0.34,4.3,0.17,-0.03,0.87,0.48,9543,4778,4765
1628401,Derrick White,2026,-0.03,-0.18,0.94,0.36,0.36,0.05,3.04,0.25,0.27,0.05,0.35,0.27,1.11,3.58,4.69,0.15,0.21,0.9,0.54,3.04,0.99,0.54,10030,5017,5013
202710,Jimmy Butler,2026,1.79,0.92,1.19,0.23,0.43,0.71,0.26,0.15,0.25,0.15,-0.17,0.35,3.89,0.8,4.68,0.13,0.35,3.54,0.36,0.44,1.9,0.6,4824,2415,2409
201142,Kevin Durant,2026,3.56,0.61,-0.53,-0.7,-0.26,0.56,1.59,0.04,-0.92,-0.38,-0.0,0.72,2.91,1.53,4.43,-0.55,-0.04,2.95,0.33,1.2,0.03,-0.2,11023,5528,5495
1628369,Jayson Tatum,2026,1.91,0.01,1.02,0.17,0.12,-0.29,1.04,-0.08,-0.28,-0.05,-0.07,0.77,2.7,1.63,4.33,0.16,-0.23,2.93,0.37,1.26,0.73,0.49,1934,962,972
201950,Jrue Holiday,2026,1.74,-0.18,-0.12,-0.49,0.43,0.79,1.22,0.23,0.56,0.11,1.0,0.27,2.27,2.0,4.27,-0.19,-0.0,2.27,0.06,1.94,0.67,0.83,6133,3068,3065
1629011,Mitchell Robinson,2026,-1.47,-0.68,-1.08,-0.17,-0.3,4.57,1.13,-0.09,0.49,-0.06,0.36,0.28,2.2,1.88,4.07,0.15,1.91,0.29,0.15,1.73,3.49,0.77,4589,2280,2309
201939,Stephen Curry,2026,4.75,0.32,-0.11,-0.85,0.26,-0.41,-0.64,-0.02,0.16,0.2,0.01,-0.12,4.39,-0.52,3.87,0.24,-0.28,4.67,-0.15,-0.37,-0.52,0.04,5365,2687,2678
1631105,Jalen Duren,2026,1.18,-0.06,-0.24,0.05,0.1,2.42,0.25,-0.26,0.05,0.17,0.92,0.5,3.04,0.78,3.83,-0.33,0.63,2.41,-0.28,1.06,2.18,0.55,7823,3918,3905
1629680,Matisse Thybulle,2026,-0.4,0.02,-1.28,-0.06,-0.34,0.61,1.54,-0.21,3.95,0.55,0.91,-0.72,-0.94,4.77,3.83,0.13,-0.77,-0.17,-0.45,5.22,-0.67,3.23,1779,887,892
1641706,Brandon Miller,2026,1.36,0.33,-0.38,-0.08,-0.69,0.77,1.75,0.14,-0.31,-0.19,-0.6,0.13,2.04,1.68,3.72,0.4,0.61,1.43,0.67,1.01,0.39,-0.18,7694,3858,3836
1631096,Chet Holmgren,2026,1.15,0.03,-0.12,0.19,-0.37,-0.57,3.09,0.46,-0.72,-0.1,-0.22,0.73,0.4,3.32,3.72,0.16,0.31,0.09,0.57,2.75,-0.69,0.01,7961,3973,3988
1642349,Ajay Mitchell,2026,1.15,0.53,0.99,0.39,0.45,-0.74,1.0,-0.18,0.97,0.44,0.61,0.12,1.56,2.12,3.68,0.19,-0.68,2.24,0.64,1.48,0.25,1.09,5876,2952,2924
1628392,Isaiah Hartenstein,2026,-0.32,-0.41,-1.18,-0.27,-0.16,1.63,1.93,0.27,0.44,0.35,0.6,0.93,0.39,3.21,3.61,0.18,0.84,-0.45,0.35,2.86,0.45,1.37,4586,2294,2292
1630194,Paul Reed,2026,-0.22,-0.29,-0.96,-0.41,-0.22,2.22,1.21,0.14,1.49,0.32,0.56,-0.26,1.12,2.38,3.5,0.02,0.82,0.3,0.1,2.28,1.26,1.23,3450,1717,1733
1628374,Lauri Markkanen,2026,0.91,0.41,0.32,-0.25,-0.32,0.8,1.41,0.08,-0.36,0.19,-0.33,0.31,2.14,1.35,3.49,0.1,0.41,1.73,0.39,0.96,1.12,-0.05,6095,3052,3043
1630559,Austin Reaves,2026,3.09,0.83,-0.16,0.09,-0.26,-0.64,0.26,0.09,0.41,-0.01,0.36,0.17,2.38,1.06,3.44,0.31,-0.61,2.99,0.5,0.56,-0.8,0.58,7093,3548,3545
1630700,Dyson Daniels,2026,0.14,-0.21,0.37,0.41,0.38,0.18,1.15,0.01,1.51,0.58,0.74,0.03,0.84,2.6,3.44,0.06,0.05,0.79,-0.03,2.63,0.55,1.54,10308,5140,5168
1629674,Neemias Queta,2026,-0.6,-0.58,-0.13,0.3,0.01,1.17,2.82,0.53,-0.2,0.31,-0.21,0.49,0.43,2.9,3.33,-0.22,0.29,0.14,0.3,2.6,1.04,0.29,7304,3652,3652
1627936,Alex Caruso,2026,-0.25,0.45,0.11,-0.04,0.73,-0.44,0.82,-0.21,2.49,0.4,1.07,0.19,-0.33,3.42,3.1,0.18,0.13,-0.46,0.32,3.1,-0.33,2.68,4064,2028,2036
