player_id,player_name,Latest_Year,oTS,oFT,oRIM_FREQ,oRIM_FG_PCT,oTHREE_FREQ,oTHREE_FG_PCT,oMIDRANGE_FREQ,oMIDRANGE_FG_PCT,oASSIST_POINTS,oTOV,oTOV_bp,oTOV_sc,oREB,dTS,dFT,dRIM_FREQ,dRIM_FG_PCT,dTHREE_FREQ,dTHREE_FG_PCT,dMIDRANGE_FREQ,dMIDRANGE_FG_PCT,dASSIST_POINTS,dTOV,dTOV_bp,dTOV_sc,dREB,off,def,net_rapm,RESID,o_sc,o_fc,d_sc,d_fc,o_pval,d_pval,possessions,off_poss,def_poss
893,Michael Jordan,2000,2.91,0.92,-1.86,0.89,-0.14,-0.07,2.01,1.33,0.59,2.28,1.23,1.06,1.27,1.19,0.03,0.14,1.07,-0.23,0.24,0.09,0.01,1.93,0.41,0.16,0.25,-0.03,6.21,1.77,7.98,-0.05,0.99,5.22,-0.09,1.86,3.55,0.38,28673,14347,14326
406,Shaquille O'Neal,2000,3.85,-1.76,3.35,3.8,-2.35,1.33,-1.0,0.9,5.52,-0.7,-0.76,0.06,0.79,2.52,0.72,3.46,0.59,0.57,-0.24,-4.03,0.92,0.68,-0.81,-0.27,-0.53,0.23,4.3,2.72,7.02,1.14,1.02,3.28,-0.52,3.24,0.09,-0.58,41780,20942,20838
1713,Vince Carter,2000,3.11,0.63,-1.05,0.85,-0.08,0.85,1.12,0.88,3.94,2.29,0.86,1.43,0.36,0.38,-0.4,1.15,-0.0,0.06,0.11,-1.2,0.14,1.71,-0.24,0.25,-0.49,-0.05,5.67,0.55,6.22,0.37,0.71,4.96,0.26,0.29,2.65,-0.29,18837,9427,9410
56,Gary Payton,2000,2.01,-0.43,0.88,2.34,4.34,0.06,-5.23,-0.48,2.86,2.63,1.18,1.45,-0.18,-0.26,0.23,1.7,-0.6,-2.26,-0.07,0.55,0.12,-0.76,1.34,1.12,0.23,-0.03,5.12,0.6,5.72,0.21,0.62,4.5,-0.23,0.82,2.45,1.31,48044,24126,23918
304,John Stockton,2000,2.12,0.4,1.02,1.52,-1.83,0.36,0.83,1.05,4.35,0.71,-0.07,0.78,0.2,0.61,0.21,0.93,0.5,-0.69,-0.05,-0.24,-0.22,0.72,0.95,-0.01,0.96,0.61,2.5,2.54,5.04,-0.16,-0.09,2.6,0.73,1.81,0.91,1.56,38476,19256,19220
255,Grant Hill,2000,2.89,0.75,1.24,1.46,-0.87,1.37,-0.37,-0.34,0.15,1.55,0.93,0.63,-0.07,0.07,-0.19,1.52,-0.01,-0.62,-0.12,-0.9,-0.11,0.99,0.77,0.26,0.52,-0.37,4.05,0.86,4.91,0.07,0.46,3.59,-0.12,0.98,1.48,0.4,41752,20931,20821
708,Kevin Garnett,2000,1.85,-0.32,-0.81,0.75,-2.78,-0.0,3.58,2.45,5.44,0.36,0.04,0.32,0.23,1.62,0.14,-0.98,1.44,0.46,0.32,0.52,0.12,2.07,0.5,0.55,-0.04,0.28,2.38,2.52,4.9,0.06,0.56,1.82,-0.18,2.7,0.59,0.78,44298,22199,22099
252,Karl Malone,2000,6.22,2.85,3.03,1.61,-2.18,1.07,-0.85,2.09,4.6,0.23,-0.45,0.69,-0.69,-0.52,-0.66,0.04,0.51,0.04,0.0,-0.09,-0.27,1.74,-0.07,-0.49,0.42,0.52,5.24,-0.36,4.88,-0.81,-2.06,7.3,0.28,-0.64,-0.46,0.45,48428,24237,24191
764,David Robinson,2000,1.16,0.62,1.73,1.45,-1.47,0.5,-0.25,-0.84,1.36,-0.22,-0.52,0.3,-0.34,3.6,1.0,2.69,1.23,0.76,0.2,-3.45,0.24,1.15,-0.3,-0.17,-0.13,0.35,0.71,4.14,4.85,0.6,0.11,0.6,-0.05,4.19,-0.56,0.05,28206,14124,14082
896,Tim Hardaway,2000,0.27,0.06,-2.01,-0.07,4.42,0.24,-2.4,0.66,-0.18,3.11,1.24,1.86,-0.13,0.46,-0.2,1.06,0.45,-0.06,0.05,-0.99,0.49,1.5,-0.27,-0.06,-0.21,0.11,4.0,0.68,4.68,1.13,0.54,3.46,-0.46,1.14,2.98,-0.16,38669,19346,19323
