player_id,player_name,Latest_Year,oTS,oFT,oTOV,oTOV_bp,oTOV_sc,oREB,dTS,dFT,dTOV,dTOV_bp,dTOV_sc,dREB,off,def,net_rapm,RESID,o_sc,o_fc,d_sc,d_fc,o_pval,d_pval,possessions,off_poss,def_poss
406,Shaquille O'Neal,1999,3.78,-0.77,-0.45,-0.52,0.06,0.58,1.46,0.5,-0.76,-0.3,-0.46,0.17,4.4,1.69,6.09,1.31,0.53,3.87,-0.61,2.3,0.13,-0.59,17714,8891,8823
297,Alonzo Mourning,1999,2.03,0.08,-0.46,-0.32,-0.14,0.46,3.6,0.62,-0.08,-0.09,0.01,-0.23,1.64,3.68,5.32,0.0,0.76,0.88,-0.12,3.8,0.0,-0.31,14068,7055,7013
739,Rasheed Wallace,1999,2.39,0.18,-0.4,-0.54,0.14,-0.69,2.15,-0.21,0.39,-0.07,0.46,1.36,1.0,4.07,5.07,-0.13,-0.12,1.12,1.21,2.86,-1.09,1.75,17928,8990,8938
893,Michael Jordan,1999,1.86,0.58,1.26,0.56,0.69,1.23,0.6,0.01,0.19,0.08,0.11,0.14,3.99,1.0,4.99,-0.29,0.46,3.53,0.2,0.8,2.49,0.33,14414,7209,7205
252,Karl Malone,1999,4.94,2.39,-0.09,-0.4,0.33,-0.49,0.71,-0.32,-0.6,-0.84,0.24,0.74,4.22,0.61,4.83,-0.38,-1.58,5.8,0.49,0.12,-0.58,0.14,22098,11057,11041
764,David Robinson,1999,1.0,0.6,-0.28,-0.27,-0.01,-0.2,3.74,0.75,-0.37,-0.08,-0.3,0.29,0.75,4.04,4.79,0.61,0.09,0.66,-0.11,4.15,-0.48,-0.08,17703,8861,8842
304,John Stockton,1999,2.29,0.62,0.38,-0.26,0.65,0.28,1.14,0.28,0.25,-0.41,0.65,0.42,2.34,2.18,4.51,-0.25,-0.3,2.64,0.68,1.5,0.66,0.67,15101,7552,7549
109,Robert Horry,1999,2.07,0.18,0.09,-0.31,0.4,0.07,1.58,0.54,0.98,0.54,0.45,-0.33,2.31,2.19,4.5,0.04,-0.22,2.53,-0.41,2.6,0.16,0.65,13296,6668,6628
762,Shawn Bradley,1999,-0.48,-0.28,0.24,-0.25,0.48,0.51,3.59,0.75,-0.36,0.23,-0.59,-0.07,0.45,3.54,3.99,0.56,0.42,0.03,0.45,3.09,0.75,-0.43,11129,5549,5580
87,Dikembe Mutombo,1999,-0.31,-0.31,0.12,0.49,-0.38,0.56,3.99,1.25,-0.73,-0.56,-0.18,0.37,0.14,3.71,3.86,-0.14,0.86,-0.72,0.22,3.49,0.68,-0.36,18279,9150,9129
717,Arvydas Sabonis,1999,1.26,0.35,0.15,-0.33,0.48,-0.41,1.92,0.69,-0.72,-0.36,-0.36,1.17,1.15,2.69,3.84,0.47,-0.25,1.4,1.61,1.08,-0.26,0.45,15156,7649,7507
389,Toni Kukoc,1999,0.03,0.07,0.82,0.27,0.55,0.29,2.67,0.44,0.27,0.41,-0.13,-0.32,1.16,2.64,3.8,0.04,-0.15,1.31,-0.37,3.01,1.11,-0.05,16090,8056,8034
1114,Jaren Jackson,1999,-0.54,-0.16,0.22,-0.05,0.26,0.31,2.74,0.38,-0.66,-0.43,-0.23,1.51,0.24,3.46,3.71,0.13,0.4,-0.16,1.67,1.79,0.53,0.85,13636,6790,6846
1112,Ben Wallace,1999,-0.51,-0.73,0.0,0.47,-0.47,0.81,2.65,0.02,0.78,0.5,0.26,-0.05,0.05,3.64,3.69,0.01,0.46,-0.41,0.85,2.79,0.81,0.73,8819,4379,4440
96,Detlef Schrempf,1999,1.8,0.22,0.81,0.6,0.21,0.46,0.78,0.31,-0.37,-0.43,0.05,0.38,2.99,0.7,3.69,-0.17,-0.38,3.37,-0.78,1.48,1.27,0.01,17438,8747,8691
65,Greg Minor,1999,0.28,-0.23,0.47,0.19,0.28,0.99,0.27,-0.14,0.95,0.61,0.33,0.25,1.97,1.67,3.64,0.43,1.08,0.89,0.35,1.32,1.46,1.2,7101,3554,3547
1495,Tim Duncan,1999,1.84,-0.59,0.09,-0.26,0.35,-0.48,2.31,0.49,-0.82,-0.58,-0.25,0.49,1.87,1.75,3.62,0.19,0.4,1.47,-0.27,2.02,-0.39,-0.33,22510,11230,11280
