player_id,player_name,Latest_Year,oALT_TS,oALT_EFG,oALT_FT,oALT_TOV,oALT_TOV_bp,oALT_TOV_sc,oSC,dALT_TS,dALT_EFG,dALT_FT,dALT_TOV,dALT_TOV_bp,dALT_TOV_sc,dSC,oFC,dFC,off,def,net_rapm,RESID,possessions,off_poss,def_poss
406,Shaquille O'Neal,2002,3.79,4.65,-0.86,-0.09,-0.39,0.29,1.89,3.39,2.4,0.99,-0.94,-0.34,-0.61,-0.41,3.7,2.45,5.59,2.04,7.63,-0.0,41327,20750,20577
304,John Stockton,2002,2.98,2.26,0.72,0.27,-0.14,0.41,0.47,0.68,0.79,-0.11,1.69,0.49,1.2,1.09,3.25,2.37,3.72,3.46,7.18,0.0,29840,14899,14941
1495,Tim Duncan,2002,1.55,1.59,-0.04,-0.01,-0.08,0.07,0.5,4.07,3.49,0.58,-0.57,-0.1,-0.46,0.63,1.54,3.5,2.04,4.13,6.17,0.0,37823,18961,18862
1713,Vince Carter,2002,2.33,2.37,-0.04,1.2,0.65,0.55,1.92,0.42,0.63,-0.21,-0.06,0.09,-0.16,-0.13,3.53,0.36,5.45,0.23,5.67,-0.01,34228,17140,17088
448,Bo Outlaw,2002,0.87,1.33,-0.46,-1.07,-0.72,-0.36,1.99,2.95,2.38,0.57,1.1,0.59,0.51,-0.76,-0.2,4.05,1.79,3.29,5.09,0.01,26217,13102,13115
345,Terry Porter,2002,2.7,2.26,0.44,0.17,-0.19,0.36,-0.81,2.39,2.25,0.14,0.26,0.0,0.26,0.33,2.87,2.65,2.06,2.98,5.03,-0.01,18870,9456,9414
1717,Dirk Nowitzki,2002,3.32,2.72,0.6,0.84,0.07,0.79,-0.59,1.05,0.51,0.54,0.09,0.21,-0.12,0.05,4.16,1.14,3.57,1.19,4.75,-0.01,37320,18701,18619
224,Eddie Jones,2002,0.92,0.6,0.32,0.32,-0.18,0.51,-0.26,1.91,2.16,-0.25,0.88,0.73,0.15,0.61,1.24,2.79,0.98,3.4,4.38,0.0,31180,15609,15571
1718,Paul Pierce,2002,2.91,1.98,0.93,0.27,0.07,0.21,-0.56,0.57,0.07,0.5,0.62,0.68,-0.06,0.47,3.18,1.19,2.62,1.66,4.28,0.0,37023,18560,18463
965,Derek Fisher,2002,0.27,-0.59,0.86,1.14,0.69,0.44,-0.02,1.47,1.79,-0.32,0.56,-0.17,0.71,0.86,1.41,2.03,1.39,2.89,4.28,0.0,22798,11417,11381
708,Kevin Garnett,2002,2.08,1.97,0.11,0.23,0.16,0.08,0.27,1.15,0.84,0.31,0.44,0.42,0.02,0.1,2.31,1.59,2.58,1.69,4.27,0.0,37533,18845,18688
739,Rasheed Wallace,2002,2.21,2.1,0.11,-0.36,-0.31,-0.04,-0.37,1.91,1.87,0.04,0.34,0.02,0.33,0.46,1.85,2.25,1.48,2.71,4.19,0.0,34917,17464,17453
136,P.J. Brown,2002,2.43,2.48,-0.05,-0.05,-0.05,-0.0,0.86,0.69,0.24,0.45,-0.02,-0.28,0.26,0.27,2.38,0.67,3.24,0.94,4.18,0.0,31016,15424,15592
951,Ray Allen,2002,3.48,3.21,0.27,0.32,0.17,0.15,0.49,-0.14,0.07,-0.21,-0.2,0.14,-0.34,-0.06,3.8,-0.34,4.29,-0.4,3.9,0.01,35619,17851,17768
87,Dikembe Mutombo,2002,-0.04,0.09,-0.13,-0.61,-0.06,-0.55,0.39,4.97,3.48,1.49,-1.41,-0.65,-0.76,0.58,-0.65,3.56,-0.26,4.14,3.87,-0.01,34870,17445,17425
124,Vlade Divac,2002,0.12,0.55,-0.43,-0.37,-0.01,-0.35,0.28,2.95,1.69,1.26,0.05,-0.19,0.24,0.8,-0.25,3.0,0.03,3.8,3.83,0.0,32427,16286,16141
