player_id,player_name,Latest_Year,oRIM_FREQ,oRIM_FG_PCT,oTHREE_FREQ,oTHREE_FG_PCT,oMIDRANGE_FREQ,oMIDRANGE_FG_PCT,oASSIST_POINTS,oALT_TS,oALT_EFG,oALT_FT,oALT_TOV,oALT_TOV_bp,oALT_TOV_sc,oSC,dRIM_FREQ,dRIM_FG_PCT,dTHREE_FREQ,dTHREE_FG_PCT,dMIDRANGE_FREQ,dMIDRANGE_FG_PCT,dASSIST_POINTS,dALT_TS,dALT_EFG,dALT_FT,dALT_TOV,dALT_TOV_bp,dALT_TOV_sc,dSC,oFC,dFC,off,def,net_rapm,RESID,possessions,off_poss,def_poss
708,Kevin Garnett,2003,-0.62,0.64,-1.29,0.47,1.91,1.72,3.86,2.99,2.79,0.2,0.62,0.3,0.32,0.78,0.65,0.36,-0.56,0.43,-0.09,0.37,1.19,2.22,2.01,0.21,0.03,-0.01,0.04,-0.21,3.61,2.25,4.39,2.04,6.44,0.01,13468,6776,6692
1495,Tim Duncan,2003,1.18,0.62,0.8,-0.28,-1.99,0.54,0.06,1.65,1.32,0.33,0.51,-0.0,0.52,1.05,0.43,1.15,0.63,0.31,-1.06,0.3,1.47,2.86,2.44,0.42,-0.25,-0.26,0.02,0.04,2.16,2.61,3.21,2.65,5.86,0.0,15491,7780,7711
1717,Dirk Nowitzki,2003,-1.32,0.99,1.83,0.67,-0.51,0.98,0.74,2.93,1.73,1.2,1.22,0.53,0.7,-0.58,-0.21,0.52,-0.43,0.12,0.64,0.22,-0.07,1.32,1.11,0.21,0.28,0.23,0.05,-0.33,4.15,1.6,3.57,1.27,4.84,-0.0,14633,7350,7283
406,Shaquille O'Neal,2003,3.05,2.04,-1.23,0.98,-1.83,0.74,3.94,4.34,4.49,-0.15,-0.1,-0.06,-0.04,0.37,1.72,-0.16,-0.24,-0.57,-1.48,-0.11,-0.79,0.23,-0.14,0.37,-0.62,-0.28,-0.35,0.26,4.24,-0.39,4.61,-0.13,4.48,0.0,11521,5787,5734
714,Michael Finley,2003,-1.0,0.16,0.82,0.68,0.18,0.3,0.25,1.12,1.22,-0.1,1.0,0.35,0.66,0.38,0.08,0.54,-0.49,0.08,0.4,0.46,1.46,1.38,1.52,-0.14,0.26,0.42,-0.16,-0.15,2.12,1.64,2.5,1.49,3.99,0.0,13118,6596,6522
717,Arvydas Sabonis,2003,1.22,0.27,-1.08,0.16,-0.14,0.97,3.53,1.97,1.78,0.19,0.18,-0.18,0.36,0.06,0.66,0.09,-0.48,0.16,-0.18,-0.19,0.36,1.15,1.23,-0.08,0.6,0.39,0.2,-0.14,2.15,1.75,2.21,1.61,3.83,0.01,4733,2382,2351
731,Greg Ostertag,2003,0.89,0.79,-1.94,0.32,1.05,0.75,4.23,0.72,1.63,-0.91,-0.95,-0.54,-0.41,1.09,1.1,0.86,-0.23,0.07,-0.87,0.33,0.03,2.41,1.84,0.57,-0.13,-0.19,0.06,0.52,-0.23,2.28,0.86,2.8,3.66,-0.0,7421,3695,3726
739,Rasheed Wallace,2003,0.19,0.83,1.08,-0.02,-1.26,0.82,2.1,2.37,2.68,-0.31,-0.37,-0.54,0.17,-0.08,0.84,-0.08,-0.22,0.16,-0.62,0.09,-0.1,1.64,1.17,0.47,0.28,-0.15,0.43,-0.29,2.0,1.92,1.92,1.63,3.55,0.0,10658,5337,5321
1503,Tracy McGrady,2003,0.25,-0.64,3.13,1.15,-3.38,1.01,0.67,2.88,1.89,0.99,0.97,0.3,0.67,0.31,-0.64,-0.8,0.27,0.1,0.36,-0.09,0.8,-1.17,-0.9,-0.27,0.41,0.45,-0.04,0.04,3.85,-0.76,4.16,-0.72,3.44,0.0,12513,6263,6250
1938,Manu Ginobili,2003,1.56,0.07,1.16,-0.1,-2.71,-0.66,-0.63,-0.21,-0.61,0.4,0.1,0.35,-0.24,1.16,-0.4,0.16,-0.14,0.05,0.55,-0.22,0.76,1.11,0.98,0.13,0.82,0.26,0.56,0.33,-0.11,1.93,1.05,2.26,3.3,-0.01,7821,3902,3919
