player_id,player_name,Latest_Year,oRIM_FREQ,oRIM_FG_PCT,oTHREE_FREQ,oTHREE_FG_PCT,oMIDRANGE_FREQ,oMIDRANGE_FG_PCT,oASSIST_POINTS,oALT_TS,oALT_EFG,oALT_SQ,oALT_MAKE,oALT_FT,oALT_TOV,oALT_TOV_bp,oALT_TOV_sc,oSC,dRIM_FREQ,dRIM_FG_PCT,dTHREE_FREQ,dTHREE_FG_PCT,dMIDRANGE_FREQ,dMIDRANGE_FG_PCT,dASSIST_POINTS,dALT_TS,dALT_EFG,dALT_SQ,dALT_MAKE,dALT_FT,dALT_TOV,dALT_TOV_bp,dALT_TOV_sc,dSC,oFC,dFC,off,def,net_rapm,RESID,possessions,off_poss,def_poss
1641705,Victor Wembanyama,2026,1.46,1.54,0.22,-0.02,-1.67,-0.52,1.33,0.97,0.59,1.13,-0.54,0.38,-0.02,0.07,-0.09,0.86,3.49,1.26,-2.68,0.48,-0.81,1.32,0.59,4.03,3.7,0.55,3.15,0.33,0.02,0.27,-0.24,0.69,0.95,4.05,1.81,4.74,6.54,-0.01,10272,5177,5095
202695,Kawhi Leonard,2026,-1.84,0.55,0.25,0.68,1.6,1.07,0.55,2.65,2.37,0.56,1.81,0.28,0.71,0.28,0.43,0.62,0.07,-0.16,0.42,0.3,-0.48,0.24,0.38,1.11,0.77,-0.27,1.04,0.34,0.39,0.3,0.09,0.2,3.36,1.5,3.98,1.7,5.68,0.0,8362,4176,4186
1628983,Shai Gilgeous-Alexander,2026,-1.53,0.94,0.52,0.17,1.01,1.32,-2.05,3.82,2.67,0.19,2.48,1.15,1.49,0.96,0.53,-0.83,0.08,1.28,0.18,-0.19,-0.25,1.03,0.71,1.29,1.64,0.02,1.62,-0.35,0.44,0.0,0.45,-0.9,5.31,1.73,4.48,0.83,5.32,0.01,11448,5722,5726
1631096,Chet Holmgren,2026,1.35,0.3,-2.8,0.31,1.45,0.93,-0.84,1.08,1.15,0.34,0.81,-0.07,-0.11,0.19,-0.3,0.52,1.07,1.74,-0.73,0.31,-0.34,0.1,0.82,3.11,2.7,0.43,2.27,0.41,-0.1,0.0,-0.11,0.51,0.97,3.01,1.49,3.52,5.01,0.0,9976,4979,4997
1627936,Alex Caruso,2026,-0.24,0.1,1.05,0.2,-0.81,0.24,0.76,1.06,0.38,0.07,0.31,0.68,0.45,-0.04,0.49,0.12,0.94,0.44,-1.38,0.31,0.44,0.78,3.41,1.69,2.11,0.59,1.52,-0.42,1.53,0.53,0.99,0.15,1.51,3.22,1.63,3.37,5.0,0.0,5561,2774,2787
203999,Nikola Jokic,2026,1.52,0.61,0.61,0.59,-2.13,1.6,4.32,4.48,3.56,1.57,1.99,0.92,-0.17,-0.77,0.6,0.12,0.27,-0.48,-0.26,0.07,-0.0,-0.37,-0.71,-1.04,-0.99,0.07,-1.06,-0.05,-0.1,0.08,-0.18,1.35,4.31,-1.14,4.43,0.21,4.65,0.01,10298,5168,5130
1630700,Dyson Daniels,2026,0.42,0.2,-1.19,0.65,0.77,0.44,3.82,1.79,2.02,0.17,1.85,-0.23,0.54,0.35,0.19,0.01,-0.1,-0.16,0.29,0.44,-0.19,0.03,1.4,1.11,1.1,-0.03,1.13,0.01,0.97,0.25,0.71,0.07,2.33,2.08,2.34,2.15,4.49,0.0,11291,5623,5668
1642349,Ajay Mitchell,2026,1.05,1.0,-0.92,0.04,-0.13,0.58,-0.55,2.17,1.7,0.24,1.46,0.47,0.71,0.48,0.24,-0.58,1.36,1.15,-0.25,-0.57,-1.11,0.49,1.34,0.35,0.45,0.51,-0.06,-0.1,1.2,0.49,0.71,0.58,2.88,1.55,2.3,2.13,4.43,0.0,7275,3651,3624
1628389,Bam Adebayo,2026,-0.7,0.52,0.41,0.44,0.29,-0.4,1.77,1.4,0.89,-0.59,1.48,0.51,0.34,0.48,-0.14,0.32,1.04,-0.55,-0.04,-0.02,-0.99,0.38,1.47,0.4,0.1,0.34,-0.24,0.3,0.25,0.08,0.17,1.45,1.74,0.65,2.06,2.1,4.16,0.0,10030,5024,5006
1629674,Neemias Queta,2026,-0.21,0.71,-0.87,-0.35,1.08,0.49,0.5,0.16,0.64,0.82,-0.18,-0.48,0.12,0.24,-0.13,0.35,2.13,1.42,-0.95,0.25,-1.19,0.4,0.77,3.62,3.08,0.78,2.3,0.54,-0.25,0.08,-0.34,0.07,0.28,3.37,0.63,3.44,4.07,0.0,8084,4034,4050
