player_id,player_name,Latest_Year,oRIM_FREQ,oRIM_FG_PCT,oTHREE_FREQ,oTHREE_FG_PCT,oMIDRANGE_FREQ,oMIDRANGE_FG_PCT,oASSIST_POINTS,oALT_TS,oALT_EFG,oALT_SQ,oALT_MAKE,oALT_FT,oALT_TOV,oALT_TOV_bp,oALT_TOV_sc,oSC,dRIM_FREQ,dRIM_FG_PCT,dTHREE_FREQ,dTHREE_FG_PCT,dMIDRANGE_FREQ,dMIDRANGE_FG_PCT,dASSIST_POINTS,dALT_TS,dALT_EFG,dALT_SQ,dALT_MAKE,dALT_FT,dALT_TOV,dALT_TOV_bp,dALT_TOV_sc,dSC,oFC,dFC,off,def,net_rapm,RESID,possessions,off_poss,def_poss
1628983,Shai Gilgeous-Alexander,2026,-1.360,1.520,0.580,0.180,0.770,1.670,-2.840,4.680,3.310,0.070,3.240,1.370,1.918,1.124,0.794,-1.058,0.250,1.030,0.030,-0.130,-0.280,0.720,1.210,1.440,1.750,0.130,1.620,-0.310,0.515,0.029,0.486,-0.435,6.598,1.955,5.540,1.520,7.060,-0.000,9792,4896,4896
202695,Kawhi Leonard,2026,-2.330,0.690,0.380,0.900,1.940,1.430,0.870,3.300,2.940,0.620,2.320,0.360,1.065,0.398,0.667,0.645,0.150,-0.100,0.350,0.230,-0.500,0.220,0.400,1.090,0.760,-0.110,0.870,0.330,0.322,0.268,0.054,0.248,4.365,1.412,5.010,1.660,6.670,0.000,8314,4156,4158
1641705,Victor Wembanyama,2026,1.620,1.740,-0.390,0.040,-1.230,-0.450,1.390,1.490,1.180,1.640,-0.460,0.310,-0.101,-0.142,0.041,0.711,2.510,0.970,-2.110,0.220,-0.390,0.930,0.500,2.980,2.730,0.440,2.290,0.250,0.044,0.308,-0.264,0.916,1.389,3.024,2.100,3.940,6.050,0.010,8383,4210,4173
203999,Nikola Jokic,2026,1.940,0.840,0.670,0.650,-2.590,2.010,4.580,4.820,3.730,1.470,2.260,1.090,-0.311,-0.960,0.649,0.391,0.260,-0.450,-0.240,0.080,-0.010,-0.320,-0.470,-0.700,-0.660,0.150,-0.810,-0.040,-0.111,0.057,-0.168,1.141,4.509,-0.811,4.900,0.330,5.230,0.000,10249,5142,5107
1630700,Dyson Daniels,2026,0.550,0.260,-1.470,0.840,0.920,0.560,4.350,2.110,2.300,-0.190,2.490,-0.190,0.743,0.496,0.247,0.147,-0.120,-0.130,0.230,0.350,-0.110,0.030,1.290,0.980,0.960,-0.110,1.070,0.020,0.943,0.292,0.651,0.087,2.853,1.923,3.000,2.010,5.000,-0.010,11230,5598,5632
1631096,Chet Holmgren,2026,1.820,0.080,-2.940,0.430,1.120,0.960,-0.650,0.870,0.940,0.490,0.450,-0.070,-0.180,0.261,-0.441,0.920,1.260,1.250,-0.740,0.260,-0.520,0.010,0.790,2.780,2.370,0.310,2.060,0.410,0.181,0.086,0.095,0.399,0.690,2.961,1.610,3.360,4.960,-0.010,8563,4273,4290
202710,Jimmy Butler,2026,0.340,-0.190,-0.270,0.690,-0.080,-0.080,0.670,2.570,1.600,0.170,1.430,0.970,0.454,0.212,0.242,0.566,-0.230,-0.250,0.290,0.680,-0.060,-0.280,1.370,0.730,0.550,-0.130,0.680,0.180,0.068,0.128,-0.060,0.332,3.024,0.798,3.590,1.130,4.720,0.000,4824,2415,2409
203507,Giannis Antetokounmpo,2026,3.750,0.990,-0.820,0.790,-2.940,-0.480,1.860,3.320,3.370,2.060,1.310,-0.050,0.496,0.360,0.136,0.154,-0.060,0.320,0.690,0.030,-0.630,0.200,0.820,0.680,0.610,0.080,0.530,0.070,-0.436,-0.528,0.092,0.156,3.816,0.244,3.970,0.400,4.360,-0.010,4415,2209,2206
1628389,Bam Adebayo,2026,-0.940,0.670,0.460,0.560,0.480,-0.520,1.910,1.750,1.190,-0.570,1.760,0.560,0.377,0.564,-0.187,0.333,0.900,-0.420,-0.000,0.000,-0.890,0.330,1.360,0.350,0.110,0.350,-0.240,0.240,0.222,0.023,0.199,1.318,2.127,0.572,2.460,1.890,4.360,0.010,9967,4993,4974
1642349,Ajay Mitchell,2026,1.160,0.920,-0.970,-0.040,-0.190,0.490,-0.800,2.030,1.370,0.130,1.240,0.660,0.823,0.499,0.324,-0.433,1.380,0.980,-0.440,-0.450,-0.940,0.290,1.000,0.460,0.480,0.270,0.210,-0.020,0.928,0.261,0.667,0.562,2.853,1.388,2.420,1.950,4.360,-0.010,6432,3232,3200
1630170,Devin Vassell,2026,-0.270,1.190,0.320,0.950,-0.040,0.340,2.360,3.180,3.070,0.100,2.970,0.110,0.153,0.277,-0.124,-0.223,0.110,0.200,1.300,0.520,-1.410,0.390,1.800,1.990,1.910,0.380,1.530,0.080,-0.448,-0.119,-0.329,-0.382,3.333,1.542,3.110,1.160,4.270,-0.000,9147,4581,4566
1628378,Donovan Mitchell,2026,-0.850,1.530,0.530,0.600,0.310,0.550,0.090,2.710,2.380,0.370,2.010,0.330,1.201,0.533,0.668,0.219,1.190,0.060,-0.550,-0.060,-0.650,-0.110,0.420,-0.230,0.030,0.550,-0.520,-0.260,0.195,0.348,-0.153,0.135,3.911,-0.035,4.130,0.100,4.230,0.000,10668,5340,5328
203935,Marcus Smart,2026,0.370,1.000,-0.230,0.380,-0.150,0.500,1.960,2.450,2.210,0.100,2.110,0.240,0.536,0.097,0.439,-0.906,0.700,-0.240,-0.810,0.500,0.110,-0.330,1.550,0.770,0.760,0.420,0.340,0.010,0.838,0.241,0.597,0.522,2.986,1.608,2.080,2.130,4.220,0.010,7898,3950,3948
1630595,Cade Cunningham,2026,1.780,-0.260,-1.240,0.100,-0.550,0.340,-0.140,1.680,1.040,0.500,0.540,0.640,0.258,0.064,0.194,0.782,0.630,0.910,-0.710,0.070,0.080,0.000,0.820,0.630,0.700,0.140,0.560,-0.070,0.523,0.182,0.341,0.257,1.938,1.153,2.720,1.410,4.130,0.000,9937,4975,4962
1630188,Jalen Smith,2026,0.410,-0.170,1.960,1.240,-2.370,-0.420,4.920,2.530,2.770,0.390,2.380,-0.240,0.078,0.242,-0.164,0.832,0.340,0.780,-0.080,-0.280,-0.260,-0.120,-0.280,0.550,0.530,0.090,0.440,0.020,-0.200,-0.286,0.086,0.330,2.608,0.350,3.440,0.680,4.120,0.000,4578,2286,2292
1630540,Miles McBride,2026,-0.310,-0.040,2.330,0.440,-2.020,-0.810,0.700,-0.280,-0.540,0.940,-1.480,0.260,1.009,0.885,0.124,2.211,0.560,-0.270,-0.130,0.370,-0.430,0.160,2.420,0.770,0.800,0.060,0.740,-0.030,0.230,0.277,-0.047,0.020,0.729,1.000,2.940,1.020,3.960,0.000,4840,2431,2409
1628401,Derrick White,2026,-1.730,0.750,1.720,-0.240,0.020,0.370,1.830,0.160,0.390,0.720,-0.330,-0.230,0.698,0.511,0.187,0.132,1.120,0.970,-0.870,0.340,-0.260,0.260,1.630,2.250,1.970,0.250,1.720,0.280,0.187,0.010,0.177,0.443,0.858,2.437,0.990,2.880,3.870,0.000,11191,5598,5593
1630577,Julian Champagnie,2026,-0.250,0.220,0.820,1.120,-0.570,0.420,1.580,2.300,2.020,0.180,1.840,0.280,0.396,0.186,0.210,-0.256,0.860,0.170,0.180,0.040,-1.040,0.300,-0.140,1.080,0.500,0.040,0.460,0.580,-0.095,0.148,-0.243,0.415,2.696,0.985,2.440,1.400,3.850,0.010,10205,5118,5087
