player_id,player_name,Latest_Year,oALT_TS,oALT_EFG,oALT_SQ,oALT_MAKE,oALT_FT,oALT_TOV,oALT_TOV_bp,oALT_TOV_sc,oSC,dALT_TS,dALT_EFG,dALT_SQ,dALT_MAKE,dALT_FT,dALT_TOV,dALT_TOV_bp,dALT_TOV_sc,dSC,oFC,dFC,off,def,net_rapm,RESID,possessions,off_poss,def_poss
1628983,Shai Gilgeous-Alexander,2026,3.94,2.86,0.06,2.8,1.08,1.64,0.89,0.76,-1.2,1.92,2.22,0.32,1.9,-0.3,0.43,-0.03,0.47,-0.64,5.58,2.35,4.38,1.71,6.09,0.0,9221,4611,4610
1641705,Victor Wembanyama,2026,1.49,1.19,1.33,-0.14,0.3,-0.07,-0.07,0.01,0.38,3.5,3.24,0.48,2.76,0.26,-0.05,0.37,-0.42,0.8,1.42,3.45,1.8,4.25,6.05,0.0,7936,3984,3952
202695,Kawhi Leonard,2026,2.88,2.51,0.58,1.93,0.37,0.79,0.33,0.47,0.21,1.39,1.05,-0.11,1.16,0.34,0.31,0.28,0.03,0.18,3.67,1.7,3.88,1.88,5.76,0.0,8314,4156,4158
203999,Nikola Jokic,2026,4.61,3.76,1.38,2.38,0.85,-0.12,-0.76,0.65,0.03,-0.61,-0.6,0.22,-0.82,-0.01,-0.21,0.01,-0.22,1.27,4.49,-0.82,4.52,0.45,4.97,-0.0,9459,4744,4715
1631096,Chet Holmgren,2026,0.71,0.76,0.45,0.31,-0.05,-0.16,0.19,-0.35,0.42,3.46,2.96,0.48,2.48,0.5,0.1,0.02,0.08,0.36,0.55,3.56,0.97,3.92,4.89,0.0,8086,4035,4051
1628401,Derrick White,2026,0.61,0.74,0.74,-0.0,-0.13,0.59,0.52,0.06,0.03,2.99,2.68,0.41,2.27,0.31,0.27,-0.01,0.28,0.29,1.2,3.26,1.23,3.55,4.78,0.0,10227,5115,5112
1630700,Dyson Daniels,2026,1.81,1.97,-0.07,2.04,-0.16,0.69,0.34,0.35,-0.06,1.41,1.46,0.03,1.43,-0.05,0.93,0.24,0.69,-0.2,2.5,2.34,2.44,2.14,4.58,0.0,10569,5271,5298
203935,Marcus Smart,2026,2.2,1.98,0.14,1.84,0.22,0.54,0.19,0.35,-0.85,1.21,1.22,0.51,0.71,-0.01,0.98,0.34,0.64,0.36,2.74,2.19,1.89,2.55,4.44,0.0,7103,3552,3551
1628389,Bam Adebayo,2026,1.6,1.09,-0.51,1.6,0.51,0.34,0.5,-0.17,0.07,0.49,0.2,0.42,-0.22,0.29,0.26,0.03,0.22,1.43,1.94,0.75,2.01,2.18,4.19,0.0,9967,4993,4974
202710,Jimmy Butler,2026,2.19,1.42,0.18,1.24,0.77,0.31,0.13,0.19,0.18,1.1,0.88,-0.1,0.98,0.22,-0.03,0.13,-0.15,0.18,2.5,1.07,2.68,1.25,3.93,-0.0,4824,2415,2409
