player_id,player_name,Latest_Year,oALT_EFG_VALUE,oALT_EFG_RIM,oALT_EFG_RIM_FREQ,oALT_EFG_RIM_FG,oALT_EFG_MID,oALT_EFG_MID_FREQ,oALT_EFG_MID_FG,oALT_EFG_THREE,oALT_EFG_THREE_FREQ,oALT_EFG_THREE_FG,oALT_FT,oALT_TOV_VALUE,oSC,oFC,oDISPLAY_SUM,oRESID,oALT_TOV_VALUE_bp,oALT_TOV_VALUE_sc,oALT_TOV_VALUE_split,oASSIST_POINTS,oRIM_ASSIST,dALT_EFG_VALUE,dALT_EFG_RIM,dALT_EFG_RIM_FREQ,dALT_EFG_RIM_FG,dALT_EFG_MID,dALT_EFG_MID_FREQ,dALT_EFG_MID_FG,dALT_EFG_THREE,dALT_EFG_THREE_FREQ,dALT_EFG_THREE_FG,dALT_FT,dALT_TOV_VALUE,dSC,dFC,dDISPLAY_SUM,dRESID,dALT_TOV_VALUE_bp,dALT_TOV_VALUE_sc,dALT_TOV_VALUE_split,dASSIST_POINTS,dRIM_ASSIST,nALT_EFG_VALUE,nALT_EFG_RIM,nALT_EFG_RIM_FREQ,nALT_EFG_RIM_FG,nALT_EFG_MID,nALT_EFG_MID_FREQ,nALT_EFG_MID_FG,nALT_EFG_THREE,nALT_EFG_THREE_FREQ,nALT_EFG_THREE_FG,nALT_FT,nALT_TOV_VALUE,nSC,nDISPLAY_SUM,RESID,nALT_TOV_VALUE_bp,nALT_TOV_VALUE_sc,nALT_TOV_VALUE_split,nASSIST_POINTS,nRIM_ASSIST,off,def,net_rapm,possessions,off_poss,def_poss
1628983,Shai Gilgeous-Alexander,2026,2.855,0.74,-0.135,0.875,1.456,-0.101,1.557,0.659,-0.003,0.662,1.592,1.989,-0.436,6.436,6.0,-0.017,1.204,0.945,2.149,-3.118,-0.868,1.762,0.757,0.022,0.735,0.785,-0.071,0.856,0.22,-0.004,0.224,-0.353,1.025,-0.454,2.434,1.98,0.003,-0.003,0.735,0.732,1.527,0.504,4.615,1.496,-0.114,1.61,2.241,-0.172,2.413,0.878,-0.008,0.886,1.238,3.013,-0.89,7.98,-0.013,1.2,1.68,2.88,-1.592,-0.363,5.983,1.983,7.967,70619,35347,35272
203999,Nikola Jokic,2026,5.951,2.151,0.194,1.957,2.321,0.221,2.1,1.479,-0.001,1.48,0.995,-0.692,0.549,6.254,6.803,-0.026,-0.926,0.661,-0.265,8.202,2.25,-0.893,-0.429,0.144,-0.573,-0.243,0.106,-0.349,-0.221,-0.002,-0.219,0.262,0.041,1.483,-0.59,0.893,0.013,0.142,-0.391,-0.249,-1.753,0.17,5.058,1.722,0.338,1.384,2.078,0.327,1.751,1.258,-0.003,1.261,1.257,-0.651,2.032,7.696,-0.013,-0.784,0.27,-0.514,6.449,2.42,6.777,0.906,7.683,82445,41365,41080
202695,Kawhi Leonard,2026,3.198,0.41,-0.28,0.69,1.147,-0.409,1.556,1.641,-0.002,1.643,0.409,1.561,0.163,5.168,5.331,0.001,0.511,0.852,1.363,1.892,-0.446,0.701,0.03,-0.031,0.061,0.455,0.046,0.409,0.216,-0.005,0.221,0.254,0.313,0.157,1.268,1.425,0.0,0.354,0.052,0.406,0.639,-0.024,3.897,0.44,-0.311,0.751,1.6,-0.364,1.964,1.857,-0.007,1.864,0.663,1.874,0.32,6.756,0.0,0.866,0.905,1.771,2.531,-0.47,5.332,1.425,6.756,49269,24635,24634
203507,Giannis Antetokounmpo,2026,4.024,2.791,0.617,2.174,0.211,0.635,-0.424,1.022,0.033,0.989,-0.249,0.644,0.037,4.419,4.456,0.0,0.626,-0.122,0.504,2.692,1.417,1.416,0.867,0.141,0.726,0.211,0.166,0.045,0.338,-0.026,0.364,0.188,-0.695,0.954,0.909,1.863,0.001,-0.496,-0.278,-0.774,1.306,0.729,5.442,3.659,0.759,2.9,0.423,0.802,-0.379,1.36,0.007,1.353,-0.061,-0.052,0.991,6.319,0.001,0.13,-0.4,-0.27,3.997,2.146,4.456,1.864,6.32,66337,33247,33090
1641705,Victor Wembanyama,2026,1.751,2.165,0.248,1.917,-0.057,0.482,-0.539,-0.357,-0.01,-0.347,0.141,-0.512,0.213,1.38,1.593,0.008,-0.638,-0.075,-0.713,4.058,1.837,3.304,1.536,0.31,1.226,1.057,0.098,0.959,0.711,0.021,0.69,0.522,-0.269,0.856,3.557,4.413,0.003,0.071,-0.221,-0.15,0.78,1.186,5.054,3.701,0.558,3.143,0.999,0.579,0.42,0.354,0.011,0.343,0.663,-0.781,1.069,6.006,0.011,-0.566,-0.296,-0.862,4.838,3.023,1.601,4.416,6.017,23489,11760,11729
201939,Stephen Curry,2026,5.212,1.529,0.31,1.219,1.183,0.666,0.517,2.5,0.011,2.489,0.283,-0.134,0.2,5.361,5.561,0.004,-0.599,0.359,-0.24,5.153,1.715,-0.697,-0.408,0.089,-0.497,0.026,0.049,-0.023,-0.315,-0.008,-0.307,-0.122,-0.061,0.292,-0.88,-0.588,0.002,-0.01,0.001,-0.009,-0.205,0.113,4.514,1.121,0.399,0.722,1.208,0.715,0.493,2.185,0.003,2.182,0.16,-0.195,0.492,4.973,0.007,-0.608,0.36,-0.248,4.948,1.828,5.565,-0.586,4.98,58732,29465,29267
1631096,Chet Holmgren,2026,1.772,0.455,0.227,0.228,0.431,-0.114,0.545,0.886,-0.006,0.892,-0.133,-0.451,0.659,1.188,1.847,-0.024,0.115,-0.46,-0.345,0.271,0.764,2.833,1.687,0.186,1.501,0.487,0.158,0.329,0.659,0.004,0.655,0.582,-0.341,-0.02,3.074,3.054,0.0,-0.176,-0.135,-0.311,0.477,1.211,4.606,2.142,0.413,1.729,0.918,0.044,0.874,1.546,-0.002,1.548,0.449,-0.792,0.639,4.901,-0.024,-0.061,-0.595,-0.656,0.748,1.975,1.823,3.054,4.877,26489,13249,13240
1628378,Donovan Mitchell,2026,1.305,0.622,-0.025,0.647,0.621,0.215,0.406,0.062,-0.009,0.071,0.456,1.391,0.679,3.152,3.831,-0.002,0.675,0.753,1.428,-1.783,-0.451,0.11,0.185,0.209,-0.024,0.071,0.164,-0.093,-0.146,0.011,-0.157,-0.243,0.506,0.064,0.373,0.437,0.007,0.338,0.087,0.425,1.288,0.705,1.415,0.807,0.184,0.623,0.692,0.379,0.313,-0.084,0.002,-0.086,0.213,1.897,0.744,4.268,0.005,1.013,0.84,1.853,-0.495,0.254,3.829,0.444,4.273,70292,35201,35091
202681,Kyrie Irving,2025,1.967,0.063,-0.128,0.191,0.665,-0.118,0.783,1.239,0.026,1.213,0.092,0.913,0.843,2.972,3.815,0.011,0.572,0.326,0.898,0.895,0.003,0.925,0.48,0.068,0.412,0.161,0.085,0.076,0.284,-0.023,0.307,0.067,0.04,-0.648,1.032,0.384,0.009,-0.131,0.213,0.082,0.105,0.119,2.893,0.543,-0.06,0.603,0.826,-0.033,0.859,1.524,0.003,1.521,0.159,0.953,0.195,4.199,0.02,0.441,0.539,0.98,1.0,0.122,3.826,0.393,4.219,45142,22638,22504
1630532,Franz Wagner,2026,0.341,0.835,0.352,0.483,0.246,0.141,0.105,-0.74,-0.009,-0.731,0.58,0.387,0.386,1.308,1.694,-0.002,0.233,0.122,0.355,-1.168,0.741,0.665,0.779,-0.016,0.795,-0.11,-0.016,-0.094,-0.004,0.006,-0.01,-0.142,0.96,0.766,1.483,2.249,0.011,-0.07,0.945,0.875,2.377,0.435,1.007,1.614,0.336,1.278,0.136,0.125,0.011,-0.743,-0.002,-0.741,0.438,1.346,1.152,3.943,0.01,0.163,1.066,1.229,1.21,1.175,1.692,2.26,3.953,44241,22138,22103
1627936,Alex Caruso,2026,-0.691,-0.342,0.039,-0.381,-0.302,0.263,-0.565,-0.047,0.037,-0.084,0.658,0.076,0.137,0.043,0.18,-0.007,-0.234,0.406,0.172,-0.429,0.177,1.769,0.69,0.213,0.477,0.613,-0.055,0.668,0.466,-0.032,0.498,-0.307,2.08,0.21,3.542,3.752,0.003,0.794,1.173,1.967,3.282,0.952,1.078,0.348,0.252,0.096,0.311,0.208,0.103,0.419,0.005,0.414,0.35,2.155,0.347,3.932,-0.004,0.56,1.579,2.139,2.852,1.129,0.173,3.755,3.928,42874,21433,21441
202710,Jimmy Butler,2026,0.476,-0.2,-0.112,-0.088,-0.171,-0.117,-0.054,0.847,0.014,0.833,1.285,0.591,0.442,2.352,2.794,0.013,0.121,0.673,0.794,-0.228,-0.476,-0.028,-0.269,-0.073,-0.196,-0.417,-0.051,-0.366,0.658,-0.019,0.677,0.168,0.742,0.215,0.882,1.097,0.007,0.489,0.226,0.715,0.765,-0.213,0.448,-0.469,-0.185,-0.284,-0.588,-0.168,-0.42,1.505,-0.005,1.51,1.453,1.332,0.657,3.891,0.02,0.61,0.899,1.509,0.538,-0.689,2.807,1.104,3.911,61877,30960,30917
