player_id,player_name,Latest_Year,oALT_EFG_VALUE,oALT_EFG_BASELINE,oALT_EFG_ATOMS_VALUE,oALT_EFG_RIM,oALT_EFG_RIM_FREQ,oALT_EFG_RIM_FG,oALT_EFG_MID,oALT_EFG_MID_FREQ,oALT_EFG_MID_FG,oALT_EFG_THREE,oALT_EFG_THREE_FREQ,oALT_EFG_THREE_FG,oALT_FT,oALT_FT_FREQ,oALT_FT_SEVERITY,oALT_TOV_VALUE,oSC,oSC_CLEAN,oFC,oDISPLAY_SUM,oRESID,oALT_TOV_LOSS_VALUE,oALT_TOV_VALUE_bp,oALT_TOV_VALUE_sc,oALT_TOV_VALUE_split,oALT_BADPASS_TOV_VALUE,oALT_SCORING_TOV_VALUE,oASSIST_POINTS,oRIM_ASSIST,dALT_EFG_VALUE,dALT_EFG_BASELINE,dALT_EFG_ATOMS_VALUE,dALT_EFG_RIM,dALT_EFG_RIM_FREQ,dALT_EFG_RIM_FG,dALT_EFG_MID,dALT_EFG_MID_FREQ,dALT_EFG_MID_FG,dALT_EFG_THREE,dALT_EFG_THREE_FREQ,dALT_EFG_THREE_FG,dALT_FT,dALT_FT_FREQ,dALT_FT_SEVERITY,dALT_TOV_VALUE,dSC,dSC_CLEAN,dFC,dDISPLAY_SUM,dRESID,dALT_TOV_LOSS_VALUE,dALT_TOV_VALUE_bp,dALT_TOV_VALUE_sc,dALT_TOV_VALUE_split,dALT_BADPASS_TOV_VALUE,dALT_SCORING_TOV_VALUE,dASSIST_POINTS,dRIM_ASSIST,nALT_EFG_VALUE,nALT_EFG_BASELINE,nALT_EFG_ATOMS_VALUE,nALT_EFG_RIM,nALT_EFG_RIM_FREQ,nALT_EFG_RIM_FG,nALT_EFG_MID,nALT_EFG_MID_FREQ,nALT_EFG_MID_FG,nALT_EFG_THREE,nALT_EFG_THREE_FREQ,nALT_EFG_THREE_FG,nALT_FT,nALT_FT_FREQ,nALT_FT_SEVERITY,nALT_TOV_VALUE,nSC,nSC_CLEAN,nDISPLAY_SUM,RESID,nALT_TOV_LOSS_VALUE,nALT_TOV_VALUE_bp,nALT_TOV_VALUE_sc,nALT_TOV_VALUE_split,nALT_BADPASS_TOV_VALUE,nALT_SCORING_TOV_VALUE,nASSIST_POINTS,nRIM_ASSIST,off,def,net_rapm,possessions,off_poss,def_poss
203999,Nikola Jokic,2026,5.405,-0.397,5.802,2.184,0.206,1.978,2.307,0.235,2.072,1.311,0.0,1.311,1.067,0.727,0.34,-0.314,0.59,0.59,6.158,6.748,0.0,-0.314,-0.894,0.58,-0.314,-0.894,0.58,7.963,2.256,-0.541,0.275,-0.816,-0.512,0.138,-0.65,-0.234,0.088,-0.322,-0.07,-0.002,-0.068,0.221,0.408,-0.189,-0.175,1.522,1.522,-0.495,1.027,0.0,-0.175,0.14,-0.315,-0.175,0.14,-0.315,-1.556,0.127,4.862,-0.122,4.984,1.672,0.344,1.328,2.071,0.322,1.749,1.241,-0.002,1.243,1.288,1.135,0.151,-0.489,2.111,2.111,7.775,0.0,-0.489,-0.753,0.264,-0.489,-0.753,0.264,6.407,2.383,6.748,1.027,7.775,82494,41391,41103
1628983,Shai Gilgeous-Alexander,2026,2.749,-0.188,2.937,0.792,-0.14,0.932,1.551,-0.1,1.651,0.594,0.002,0.592,1.571,0.912,0.66,1.965,-0.523,-0.523,6.285,5.762,-0.0,1.965,1.204,0.761,1.965,1.204,0.761,-3.114,-0.873,2.059,0.222,1.837,0.641,0.005,0.636,0.832,-0.105,0.937,0.364,-0.009,0.373,-0.379,-0.453,0.074,0.78,-0.539,-0.539,2.46,1.921,0.0,0.78,0.042,0.738,0.78,0.042,0.738,1.705,0.471,4.808,0.034,4.774,1.433,-0.135,1.568,2.383,-0.205,2.588,0.958,-0.007,0.965,1.192,0.458,0.734,2.745,-1.062,-1.062,7.683,0.0,2.745,1.246,1.499,2.745,1.246,1.499,-1.409,-0.402,5.762,1.921,7.683,71427,35749,35678
202695,Kawhi Leonard,2026,3.251,0.096,3.155,0.39,-0.279,0.669,1.176,-0.402,1.578,1.589,-0.006,1.595,0.367,-0.139,0.505,1.417,0.407,0.407,5.035,5.442,0.0,1.417,0.518,0.899,1.417,0.518,0.899,1.911,-0.462,0.629,-0.11,0.739,-0.005,-0.03,0.025,0.474,0.045,0.429,0.27,-0.002,0.272,0.282,0.381,-0.099,0.455,0.167,0.167,1.366,1.533,-0.0,0.455,0.358,0.097,0.455,0.358,0.097,0.642,-0.035,3.882,-0.014,3.896,0.386,-0.309,0.695,1.651,-0.357,2.008,1.859,-0.008,1.867,0.649,0.242,0.406,1.872,0.574,0.574,6.975,-0.0,1.872,0.875,0.997,1.872,0.875,0.997,2.553,-0.497,5.442,1.533,6.975,49317,24655,24662
1641705,Victor Wembanyama,2026,1.832,0.054,1.778,2.133,0.244,1.889,-0.103,0.512,-0.615,-0.252,-0.004,-0.248,0.243,-0.024,0.266,-0.559,0.439,0.439,1.516,1.955,0.0,-0.559,-0.501,-0.058,-0.559,-0.501,-0.058,4.186,1.785,3.412,-0.067,3.479,1.504,0.338,1.166,1.109,0.125,0.984,0.866,0.017,0.849,0.641,0.775,-0.133,-0.215,0.712,0.712,3.838,4.55,0.0,-0.215,0.003,-0.218,-0.215,0.003,-0.218,0.632,1.185,5.245,-0.013,5.258,3.638,0.582,3.056,1.006,0.637,0.369,0.614,0.012,0.602,0.884,0.751,0.132,-0.774,1.151,1.151,6.505,-0.001,-0.774,-0.497,-0.277,-0.774,-0.497,-0.277,4.818,2.97,1.955,4.55,6.504,24357,12212,12145
203507,Giannis Antetokounmpo,2026,4.244,0.144,4.1,2.82,0.623,2.197,0.242,0.635,-0.393,1.038,0.036,1.002,-0.25,1.063,-1.313,0.47,0.075,0.075,4.464,4.539,0.0,0.47,0.565,-0.095,0.47,0.565,-0.095,2.749,1.43,1.375,0.049,1.326,0.831,0.138,0.693,0.205,0.166,0.039,0.29,-0.028,0.318,0.222,0.186,0.035,-0.716,1.015,1.015,0.881,1.896,0.0,-0.716,-0.476,-0.24,-0.716,-0.476,-0.24,1.252,0.702,5.62,0.193,5.427,3.651,0.76,2.891,0.448,0.802,-0.354,1.328,0.008,1.32,-0.028,1.25,-1.278,-0.246,1.09,1.09,6.435,0.0,-0.246,0.089,-0.335,-0.246,0.089,-0.335,4.002,2.132,4.539,1.896,6.435,66339,33238,33101
1631096,Chet Holmgren,2026,1.8,-0.307,2.107,0.585,0.217,0.368,0.616,-0.146,0.762,0.906,-0.004,0.91,-0.122,-0.174,0.051,-0.207,0.712,0.712,1.471,2.183,0.0,-0.207,0.2,-0.407,-0.207,0.2,-0.407,0.219,0.709,2.786,0.085,2.701,1.694,0.166,1.528,0.401,0.15,0.251,0.606,0.002,0.604,0.61,0.639,-0.029,-0.18,0.05,0.05,3.216,3.266,0.0,-0.18,-0.133,-0.047,-0.18,-0.133,-0.047,0.608,1.201,4.586,-0.222,4.808,2.28,0.383,1.897,1.016,0.004,1.012,1.512,-0.002,1.514,0.488,0.466,0.022,-0.388,0.762,0.762,5.449,0.0,-0.388,0.067,-0.455,-0.388,0.067,-0.455,0.827,1.91,2.183,3.266,5.449,27215,13611,13604
201939,Stephen Curry,2026,5.268,0.067,5.201,1.577,0.298,1.279,1.178,0.67,0.508,2.446,0.012,2.434,0.262,-0.203,0.465,-0.23,0.356,0.356,5.3,5.656,0.0,-0.23,-0.607,0.377,-0.23,-0.607,0.377,5.188,1.716,-0.829,-0.128,-0.701,-0.432,0.085,-0.517,0.04,0.051,-0.011,-0.309,-0.009,-0.3,-0.114,-0.104,-0.011,0.07,0.373,0.373,-0.873,-0.5,0.0,0.07,0.014,0.056,0.07,0.014,0.056,-0.233,0.083,4.438,-0.061,4.499,1.144,0.382,0.762,1.218,0.721,0.497,2.137,0.003,2.134,0.147,-0.307,0.454,-0.16,0.729,0.729,5.156,0.001,-0.16,-0.593,0.433,-0.16,-0.593,0.433,4.955,1.799,5.656,-0.5,5.157,58766,29482,29284
1627936,Alex Caruso,2026,-0.344,-0.029,-0.315,-0.368,0.03,-0.398,-0.144,0.26,-0.404,0.197,0.041,0.156,0.606,0.572,0.036,0.258,0.005,0.005,0.52,0.525,0.0,0.258,-0.189,0.447,0.258,-0.189,0.447,-0.019,0.121,1.896,0.108,1.788,0.617,0.212,0.405,0.687,-0.054,0.741,0.484,-0.034,0.518,-0.312,-0.352,0.039,2.083,0.384,0.384,3.667,4.051,0.0,2.083,0.891,1.192,2.083,0.891,1.192,3.376,0.924,1.553,0.079,1.474,0.25,0.242,0.008,0.543,0.206,0.337,0.681,0.007,0.674,0.294,0.219,0.075,2.341,0.389,0.389,4.576,-0.0,2.341,0.703,1.638,2.341,0.703,1.638,3.357,1.044,0.525,4.051,4.576,43393,21691,21702
1642844,Dylan Harper,2026,0.294,-0.433,0.727,0.324,0.344,-0.02,-0.015,0.066,-0.081,0.418,-0.069,0.487,0.176,0.278,-0.101,0.526,1.342,1.342,0.996,2.338,0.0,0.526,0.858,-0.332,0.526,0.858,-0.332,0.725,-0.102,1.309,0.304,1.005,0.355,0.002,0.353,0.327,0.19,0.137,0.323,0.039,0.284,-0.199,-0.149,-0.049,-0.023,1.075,1.075,1.087,2.162,0.0,-0.023,0.033,-0.056,-0.023,0.033,-0.056,2.102,0.201,1.602,-0.129,1.731,0.679,0.346,0.333,0.311,0.256,0.055,0.741,-0.03,0.771,-0.023,0.129,-0.15,0.503,2.417,2.417,4.5,0.0,0.503,0.89,-0.387,0.503,0.89,-0.387,2.827,0.099,2.338,2.162,4.5,7764,3879,3885
202681,Kyrie Irving,2026,2.176,0.159,2.017,0.044,-0.121,0.165,0.684,-0.129,0.813,1.289,0.029,1.26,0.062,-0.293,0.355,0.908,0.763,0.763,3.146,3.909,0.0,0.908,0.565,0.343,0.908,0.565,0.343,0.996,0.004,0.782,-0.1,0.882,0.451,0.073,0.378,0.187,0.097,0.09,0.244,-0.025,0.269,0.091,0.035,0.056,0.118,-0.529,-0.529,0.991,0.462,0.0,0.118,-0.115,0.233,0.118,-0.115,0.233,0.03,0.094,2.961,0.059,2.902,0.497,-0.047,0.544,0.871,-0.032,0.903,1.534,0.004,1.53,0.153,-0.258,0.411,1.026,0.234,0.234,4.371,0.0,1.026,0.45,0.576,1.026,0.45,0.576,1.026,0.097,3.909,0.462,4.371,45142,22638,22504
1628378,Donovan Mitchell,2026,1.266,-0.087,1.353,0.669,-0.041,0.71,0.63,0.208,0.422,0.054,-0.008,0.062,0.417,-0.081,0.495,1.363,0.557,0.557,3.046,3.603,0.0,1.363,0.64,0.723,1.363,0.64,0.723,-1.915,-0.518,0.312,0.133,0.179,0.236,0.217,0.019,0.113,0.183,-0.07,-0.17,0.009,-0.179,-0.158,-0.094,-0.065,0.398,0.143,0.143,0.552,0.695,-0.0,0.398,0.339,0.059,0.398,0.339,0.059,1.398,0.754,1.577,0.046,1.531,0.904,0.175,0.729,0.743,0.391,0.352,-0.116,0.001,-0.117,0.258,-0.175,0.43,1.761,0.7,0.7,4.298,0.0,1.761,0.979,0.782,1.761,0.979,0.782,-0.517,0.236,3.603,0.695,4.298,71346,35726,35620
202710,Jimmy Butler,2026,0.368,-0.128,0.496,-0.194,-0.1,-0.094,-0.145,-0.101,-0.044,0.835,0.015,0.82,1.296,0.782,0.514,0.805,0.417,0.417,2.469,2.886,0.0,0.805,0.114,0.691,0.805,0.114,0.691,-0.16,-0.454,-0.073,0.016,-0.089,-0.293,-0.071,-0.222,-0.417,-0.061,-0.356,0.621,-0.02,0.641,0.157,0.073,0.083,0.815,0.272,0.272,0.899,1.171,0.0,0.815,0.529,0.286,0.815,0.529,0.286,0.737,-0.24,0.296,-0.112,0.408,-0.487,-0.171,-0.316,-0.562,-0.162,-0.4,1.457,-0.005,1.462,1.452,0.854,0.598,1.621,0.688,0.688,4.057,0.001,1.621,0.644,0.977,1.621,0.644,0.977,0.577,-0.694,2.886,1.171,4.058,61902,30972,30930
1628401,Derrick White,2026,0.531,-0.09,0.621,0.495,-0.188,0.683,-0.016,0.115,-0.131,0.142,-0.054,0.196,-0.073,-0.419,0.344,0.968,-0.384,-0.384,1.426,1.042,0.0,0.968,0.508,0.46,0.968,0.508,0.46,3.218,0.146,2.384,0.083,2.301,1.175,0.072,1.103,0.192,0.106,0.086,0.934,0.033,0.901,0.398,0.45,-0.052,0.004,0.14,0.14,2.786,2.926,0.0,0.004,-0.31,0.314,0.004,-0.31,0.314,2.272,0.787,2.914,-0.007,2.921,1.67,-0.116,1.786,0.175,0.22,-0.045,1.076,-0.021,1.097,0.325,0.031,0.292,0.973,-0.244,-0.244,3.968,-0.001,0.973,0.199,0.774,0.973,0.199,0.774,5.49,0.933,1.042,2.926,3.967,69347,34684,34663
1630532,Franz Wagner,2026,0.545,0.133,0.412,0.875,0.364,0.511,0.286,0.138,0.148,-0.749,-0.008,-0.741,0.554,0.304,0.251,0.368,0.336,0.336,1.467,1.803,-0.0,0.368,0.247,0.121,0.368,0.247,0.121,-1.093,0.744,0.538,0.008,0.53,0.727,-0.017,0.744,-0.103,-0.015,-0.088,-0.094,0.005,-0.099,-0.128,0.014,-0.143,0.928,0.817,0.817,1.338,2.155,-0.0,0.928,-0.035,0.963,0.928,-0.035,0.963,2.251,0.408,1.084,0.141,0.943,1.603,0.348,1.255,0.183,0.123,0.06,-0.843,-0.003,-0.84,0.426,0.318,0.108,1.296,1.153,1.153,3.958,0.0,1.296,0.211,1.085,1.296,0.211,1.085,1.159,1.152,1.803,2.155,3.958,44264,22159,22105
