player_id,player_name,Latest_Year,oALT_EFG_VALUE,oALT_EFG_RIM,oALT_EFG_RIM_FREQ,oALT_EFG_RIM_FG,oALT_EFG_MID,oALT_EFG_MID_FREQ,oALT_EFG_MID_FG,oALT_EFG_THREE,oALT_EFG_THREE_FREQ,oALT_EFG_THREE_FG,oALT_FT,oALT_TOV_VALUE,oSC,oFC,oDISPLAY_SUM,oRESID,oALT_TOV_LOSS_VALUE,oALT_BADPASS_TOV_VALUE,oALT_SCORING_TOV_VALUE,oALT_TOV_VALUE_split,dALT_EFG_VALUE,dALT_EFG_RIM,dALT_EFG_RIM_FREQ,dALT_EFG_RIM_FG,dALT_EFG_MID,dALT_EFG_MID_FREQ,dALT_EFG_MID_FG,dALT_EFG_THREE,dALT_EFG_THREE_FREQ,dALT_EFG_THREE_FG,dALT_FT,dALT_TOV_VALUE,dSC,dFC,dDISPLAY_SUM,dRESID,dALT_TOV_LOSS_VALUE,dALT_BADPASS_TOV_VALUE,dALT_SCORING_TOV_VALUE,dALT_TOV_VALUE_split,nALT_EFG_VALUE,nALT_FT,nALT_TOV_VALUE,nSC,nDISPLAY_SUM,RESID,off,def,net_rapm,possessions,off_poss,def_poss
1627668,Breanna Stewart,2025,2.155,0.212,-0.203,0.415,0.53,0.094,0.435,1.413,0.049,1.365,0.274,1.596,-0.213,4.024,3.812,-0.0,1.701,0.62,1.081,1.701,0.733,0.167,0.042,0.125,-0.297,0.03,-0.327,0.863,-0.023,0.886,0.298,0.629,0.751,1.66,2.411,-0.0,0.382,0.468,-0.086,0.382,2.888,0.572,2.225,0.538,6.223,-0.0,3.812,2.411,6.223,24762,12469,12293
1627673,Jonquel Jones,2025,1.13,-0.051,0.032,-0.083,0.551,0.201,0.35,0.63,0.018,0.612,-0.357,0.154,1.638,0.927,2.565,-0.0,-0.325,-0.362,0.038,-0.325,0.827,0.335,0.002,0.333,0.242,-0.099,0.341,0.25,-0.031,0.281,0.647,-0.092,1.49,1.382,2.872,0.0,-0.028,0.057,-0.085,-0.028,1.958,0.289,0.062,3.127,5.437,-0.0,2.565,2.872,5.437,23047,11595,11452
1628280,Brionna Jones,2025,0.486,0.548,0.253,0.295,0.417,0.342,0.075,-0.479,-0.119,-0.36,0.308,-0.633,2.026,0.161,2.186,0.0,-0.342,-0.129,-0.214,-0.342,1.206,0.539,-0.036,0.575,0.055,-0.002,0.057,0.612,0.043,0.569,0.175,0.75,0.894,2.131,3.026,0.0,0.746,0.06,0.686,0.746,1.693,0.482,0.117,2.92,5.212,0.0,2.186,3.026,5.212,20117,10013,10104
203400,Skylar Diggins,2025,0.753,0.233,0.116,0.116,0.742,0.252,0.49,-0.222,-0.045,-0.177,0.528,1.722,0.261,3.002,3.263,-0.0,1.463,0.802,0.66,1.463,1.929,0.727,-0.012,0.739,0.598,-0.049,0.647,0.603,0.053,0.55,-0.047,0.414,-0.75,2.296,1.546,-0.0,0.169,0.044,0.125,0.169,2.681,0.481,2.136,-0.489,4.809,-0.0,3.263,1.546,4.809,19933,10073,9860
201496,Candace Parker,2025,1.005,1.011,0.199,0.813,0.69,0.079,0.612,-0.697,0.17,-0.867,-0.368,0.689,0.377,1.326,1.702,0.0,0.422,-0.139,0.56,0.422,0.782,0.071,-0.115,0.186,0.445,0.304,0.142,0.265,-0.021,0.286,0.637,0.87,0.387,2.288,2.675,-0.0,0.54,0.169,0.371,0.54,1.786,0.269,1.558,0.764,4.377,0.0,1.702,2.675,4.377,9288,4679,4609
203399,Elena Delle Donne,2025,2.275,0.083,-0.152,0.234,1.029,-0.488,1.517,1.163,0.091,1.072,-0.255,1.114,-0.793,3.134,2.341,-0.0,1.386,0.935,0.451,1.386,1.692,0.077,-0.021,0.098,0.704,0.155,0.549,0.911,-0.055,0.966,0.18,-0.416,0.406,1.456,1.862,0.0,-0.349,-0.054,-0.294,-0.349,3.967,-0.075,0.698,-0.386,4.203,-0.0,2.341,1.862,4.203,5645,2835,2810
203826,Alyssa Thomas,2025,0.808,0.289,0.07,0.22,0.056,-0.115,0.171,0.463,-0.113,0.576,0.137,0.758,-0.246,1.703,1.457,-0.0,0.949,0.223,0.726,0.949,1.359,-0.177,0.027,-0.204,-0.084,0.056,-0.14,1.619,0.05,1.569,0.012,0.426,0.671,1.797,2.468,0.0,0.578,-0.012,0.59,0.578,2.167,0.149,1.184,0.425,3.925,0.0,1.457,2.468,3.925,24514,12222,12292
203833,Chelsea Gray,2025,2.859,0.273,-0.062,0.335,1.451,-0.414,1.864,1.135,-0.029,1.165,-0.378,0.788,-0.241,3.269,3.028,-0.0,0.506,0.164,0.342,0.506,0.625,-0.295,0.057,-0.352,0.192,0.153,0.04,0.728,-0.011,0.74,0.471,0.238,-0.587,1.334,0.747,0.0,-0.02,0.168,-0.187,-0.02,3.484,0.093,1.026,-0.829,3.775,-0.0,3.028,0.747,3.775,26020,13135,12885
1628276,Kelsey Plum,2025,2.856,1.359,0.295,1.064,0.432,0.815,-0.383,1.065,0.147,0.918,0.22,1.222,-0.433,4.298,3.865,-0.0,0.77,0.641,0.13,0.77,-0.148,0.532,0.092,0.44,-0.204,-0.005,-0.199,-0.476,-0.071,-0.406,0.401,-0.303,-0.132,-0.049,-0.182,0.0,-0.248,0.11,-0.358,-0.248,2.708,0.621,0.918,-0.565,3.683,-0.0,3.865,-0.182,3.683,25965,13045,12920
1628932,A'ja Wilson,2025,0.787,-0.319,-0.007,-0.312,0.841,-0.276,1.117,0.264,-0.137,0.401,0.757,1.744,-0.675,3.288,2.613,-0.0,1.743,0.667,1.075,1.743,0.162,-0.101,0.069,-0.17,0.266,0.102,0.164,-0.003,0.028,-0.031,0.002,0.187,0.506,0.35,0.857,-0.0,-0.185,0.179,-0.364,-0.185,0.949,0.758,1.931,-0.169,3.469,-0.0,2.613,0.857,3.469,27327,13793,13534
1628277,Allisha Gray,2025,0.61,-0.06,0.167,-0.227,0.555,0.288,0.267,0.114,-0.04,0.155,0.081,0.992,0.798,1.683,2.481,0.0,0.861,0.865,-0.005,0.861,0.478,0.527,-0.1,0.628,-0.255,0.022,-0.277,0.205,0.049,0.156,0.308,-0.289,0.385,0.497,0.882,0.0,-0.258,-0.025,-0.233,-0.258,1.087,0.389,0.704,1.183,3.363,0.0,2.481,0.882,3.363,23255,11566,11689
1630149,Satou Sabally,2025,1.008,0.284,0.046,0.238,-0.228,0.341,-0.569,0.952,0.012,0.94,-0.082,0.785,0.772,1.711,2.484,0.0,0.838,0.784,0.054,0.838,0.082,0.38,0.181,0.198,-0.662,0.061,-0.723,0.365,0.003,0.361,-0.109,0.37,0.27,0.343,0.612,-0.0,0.328,0.198,0.13,0.328,1.09,-0.191,1.155,1.042,3.096,0.0,2.484,0.612,3.096,15614,7801,7813
201516,Allie Quigley,2025,2.024,0.663,0.193,0.47,0.199,-0.003,0.203,1.162,0.101,1.06,-0.548,0.783,-0.214,2.259,2.045,-0.0,0.635,0.433,0.202,0.635,0.706,-0.003,-0.164,0.161,0.436,0.107,0.329,0.272,0.009,0.263,0.229,0.247,-0.273,1.182,0.909,0.0,0.112,0.047,0.065,0.112,2.729,-0.319,1.03,-0.487,2.954,0.0,2.045,0.909,2.954,7802,3916,3886
1629483,Napheesa Collier,2025,2.205,-0.16,-0.081,-0.08,0.778,-0.263,1.041,1.587,-0.016,1.603,-0.249,0.459,-0.526,2.415,1.889,-0.0,0.39,0.467,-0.077,0.39,0.245,0.14,0.075,0.065,0.437,0.114,0.323,-0.332,-0.024,-0.308,0.13,0.674,-0.303,1.049,0.745,-0.0,0.362,0.407,-0.045,0.362,2.45,-0.12,1.134,-0.829,2.635,-0.0,1.889,0.745,2.635,19934,9994,9940
1629567,Natisha Hiedeman,2025,1.92,1.112,0.247,0.865,0.198,0.28,-0.083,0.61,0.094,0.516,0.085,-0.192,0.764,1.813,2.577,0.0,-0.24,0.485,-0.725,-0.24,1.107,0.152,-0.084,0.237,0.304,0.088,0.215,0.651,-0.034,0.685,-0.122,-0.339,-0.665,0.646,-0.018,-0.0,0.241,0.056,0.184,0.241,3.027,-0.037,-0.531,0.1,2.559,-0.0,2.577,-0.018,2.559,15194,7586,7608
