player_id,player_name,Latest_Year,oALT_EFG_VALUE,oALT_EFG_RIM,oALT_EFG_RIM_FREQ,oALT_EFG_RIM_FG,oALT_EFG_MID,oALT_EFG_MID_FREQ,oALT_EFG_MID_FG,oALT_EFG_THREE,oALT_EFG_THREE_FREQ,oALT_EFG_THREE_FG,oALT_FT,oALT_TOV_VALUE,oSC,oFC,oDISPLAY_SUM,oRESID,oALT_TOV_LOSS_VALUE,oALT_BADPASS_TOV_VALUE,oALT_SCORING_TOV_VALUE,oALT_TOV_VALUE_split,dALT_EFG_VALUE,dALT_EFG_RIM,dALT_EFG_RIM_FREQ,dALT_EFG_RIM_FG,dALT_EFG_MID,dALT_EFG_MID_FREQ,dALT_EFG_MID_FG,dALT_EFG_THREE,dALT_EFG_THREE_FREQ,dALT_EFG_THREE_FG,dALT_FT,dALT_TOV_VALUE,dSC,dFC,dDISPLAY_SUM,dRESID,dALT_TOV_LOSS_VALUE,dALT_BADPASS_TOV_VALUE,dALT_SCORING_TOV_VALUE,dALT_TOV_VALUE_split,nALT_EFG_VALUE,nALT_FT,nALT_TOV_VALUE,nSC,nDISPLAY_SUM,RESID,off,def,net_rapm,possessions,off_poss,def_poss
1628280,Brionna Jones,2025,0.458,0.407,0.239,0.168,0.37,0.373,-0.003,-0.319,-0.087,-0.232,0.062,0.043,1.602,0.563,2.164,0.0,0.159,0.236,-0.077,0.159,0.804,0.35,-0.036,0.387,-0.11,0.049,-0.159,0.565,0.043,0.521,0.147,0.45,0.839,1.401,2.24,0.0,0.491,0.043,0.447,0.491,1.263,0.208,0.493,2.44,4.404,0.0,2.164,2.24,4.404,20117,10013,10104
1627668,Breanna Stewart,2025,1.76,0.177,-0.19,0.367,0.435,0.099,0.336,1.148,0.057,1.091,0.254,0.897,-0.247,2.91,2.663,0.0,1.049,0.328,0.721,1.049,0.433,0.398,0.016,0.382,-0.426,0.039,-0.465,0.46,-0.031,0.491,0.311,0.426,0.536,1.17,1.706,-0.0,0.358,0.468,-0.11,0.358,2.192,0.565,1.323,0.289,4.369,0.0,2.663,1.706,4.369,24762,12469,12293
203826,Alyssa Thomas,2025,1.697,0.57,0.056,0.514,0.185,-0.139,0.325,0.942,-0.072,1.014,0.165,0.427,-0.176,2.289,2.113,0.0,0.637,0.184,0.453,0.637,0.972,-0.268,-0.015,-0.253,0.006,0.022,-0.016,1.233,0.035,1.198,-0.073,0.403,0.61,1.302,1.911,-0.0,0.481,0.109,0.372,0.481,2.669,0.092,0.83,0.433,4.024,-0.0,2.113,1.911,4.024,24514,12222,12292
1628932,A'ja Wilson,2025,1.384,-0.005,-0.008,0.003,0.485,-0.23,0.715,0.905,-0.098,1.003,0.344,1.589,-0.504,3.318,2.814,-0.0,1.674,0.651,1.023,1.674,0.037,-0.147,0.052,-0.2,0.293,0.06,0.233,-0.108,0.022,-0.13,0.102,0.445,0.343,0.585,0.927,0.0,0.072,0.256,-0.185,0.072,1.422,0.447,2.035,-0.161,3.741,-0.0,2.814,0.927,3.741,27327,13793,13534
1627673,Jonquel Jones,2025,1.056,0.133,0.035,0.098,0.423,0.223,0.2,0.5,0.015,0.485,-0.379,0.061,0.939,0.738,1.677,-0.0,-0.165,-0.306,0.14,-0.165,0.676,0.198,-0.028,0.226,0.165,-0.072,0.238,0.313,-0.022,0.335,0.436,-0.179,1.007,0.933,1.94,0.0,-0.231,-0.177,-0.054,-0.231,1.732,0.056,-0.118,1.946,3.617,-0.0,1.677,1.94,3.617,23047,11595,11452
203400,Skylar Diggins,2025,0.99,0.513,0.07,0.443,0.618,0.1,0.518,-0.141,-0.074,-0.066,0.058,0.894,0.115,1.942,2.057,-0.0,0.69,0.231,0.458,0.69,0.959,0.301,-0.026,0.327,0.422,-0.038,0.46,0.236,0.056,0.18,-0.052,0.363,-0.3,1.269,0.969,0.0,0.329,0.187,0.142,0.329,1.949,0.005,1.256,-0.185,3.026,-0.0,2.057,0.969,3.026,19933,10073,9860
1628277,Allisha Gray,2025,0.467,0.077,0.099,-0.021,0.342,0.216,0.126,0.048,-0.041,0.09,0.402,0.644,0.629,1.514,2.143,-0.0,0.57,0.648,-0.078,0.57,0.573,0.672,-0.041,0.713,-0.203,0.061,-0.264,0.104,0.033,0.071,0.156,-0.229,0.25,0.501,0.751,0.0,-0.177,-0.107,-0.07,-0.177,1.041,0.559,0.415,0.88,2.894,-0.0,2.143,0.751,2.894,23255,11566,11689
203833,Chelsea Gray,2025,1.71,-0.061,-0.094,0.033,1.14,-0.368,1.508,0.632,-0.034,0.665,-0.252,1.142,-0.108,2.6,2.492,-0.0,0.745,0.308,0.437,0.745,0.458,-0.117,0.054,-0.171,0.097,0.153,-0.057,0.479,0.008,0.471,0.187,0.17,-0.462,0.815,0.353,0.0,-0.035,-0.005,-0.03,-0.035,2.169,-0.065,1.312,-0.571,2.845,-0.0,2.492,0.353,2.845,26020,13135,12885
1630149,Satou Sabally,2025,0.74,0.462,0.035,0.427,-0.36,0.296,-0.657,0.638,-0.027,0.666,-0.014,0.735,0.885,1.461,2.345,0.0,0.829,0.768,0.061,0.829,0.041,0.448,0.131,0.317,-0.509,0.019,-0.528,0.102,0.016,0.086,-0.132,0.178,0.175,0.087,0.263,-0.0,0.175,-0.004,0.179,0.175,0.781,-0.146,0.913,1.06,2.608,0.0,2.345,0.263,2.608,15614,7801,7813
1628276,Kelsey Plum,2025,2.251,1.085,0.257,0.828,0.667,0.704,-0.037,0.499,0.118,0.381,0.176,1.045,-0.503,3.472,2.969,0.0,0.761,0.463,0.298,0.761,-0.216,0.576,0.093,0.483,-0.237,0.005,-0.242,-0.555,-0.064,-0.491,0.317,-0.247,-0.236,-0.146,-0.382,0.0,-0.264,0.054,-0.317,-0.264,2.035,0.493,0.798,-0.739,2.587,0.0,2.969,-0.382,2.587,25965,13045,12920
201496,Candace Parker,2025,0.869,0.884,0.19,0.694,0.313,-0.007,0.32,-0.329,0.13,-0.459,-0.221,0.467,0.081,1.115,1.196,0.0,0.19,-0.129,0.318,0.19,0.403,0.0,-0.096,0.096,0.323,0.186,0.137,0.08,-0.027,0.108,0.31,0.475,0.162,1.188,1.35,-0.0,0.305,0.144,0.161,0.305,1.272,0.089,0.942,0.242,2.546,0.0,1.196,1.35,2.546,9288,4679,4609
1629483,Napheesa Collier,2025,1.901,-0.097,-0.101,0.004,0.929,-0.177,1.106,1.068,-0.015,1.083,-0.2,0.129,-0.295,1.83,1.535,0.0,0.285,0.56,-0.275,0.285,0.589,0.111,0.043,0.068,0.532,0.109,0.423,-0.054,-0.01,-0.044,0.11,0.531,-0.307,1.23,0.923,0.0,0.365,0.31,0.055,0.365,2.49,-0.09,0.661,-0.602,2.458,0.0,1.535,0.923,2.458,19934,9994,9940
1629567,Natisha Hiedeman,2025,1.47,1.117,0.259,0.858,0.178,0.218,-0.04,0.175,0.036,0.139,0.102,0.122,0.579,1.694,2.273,-0.0,0.042,0.608,-0.566,0.042,0.722,-0.048,-0.038,-0.01,0.302,0.087,0.215,0.469,-0.017,0.486,-0.038,-0.096,-0.587,0.588,0.001,-0.0,0.284,0.096,0.188,0.284,2.192,0.064,0.025,-0.008,2.274,-0.0,2.273,0.001,2.274,15194,7586,7608
203026,Tiffany Hayes,2025,1.225,0.283,0.141,0.142,0.083,0.403,-0.32,0.859,0.102,0.756,-0.111,0.659,-0.422,1.774,1.352,-0.0,0.672,0.343,0.329,0.672,0.504,0.761,0.112,0.649,-0.071,0.04,-0.11,-0.186,-0.06,-0.126,-0.067,0.284,0.08,0.721,0.801,0.0,0.225,-0.011,0.236,0.225,1.729,-0.178,0.943,-0.342,2.153,0.0,1.352,0.801,2.153,11469,5724,5745
203399,Elena Delle Donne,2025,1.123,0.042,-0.107,0.149,0.519,-0.323,0.842,0.562,0.094,0.467,-0.11,0.66,-0.496,1.673,1.177,-0.0,0.866,0.574,0.292,0.866,0.729,-0.035,-0.007,-0.028,0.31,0.099,0.211,0.454,-0.048,0.502,0.034,-0.052,0.253,0.711,0.964,0.0,-0.071,0.017,-0.089,-0.071,1.852,-0.077,0.608,-0.243,2.14,0.0,1.177,0.964,2.14,5645,2835,2810
1629501,Alanna Smith,2025,1.123,-0.251,-0.127,-0.124,0.22,0.111,0.109,1.154,-0.001,1.155,-0.301,0.794,0.039,1.615,1.654,0.0,0.119,-0.073,0.192,0.119,-0.158,-0.243,-0.023,-0.22,-0.007,-0.037,0.03,0.092,0.048,0.044,0.174,0.339,0.08,0.356,0.436,-0.0,0.524,0.632,-0.108,0.524,0.966,-0.127,1.133,0.119,2.09,-0.0,1.654,0.436,2.09,16056,8064,7992
1631086,Lexie Hull,2025,0.983,0.752,0.049,0.703,0.665,0.082,0.583,-0.434,-0.114,-0.32,-0.039,-0.588,0.859,0.356,1.215,0.0,-0.418,-0.346,-0.072,-0.418,-0.093,-0.051,-0.073,0.022,-0.438,-0.042,-0.395,0.395,0.078,0.318,-0.202,0.44,0.478,0.144,0.622,-0.0,0.441,0.289,0.153,0.441,0.889,-0.241,-0.148,1.337,1.837,0.0,1.215,0.622,1.837,10612,5279,5333
202664,Courtney Vandersloot,2025,-0.335,0.261,0.113,0.148,-0.101,0.036,-0.137,-0.495,0.115,-0.609,-0.237,0.726,0.681,0.155,0.836,-0.0,0.299,0.215,0.084,0.299,0.826,0.905,0.037,0.867,0.669,0.218,0.451,-0.747,-0.048,-0.699,0.165,0.284,-0.366,1.275,0.908,-0.0,0.276,0.284,-0.008,0.276,0.492,-0.072,1.01,0.314,1.744,-0.0,0.836,0.908,1.744,19944,10009,9935
1629524,Bridget Carleton,2025,0.553,-0.325,-0.146,-0.18,-0.024,0.174,-0.198,0.902,-0.028,0.93,-0.237,-0.029,-0.049,0.287,0.238,-0.0,0.156,-0.449,0.605,0.156,0.728,0.126,0.07,0.057,0.129,-0.052,0.18,0.473,0.013,0.46,0.179,0.413,0.15,1.319,1.469,-0.0,0.421,0.086,0.336,0.421,1.281,-0.058,0.384,0.101,1.708,-0.0,0.238,1.469,1.708,18339,9180,9159
1631007,Veronica Burton,2025,-0.964,-1.048,-0.038,-1.01,0.246,0.429,-0.183,-0.162,0.004,-0.166,0.092,0.845,1.007,-0.026,0.981,-0.0,0.651,0.494,0.157,0.651,0.937,0.764,0.166,0.599,0.207,-0.013,0.22,-0.034,0.002,-0.036,0.045,-0.013,-0.28,0.969,0.689,-0.0,0.205,0.07,0.135,0.205,-0.026,0.137,0.832,0.727,1.67,-0.0,0.981,0.689,1.67,9739,4841,4898
203827,Natasha Howard,2025,1.621,1.392,0.252,1.14,0.057,0.036,0.022,0.172,-0.042,0.214,-0.113,-0.631,0.541,0.877,1.418,0.0,-0.575,-0.138,-0.437,-0.575,-0.038,-0.406,-0.116,-0.29,0.067,0.023,0.044,0.3,0.012,0.289,0.029,-0.133,0.386,-0.142,0.244,-0.0,0.109,-0.138,0.248,0.109,1.583,-0.084,-0.764,0.927,1.662,0.0,1.418,0.244,1.662,19607,9793,9814
1628886,Jordin Canada,2025,0.169,0.251,0.205,0.046,-0.467,0.017,-0.484,0.385,0.012,0.373,-0.099,0.674,-0.424,0.744,0.319,-0.0,0.545,0.339,0.206,0.545,-0.09,-0.065,-0.001,-0.064,-0.481,0.058,-0.54,0.456,-0.014,0.47,0.015,0.749,0.648,0.674,1.322,0.0,0.684,0.482,0.202,0.684,0.079,-0.084,1.422,0.224,1.642,0.0,0.319,1.322,1.642,15656,7815,7841
1628931,Gabby Williams,2025,0.723,0.177,0.013,0.163,-0.01,-0.096,0.086,0.556,-0.078,0.634,-0.591,1.083,0.162,1.215,1.377,0.0,0.877,0.434,0.443,0.877,-0.028,-0.394,-0.094,-0.301,-0.003,-0.009,0.006,0.369,0.066,0.303,0.03,0.212,0.003,0.214,0.217,0.0,0.461,0.399,0.061,0.461,0.695,-0.56,1.295,0.165,1.594,0.0,1.377,0.217,1.594,11777,5944,5833
1642804,Te-Hina Paopao,2025,0.967,0.009,0.005,0.004,0.447,0.546,-0.099,0.511,-0.031,0.541,-0.266,0.863,0.265,1.564,1.828,0.0,0.473,0.097,0.376,0.473,-0.096,0.009,-0.014,0.023,-0.208,0.05,-0.258,0.103,0.062,0.041,0.161,-0.601,0.289,-0.536,-0.247,-0.0,-0.382,-0.182,-0.201,-0.382,0.871,-0.106,0.262,0.554,1.581,-0.0,1.828,-0.247,1.581,2564,1282,1282
1628244,Sami Whitcomb,2025,1.448,0.397,-0.101,0.498,0.069,0.306,-0.237,0.982,0.068,0.914,-0.105,-0.387,-0.183,0.956,0.773,-0.0,-0.168,-0.152,-0.016,-0.168,0.979,-0.166,-0.102,-0.064,0.388,-0.03,0.417,0.757,0.034,0.723,-0.222,-0.064,0.099,0.693,0.792,0.0,-0.168,-0.24,0.072,-0.168,2.427,-0.327,-0.451,-0.084,1.565,-0.0,0.773,0.792,1.565,14683,7340,7343
1641648,Aliyah Boston,2025,0.716,-0.016,0.109,-0.126,0.407,0.276,0.131,0.326,-0.073,0.398,0.062,0.435,0.715,1.214,1.929,-0.0,0.253,0.35,-0.098,0.253,-0.248,0.228,0.025,0.203,-0.135,-0.059,-0.076,-0.342,0.046,-0.388,-0.03,-0.363,0.206,-0.641,-0.435,0.0,-0.491,-0.33,-0.161,-0.491,0.468,0.032,0.073,0.921,1.494,-0.0,1.929,-0.435,1.494,16346,8153,8193
204324,Dearica Hamby,2025,1.769,1.129,0.32,0.809,0.486,0.434,0.052,0.154,-0.015,0.169,0.552,-0.992,-0.144,1.329,1.185,-0.0,-0.629,-0.195,-0.435,-0.629,-0.308,0.117,-0.002,0.119,-0.42,-0.065,-0.355,-0.005,-0.026,0.021,0.194,-0.29,0.642,-0.404,0.238,-0.0,-0.207,-0.166,-0.041,-0.207,1.461,0.746,-1.282,0.498,1.423,-0.0,1.185,0.238,1.423,20935,10426,10509
203825,Kayla McBride,2025,1.614,0.256,0.006,0.25,0.856,-0.012,0.868,0.501,-0.013,0.514,0.098,0.047,-0.578,1.758,1.18,0.0,0.025,0.252,-0.227,0.025,0.105,0.158,-0.099,0.257,0.305,0.062,0.243,-0.358,0.007,-0.366,0.369,-0.059,-0.214,0.414,0.2,-0.0,-0.172,0.32,-0.492,-0.172,1.718,0.467,-0.013,-0.792,1.38,0.0,1.18,0.2,1.38,24057,12035,12022
204319,Jewell Loyd,2025,-0.127,-0.457,-0.118,-0.339,-0.087,0.041,-0.127,0.417,-0.026,0.443,0.004,0.297,0.968,0.174,1.142,0.0,0.211,-0.139,0.349,0.211,0.139,-0.612,-0.064,-0.549,0.418,-0.023,0.442,0.333,0.042,0.291,-0.044,0.407,-0.333,0.501,0.168,0.0,0.334,0.196,0.138,0.334,0.012,-0.04,0.704,0.635,1.311,0.0,1.142,0.168,1.311,24292,12271,12021
1628878,Ariel Atkins,2025,1.511,-0.703,-0.187,-0.516,1.2,0.023,1.176,1.015,0.071,0.944,-0.05,-0.467,0.23,0.994,1.224,-0.0,-0.048,-0.16,0.113,-0.048,-0.39,0.064,0.118,-0.054,-0.07,-0.011,-0.06,-0.384,-0.016,-0.367,-0.078,0.3,0.235,-0.168,0.066,0.0,0.168,-0.016,0.185,0.168,1.121,-0.128,-0.167,0.464,1.29,0.0,1.224,0.066,1.29,19641,9824,9817
201516,Allie Quigley,2025,0.99,0.536,0.154,0.383,0.145,-0.021,0.166,0.308,0.073,0.236,-0.326,0.425,-0.317,1.089,0.771,0.0,0.381,0.164,0.218,0.381,0.377,0.088,-0.101,0.189,0.274,0.098,0.176,0.014,-0.008,0.022,0.136,0.127,-0.132,0.639,0.507,0.0,0.092,0.038,0.054,0.092,1.366,-0.19,0.551,-0.45,1.278,0.0,0.771,0.507,1.278,7802,3916,3886
1642303,Leïla Lacan,2025,1.264,0.97,0.059,0.911,0.486,-0.014,0.5,-0.192,-0.086,-0.106,-0.063,-0.368,0.068,0.833,0.901,0.0,-0.33,-0.24,-0.091,-0.33,0.158,-0.231,-0.0,-0.231,0.067,-0.09,0.157,0.323,0.03,0.293,-0.13,0.123,0.138,0.151,0.29,0.0,0.467,0.339,0.127,0.467,1.423,-0.193,-0.245,0.206,1.19,0.0,0.901,0.29,1.19,2359,1180,1179
1642291,Angel Reese,2025,-0.586,0.144,0.241,-0.097,-0.255,0.099,-0.353,-0.475,-0.207,-0.269,0.419,-0.162,1.432,-0.329,1.103,0.0,-0.476,-0.219,-0.258,-0.476,0.807,0.89,-0.053,0.943,0.253,-0.212,0.464,-0.335,0.076,-0.412,-0.239,-0.286,-0.201,0.283,0.082,0.0,0.079,-0.065,0.144,0.079,0.221,0.179,-0.447,1.231,1.185,0.0,1.103,0.082,1.185,8370,4143,4227
1627700,Julie Allemand,2025,0.663,0.326,0.192,0.134,0.881,0.455,0.426,-0.544,-0.084,-0.461,-0.001,1.196,-0.054,1.858,1.804,-0.0,0.807,0.31,0.497,0.807,-0.975,-0.112,-0.041,-0.071,-0.54,-0.147,-0.393,-0.322,0.047,-0.37,0.156,0.055,0.13,-0.763,-0.633,-0.0,-0.069,0.126,-0.194,-0.069,-0.312,0.156,1.251,0.077,1.172,-0.0,1.804,-0.633,1.172,5441,2732,2709
1631044,Naz Hillmon,2025,0.244,-0.106,0.15,-0.256,0.175,0.283,-0.108,0.175,-0.068,0.244,0.096,0.097,0.238,0.437,0.675,0.0,-0.134,0.066,-0.199,-0.134,0.368,0.425,-0.05,0.475,-0.865,-0.019,-0.846,0.808,0.05,0.759,0.046,-0.29,0.361,0.124,0.485,-0.0,-0.403,-0.241,-0.162,-0.403,0.612,0.143,-0.194,0.599,1.16,0.0,0.675,0.485,1.16,11533,5754,5779
1627675,Courtney Williams,2025,-0.081,-0.217,-0.201,-0.016,-0.095,-0.62,0.525,0.231,-0.037,0.267,-0.422,0.039,0.066,-0.463,-0.397,-0.0,0.203,0.117,0.086,0.203,0.329,0.007,0.001,0.007,0.103,0.009,0.094,0.219,0.003,0.216,0.252,0.857,-0.025,1.438,1.414,0.0,0.537,0.73,-0.192,0.537,0.249,-0.17,0.896,0.041,1.016,-0.0,-0.397,1.414,1.016,25583,12815,12768
1628926,Maria Kliundikova,2025,0.216,1.015,0.083,0.932,-0.554,0.054,-0.608,-0.244,-0.104,-0.14,0.071,0.339,0.468,0.626,1.094,0.0,0.036,0.033,0.004,0.036,0.349,0.2,0.098,0.102,0.245,-0.017,0.262,-0.096,0.047,-0.143,-0.09,-0.058,-0.309,0.201,-0.108,0.0,-0.078,0.063,-0.141,-0.078,0.566,-0.02,0.281,0.159,0.986,0.0,1.094,-0.108,0.986,1525,771,754
1630097,Kaila Charles,2025,-0.487,-0.283,0.068,-0.351,-0.168,0.101,-0.269,-0.036,-0.046,0.01,0.126,-0.279,0.839,-0.639,0.2,-0.0,-0.038,0.554,-0.592,-0.038,1.435,0.583,0.06,0.522,0.139,-0.069,0.207,0.714,0.016,0.698,-0.311,-0.649,0.278,0.474,0.752,0.0,-0.158,-0.14,-0.018,-0.158,0.948,-0.185,-0.928,1.118,0.952,-0.0,0.2,0.752,0.952,4336,2133,2203
1630112,Tyasha Harris,2025,-0.194,0.158,0.051,0.108,-0.079,0.011,-0.09,-0.274,0.056,-0.33,0.101,-0.178,0.624,-0.271,0.353,-0.0,0.059,0.248,-0.189,0.059,0.105,-0.388,-0.035,-0.354,0.17,-0.04,0.21,0.323,-0.041,0.365,-0.206,0.695,-0.171,0.594,0.424,0.0,0.533,0.073,0.46,0.533,-0.089,-0.104,0.517,0.453,0.776,-0.0,0.353,0.424,0.776,12782,6372,6410
1628279,Brittney Sykes,2025,-0.41,-0.113,0.211,-0.324,-0.284,0.079,-0.363,-0.012,-0.008,-0.005,0.335,-0.269,0.0,-0.344,-0.343,0.0,0.141,0.202,-0.062,0.141,-0.056,-0.23,-0.012,-0.219,-0.156,-0.008,-0.147,0.33,-0.024,0.354,-0.301,1.328,0.037,0.971,1.008,-0.0,1.054,0.279,0.775,1.054,-0.466,0.034,1.059,0.038,0.665,0.0,-0.343,1.008,0.665,18912,9470,9442
201886,DeWanna Bonner,2025,-1.134,0.667,0.15,0.517,-0.728,0.12,-0.848,-1.072,-0.018,-1.054,0.504,0.453,-0.262,-0.177,-0.439,0.0,0.386,0.004,0.382,0.386,0.191,-0.179,-0.006,-0.173,0.277,0.018,0.259,0.094,-0.018,0.112,0.081,0.459,0.359,0.732,1.091,-0.0,0.216,-0.285,0.501,0.216,-0.942,0.585,0.912,0.097,0.652,-0.0,-0.439,1.091,0.652,24049,12005,12044
1631009,Rhyne Howard,2025,-2.339,-1.845,-0.129,-1.716,-0.265,-0.084,-0.181,-0.228,-0.022,-0.206,-0.093,1.179,0.913,-1.252,-0.339,-0.0,0.798,0.857,-0.059,0.798,0.959,0.406,0.046,0.36,0.071,0.057,0.014,0.482,0.028,0.455,-0.218,-0.201,0.444,0.54,0.985,0.0,-0.127,-0.301,0.174,-0.127,-1.379,-0.311,0.978,1.357,0.646,-0.0,-0.339,0.985,0.646,17849,8878,8971
1629498,Jackie Young,2025,-0.344,-0.251,-0.21,-0.041,-0.275,-0.197,-0.078,0.182,-0.042,0.224,0.14,0.23,0.096,0.026,0.122,-0.0,0.315,-0.143,0.458,0.315,0.129,-0.188,-0.002,-0.186,0.148,0.044,0.104,0.17,0.03,0.14,0.162,-0.002,0.214,0.29,0.504,-0.0,-0.233,0.003,-0.236,-0.233,-0.215,0.302,0.229,0.309,0.626,-0.0,0.122,0.504,0.626,27849,14052,13797
1630150,Chennedy Carter,2025,0.288,-0.04,0.136,-0.177,-0.007,-0.166,0.159,0.335,-0.045,0.381,0.019,0.891,-0.474,1.197,0.723,-0.0,0.917,0.445,0.471,0.917,-0.14,-0.112,0.002,-0.114,-0.004,-0.019,0.016,-0.024,-0.007,-0.017,-0.182,-0.068,0.247,-0.39,-0.143,-0.0,-0.032,-0.043,0.01,-0.032,0.148,-0.164,0.823,-0.227,0.58,-0.0,0.723,-0.143,0.58,5354,2665,2689
1628909,Kelsey Mitchell,2025,0.04,0.123,0.222,-0.098,-0.22,0.271,-0.491,0.136,-0.014,0.151,0.071,0.2,0.637,0.31,0.948,0.0,0.386,0.215,0.171,0.386,-0.406,0.22,-0.058,0.279,-0.092,0.068,-0.16,-0.534,0.011,-0.544,0.005,0.201,-0.197,-0.201,-0.397,-0.0,0.239,-0.173,0.412,0.239,-0.366,0.076,0.4,0.441,0.551,-0.0,0.948,-0.397,0.551,24144,12027,12117
1629477,Sabrina Ionescu,2025,1.05,0.443,-0.022,0.466,0.317,0.305,0.011,0.29,0.046,0.244,-0.144,0.273,-0.714,1.179,0.465,0.0,0.296,0.277,0.019,0.296,0.441,0.167,-0.11,0.277,0.05,-0.059,0.109,0.223,0.018,0.205,0.174,-0.523,-0.09,0.092,0.002,-0.0,-0.781,-0.195,-0.586,-0.781,1.491,0.03,-0.25,-0.804,0.467,0.0,0.465,0.002,0.467,25003,12578,12425
1641656,Laeticia Amihere,2025,0.389,0.116,0.13,-0.014,0.451,0.401,0.049,-0.178,-0.052,-0.126,0.803,-0.076,-0.199,1.116,0.917,0.0,-0.047,0.248,-0.295,-0.047,0.116,0.081,0.096,-0.015,0.118,-0.045,0.164,-0.083,0.005,-0.088,-0.057,-0.427,-0.158,-0.368,-0.526,0.0,-0.225,-0.108,-0.117,-0.225,0.505,0.745,-0.503,-0.357,0.391,0.0,0.917,-0.526,0.391,1915,959,956
1630142,Leonie Fiebich,2025,0.577,0.208,0.042,0.167,-0.041,0.303,-0.344,0.409,-0.156,0.565,0.132,-0.551,-0.988,0.158,-0.83,0.0,-0.344,-0.338,-0.005,-0.344,1.245,0.388,-0.017,0.405,-0.188,-0.117,-0.07,1.045,0.084,0.961,0.092,-0.049,-0.07,1.288,1.218,-0.0,-0.073,0.162,-0.236,-0.073,1.822,0.224,-0.6,-1.058,0.388,-0.0,-0.83,1.218,0.388,7479,3758,3721
203014,Nneka Ogwumike,2025,-0.979,0.165,-0.038,0.203,0.068,-0.381,0.449,-1.213,-0.105,-1.108,-0.112,1.128,-0.512,0.037,-0.475,0.0,0.787,-0.107,0.893,0.787,-0.588,-0.544,-0.126,-0.417,-0.011,-0.108,0.097,-0.033,0.022,-0.055,0.023,1.028,0.29,0.463,0.753,-0.0,1.056,0.525,0.53,1.056,-1.568,-0.088,2.157,-0.222,0.278,0.0,-0.475,0.753,0.278,20871,10505,10366
1629491,Jessica Shepard,2025,-0.556,0.471,-0.006,0.477,-1.116,-0.136,-0.979,0.089,-0.102,0.191,0.296,0.014,0.645,-0.246,0.399,-0.0,-0.027,-0.135,0.109,-0.027,0.853,0.064,-0.021,0.086,0.392,-0.059,0.451,0.397,0.016,0.381,0.228,-0.74,-0.463,0.34,-0.123,0.0,-0.55,-0.247,-0.304,-0.55,0.297,0.523,-0.726,0.182,0.276,0.0,0.399,-0.123,0.276,9584,4769,4815
203035,Shey Peddy,2025,-0.236,-0.243,0.108,-0.35,-0.749,0.272,-1.021,0.756,0.034,0.722,0.226,-0.272,0.64,-0.283,0.357,0.0,-0.162,0.119,-0.281,-0.162,0.368,0.134,-0.148,0.283,0.233,-0.056,0.289,0.0,0.011,-0.011,0.024,-0.199,-0.291,0.193,-0.098,-0.0,0.0,-0.31,0.31,0.0,0.132,0.25,-0.471,0.349,0.259,0.0,0.357,-0.098,0.259,8523,4268,4255
1630462,Aari McDonald,2025,-0.024,0.685,-0.036,0.721,-0.628,0.045,-0.673,-0.081,0.032,-0.114,0.344,-0.151,-0.283,0.168,-0.115,0.0,0.065,0.36,-0.296,0.065,-0.26,0.522,-0.039,0.56,-0.111,0.049,-0.16,-0.671,-0.018,-0.653,-0.083,0.599,0.084,0.256,0.34,-0.0,0.663,0.151,0.512,0.663,-0.285,0.261,0.448,-0.2,0.224,0.0,-0.115,0.34,0.224,10592,5295,5297
1629574,Li Yueru,2025,-0.171,0.155,-0.065,0.22,-0.013,-0.097,0.084,-0.314,-0.059,-0.255,0.137,0.43,0.311,0.396,0.707,0.0,0.161,0.154,0.006,0.161,-0.44,-0.206,0.027,-0.233,-0.104,-0.018,-0.086,-0.131,0.026,-0.157,-0.103,-0.446,0.41,-0.989,-0.579,-0.0,-0.236,-0.126,-0.111,-0.236,-0.611,0.034,-0.015,0.721,0.128,0.0,0.707,-0.579,0.128,2444,1209,1235
