player_id,player_name,Latest_Year,oALT_EFG_VALUE,oALT_EFG_BASELINE,oALT_EFG_ATOMS_VALUE,oALT_EFG_RIM,oALT_EFG_RIM_FREQ,oALT_EFG_RIM_FG,oALT_EFG_MID,oALT_EFG_MID_FREQ,oALT_EFG_MID_FG,oALT_EFG_THREE,oALT_EFG_THREE_FREQ,oALT_EFG_THREE_FG,oALT_FT,oALT_FT_FREQ,oALT_FT_SEVERITY,oALT_TOV_VALUE,oSC,oSC_CLEAN,oFC,oDISPLAY_SUM,oRESID,oALT_TOV_LOSS_VALUE,oALT_TOV_VALUE_bp,oALT_TOV_VALUE_sc,oALT_TOV_VALUE_split,oALT_BADPASS_TOV_VALUE,oALT_SCORING_TOV_VALUE,oASSIST_POINTS,oRIM_ASSIST,dALT_EFG_VALUE,dALT_EFG_BASELINE,dALT_EFG_ATOMS_VALUE,dALT_EFG_RIM,dALT_EFG_RIM_FREQ,dALT_EFG_RIM_FG,dALT_EFG_MID,dALT_EFG_MID_FREQ,dALT_EFG_MID_FG,dALT_EFG_THREE,dALT_EFG_THREE_FREQ,dALT_EFG_THREE_FG,dALT_FT,dALT_FT_FREQ,dALT_FT_SEVERITY,dALT_TOV_VALUE,dSC,dSC_CLEAN,dFC,dDISPLAY_SUM,dRESID,dALT_TOV_LOSS_VALUE,dALT_TOV_VALUE_bp,dALT_TOV_VALUE_sc,dALT_TOV_VALUE_split,dALT_BADPASS_TOV_VALUE,dALT_SCORING_TOV_VALUE,dASSIST_POINTS,dRIM_ASSIST,nALT_EFG_VALUE,nALT_EFG_BASELINE,nALT_EFG_ATOMS_VALUE,nALT_EFG_RIM,nALT_EFG_RIM_FREQ,nALT_EFG_RIM_FG,nALT_EFG_MID,nALT_EFG_MID_FREQ,nALT_EFG_MID_FG,nALT_EFG_THREE,nALT_EFG_THREE_FREQ,nALT_EFG_THREE_FG,nALT_FT,nALT_FT_FREQ,nALT_FT_SEVERITY,nALT_TOV_VALUE,nSC,nSC_CLEAN,nDISPLAY_SUM,RESID,nALT_TOV_LOSS_VALUE,nALT_TOV_VALUE_bp,nALT_TOV_VALUE_sc,nALT_TOV_VALUE_split,nALT_BADPASS_TOV_VALUE,nALT_SCORING_TOV_VALUE,nASSIST_POINTS,nRIM_ASSIST,off,def,net_rapm,possessions,off_poss,def_poss
1628983,Shai Gilgeous-Alexander,2026,3.373,0.184,3.189,1.291,-0.228,1.519,1.524,-0.069,1.593,0.374,0.002,0.372,1.382,0.92,0.438,1.844,-1.061,-1.061,6.599,5.538,0.0,1.845,1.155,0.69,1.845,1.155,0.69,-2.843,-0.794,1.739,0.081,1.658,0.788,0.057,0.731,0.938,0.018,0.92,-0.068,-0.003,-0.065,-0.308,-0.254,-0.05,0.527,-0.439,-0.439,1.958,1.519,-0.0,0.522,0.063,0.459,0.522,0.063,0.459,1.208,0.544,5.114,0.265,4.849,2.08,-0.171,2.251,2.462,-0.051,2.513,0.307,-0.001,0.308,1.074,0.666,0.388,2.371,-1.5,-1.5,7.057,0.0,2.367,1.218,1.149,2.367,1.218,1.149,-1.635,-0.25,5.538,1.519,7.057,9792,4896,4896
202695,Kawhi Leonard,2026,2.945,0.149,2.796,0.068,-0.363,0.431,1.076,-0.348,1.424,1.652,-0.007,1.659,0.359,-0.184,0.527,1.06,0.645,0.645,4.364,5.009,0.0,1.063,0.411,0.652,1.063,0.411,0.652,0.874,-0.829,0.732,-0.036,0.768,-0.134,-0.026,-0.108,0.301,0.092,0.209,0.601,-0.0,0.601,0.324,0.468,-0.12,0.345,0.257,0.257,1.401,1.658,0.0,0.342,0.267,0.075,0.342,0.267,0.075,0.401,-0.118,3.677,0.113,3.564,-0.067,-0.39,0.323,1.378,-0.256,1.634,2.253,-0.007,2.26,0.683,0.284,0.407,1.404,0.901,0.901,6.667,0.0,1.404,0.677,0.727,1.404,0.677,0.727,1.275,-0.947,5.009,1.658,6.667,8314,4156,4158
1641705,Victor Wembanyama,2026,1.294,0.19,1.104,1.92,0.277,1.643,-0.373,0.262,-0.635,-0.443,0.004,-0.447,0.312,0.169,0.102,-0.205,0.703,0.703,1.401,2.104,0.0,-0.205,-0.143,-0.062,-0.205,-0.143,-0.062,1.392,1.341,2.646,-0.114,2.76,1.332,0.381,0.951,1.006,0.071,0.935,0.422,0.016,0.406,0.248,0.411,-0.131,0.105,0.944,0.944,2.999,3.943,0.0,0.103,0.304,-0.201,0.103,0.304,-0.201,0.504,1.154,3.94,0.076,3.864,3.252,0.658,2.594,0.633,0.333,0.3,-0.021,0.02,-0.041,0.56,0.58,-0.029,-0.101,1.646,1.646,6.047,-0.0,-0.101,0.162,-0.263,-0.101,0.162,-0.263,1.896,2.496,2.104,3.943,6.047,8383,4210,4173
203999,Nikola Jokic,2026,3.761,-0.189,3.95,1.051,0.18,0.871,2.04,0.449,1.591,0.859,-0.001,0.86,1.101,0.756,0.367,-0.352,0.389,0.389,4.51,4.899,0.0,-0.354,-0.969,0.615,-0.354,-0.969,0.615,4.577,1.305,-0.669,0.071,-0.74,-0.407,0.015,-0.422,-0.21,0.018,-0.228,-0.123,0.003,-0.126,-0.044,0.186,-0.208,-0.095,1.136,1.136,-0.808,0.328,0.0,-0.094,0.057,-0.151,-0.094,0.057,-0.151,-0.47,-0.087,3.091,-0.118,3.209,0.644,0.195,0.449,1.829,0.466,1.363,0.736,0.002,0.734,1.056,0.942,0.159,-0.447,1.525,1.525,5.227,0.0,-0.447,-0.912,0.465,-0.447,-0.912,0.465,4.107,1.218,4.899,0.328,5.227,10249,5142,5107
1630700,Dyson Daniels,2026,2.292,-0.16,2.452,0.743,0.057,0.686,0.413,-0.138,0.551,1.296,0.007,1.289,-0.191,-0.254,0.009,0.745,0.15,0.15,2.846,2.996,0.0,0.746,0.501,0.245,0.746,0.501,0.245,4.352,0.826,0.993,-0.071,1.064,0.093,-0.041,0.134,0.266,0.03,0.236,0.705,-0.002,0.707,0.02,-0.058,0.077,0.912,0.082,0.082,1.925,2.007,0.0,0.917,0.272,0.645,0.917,0.272,0.645,1.288,-0.125,3.286,-0.231,3.517,0.837,0.017,0.82,0.679,-0.108,0.787,2.001,0.005,1.996,-0.17,-0.311,0.086,1.657,0.232,0.232,5.003,0.0,1.663,0.773,0.89,1.663,0.773,0.89,5.64,0.701,2.996,2.007,5.003,11230,5598,5632
1631096,Chet Holmgren,2026,0.899,-0.099,0.998,0.111,0.299,-0.188,0.294,-0.188,0.482,0.593,0.018,0.575,-0.07,-0.273,0.179,-0.147,0.924,0.924,0.682,1.606,0.0,-0.145,0.215,-0.36,-0.145,0.215,-0.36,-0.647,0.663,2.389,-0.099,2.488,1.061,0.116,0.945,0.136,0.08,0.056,1.291,0.006,1.285,0.406,0.423,0.021,0.162,0.401,0.401,2.957,3.358,0.0,0.16,0.074,0.086,0.16,0.074,0.086,0.787,0.866,3.289,-0.198,3.487,1.173,0.415,0.758,0.43,-0.108,0.538,1.884,0.024,1.86,0.335,0.15,0.2,0.015,1.325,1.325,4.964,0.0,0.015,0.289,-0.274,0.015,0.289,-0.274,0.139,1.529,1.606,3.358,4.964,8563,4273,4290
202710,Jimmy Butler,2026,1.536,-0.051,1.587,-0.107,0.019,-0.126,-0.117,0.082,-0.199,1.811,0.006,1.805,0.984,0.498,0.506,0.515,0.552,0.552,3.035,3.587,0.0,0.511,0.236,0.275,0.511,0.236,0.275,0.668,-0.307,0.518,-0.068,0.586,-0.275,-0.034,-0.241,-0.355,0.05,-0.405,1.216,-0.002,1.218,0.18,0.149,0.034,0.102,0.334,0.334,0.8,1.134,0.0,0.104,0.157,-0.053,0.104,0.157,-0.053,1.369,-0.163,2.055,-0.119,2.174,-0.382,-0.015,-0.367,-0.471,0.133,-0.604,3.027,0.004,3.023,1.163,0.647,0.54,0.617,0.886,0.886,4.721,0.0,0.615,0.393,0.222,0.615,0.393,0.222,2.037,-0.47,3.587,1.134,4.721,4824,2415,2409
1642349,Ajay Mitchell,2026,1.279,-0.245,1.524,1.061,0.18,0.881,0.328,-0.003,0.331,0.135,0.009,0.126,0.667,0.263,0.361,0.907,-0.435,-0.435,2.853,2.418,0.0,0.909,0.486,0.423,0.909,0.486,0.423,-0.801,0.189,0.522,0.044,0.478,0.739,0.194,0.545,0.462,0.147,0.315,-0.723,0.002,-0.725,-0.015,-0.027,-0.008,0.889,0.551,0.551,1.396,1.947,0.0,0.889,0.257,0.632,0.889,0.257,0.632,0.999,0.676,1.803,-0.201,2.004,1.801,0.375,1.426,0.79,0.144,0.646,-0.587,0.012,-0.599,0.652,0.237,0.353,1.796,0.116,0.116,4.365,0.0,1.798,0.743,1.055,1.798,0.743,1.055,0.198,0.865,2.418,1.947,4.365,6432,3232,3200
203507,Giannis Antetokounmpo,2026,3.35,0.099,3.251,1.951,0.474,1.477,0.146,0.515,-0.369,1.154,0.006,1.148,-0.055,0.679,-0.7,0.511,0.16,0.16,3.806,3.966,0.0,0.511,0.345,0.166,0.511,0.345,0.166,1.86,0.803,0.594,0.018,0.576,0.178,0.005,0.173,0.391,0.102,0.289,0.007,-0.003,0.01,0.073,0.001,0.059,-0.416,0.147,0.147,0.251,0.398,0.0,-0.414,-0.523,0.109,-0.414,-0.523,0.109,0.825,0.195,3.944,0.117,3.827,2.13,0.479,1.651,0.537,0.617,-0.08,1.16,0.002,1.158,0.018,0.681,-0.641,0.095,0.307,0.307,4.364,0.0,0.097,-0.178,0.275,0.097,-0.178,0.275,2.685,0.998,3.966,0.398,4.364,4415,2209,2206
1628389,Bam Adebayo,2026,1.183,0.201,0.982,0.432,-0.18,0.612,-0.328,-0.043,-0.285,0.878,-0.003,0.881,0.57,0.36,0.183,0.383,0.327,0.327,2.136,2.463,0.0,0.384,0.579,-0.195,0.384,0.579,-0.195,1.912,-0.067,0.105,0.008,0.097,-0.188,0.078,-0.266,0.502,0.138,0.364,-0.217,-0.0,-0.217,0.238,0.28,-0.035,0.226,1.324,1.324,0.569,1.893,0.0,0.226,0.052,0.174,0.226,0.052,0.174,1.36,0.208,1.289,0.209,1.08,0.244,-0.102,0.346,0.174,0.095,0.079,0.662,-0.003,0.665,0.808,0.64,0.148,0.609,1.651,1.651,4.356,-0.001,0.611,0.632,-0.021,0.611,0.632,-0.021,3.271,0.141,2.463,1.893,4.355,9967,4993,4974
