player_id,player_name,Latest_Year,oALT_EFG_VALUE,oALT_EFG_BASELINE,oALT_EFG_ATOMS_VALUE,oALT_EFG_RIM,oALT_EFG_RIM_FREQ,oALT_EFG_RIM_FG,oALT_EFG_MID,oALT_EFG_MID_FREQ,oALT_EFG_MID_FG,oALT_EFG_THREE,oALT_EFG_THREE_FREQ,oALT_EFG_THREE_FG,oALT_FT,oALT_FT_FREQ,oALT_FT_SEVERITY,oALT_TOV_VALUE,oSC,oSC_CLEAN,oFC,oDISPLAY_SUM,oRESID,oALT_TOV_LOSS_VALUE,oALT_TOV_VALUE_bp,oALT_TOV_VALUE_sc,oALT_TOV_VALUE_split,oALT_BADPASS_TOV_VALUE,oALT_SCORING_TOV_VALUE,oASSIST_POINTS,oRIM_ASSIST,dALT_EFG_VALUE,dALT_EFG_BASELINE,dALT_EFG_ATOMS_VALUE,dALT_EFG_RIM,dALT_EFG_RIM_FREQ,dALT_EFG_RIM_FG,dALT_EFG_MID,dALT_EFG_MID_FREQ,dALT_EFG_MID_FG,dALT_EFG_THREE,dALT_EFG_THREE_FREQ,dALT_EFG_THREE_FG,dALT_FT,dALT_FT_FREQ,dALT_FT_SEVERITY,dALT_TOV_VALUE,dSC,dSC_CLEAN,dFC,dDISPLAY_SUM,dRESID,dALT_TOV_LOSS_VALUE,dALT_TOV_VALUE_bp,dALT_TOV_VALUE_sc,dALT_TOV_VALUE_split,dALT_BADPASS_TOV_VALUE,dALT_SCORING_TOV_VALUE,dASSIST_POINTS,dRIM_ASSIST,nALT_EFG_VALUE,nALT_EFG_BASELINE,nALT_EFG_ATOMS_VALUE,nALT_EFG_RIM,nALT_EFG_RIM_FREQ,nALT_EFG_RIM_FG,nALT_EFG_MID,nALT_EFG_MID_FREQ,nALT_EFG_MID_FG,nALT_EFG_THREE,nALT_EFG_THREE_FREQ,nALT_EFG_THREE_FG,nALT_FT,nALT_FT_FREQ,nALT_FT_SEVERITY,nALT_TOV_VALUE,nSC,nSC_CLEAN,nDISPLAY_SUM,RESID,nALT_TOV_LOSS_VALUE,nALT_TOV_VALUE_bp,nALT_TOV_VALUE_sc,nALT_TOV_VALUE_split,nALT_BADPASS_TOV_VALUE,nALT_SCORING_TOV_VALUE,nASSIST_POINTS,nRIM_ASSIST,off,def,net_rapm,possessions,off_poss,def_poss
304,John Stockton,2026,4.109,-0.343,4.452,2.179,0.85,1.329,2.172,0.531,1.641,0.101,-0.083,0.184,0.957,0.294,0.631,1.143,0.25,0.25,6.209,6.459,0.0,1.143,0.427,0.716,1.143,0.427,0.716,6.189,2.785,0.714,0.017,0.697,0.22,0.118,0.102,0.365,-0.119,0.484,0.112,-0.083,0.195,0.017,0.108,-0.094,1.471,0.75,0.75,2.202,2.952,0.0,1.471,0.418,1.053,1.471,0.418,1.053,1.123,0.276,4.822,-0.326,5.148,2.398,0.967,1.431,2.537,0.412,2.125,0.213,-0.166,0.379,0.974,0.403,0.537,2.614,1.0,1.0,9.411,0.0,2.614,0.845,1.769,2.614,0.845,1.769,7.312,3.061,6.459,2.952,9.411,67854,33945,33909
2544,LeBron James,2026,5.52,-0.133,5.653,3.72,0.655,3.065,1.067,1.008,0.059,0.866,0.102,0.764,0.613,0.768,-0.166,0.975,-0.063,-0.063,7.108,7.045,0.0,0.975,0.071,0.904,0.975,0.071,0.904,2.752,2.195,1.102,0.053,1.049,0.543,-0.124,0.667,0.129,-0.121,0.25,0.377,0.01,0.367,0.149,0.107,0.034,0.562,0.214,0.214,1.813,2.027,0.0,0.562,0.513,0.049,0.562,0.513,0.049,1.225,0.075,6.621,-0.08,6.701,4.263,0.531,3.732,1.196,0.887,0.309,1.242,0.111,1.131,0.761,0.875,-0.132,1.537,0.151,0.151,9.072,0.0,1.537,0.584,0.953,1.537,0.584,0.953,3.977,2.269,7.045,2.027,9.072,282529,141473,141056
203999,Nikola Jokic,2026,5.478,-0.217,5.695,2.128,0.152,1.976,2.42,-0.094,2.514,1.147,-0.036,1.183,0.752,0.441,0.325,-0.615,1.173,1.173,5.615,6.788,0.0,-0.615,-0.885,0.27,-0.615,-0.885,0.27,9.937,2.398,-0.297,0.17,-0.467,-0.072,0.298,-0.37,0.145,0.27,-0.125,-0.54,-0.015,-0.525,0.833,0.818,0.022,-0.579,2.24,2.24,-0.043,2.197,0.0,-0.579,0.017,-0.596,-0.579,0.017,-0.596,-3.42,0.336,5.182,-0.047,5.229,2.056,0.45,1.606,2.567,0.177,2.39,0.606,-0.051,0.657,1.585,1.259,0.347,-1.194,3.413,3.413,8.985,0.0,-1.194,-0.868,-0.326,-1.194,-0.868,-0.326,6.517,2.734,6.788,2.197,8.985,118517,59481,59036
893,Michael Jordan,2026,1.852,-0.302,2.154,0.474,-0.662,1.136,1.602,-0.631,2.233,0.078,-0.196,0.274,0.887,0.304,0.549,2.812,1.252,1.252,5.551,6.803,0.0,2.812,1.436,1.376,2.812,1.436,1.376,2.521,-0.19,0.672,0.047,0.625,0.263,0.419,-0.156,0.426,0.176,0.25,-0.064,-0.025,-0.039,0.343,0.134,0.207,0.426,0.358,0.358,1.441,1.799,0.0,0.426,0.001,0.425,0.426,0.001,0.425,1.724,0.695,2.523,-0.255,2.778,0.736,-0.244,0.98,2.028,-0.455,2.483,0.014,-0.221,0.235,1.23,0.438,0.756,3.239,1.61,1.61,8.602,0.0,3.239,1.437,1.802,3.239,1.437,1.802,4.245,0.505,6.803,1.799,8.602,47886,23992,23894
708,Kevin Garnett,2026,2.326,0.066,2.26,0.938,-0.074,1.012,1.782,-0.73,2.512,-0.46,-0.338,-0.122,0.205,-0.107,0.3,0.038,0.017,0.017,2.569,2.586,0.0,0.038,-0.154,0.192,0.038,-0.154,0.192,5.606,1.096,4.024,-0.169,4.193,1.975,0.158,1.817,1.603,0.207,1.396,0.615,-0.003,0.618,0.503,0.608,-0.105,0.59,0.799,0.799,5.117,5.916,0.0,0.59,0.525,0.065,0.59,0.525,0.065,3.38,1.165,6.35,-0.103,6.453,2.913,0.084,2.829,3.385,-0.523,3.908,0.155,-0.341,0.496,0.708,0.501,0.196,0.629,0.816,0.816,8.502,-0.001,0.629,0.37,0.259,0.629,0.37,0.259,8.986,2.261,2.586,5.916,8.501,199918,100157,99761
1641705,Victor Wembanyama,2026,2.62,0.261,2.359,2.686,0.169,2.517,0.111,0.451,-0.34,-0.438,0.01,-0.448,0.187,-0.219,0.426,-0.753,-0.219,-0.219,2.054,1.835,0.0,-0.753,-0.728,-0.025,-0.753,-0.728,-0.025,5.046,1.941,4.719,-0.21,4.929,2.26,0.381,1.879,1.44,0.217,1.223,1.229,0.014,1.215,0.992,1.165,-0.172,-0.465,1.03,1.03,5.246,6.276,-0.0,-0.465,-0.141,-0.324,-0.465,-0.141,-0.324,1.216,1.638,7.34,0.051,7.289,4.946,0.55,4.396,1.551,0.668,0.883,0.792,0.024,0.768,1.179,0.946,0.254,-1.218,0.811,0.811,8.111,0.001,-1.218,-0.869,-0.349,-1.218,-0.869,-0.349,6.262,3.579,1.835,6.276,8.112,24207,12137,12070
201939,Stephen Curry,2026,6.703,-0.013,6.716,1.652,0.389,1.263,1.81,1.08,0.73,3.254,0.164,3.09,0.582,-0.027,0.629,0.277,0.019,0.019,7.562,7.581,0.0,0.277,-0.27,0.547,0.277,-0.27,0.547,4.581,1.54,-0.383,0.162,-0.545,-0.894,0.031,-0.925,0.426,0.044,0.382,-0.077,0.039,-0.116,-0.329,-0.3,-0.034,0.671,0.13,0.13,-0.041,0.089,-0.0,0.671,0.224,0.447,0.671,0.224,0.447,0.579,-0.096,6.321,0.149,6.172,0.759,0.421,0.338,2.236,1.124,1.112,3.177,0.202,2.975,0.253,-0.327,0.595,0.949,0.148,0.148,7.67,-0.0,0.949,-0.046,0.995,0.949,-0.046,0.995,5.16,1.444,7.581,0.089,7.67,172247,86340,85907
101108,Chris Paul,2026,3.915,-0.133,4.048,0.895,-0.281,1.176,2.183,0.118,2.065,0.97,0.068,0.902,0.525,0.18,0.35,2.389,-0.725,-0.725,6.829,6.104,-0.0,2.389,1.491,0.898,2.389,1.491,0.898,2.467,0.428,0.144,0.063,0.081,-0.031,0.043,-0.074,0.064,-0.027,0.091,0.048,-0.026,0.074,-0.101,-0.031,-0.065,1.02,0.36,0.36,1.063,1.423,0.0,1.02,0.502,0.518,1.02,0.502,0.518,0.991,0.263,4.06,-0.07,4.13,0.863,-0.239,1.102,2.248,0.091,2.157,1.019,0.042,0.977,0.424,0.149,0.284,3.409,-0.365,-0.365,7.527,-0.0,3.409,1.993,1.416,3.409,1.993,1.416,3.458,0.691,6.104,1.423,7.527,197837,99118,98719
1495,Tim Duncan,2026,1.979,0.261,1.718,0.884,0.029,0.855,0.998,-0.499,1.497,-0.164,-0.197,0.033,-0.287,0.135,-0.436,-0.122,0.751,0.751,1.57,2.321,0.0,-0.122,-0.386,0.264,-0.122,-0.386,0.264,3.353,1.412,4.041,-0.263,4.304,2.696,0.243,2.453,1.587,0.701,0.886,0.021,0.091,-0.07,1.243,1.21,0.033,-1.337,1.065,1.065,3.947,5.012,-0.0,-1.337,-0.623,-0.714,-1.337,-0.623,-0.714,2.185,1.381,6.02,-0.002,6.022,3.58,0.272,3.308,2.585,0.202,2.383,-0.143,-0.106,-0.037,0.956,1.345,-0.403,-1.459,1.816,1.816,7.333,0.0,-1.459,-1.009,-0.45,-1.459,-1.009,-0.45,5.537,2.793,2.321,5.012,7.333,211217,106014,105203
202695,Kawhi Leonard,2026,3.267,0.05,3.217,0.791,-0.145,0.936,0.798,-0.472,1.27,1.628,-0.095,1.723,0.761,0.08,0.69,1.133,0.015,0.015,5.161,5.176,0.0,1.133,0.705,0.428,1.133,0.705,0.428,1.194,-0.151,0.436,0.204,0.232,-0.253,-0.054,-0.199,0.659,0.122,0.537,-0.174,0.021,-0.195,0.125,0.196,-0.067,0.652,0.865,0.865,1.213,2.078,-0.0,0.652,0.424,0.228,0.652,0.424,0.228,0.377,-0.121,3.703,0.254,3.449,0.538,-0.199,0.737,1.457,-0.35,1.807,1.454,-0.074,1.528,0.887,0.276,0.624,1.785,0.88,0.88,7.254,-0.001,1.785,1.128,0.657,1.785,1.128,0.657,1.571,-0.272,5.176,2.078,7.253,119409,59754,59655
