player_id,player_name,Latest_Year,oALT_EFG_VALUE,oALT_EFG_RIM,oALT_EFG_RIM_FREQ,oALT_EFG_RIM_FG,oALT_EFG_MID,oALT_EFG_MID_FREQ,oALT_EFG_MID_FG,oALT_EFG_THREE,oALT_EFG_THREE_FREQ,oALT_EFG_THREE_FG,oALT_FT,oALT_FT_FREQ,oALT_FT_SEVERITY,oALT_TOV_VALUE,oSC,oSC_CLEAN,oFC,oDISPLAY_SUM,oRESID,oALT_TOV_LOSS_VALUE,oALT_TOV_VALUE_bp,oALT_TOV_VALUE_sc,oALT_TOV_VALUE_split,oALT_BADPASS_TOV_VALUE,oALT_SCORING_TOV_VALUE,oASSIST_POINTS,oRIM_ASSIST,dALT_EFG_VALUE,dALT_EFG_RIM,dALT_EFG_RIM_FREQ,dALT_EFG_RIM_FG,dALT_EFG_MID,dALT_EFG_MID_FREQ,dALT_EFG_MID_FG,dALT_EFG_THREE,dALT_EFG_THREE_FREQ,dALT_EFG_THREE_FG,dALT_FT,dALT_FT_FREQ,dALT_FT_SEVERITY,dALT_TOV_VALUE,dSC,dSC_CLEAN,dFC,dDISPLAY_SUM,dRESID,dALT_TOV_LOSS_VALUE,dALT_TOV_VALUE_bp,dALT_TOV_VALUE_sc,dALT_TOV_VALUE_split,dALT_BADPASS_TOV_VALUE,dALT_SCORING_TOV_VALUE,dASSIST_POINTS,dRIM_ASSIST,nALT_EFG_VALUE,nALT_EFG_RIM,nALT_EFG_RIM_FREQ,nALT_EFG_RIM_FG,nALT_EFG_MID,nALT_EFG_MID_FREQ,nALT_EFG_MID_FG,nALT_EFG_THREE,nALT_EFG_THREE_FREQ,nALT_EFG_THREE_FG,nALT_FT,nALT_FT_FREQ,nALT_FT_SEVERITY,nALT_TOV_VALUE,nSC,nSC_CLEAN,nDISPLAY_SUM,RESID,nALT_TOV_LOSS_VALUE,nALT_TOV_VALUE_bp,nALT_TOV_VALUE_sc,nALT_TOV_VALUE_split,nALT_BADPASS_TOV_VALUE,nALT_SCORING_TOV_VALUE,nASSIST_POINTS,nRIM_ASSIST,off,def,net_rapm,possessions,off_poss,def_poss
406,Shaquille O'Neal,2001,5.865,3.291,0.839,2.452,1.293,0.342,0.951,1.281,-0.128,1.409,-0.015,0.799,-2.255,-0.08,1.429,1.429,5.77,7.199,-0.556,-0.082,-0.359,0.277,-0.082,-0.359,0.277,6.954,2.928,2.511,1.205,0.626,0.579,1.314,0.682,0.632,-0.008,-0.009,0.001,0.955,1.273,-0.266,-0.896,-1.01,-1.01,2.57,1.56,0.072,-0.83,-0.279,-0.551,-0.83,-0.279,-0.551,-0.432,1.144,8.377,4.497,1.465,3.032,2.607,1.024,1.583,1.273,-0.137,1.41,0.94,2.072,-2.52,-0.976,0.419,0.419,8.759,-0.485,-0.911,-0.638,-0.273,-0.911,-0.638,-0.273,6.522,4.072,6.643,1.632,8.274,46975,23580,23395
304,John Stockton,2001,3.123,1.911,0.594,1.317,1.441,0.187,1.254,-0.229,-0.106,-0.123,0.541,-0.014,0.356,0.466,0.429,0.429,4.13,4.559,-0.313,0.673,-0.064,0.737,0.673,-0.064,0.737,4.815,2.193,1.548,0.476,0.193,0.283,0.587,-0.036,0.623,0.485,-0.054,0.539,0.003,0.012,-0.039,0.922,0.799,0.799,2.473,3.272,0.034,0.984,0.308,0.676,0.984,0.308,0.676,2.011,0.691,4.671,2.386,0.787,1.599,2.028,0.151,1.877,0.257,-0.16,0.417,0.545,-0.002,0.318,1.388,1.228,1.228,7.831,-0.279,1.657,0.244,1.413,1.657,0.244,1.413,6.826,2.884,4.246,3.306,7.552,34910,17455,17455
893,Michael Jordan,2001,1.826,0.854,-0.038,0.892,1.046,-0.235,1.281,-0.074,-0.19,0.116,0.344,0.448,0.457,1.559,0.535,0.535,3.729,4.264,0.728,1.328,0.46,0.868,1.328,0.46,0.868,0.255,0.078,1.036,0.31,-0.037,0.347,0.551,-0.064,0.615,0.175,0.024,0.151,-0.146,-0.332,0.307,0.282,0.329,0.329,1.172,1.501,0.206,0.103,0.052,0.051,0.103,0.052,0.051,1.776,0.28,2.864,1.165,-0.075,1.24,1.597,-0.299,1.896,0.102,-0.165,0.267,0.198,0.115,0.764,1.841,0.864,0.864,5.765,0.934,1.43,0.512,0.918,1.43,0.512,0.918,2.031,0.358,4.992,1.707,6.699,14414,7209,7205
1713,Vince Carter,2001,2.946,0.852,-0.181,1.033,1.036,0.058,0.978,1.058,0.112,0.946,0.076,-0.016,0.119,1.494,1.51,1.51,4.516,6.026,-0.01,1.579,0.63,0.949,1.579,0.63,0.949,4.494,0.436,0.371,0.507,0.205,0.302,-0.315,0.018,-0.333,0.179,-0.027,0.206,-0.099,0.138,-0.224,-0.147,0.188,0.188,0.125,0.313,0.252,-0.175,0.172,-0.347,-0.175,0.172,-0.347,0.738,0.589,3.317,1.358,0.024,1.334,0.721,0.076,0.645,1.238,0.086,1.152,-0.024,0.122,-0.106,1.347,1.698,1.698,6.339,0.243,1.403,0.802,0.601,1.403,0.802,0.601,5.232,1.025,6.016,0.565,6.582,31899,15981,15918
1495,Tim Duncan,2001,2.275,0.391,0.104,0.287,1.375,-0.18,1.555,0.509,-0.048,0.557,-0.503,-0.302,-0.517,0.124,0.801,0.801,1.896,2.697,0.248,0.091,-0.425,0.516,0.091,-0.425,0.516,2.825,0.255,3.487,2.119,0.169,1.95,1.211,0.331,0.88,0.157,0.054,0.103,0.524,0.531,0.025,-0.761,0.377,0.377,3.25,3.627,-0.085,-0.527,-0.309,-0.218,-0.527,-0.309,-0.218,3.479,1.351,5.761,2.51,0.273,2.237,2.585,0.151,2.434,0.666,0.006,0.66,0.021,0.23,-0.492,-0.637,1.178,1.178,6.324,0.163,-0.436,-0.734,0.298,-0.436,-0.734,0.298,6.303,1.606,2.945,3.542,6.487,46784,23379,23405
87,Dikembe Mutombo,2001,0.864,0.324,-0.224,0.548,0.625,-0.52,1.145,-0.085,-0.204,0.119,-0.523,-0.802,0.165,-0.248,1.127,1.127,0.093,1.22,-0.52,-0.175,0.293,-0.468,-0.175,0.293,-0.468,-1.325,-0.054,3.5,3.213,0.813,2.4,-0.073,0.886,-0.959,0.36,0.006,0.354,1.706,1.961,-0.178,-1.356,0.5,0.5,3.85,4.35,0.293,-1.407,-0.757,-0.65,-1.407,-0.757,-0.65,1.18,1.981,4.361,3.536,0.589,2.947,0.551,0.365,0.186,0.274,-0.198,0.472,1.182,1.159,-0.013,-1.603,1.628,1.628,5.57,-0.227,-1.583,-0.465,-1.118,-1.583,-0.465,-1.118,-0.146,1.927,0.7,4.643,5.343,42095,21060,21035
739,Rasheed Wallace,2001,2.642,0.568,0.093,0.475,1.97,0.004,1.966,0.104,-0.021,0.125,0.138,0.091,0.026,-0.744,-0.483,-0.483,2.036,1.553,-0.43,-0.647,-0.621,-0.026,-0.647,-0.621,-0.026,2.966,0.795,2.543,1.721,0.204,1.517,0.479,-0.019,0.498,0.343,-0.09,0.433,0.013,-0.076,0.069,0.447,0.967,0.967,3.003,3.97,-0.054,0.389,-0.088,0.477,0.389,-0.088,0.477,3.325,1.33,5.185,2.289,0.297,1.992,2.449,-0.015,2.464,0.447,-0.111,0.558,0.151,0.015,0.095,-0.297,0.484,0.484,5.523,-0.484,-0.258,-0.709,0.451,-0.258,-0.709,0.451,6.29,2.125,1.123,3.916,5.039,41625,20836,20789
56,Gary Payton,2001,2.314,1.204,0.414,0.79,0.539,0.795,-0.256,0.571,0.392,0.179,-0.214,-0.263,-0.132,1.818,1.088,1.088,3.918,5.006,-0.165,1.936,1.015,0.921,1.936,1.015,0.921,2.428,0.45,-0.804,-0.393,0.284,-0.677,-0.147,0.033,-0.18,-0.264,-0.105,-0.159,0.251,0.253,-0.021,0.57,-0.013,-0.013,0.017,0.004,0.099,0.562,0.647,-0.085,0.562,0.647,-0.085,-1.503,0.166,1.508,0.811,0.698,0.113,0.391,0.827,-0.436,0.306,0.287,0.019,0.037,-0.01,-0.153,2.388,1.075,1.075,5.01,-0.066,2.498,1.662,0.836,2.498,1.662,0.836,0.925,0.616,4.841,0.103,4.944,46392,23271,23121
252,Karl Malone,2001,3.832,1.079,0.607,0.472,2.488,0.39,2.098,0.265,-0.252,0.517,2.428,2.275,0.774,0.292,-2.391,-2.391,6.552,4.161,0.8,0.137,-0.24,0.377,0.137,-0.24,0.377,4.601,1.852,-0.173,0.15,-0.02,0.17,-0.618,-0.105,-0.513,0.295,-0.005,0.3,-0.513,-0.441,-0.192,0.118,0.758,0.758,-0.568,0.19,-0.322,0.118,-0.386,0.504,0.118,-0.386,0.504,1.367,0.382,3.658,1.228,0.587,0.641,1.87,0.285,1.585,0.56,-0.257,0.817,1.915,1.834,0.582,0.41,-1.633,-1.633,4.351,0.479,0.256,-0.626,0.882,0.256,-0.626,0.882,5.968,2.234,4.961,-0.132,4.83,45868,22938,22930
764,David Robinson,2001,-0.247,1.002,0.332,0.67,-1.158,0.11,-1.268,-0.091,-0.096,0.005,0.678,0.403,-0.015,0.107,0.231,0.231,0.538,0.769,-0.255,0.074,-0.361,0.435,0.074,-0.361,0.435,1.92,1.225,3.119,1.879,0.494,1.385,1.0,0.599,0.401,0.24,0.066,0.174,0.87,0.961,-0.046,-0.192,0.302,0.302,3.797,4.099,0.163,-0.262,-0.107,-0.155,-0.262,-0.107,-0.155,0.493,1.039,2.871,2.881,0.826,2.055,-0.159,0.709,-0.868,0.149,-0.03,0.179,1.548,1.363,-0.061,-0.085,0.533,0.533,4.868,-0.092,-0.188,-0.468,0.28,-0.188,-0.468,0.28,2.413,2.264,0.514,4.262,4.776,37756,18912,18844
