player_id,player_name,Latest_Year,TOV_SC_ALLOCATION_POLICY,TOV_SC_TRANSFER_MULTIPLIER,oDECOMP_EFG,oDECOMP_EFG_PARENT,oDECOMP_EFG_CHILDREN,oDECOMP_EFG_PARENT_GAP,oDECOMP_EFG_DISPLAY_GAP,oDECOMP_RIM,oDECOMP_RIM_FREQ,oDECOMP_RIM_FG,oDECOMP_MID_FG,oDECOMP_THREE,oDECOMP_THREE_FREQ,oDECOMP_THREE_FG,oDECOMP_FT,oDECOMP_FT_FREQ,oDECOMP_FT_SEVERITY,oDECOMP_TOV_VALUE,oSC,oSC_CLEAN,oFC,oDISPLAY_SUM,oRESID,oDECOMP_TOV_LOSS_VALUE,oDECOMP_TOV_VALUE_bp,oDECOMP_TOV_VALUE_sc,oDECOMP_TOV_VALUE_split,oDECOMP_BADPASS_TOV_VALUE,oDECOMP_SCORING_TOV_VALUE,oASSIST_POINTS,oRIM_ASSIST,dDECOMP_EFG,dDECOMP_EFG_PARENT,dDECOMP_EFG_CHILDREN,dDECOMP_EFG_PARENT_GAP,dDECOMP_EFG_DISPLAY_GAP,dDECOMP_RIM,dDECOMP_RIM_FREQ,dDECOMP_RIM_FG,dDECOMP_MID_FG,dDECOMP_THREE,dDECOMP_THREE_FREQ,dDECOMP_THREE_FG,dDECOMP_FT,dDECOMP_FT_FREQ,dDECOMP_FT_SEVERITY,dDECOMP_TOV_VALUE,dSC,dSC_CLEAN,dFC,dDISPLAY_SUM,dRESID,dDECOMP_TOV_LOSS_VALUE,dDECOMP_TOV_VALUE_bp,dDECOMP_TOV_VALUE_sc,dDECOMP_TOV_VALUE_split,dDECOMP_BADPASS_TOV_VALUE,dDECOMP_SCORING_TOV_VALUE,dASSIST_POINTS,dRIM_ASSIST,nDECOMP_EFG,nDECOMP_EFG_PARENT,nDECOMP_EFG_CHILDREN,nDECOMP_EFG_PARENT_GAP,nDECOMP_EFG_DISPLAY_GAP,nDECOMP_RIM,nDECOMP_RIM_FREQ,nDECOMP_RIM_FG,nDECOMP_MID_FG,nDECOMP_THREE,nDECOMP_THREE_FREQ,nDECOMP_THREE_FG,nDECOMP_FT,nDECOMP_FT_FREQ,nDECOMP_FT_SEVERITY,nDECOMP_TOV_VALUE,nSC,nSC_CLEAN,nDISPLAY_SUM,RESID,nDECOMP_TOV_LOSS_VALUE,nDECOMP_TOV_VALUE_bp,nDECOMP_TOV_VALUE_sc,nDECOMP_TOV_VALUE_split,nDECOMP_BADPASS_TOV_VALUE,nDECOMP_SCORING_TOV_VALUE,nASSIST_POINTS,nRIM_ASSIST,off,def,net_rapm,possessions,off_poss,def_poss
1641705,Victor Wembanyama,2026,full_possession_v1,1.1543056562904384,1.181,1.178,1.178,-0.0,0.003,2.066,0.545,1.521,-0.6,-0.288,0.068,-0.356,0.387,0.228,0.158,0.061,1.108,1.108,1.629,2.737,0.0,0.061,0.012,0.05,0.061,0.012,0.05,2.201,1.312,3.251,3.245,3.238,0.007,0.013,1.959,0.999,0.96,0.983,0.296,-0.385,0.681,0.357,0.523,-0.165,-0.021,0.727,0.727,3.587,4.314,0.0,-0.021,0.186,-0.207,-0.021,0.186,-0.207,0.273,1.198,4.432,4.424,4.416,0.008,0.016,4.025,1.544,2.481,0.383,0.008,-0.317,0.325,0.744,0.751,-0.007,0.04,1.835,1.835,7.051,0.0,0.04,0.198,-0.157,0.04,0.198,-0.157,2.474,2.51,2.737,4.314,7.051,10753,5408,5345
202695,Kawhi Leonard,2026,full_possession_v1,1.1543056562904384,2.971,2.97,2.968,0.002,0.003,-0.296,-0.816,0.52,1.574,1.69,0.111,1.579,0.247,-0.283,0.531,1.174,0.703,0.703,4.392,5.095,0.0,1.174,0.477,0.697,1.174,0.477,0.697,1.007,-0.813,0.668,0.668,0.67,-0.002,-0.002,-0.144,0.007,-0.151,0.158,0.656,0.04,0.616,0.339,0.478,-0.138,0.364,0.077,0.077,1.371,1.448,0.0,0.364,0.274,0.09,0.364,0.274,0.09,0.316,-0.129,3.639,3.639,3.638,0.001,0.001,-0.44,-0.809,0.369,1.732,2.346,0.151,2.195,0.586,0.195,0.393,1.538,0.78,0.78,6.543,0.0,1.538,0.751,0.787,1.538,0.751,0.787,1.323,-0.942,5.095,1.448,6.543,8361,4174,4187
1628983,Shai Gilgeous-Alexander,2026,full_possession_v1,1.1543056562904384,3.044,3.04,3.041,-0.001,0.003,0.941,-0.361,1.302,1.721,0.379,0.05,0.329,1.377,0.932,0.446,1.927,-1.145,-1.145,6.348,5.203,-0.0,1.927,1.274,0.652,1.927,1.274,0.652,-2.444,-0.818,1.567,1.564,1.561,0.003,0.006,0.765,0.009,0.756,0.989,-0.193,0.015,-0.208,-0.262,-0.194,-0.069,0.608,-0.74,-0.74,1.913,1.173,0.0,0.608,0.043,0.566,0.608,0.043,0.566,0.809,0.464,4.611,4.604,4.602,0.002,0.009,1.706,-0.352,2.058,2.71,0.186,0.065,0.121,1.115,0.738,0.377,2.535,-1.885,-1.885,6.376,-0.0,2.535,1.317,1.218,2.535,1.317,1.218,-1.635,-0.354,5.203,1.173,6.376,11608,5780,5828
1642349,Ajay Mitchell,2026,full_possession_v1,1.1543056562904384,2.316,2.318,2.318,0.0,-0.002,1.821,0.463,1.358,0.636,-0.139,-0.217,0.078,0.583,0.153,0.429,1.234,-0.794,-0.794,4.133,3.339,0.0,1.234,0.664,0.57,1.234,0.664,0.57,-0.414,0.383,0.419,0.42,0.418,0.002,0.001,0.867,0.378,0.489,0.362,-0.811,-0.024,-0.787,-0.076,-0.168,0.091,1.241,0.389,0.389,1.584,1.973,0.0,1.241,0.491,0.75,1.241,0.491,0.75,1.19,0.73,2.735,2.737,2.736,0.001,-0.001,2.688,0.841,1.847,0.998,-0.95,-0.241,-0.709,0.507,-0.015,0.52,2.475,-0.405,-0.405,5.312,0.0,2.475,1.155,1.32,2.475,1.155,1.32,0.776,1.113,3.339,1.973,5.312,7280,3647,3633
1630700,Dyson Daniels,2026,full_possession_v1,1.1543056562904384,2.527,2.526,2.521,0.005,0.006,0.792,0.13,0.662,0.651,1.078,-0.146,1.224,-0.156,-0.131,-0.022,0.76,-0.028,-0.028,3.131,3.103,0.0,0.76,0.577,0.182,0.76,0.577,0.182,4.327,0.86,1.065,1.066,1.069,-0.003,-0.004,0.017,-0.058,0.075,0.278,0.774,0.078,0.696,0.118,0.085,0.033,0.988,-0.029,-0.029,2.171,2.142,0.0,0.988,0.271,0.717,0.988,0.271,0.717,1.248,-0.137,3.592,3.591,3.59,0.001,0.002,0.809,0.072,0.737,0.929,1.852,-0.068,1.92,-0.038,-0.046,0.011,1.748,-0.057,-0.057,5.245,0.0,1.748,0.848,0.899,1.748,0.848,0.899,5.575,0.723,3.103,2.142,5.245,11464,5706,5758
203999,Nikola Jokić,2026,full_possession_v1,1.1543056562904384,4.052,4.053,4.055,-0.002,-0.003,1.51,0.553,0.957,1.633,0.912,0.116,0.796,1.114,0.781,0.334,-0.427,0.226,0.226,4.739,4.965,0.0,-0.427,-1.095,0.668,-0.427,-1.095,0.668,4.696,1.394,-0.756,-0.763,-0.77,0.007,0.014,-0.394,0.054,-0.448,-0.215,-0.161,-0.032,-0.129,-0.055,0.167,-0.221,-0.132,1.184,1.184,-0.943,0.241,0.0,-0.132,0.055,-0.187,-0.132,0.055,-0.187,-0.497,-0.11,3.296,3.291,3.285,0.006,0.011,1.116,0.607,0.509,1.418,0.751,0.084,0.667,1.059,0.948,0.113,-0.559,1.41,1.41,5.206,0.0,-0.559,-1.04,0.481,-0.559,-1.04,0.481,4.199,1.284,4.965,0.241,5.206,10288,5158,5130
1627936,Alex Caruso,2026,full_possession_v1,1.1543056562904384,0.775,0.771,0.773,-0.002,0.002,-0.044,0.001,-0.045,0.249,0.568,0.173,0.395,0.8,0.593,0.209,0.588,0.112,0.112,2.163,2.275,-0.0,0.588,-0.174,0.762,0.588,-0.174,0.762,1.444,0.101,1.609,1.606,1.612,-0.006,-0.003,0.445,0.289,0.156,0.672,0.495,-0.189,0.684,-0.243,-0.233,-0.012,1.51,-0.103,-0.103,2.876,2.773,0.0,1.51,0.612,0.898,1.51,0.612,0.898,2.457,0.563,2.384,2.377,2.385,-0.008,-0.001,0.401,0.29,0.111,0.921,1.063,-0.016,1.079,0.557,0.36,0.197,2.098,0.009,0.009,5.048,0.0,2.098,0.438,1.66,2.098,0.438,1.66,3.901,0.664,2.275,2.773,5.048,5539,2772,2767
1631096,Chet Holmgren,2026,full_possession_v1,1.1543056562904384,1.456,1.464,1.461,0.003,-0.005,0.611,0.486,0.125,0.762,0.088,-0.506,0.594,-0.151,-0.342,0.189,-0.269,0.619,0.619,1.036,1.655,0.0,-0.269,0.172,-0.441,-0.269,0.172,-0.441,-0.669,0.691,2.195,2.192,2.194,-0.002,0.001,1.254,0.211,1.043,-0.056,0.996,-0.112,1.108,0.405,0.373,0.032,0.092,0.528,0.528,2.692,3.22,0.0,0.092,0.058,0.035,0.092,0.058,0.035,0.746,0.745,3.651,3.656,3.655,0.001,-0.004,1.865,0.697,1.168,0.706,1.084,-0.618,1.702,0.254,0.031,0.221,-0.177,1.147,1.147,4.875,0.0,-0.177,0.23,-0.406,-0.177,0.23,-0.406,0.077,1.436,1.655,3.22,4.875,10169,5060,5109
1628389,Bam Adebayo,2026,full_possession_v1,1.1543056562904384,1.193,1.196,1.196,0.0,-0.003,0.419,-0.284,0.703,-0.38,1.157,0.073,1.084,0.537,0.353,0.181,0.395,0.342,0.342,2.125,2.467,0.0,0.395,0.629,-0.234,0.395,0.629,-0.234,2.076,0.059,0.443,0.448,0.444,0.004,-0.001,-0.002,0.166,-0.168,0.432,0.014,0.019,-0.005,0.29,0.304,-0.012,0.359,1.207,1.207,1.092,2.299,-0.0,0.359,0.076,0.283,0.359,0.076,0.283,1.483,0.235,1.636,1.644,1.64,0.004,-0.004,0.417,-0.118,0.535,0.052,1.171,0.092,1.079,0.827,0.657,0.169,0.754,1.549,1.549,4.766,0.001,0.754,0.705,0.049,0.754,0.705,0.049,3.559,0.294,2.467,2.299,4.767,10211,5129,5082
202710,Jimmy Butler III,2026,full_possession_v1,1.1543056562904384,1.749,1.75,1.75,0.0,-0.001,0.027,0.174,-0.147,-0.134,1.857,-0.039,1.896,1.004,0.515,0.491,0.519,0.363,0.363,3.272,3.635,-0.0,0.519,0.227,0.292,0.519,0.227,0.292,0.703,-0.3,0.508,0.508,0.502,0.006,0.006,-0.259,-0.061,-0.198,-0.409,1.17,0.047,1.123,0.202,0.17,0.032,0.147,0.272,0.272,0.857,1.129,0.0,0.147,0.189,-0.043,0.147,0.189,-0.043,1.293,-0.184,2.257,2.258,2.252,0.006,0.005,-0.232,0.113,-0.345,-0.543,3.027,0.008,3.019,1.206,0.685,0.523,0.666,0.635,0.635,4.764,0.0,0.666,0.416,0.249,0.666,0.416,0.249,1.996,-0.484,3.635,1.129,4.764,4845,2426,2419
