player_id,player_name,off,def,net_rapm,oRIM_FREQ,dRIM_FREQ,oRIM_FG,dRIM_FG,oMID_FG,dMID_FG,oTHREE_FREQ,dTHREE_FREQ,oTHREE_FG,dTHREE_FG,oFT,dFT,oTOV_VALUE,dTOV_VALUE,oSC,dSC,vanilla_off,vanilla_def,vanilla_net,delta_net,possessions
203999,Nikola Jokic,8.202,-2.335,10.537,0.722,0.827,2.493,-0.653,2.656,-0.342,-0.201,-0.134,0.985,0.032,1.345,0.48,-0.548,-0.093,0.75,2.218,7.228,-0.533,7.761,2.776,70614
1641705,Victor Wembanyama,2.851,-7.011,9.862,0.638,1.717,2.352,2.548,-0.772,1.011,0.223,-0.401,-0.145,0.325,0.232,1.054,-0.63,-0.242,0.953,0.999,1.771,-4.935,6.706,3.156,25876
1628983,Shai Gilgeous-Alexander,7.255,-0.769,8.024,-0.211,-0.254,1.199,0.813,2.011,0.739,-0.126,-0.008,0.473,0.065,2.192,-0.668,2.218,0.753,-0.501,-0.671,6.325,-1.483,7.808,0.216,61266
203507,Giannis Antetokounmpo,5.271,-2.202,7.473,2.023,0.386,2.688,1.064,-0.468,-0.012,-0.309,-0.107,0.491,0.07,-0.075,0.347,0.518,-0.863,0.403,1.317,4.493,-1.62,6.113,1.36,56929
202695,Kawhi Leonard,5.818,-1.186,7.004,-0.664,-0.258,0.86,-0.069,1.993,0.206,-0.002,0.017,1.252,-0.008,0.591,0.302,1.674,0.73,0.114,0.266,5.35,-1.204,6.554,0.45,39760
203954,Joel Embiid,3.296,-2.457,5.753,-0.078,0.804,1.575,0.838,1.318,0.31,-0.259,0.055,0.366,0.077,1.693,0.517,-0.263,-0.825,-1.056,0.681,1.977,-1.334,3.311,2.442,43369
1631096,Chet Holmgren,1.423,-3.953,5.376,0.465,0.722,0.621,2.429,0.514,0.295,-0.428,-0.117,0.454,0.171,-0.291,0.925,-0.521,-0.804,0.609,0.332,1.528,-3.013,4.541,0.835,28321
1629674,Neemias Queta,1.648,-3.613,5.261,0.038,1.216,1.255,1.579,0.564,0.244,-0.405,-0.253,-0.818,0.114,-0.693,0.61,-0.194,-0.133,1.901,0.236,0.619,-2.087,2.706,2.555,13503
1628389,Bam Adebayo,1.197,-4.033,5.23,-0.489,0.861,1.174,0.236,-0.506,0.064,-0.226,-0.056,0.437,0.173,0.289,0.673,0.315,0.464,0.203,1.618,0.614,-2.876,3.49,1.74,63972
1630532,Franz Wagner,2.441,-2.532,4.973,1.021,-0.137,0.523,0.964,0.319,0.008,-0.32,0.036,-0.647,0.014,0.859,-0.144,0.602,0.894,0.084,0.897,1.504,-2.257,3.761,1.212,44858
1628386,Jarrett Allen,1.925,-2.574,4.499,0.044,0.067,0.76,0.885,1.285,-0.036,-0.468,-0.076,0.331,-0.208,-0.476,1.474,-0.886,0.313,1.335,0.155,1.735,-1.027,2.762,1.737,53118
203076,Anthony Davis,1.376,-3.067,4.443,0.407,0.614,1.2,0.622,0.42,0.156,-0.71,-0.031,-0.428,0.045,0.038,0.644,-0.011,-0.175,0.46,1.192,0.372,-1.477,1.849,2.594,43231
203500,Steven Adams,1.515,-2.917,4.432,-0.099,0.934,0.052,0.991,-0.26,0.299,-0.516,-0.073,-0.247,0.108,-0.759,0.998,-0.835,-0.958,4.179,0.618,1.763,-1.49,3.253,1.179,26689
1629029,Luka Doncic,4.677,0.252,4.425,-0.759,-0.077,2.134,-0.691,1.701,-0.175,0.566,-0.037,0.73,0.047,0.215,0.163,1.114,-0.132,-1.024,0.65,4.119,0.303,3.816,0.609,62625
1628378,Donovan Mitchell,4.012,-0.363,4.375,-0.098,0.462,0.702,-0.224,0.564,-0.049,0.257,0.026,0.213,-0.153,0.675,-0.483,1.403,0.623,0.296,0.161,3.587,-0.59,4.177,0.198,60953
1641726,Dereck Lively II,0.86,-3.483,4.343,-0.004,0.796,0.569,1.693,-0.336,0.016,-0.372,-0.03,0.072,0.037,-0.498,0.47,-0.639,0.015,2.068,0.486,0.998,-1.381,2.379,1.964,11066
1626157,Karl-Anthony Towns,2.754,-1.511,4.265,0.888,0.408,0.507,0.287,0.061,0.514,-0.212,-0.086,0.331,-0.143,0.397,0.191,-0.53,-0.272,1.312,0.612,2.288,-0.697,2.985,1.28,57391
1642349,Ajay Mitchell,2.098,-2.147,4.245,0.54,0.448,0.732,0.133,0.718,0.194,-0.183,0.028,-0.11,-0.125,0.654,-0.379,0.971,1.265,-1.224,0.583,1.422,-1.645,3.067,1.178,10129
1628392,Isaiah Hartenstein,0.928,-3.284,4.212,-0.032,0.912,0.391,1.483,0.503,0.054,-0.589,-0.145,-0.743,-0.051,-0.696,0.755,-0.859,-0.232,2.953,0.508,0.634,-1.9,2.534,1.678,38539
1631217,Moussa Diabate,3.049,-1.058,4.107,-0.542,-0.347,-0.142,0.012,-0.167,0.241,-0.261,0.161,-0.086,0.009,-0.287,0.142,-0.228,0.557,4.762,0.283,2.827,-0.55,3.377,0.73,13348
1626164,Devin Booker,4.364,0.33,4.034,-0.615,-0.024,0.52,0.811,1.445,-0.041,-0.017,-0.02,0.438,0.004,1.534,-0.46,0.47,0.014,0.589,-0.614,3.781,0.1,3.681,0.353,64427
201939,Stephen Curry,5.606,1.576,4.03,0.75,-0.002,1.437,-1.119,0.983,-0.068,0.517,-0.049,1.686,-0.112,0.468,-0.447,-0.093,0.002,-0.142,0.219,5.546,0.656,4.89,-0.86,58002
1642270,Donovan Clingan,0.804,-3.138,3.942,0.038,1.514,-0.951,0.699,-0.168,-0.083,0.089,-0.049,-0.967,-0.298,-1.193,1.08,-0.279,-0.629,4.235,0.904,-0.168,-0.463,0.295,3.647,14839
1627936,Alex Caruso,-0.179,-4.066,3.887,0.114,0.511,-0.611,0.599,-0.755,0.778,0.178,-0.305,0.07,0.153,0.698,-0.463,0.169,2.639,-0.042,0.154,0.208,-3.925,4.133,-0.246,37238
203497,Rudy Gobert,-1.45,-5.311,3.861,-0.001,1.093,0.527,1.831,-1.141,0.645,-0.289,0.027,-0.192,0.295,-1.086,0.938,-1.301,-0.216,2.033,0.698,-1.293,-4.503,3.21,0.651,63900
1641709,Ausar Thompson,0.227,-3.598,3.825,0.818,-0.041,0.638,1.52,-0.491,-0.079,-0.492,-0.044,-0.622,0.093,-0.623,0.404,-0.301,1.732,1.3,0.013,0.263,-2.28,2.543,1.282,22027
1628374,Lauri Markkanen,2.895,-0.905,3.8,0.129,0.123,0.405,0.668,-0.135,0.122,0.205,0.023,0.441,-0.003,0.756,-0.016,0.075,-0.556,1.019,0.544,2.424,-1.025,3.449,0.351,42096
1641744,Zach Edey,0.69,-3.103,3.793,-0.654,1.041,0.191,0.871,0.876,0.216,-0.468,-0.112,-0.219,0.03,-1.024,0.907,-1.212,-0.89,3.2,1.04,0.512,-1.326,1.838,1.955,7639
202710,Jimmy Butler III,3.238,-0.503,3.741,0.014,-0.424,-0.162,-0.26,-0.041,-0.407,-0.235,0.033,0.4,0.177,1.696,0.199,0.988,0.991,0.578,0.194,2.788,-0.989,3.777,-0.036,51049
202681,Kyrie Irving,3.74,0.092,3.648,-0.38,0.159,0.12,0.237,1.116,0.017,0.016,0.112,0.867,0.071,0.242,-0.011,1.12,0.129,0.639,-0.806,3.675,-0.29,3.965,-0.317,42436
1630700,Dyson Daniels,1.416,-2.159,3.575,0.268,0.025,0.422,-0.188,0.879,0.015,-0.188,0.054,0.592,0.013,-0.401,0.169,0.234,1.618,-0.39,0.453,1.729,-1.812,3.541,0.034,32383
