player_id,player_name,Latest_Year,oALT_EFG_VALUE,oALT_EFG_RIM,oALT_EFG_RIM_FREQ,oALT_EFG_RIM_FG,oALT_EFG_MID,oALT_EFG_MID_FREQ,oALT_EFG_MID_FG,oALT_EFG_THREE,oALT_EFG_THREE_FREQ,oALT_EFG_THREE_FG,oALT_FT,oALT_FT_FREQ,oALT_FT_SEVERITY,oALT_TOV_VALUE,oSC,oFC,oDISPLAY_SUM,oRESID,oALT_TOV_LOSS_VALUE,oALT_BADPASS_TOV_VALUE,oALT_SCORING_TOV_VALUE,oALT_TOV_VALUE_split,dALT_EFG_VALUE,dALT_EFG_RIM,dALT_EFG_RIM_FREQ,dALT_EFG_RIM_FG,dALT_EFG_MID,dALT_EFG_MID_FREQ,dALT_EFG_MID_FG,dALT_EFG_THREE,dALT_EFG_THREE_FREQ,dALT_EFG_THREE_FG,dALT_FT,dALT_FT_FREQ,dALT_FT_SEVERITY,dALT_TOV_VALUE,dSC,dFC,dDISPLAY_SUM,dRESID,dALT_TOV_LOSS_VALUE,dALT_BADPASS_TOV_VALUE,dALT_SCORING_TOV_VALUE,dALT_TOV_VALUE_split,nALT_EFG_VALUE,nALT_FT,nALT_FT_FREQ,nALT_FT_SEVERITY,nALT_TOV_VALUE,nSC,nDISPLAY_SUM,RESID,off,def,net_rapm,possessions,off_poss,def_poss
1627668,Breanna Stewart,2025,2.441,0.287,-0.201,0.487,0.869,0.132,0.736,1.285,0.036,1.25,0.323,0.556,-0.233,1.492,-0.094,4.255,4.162,-0.0,1.516,0.517,0.999,1.516,0.855,0.254,0.016,0.238,-0.155,0.047,-0.202,0.756,-0.017,0.773,0.347,0.425,-0.078,0.401,0.698,1.603,2.301,-0.0,0.403,0.403,-0.0,0.403,3.296,0.67,0.981,-0.311,1.893,0.604,6.463,-0.0,4.162,2.301,6.463,26792,13406,13386
1627673,Jonquel Jones,2025,1.608,0.379,-0.043,0.421,0.751,0.229,0.522,0.478,0.016,0.462,-0.326,-0.424,0.099,-0.4,1.571,0.882,2.452,-0.0,-0.334,-0.321,-0.013,-0.334,1.242,0.625,-0.015,0.64,0.344,-0.1,0.444,0.273,-0.021,0.295,0.648,0.533,0.115,0.022,1.383,1.912,3.295,0.0,-0.056,0.015,-0.071,-0.056,2.85,0.322,0.109,0.214,-0.379,2.954,5.747,-0.0,2.452,3.295,5.747,25061,12548,12513
203400,Skylar Diggins,2025,1.384,0.438,0.121,0.318,0.687,0.23,0.456,0.259,-0.061,0.32,0.569,0.311,0.258,1.361,0.359,3.314,3.673,0.0,1.421,0.756,0.665,1.421,2.476,1.021,-0.046,1.067,0.747,-0.022,0.769,0.708,0.055,0.652,-0.001,0.162,-0.163,0.25,-0.723,2.725,2.002,0.0,0.128,0.013,0.115,0.128,3.86,0.568,0.474,0.094,1.612,-0.364,5.675,0.0,3.673,2.002,5.675,21708,10868,10840
201496,Candace Parker,2025,2.187,1.321,0.22,1.101,1.258,0.129,1.13,-0.392,0.175,-0.567,-0.296,-0.411,0.115,0.284,0.251,2.175,2.425,0.0,0.167,-0.239,0.406,0.167,1.401,0.243,-0.131,0.374,0.744,0.349,0.395,0.415,-0.032,0.446,0.623,0.742,-0.118,0.399,0.389,2.424,2.813,-0.0,0.371,0.107,0.265,0.371,3.589,0.327,0.331,-0.003,0.683,0.64,5.239,0.0,2.425,2.813,5.239,10050,5020,5030
1628280,Brionna Jones,2025,0.112,0.149,0.306,-0.157,0.465,0.366,0.099,-0.502,-0.113,-0.389,0.275,0.429,-0.154,-0.315,1.739,0.071,1.811,-0.0,-0.221,-0.056,-0.165,-0.221,0.962,0.17,0.008,0.162,0.134,0.026,0.108,0.657,0.026,0.631,0.184,0.122,0.062,0.784,0.745,1.93,2.675,0.0,0.69,0.063,0.627,0.69,1.074,0.459,0.551,-0.092,0.468,2.484,4.485,-0.0,1.811,2.675,4.485,21950,10965,10985
203833,Chelsea Gray,2025,3.499,0.56,-0.081,0.641,1.616,-0.362,1.977,1.323,-0.035,1.359,-0.361,-0.609,0.248,0.258,-0.097,3.396,3.299,-0.0,0.453,0.126,0.328,0.453,1.138,-0.049,0.038,-0.087,0.406,0.154,0.251,0.781,-0.002,0.783,0.488,0.476,0.012,-0.065,-0.52,1.561,1.041,0.0,-0.164,0.127,-0.29,-0.164,4.637,0.127,-0.133,0.26,0.193,-0.617,4.34,-0.0,3.299,1.041,4.34,28159,14078,14081
203826,Alyssa Thomas,2025,0.949,0.228,0.118,0.11,-0.053,-0.184,0.13,0.774,-0.114,0.888,0.236,0.397,-0.161,1.188,-0.099,2.372,2.274,-0.0,0.787,0.127,0.66,0.787,1.104,-0.274,0.025,-0.3,-0.081,0.073,-0.154,1.459,0.045,1.414,-0.036,0.011,-0.047,0.285,0.563,1.352,1.915,-0.0,0.695,0.026,0.669,0.695,2.053,0.2,0.408,-0.208,1.473,0.464,4.189,-0.0,2.274,1.915,4.189,26616,13294,13322
1628932,A'ja Wilson,2025,1.73,0.312,-0.048,0.36,0.768,-0.334,1.102,0.651,-0.144,0.795,0.8,0.73,0.07,1.668,-0.78,4.198,3.418,0.0,1.504,0.515,0.989,1.504,0.424,0.34,-0.021,0.362,0.142,0.095,0.048,-0.058,0.027,-0.085,-0.023,0.087,-0.11,-0.284,0.54,0.118,0.658,0.0,-0.004,0.221,-0.225,-0.004,2.155,0.777,0.817,-0.04,1.384,-0.24,4.076,0.0,3.418,0.658,4.076,29506,14759,14747
203399,Elena Delle Donne,2025,2.309,0.441,-0.219,0.66,0.699,-0.559,1.257,1.17,0.093,1.076,-0.272,-0.558,0.286,0.8,-0.769,2.837,2.067,-0.0,1.159,0.871,0.287,1.159,1.697,0.191,-0.037,0.228,0.509,0.105,0.404,0.997,-0.058,1.055,0.206,0.229,-0.023,-0.334,0.424,1.569,1.993,-0.0,-0.336,-0.071,-0.265,-0.336,4.006,-0.066,-0.329,0.263,0.466,-0.346,4.06,-0.0,2.067,1.993,4.06,6129,3071,3058
1628276,Kelsey Plum,2025,3.343,1.478,0.309,1.169,0.736,0.865,-0.128,1.129,0.149,0.98,0.241,0.205,0.036,0.904,-0.292,4.488,4.196,-0.0,0.604,0.549,0.055,0.604,-0.264,0.317,0.114,0.203,0.029,0.049,-0.019,-0.611,-0.062,-0.548,0.36,0.331,0.029,-0.256,-0.149,-0.161,-0.31,-0.0,-0.217,0.112,-0.329,-0.217,3.079,0.6,0.536,0.065,0.648,-0.441,3.886,-0.0,4.196,-0.31,3.886,28056,14022,14034
1630149,Satou Sabally,2025,1.425,0.326,0.064,0.261,-0.002,0.366,-0.368,1.101,0.001,1.1,-0.028,0.048,-0.076,0.839,0.889,2.236,3.125,0.0,0.823,0.646,0.177,0.823,0.153,0.225,0.211,0.014,-0.643,0.046,-0.69,0.571,0.005,0.567,-0.046,-0.124,0.078,0.356,0.262,0.463,0.726,0.0,0.148,0.153,-0.004,0.148,1.577,-0.074,-0.076,0.002,1.196,1.151,3.85,0.0,3.125,0.726,3.85,16915,8449,8466
204319,Jewell Loyd,2025,0.009,-0.178,-0.115,-0.063,-0.26,0.114,-0.374,0.448,-0.025,0.473,0.21,-0.019,0.228,0.595,1.387,0.814,2.201,0.0,0.279,0.043,0.236,0.279,0.473,-0.342,-0.057,-0.285,0.494,0.01,0.484,0.321,0.042,0.28,0.151,0.113,0.038,0.519,-0.105,1.144,1.039,-0.0,0.526,0.31,0.216,0.526,0.483,0.361,0.094,0.267,1.114,1.282,3.24,0.0,2.201,1.039,3.24,26375,13199,13176
1629483,Napheesa Collier,2025,3.144,0.498,-0.155,0.652,0.986,-0.226,1.212,1.66,-0.017,1.677,-0.211,-0.309,0.098,0.23,-0.575,3.163,2.588,-0.0,0.472,0.396,0.076,0.472,0.369,0.365,0.03,0.335,0.485,0.121,0.365,-0.481,-0.009,-0.472,0.068,0.216,-0.148,0.527,-0.314,0.964,0.65,0.0,0.384,0.406,-0.022,0.384,3.513,-0.143,-0.093,-0.05,0.757,-0.889,3.238,-0.0,2.588,0.65,3.238,21561,10779,10782
201516,Allie Quigley,2025,2.317,1.222,0.119,1.103,0.086,-0.029,0.115,1.009,0.109,0.901,-0.54,-0.836,0.296,0.495,-0.042,2.272,2.231,0.0,0.711,0.476,0.235,0.711,0.823,0.235,-0.213,0.448,0.461,0.117,0.344,0.127,0.01,0.117,0.208,0.069,0.139,-0.008,-0.297,1.023,0.726,-0.0,0.037,0.067,-0.03,0.037,3.14,-0.331,-0.767,0.436,0.487,-0.338,2.957,-0.0,2.231,0.726,2.957,8440,4228,4212
1628277,Allisha Gray,2025,0.354,-0.221,0.205,-0.426,0.718,0.334,0.384,-0.143,-0.037,-0.106,0.052,0.273,-0.221,0.917,0.565,1.323,1.888,-0.0,0.695,0.781,-0.086,0.695,0.532,0.384,-0.078,0.462,-0.026,0.054,-0.08,0.173,0.049,0.124,0.259,0.321,-0.062,-0.284,0.424,0.506,0.93,-0.0,-0.292,-0.027,-0.265,-0.292,0.886,0.31,0.594,-0.284,0.633,0.989,2.818,-0.0,1.888,0.93,2.818,25356,12680,12676
1628878,Ariel Atkins,2025,1.807,-0.597,-0.278,-0.32,1.528,0.056,1.472,0.876,0.126,0.75,0.259,0.058,0.2,0.131,0.576,2.196,2.772,0.0,0.257,-0.07,0.327,0.257,-0.654,-0.235,0.084,-0.319,0.004,0.007,-0.003,-0.423,-0.023,-0.4,-0.008,-0.126,0.118,0.328,0.179,-0.334,-0.155,-0.0,0.338,0.027,0.311,0.338,1.152,0.25,-0.068,0.318,0.459,0.756,2.618,0.0,2.772,-0.155,2.618,21219,10609,10610
203026,Tiffany Hayes,2025,1.925,0.591,0.287,0.304,0.712,0.561,0.15,0.623,0.103,0.52,-0.174,-0.024,-0.15,0.741,-0.663,2.493,1.829,-0.0,0.835,0.52,0.315,0.835,-0.114,0.472,0.12,0.353,0.029,0.035,-0.006,-0.615,-0.062,-0.553,-0.137,-0.157,0.021,0.639,0.125,0.389,0.514,0.0,0.297,0.11,0.186,0.297,1.811,-0.31,-0.181,-0.129,1.38,-0.538,2.343,0.0,1.829,0.514,2.343,12452,6211,6241
203825,Kayla McBride,2025,1.81,0.382,0.014,0.368,0.89,0.056,0.834,0.537,-0.042,0.58,0.336,0.171,0.165,0.18,-0.195,2.326,2.13,-0.0,0.224,0.479,-0.255,0.224,0.313,0.162,-0.123,0.286,0.214,0.062,0.152,-0.063,0.009,-0.072,0.339,0.405,-0.066,-0.498,0.025,0.154,0.179,-0.0,-0.263,0.203,-0.466,-0.263,2.123,0.675,0.576,0.099,-0.319,-0.17,2.31,-0.0,2.13,0.179,2.31,26014,13008,13006
