player_id,player_name,Latest_Year,oALT_EFG_VALUE,oALT_EFG_RIM,oALT_EFG_RIM_FREQ,oALT_EFG_RIM_FG,oALT_EFG_MID,oALT_EFG_MID_FREQ,oALT_EFG_MID_FG,oALT_EFG_THREE,oALT_EFG_THREE_FREQ,oALT_EFG_THREE_FG,oALT_FT,oALT_FT_FREQ,oALT_FT_SEVERITY,oALT_TOV_VALUE,oSC,oFC,oDISPLAY_SUM,oRESID,oALT_TOV_LOSS_VALUE,oALT_BADPASS_TOV_VALUE,oALT_SCORING_TOV_VALUE,oALT_TOV_VALUE_split,dALT_EFG_VALUE,dALT_EFG_RIM,dALT_EFG_RIM_FREQ,dALT_EFG_RIM_FG,dALT_EFG_MID,dALT_EFG_MID_FREQ,dALT_EFG_MID_FG,dALT_EFG_THREE,dALT_EFG_THREE_FREQ,dALT_EFG_THREE_FG,dALT_FT,dALT_FT_FREQ,dALT_FT_SEVERITY,dALT_TOV_VALUE,dSC,dFC,dDISPLAY_SUM,dRESID,dALT_TOV_LOSS_VALUE,dALT_BADPASS_TOV_VALUE,dALT_SCORING_TOV_VALUE,dALT_TOV_VALUE_split,nALT_EFG_VALUE,nALT_FT,nALT_FT_FREQ,nALT_FT_SEVERITY,nALT_TOV_VALUE,nSC,nDISPLAY_SUM,RESID,off,def,net_rapm,possessions,off_poss,def_poss
1628932,A'ja Wilson,2025,2.261,0.592,-0.036,0.628,0.527,-0.257,0.784,1.142,-0.105,1.247,0.592,0.512,0.081,1.555,-0.494,4.408,3.914,-0.0,1.488,0.518,0.97,1.488,0.323,0.245,-0.02,0.265,0.272,0.068,0.204,-0.195,0.026,-0.22,0.022,0.06,-0.038,0.024,0.353,0.369,0.722,0.0,0.173,0.286,-0.113,0.173,2.584,0.614,0.571,0.043,1.578,-0.141,4.636,-0.0,3.914,0.722,4.636,29506,14759,14747
1627668,Breanna Stewart,2025,1.818,0.221,-0.197,0.418,0.669,0.12,0.549,0.928,0.045,0.883,0.355,0.486,-0.131,0.924,-0.16,3.097,2.937,-0.0,0.972,0.26,0.711,0.972,0.436,0.449,-0.002,0.451,-0.345,0.05,-0.395,0.333,-0.022,0.355,0.367,0.447,-0.08,0.378,0.479,1.182,1.661,0.0,0.387,0.425,-0.039,0.387,2.255,0.722,0.933,-0.21,1.302,0.319,4.598,-0.0,2.937,1.661,4.598,26792,13406,13386
203826,Alyssa Thomas,2025,1.936,0.552,0.088,0.463,0.156,-0.197,0.353,1.229,-0.077,1.306,0.098,0.255,-0.157,0.835,-0.061,2.87,2.809,-0.0,0.567,0.105,0.462,0.567,0.768,-0.35,-0.011,-0.339,0.014,0.032,-0.018,1.104,0.035,1.068,-0.133,-0.072,-0.061,0.3,0.527,0.935,1.462,-0.0,0.563,0.132,0.431,0.563,2.704,-0.035,0.183,-0.217,1.135,0.466,4.271,-0.0,2.809,1.462,4.271,26616,13294,13322
1627673,Jonquel Jones,2025,1.408,0.433,-0.019,0.451,0.545,0.231,0.315,0.429,0.009,0.42,-0.291,-0.34,0.049,-0.3,1.041,0.816,1.857,0.0,-0.191,-0.287,0.096,-0.191,0.964,0.459,-0.05,0.509,0.243,-0.07,0.313,0.262,-0.014,0.275,0.493,0.443,0.05,-0.131,0.923,1.327,2.249,0.0,-0.215,-0.177,-0.037,-0.215,2.372,0.202,0.103,0.099,-0.431,1.964,4.106,0.0,1.857,2.249,4.106,25061,12548,12513
203400,Skylar Diggins,2025,1.376,0.627,0.076,0.552,0.597,0.102,0.495,0.152,-0.085,0.237,0.238,0.07,0.168,0.734,0.204,2.348,2.551,-0.0,0.749,0.23,0.519,0.749,1.351,0.484,-0.038,0.522,0.514,-0.024,0.538,0.354,0.056,0.297,-0.033,0.038,-0.071,0.321,-0.263,1.639,1.376,-0.0,0.278,0.125,0.152,0.278,2.727,0.205,0.108,0.097,1.055,-0.059,3.928,-0.0,2.551,1.376,3.928,21708,10868,10840
1628280,Brionna Jones,2025,0.08,0.123,0.271,-0.148,0.44,0.408,0.032,-0.483,-0.082,-0.401,-0.036,0.108,-0.144,0.169,1.365,0.213,1.577,-0.0,0.21,0.273,-0.063,0.21,0.682,0.165,-0.014,0.179,-0.025,0.07,-0.095,0.542,0.033,0.51,0.24,0.174,0.066,0.512,0.733,1.434,2.166,-0.0,0.444,0.046,0.398,0.444,0.762,0.204,0.281,-0.077,0.68,2.097,3.743,-0.0,1.577,2.166,3.743,21950,10965,10985
203833,Chelsea Gray,2025,2.415,0.255,-0.123,0.378,1.364,-0.326,1.69,0.796,-0.04,0.836,-0.324,-0.498,0.174,0.554,-0.035,2.645,2.611,-0.0,0.677,0.265,0.413,0.677,0.969,0.097,0.04,0.057,0.278,0.157,0.12,0.594,0.014,0.58,0.309,0.263,0.046,-0.1,-0.385,1.179,0.794,0.0,-0.123,-0.019,-0.104,-0.123,3.384,-0.014,-0.235,0.22,0.454,-0.42,3.404,-0.0,2.611,0.794,3.404,28159,14078,14081
201496,Candace Parker,2025,1.755,1.214,0.191,1.023,0.662,0.027,0.635,-0.121,0.141,-0.262,-0.204,-0.286,0.081,0.124,0.044,1.675,1.72,-0.0,0.072,-0.175,0.248,0.072,0.772,0.137,-0.111,0.248,0.482,0.209,0.273,0.153,-0.034,0.187,0.339,0.393,-0.054,0.202,0.178,1.313,1.491,0.0,0.197,0.11,0.087,0.197,2.528,0.135,0.108,0.027,0.326,0.223,3.211,0.0,1.72,1.491,3.211,10050,5020,5030
1628276,Kelsey Plum,2025,2.791,1.157,0.283,0.873,0.969,0.754,0.216,0.665,0.12,0.546,0.348,0.274,0.074,0.814,-0.412,3.953,3.542,0.0,0.616,0.399,0.217,0.616,-0.274,0.415,0.107,0.308,-0.035,0.055,-0.09,-0.653,-0.059,-0.594,0.334,0.358,-0.023,-0.255,-0.25,-0.194,-0.444,-0.0,-0.221,0.054,-0.275,-0.221,2.517,0.682,0.632,0.051,0.56,-0.662,3.098,0.0,3.542,-0.444,3.098,28056,14022,14034
1630149,Satou Sabally,2025,0.903,0.383,0.059,0.324,-0.189,0.331,-0.521,0.71,-0.035,0.745,-0.013,-0.032,0.019,0.796,0.895,1.687,2.583,-0.0,0.84,0.69,0.15,0.84,0.057,0.29,0.157,0.133,-0.448,0.014,-0.462,0.215,0.02,0.195,-0.035,-0.034,-0.001,0.253,0.151,0.275,0.426,-0.0,0.052,-0.023,0.074,0.052,0.96,-0.048,-0.066,0.018,1.049,1.047,3.009,-0.0,2.583,0.426,3.009,16915,8449,8466
